job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
UI设计工程师(J11403),https://www.lagou.com/jobs/7209798.html,新吴区,8k-15k,朗新科技股份有限公司,3-5年,本科,智慧城市APP,,"移动互联网,企业服务",2000人以上,UI,无锡
ui设计师,https://www.lagou.com/jobs/6784447.html,梁溪区,7k-10k,江苏微语科技有限公司,3-5年,本科,股权激励 交通便利 前景广阔,职责：　　1、负责公司产品相关的Web UI和App UI及相关其它图形设计工作;　　2、独立完成UI相关图形设计工作，能根据产品的设计思路设计对应配套的UI;　　3、负责公司产品相关的平面设计工作;　　4、优化Web UI和App UI的视觉交互流程，提升用户体验;　　5、协同前端开发团队实现UI设计及交互效果;　　任职要求：,"移动互联网,广告营销",50-150人,UI,无锡
ui设计工程师,https://www.lagou.com/jobs/7200219.html,无锡新区,8k-10k,无锡中科光电技术有限公司,3-5年,本科,"团队超赞，大牛带队 , 发展空间大","职位职责：1- 配合需求和开发人员，制作web，移动端以及客户端软件的界面，输出PSD文件；2- 参与产品用户体验研究、了解设计流行趋势，不断的优化产品设计方案；3- 负责切出开发所需要的设计素材，及时响应；4- 配合完成公司其它一些设计上的工作，如公众号素材输出。任职要求：1- 本科毕业，有地图和大屏类设计经验优先，设计/互联网/计算机等相关专业优先；2- 精通Photoshop，Illustrator，Figma或Sketch等常用UI设计软件；3- 有完整的UI界面设计项目经验和作品，产品流程、用户操作流程；4- 熟悉web和移动端的基本设计规范和原则,对前台的HTML和CSS实现过程有一定了解，能平衡设计效果和最终实现难度之间的关系；5- 使用过相关协作类工具，如蓝湖或zeplin等；6- 做事认真，责任心强，具有良好的沟通能力和团队合作精神。","数据服务,企业服务",150-500人,UI,无锡
UI设计师,https://www.lagou.com/jobs/6838194.html,锡山区,2k-3k,拜乐环境科技（江苏）有限公司,3-5年,大专,公司提供住宿、餐补、话补、交通、五险,岗位职责1、不透露公司机密2、不违法违纪3、为公司做好筹划及VI设计4、管理公司的网站及公众号的编辑,其他,15-50人,UI,无锡
UI设计师(J11116),https://www.lagou.com/jobs/6844696.html,无锡新区,6k-10k,朗新科技股份有限公司,应届毕业生,本科,上市集团平台稳定学习机会多上升空间大,,"移动互联网,企业服务",2000人以上,UI,无锡
前端开发工程师,https://www.lagou.com/jobs/7050135.html,新吴区,12k-24k,北京字节跳动科技有限公司,不限,本科,"六险一金,餐补,租房补贴,带薪休假",,文娱丨内容,2000人以上,UI,无锡
资深前端开发工程师,https://www.lagou.com/jobs/7074028.html,新吴区,20k-40k,北京字节跳动科技有限公司,3-5年,本科,"六险一金,餐补,租房补贴,带薪休假",,文娱丨内容,2000人以上,UI,无锡
美术外包商务总监,https://www.lagou.com/jobs/5417544.html,梁溪区,7k-10k,上海酷儒网络科技有限公司,1-3年,不限,"工作氛围好,福利待遇好,发展空间大",任职要求：1负责美术外包项目的接入和客户渠道的维护，了解客户需求2开拓新的市场渠道和行业资源，薪资以项目提成为准。3自身具备一定的商务接包能力和市场拓展能力。4能力佳者可以和本公司合作并可以得到相应股份，一起创造公司辉煌公司的业务范围：原画、场景、模型、卡牌、图标UI、动画特效等。,电商,15-50人,UI,无锡
高级交互设计师,https://www.lagou.com/jobs/7173682.html,锡山区,13k-20k,上海益高检验咨询有限公司,1-3年,本科,产品是简道云,岗位职责：1.负责简道云的交互设计，输出交互设计方案，对产品最终的用户体验负责；2.主导数据分析、用户研究、可用性测试等提升体验的项目，根据产品需求和技术驱动开展产品体验的创新研究，对设计发展进行应用与扩展；评估产品上线后的效果，提出用户体验改善计划并落地；3.制定相关交互规范及流程，保证交互团队交付物的品质；4.参与简道云战略制定，制定并完成交互团队的体验性目标以支撑战略目标的完成；5.关注市场、竞品、用户、数据和行业的研究，能协同上下游共同推动目标完成；6.负责简道云交互团队的管理和建设，人才培养。 任职要求：1.大学统招一本毕业，理工科背景，毕业5年以内；2.逻辑思维严谨清晰，理解力强；具有优秀的沟通能力和团队合作精神；3.热衷于产品设计，对交互设计有强烈的兴趣和持之以恒的动力，有企业软件交互设计经验优先。4.交互经验比较丰富，纯UI不考虑，UI和交互兼做要交互占比较大，如有带人经验更佳。,"人工智能,物联网",50-150人,UI,无锡
前端工程师,https://www.lagou.com/jobs/7030370.html,滨湖区,6k-10k,江苏拍信云计算科技有限公司,1-3年,大专,福利待遇好，交通便利,岗位职责：1、公司产品的前端业务的实施/升级/维护。职位要求：1、熟练使用Vue全家桶和React+TypeScript，会Angular者优先；2、对UI和交互敏感，擅长CSS美化调优，熟悉CSS预处理器；3、熟悉Node.JS，并且熟悉除次以外至少一种后端语言（如Python/Php等）；4、懂产品部署和CI/CD者优先；5、Github有上参与开源项目者优先。,"企业服务,消费生活",50-150人,UI,无锡
