job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
ui设计师,https://www.lagou.com/jobs/6910619.html,高新区,8k-10k,河南八六三软件股份有限公司,3-5年,大专,周末双休、五险一金、带薪年假、餐补、交补,"技能要求：PS，平面设计，交互设计，UE设计1、艺术、美术、计算机相关专业，大专及以上学历。2、三年以上相关经验，对设计潮流把握准确，熟悉网站建设和UI设计流程，具有成功案例作品。3、具有较深厚的美术设计功底、良好的色彩感觉；优秀的视觉设计能力,扎实的美术基础,对视觉设计有激情和创新精神；4、精通Photoshop、AE、Illustrator、Dreamweaver、InDesign、Axure等相关设计软件操作；5、精通XHTML/ HTML5/CSS3，能编写符合W3C标准、兼容主流浏览器的代码；6、熟悉JavaScript、JQuery语言，能够实现常见的网页特效；7、有相关教学经验优先。",移动互联网,500-2000人,UI,郑州
UI高级设计师,https://www.lagou.com/jobs/4517357.html,金水区,10k-15k,郑州时空隧道信息技术有限公司,3-5年,本科,"五险一金,带薪年假,节日福利,生日福利",岗位职责：1. 负责公司移动端以及WEB端的视觉设计工作；2. 对交互设计和用户体验有较深理解，准确理解产品需求和交互原型，并能完整准确的还原信息层级和关系，能运用设计手法平衡商业和用户需求 ；3.参与产品界面视觉用户研究、设计流行趋势分析；4.参与设计体验、流程的制定和规范，跟踪产品效果，提出设计改善方案，保证产品具有良好的体验；5. 较好的团队意识及沟通能力，能有效推动产品，研发，设计团队间协作，高质量完成产品的最终实现6. 深入了解公司产品与服务的用户群体，主动推进产品视觉的持续改进与优化；职位描述：1. 平面设计、工业设计、美术、数字多媒体或相关专业，本科及以上学历；2. 熟悉iOS、Android等移动设备操作系统上的UI设计，切图制作，有3年以上移动端视觉设计及应用交互设计经验，能独立负责产品UI设计；3. 熟练使用AI、Photoshop、Sketch等设计工具，具备优良审美及原创插画图标绘制能力，界面设计精良，能输出视觉设计规范文档；4. 熟知互联网、移动互联网产品；对手机软件可用性有独到的认识，具有良好版式设计、色彩感和整体布局感觉；5. 有网页设计经验者优先6.注重团队合作，良好的领悟能力和沟通能力，自我驱动。,"移动互联网,消费生活",150-500人,UI,郑州
UI中级设计师,https://www.lagou.com/jobs/4517329.html,金水区,7k-10k,郑州时空隧道信息技术有限公司,1-3年,大专,"五险一金,节日福利,员工旅游,生日福利",岗位职责：1. 负责公司移动端以及WEB端的视觉设计工作；2. 根据产品指定视觉规范，输出视觉效果图、图标，针对不同终端设备适配并提供标注切图；3. 参与产品界面视觉用户研究、设计流行趋势分析；4. 参与设计体验、流程的制定和规范，跟踪产品效果，提出设计改善方案，保证产品具有良好的体验；5. 较好的团队意识及沟通能力，能有效推动产品，研发，设计团队间协作，高质量完成产品的最终实现；6. 深入了解公司产品与服务的用户群体，主动推进产品视觉的持续改进与优化；职位描述：1. 平面设计、工业设计、美术、数字多媒体或相关专业，大专及以上学历；2. 熟悉iOS、Android等移动设备操作系统上的UI设计，切图制作，有1年以上移动端视觉设计及应用交互设计经验，能独立负责产品UI设计；3. 熟练使用AI、Photoshop、Sketch等设计工具；4. 熟知互联网、移动互联网产品；对手机软件可用性有独到的认识，具有良好版式设计、色彩感和整体布局感觉；5. 有网页设计经验者优先6. 注重团队合作，良好的领悟能力和沟通能力，自我驱动。,"移动互联网,消费生活",150-500人,UI,郑州
UI设计师-2020YF09,https://www.lagou.com/jobs/6798728.html,金水区,11k-15k,郑州信大捷安信息技术股份有限公司,3-5年,本科,公司平台好 发展空间大,岗位职责：1、主要负责APP类产品，及WEB类产品的整体UI界面、核心视觉设计；2、与产品经理一起完成产品的改版和优化方案设计与输出，确保产品改版和优化目标达成；3、参与交互研究设计、用户需求挖掘，持续优化产品的整体体验；4、参与品牌素材的延伸设计；5、定时研究，了解和分享业界视觉设计趋势，并应用到日常的设计工作中；6、建立视觉设计规范，确保可用；7、负责新技术的研究、落地和推广，指导和培训其他团队成员，确保其快速成长。任职要求：1、设计、美术或艺术相关专业本科以上学历，从事UI设计工作3年以上，能独立完成大型UI设计项目，具有PC端和移动端UI设计经验；2、有较强的视觉设计能力和审美洞察，保持好奇心，对设计趋势有敏锐的感知能力3、善于沟通和思考，对于美学有强烈追求；4、精通Photoshop，Sketch，Illustrator等设计工具软件的使用；5、富有激情，关注细节，具有匠心，突破自己，具备良好合作态度及团队精神；6、能够承受高强度的工作压力。注：简历请附带代表性作品。,"移动互联网,信息安全",500-2000人,UI,郑州
UI设计师,https://www.lagou.com/jobs/535857.html,中原区,3k-6k,河南拜特尔软件科技有限公司,不限,本科,公司成立五年，项目经验丰富，团队大佬多,岗位职责：1、本科或以上学历，设计相关专业，有设计经验者优先，也欢迎有激情的应届毕业生； 2、设计类相关专业，熟练运用AI、Sketch、Photoshop等相关平面设计软件3、参与移动端、Web端产品界面设计，并根据产品需求进行UI设计4、参与产品需要的海报图设计，完成作品UI原型图和效果图设计5、根据用户反馈和产品思路的调整完成对产品UI的调整与优化6、根据公司项目标准及客户要求，完成相关设计方面工作 福利待遇：1、 公司不定期提供下午茶、零食、水果等2、 五险一金、绩效奖、全勤奖、年终奖等3、 试用期：3个月，优秀者可提前转正4、 公司环境舒适、气氛好，同事关系融洽，公司活动丰富我们在寻找并肩战斗的小伙伴，我们需要你：     1、配合研发对项目进行视觉设计；     2、参与运营前期规划，后期跟进优化；     3、参与产品设计；     4、充满好奇心，享受设计，学习能力强；     5、设计全面，对设计有热情，关注设计互联网发展方向,移动互联网,15-50人,UI,郑州
游戏ui设计师,https://www.lagou.com/jobs/6849194.html,金水区,8k-13k,北京初聚科技有限公司,3-5年,不限,入职五险一金、带薪年假、团建旅游,岗位职责： 1. 负责游戏界面的整体视觉风格设定；2. 从事游戏产品的UI设计工作，负责游戏中各种界面设计与制作 ；3. 游戏icon，logo，图标等设计制作以及资源管理工作； 4. 配合技术部门实现理想UI效果及简单动效； 5. 与项目团队配合，参与设计体验，对UI效果进行优化及版本迭代 ；任职要求1.有出色的设计能力和丰富的想象力； 2.3年以上游戏UI工作经验，具有优秀的审美能力，能独立完成游戏用户界面的风格设定和UI设计3.有较强的美术功底，具有出色的艺术设计能力，能够灵活控制设计风格能够设计icon图标； 4.有较强手绘能力； 5.能够熟练使用Photoshop、U3D等软件；6.具有良好的理解和沟通能力，学习能力强，理解能力强，责任心强，良好的团队合作意识。,"移动互联网,广告营销",500-2000人,UI,郑州
前端UI设计师,https://www.lagou.com/jobs/7200135.html,郑东新区,5k-8k,郑州瑞倍特信息技术有限公司,3-5年,不限,朝九晚六，周末双休，地铁口,"职位描述：1．负责前端技术选型和技术规范定制，技术框架搭建；2．优化项目的前端性能，按照要求实现前端页面的各种特效；3．负责产品Web前端的研发和交互设计，负责通用UI组件、模板的设计和开发、底层JS类库的开发；4．解决不同的浏览器及不同版本的兼容性问题；5．解决开发过程中的技术难题，提供Web开发的技术支持和开发指导岗位要求：1．具有2年以上前端独立开发工作经验；2．熟练掌握JavaScript/CSS/html，html5/css3, 面向对象等；3．熟悉各种前端调试工具； 熟悉JS性能优化；4．掌握jQuery，Node.js，Vue，element-ui，react，MUI等框架，并有实际项目经验；5．熟悉前端模块化、编译和构建工具，如grunt，gulp，webpack等；","移动互联网,数据服务",15-50人,UI,郑州
UI高级设计师,https://www.lagou.com/jobs/4365739.html,高新区,8k-12k,郑州点读电子科技有限公司,3-5年,本科,"行业独角兽,公司发展好,扁平化管理",您的工作内容：1、负责儿童版 App 产品视觉设计（偏游戏界面交互设计方向，有相关工作经验者优先），优化用户体验设计，并对产品提出迭代优化方案；2、负责产品相关运营活动页面，根据需求完成设计风格定位及视觉创意。3、参与用户需求讨论与分析，从产品设计和用户体验的角度提出有效建议与设计方案。保证产品的可用性、易用性；4、配合开发人员输出页面布局效果、界面布局标注和交互效果的整体实现，保证最终设计质量；5、分享设计经验，推动提高团队的设计能力。  我们对您的期望：   1、良好视觉把握能力，熟练操作各类设计软件（sktech、PS、AI等）；   2、3年及以上相关设计经验，本科及以上学历，艺术相关专业，教育产品设计从业经验或者游戏界面设计相关经验者优先；   3、具备独立思考能力和良好沟通能力，能根据业务需求独立开展设计工作；   4、诚实正直，有责任感 ，具备良好的合作态度和团队精神，富有工作激情，对设计趋势有灵敏触觉和领悟能力，推动团队的设计能力 ；   5、加分项：具备手绘与插画能力，动效制作能力；   6、投递简历时请附带个人作品链接（如：站酷、UI中国）。咿啦看书，是一家集聚了众多充满活力、创造力年轻人的互联网公司！目前，已获得4轮过亿元融资！,"移动互联网,电商",150-500人,UI,郑州
UI设计师,https://www.lagou.com/jobs/2815283.html,金水区,6k-10k,郑州百易科技有限公司,3-5年,大专,"五险一金,工作餐,年终奖,全勤奖",岗位职责：1、负责游戏相关UI、图标、道具等游戏交互界面相关设计。2. 充分理解游戏设计方案，了解游戏相关需求，提出有针对性和符合潮流的UI设计方 案。3. 完成各个界面的延续性设计，保证设计与实现品质一致。4. 积极与lead保持沟通，根据游戏风格把握UI风格。任职要求：1、3年以上游戏行业从业经验，有良好的色彩和造型能力，对项目产品有很强的视觉表现欲；2、熟悉应用photoshop、flash、AI等设计软件，对有成功产品经验者更佳，有优秀的手绘功底者优先考虑。3、有良好的沟通协调能力和执行能力，善于与制作团队的程序、策划合作和沟通；4、热爱游戏，能够绘制欧美Q版等各种风格，准确的把控产品的美术风格符合目标市场。5、能熟练的运用各种色彩搭配和设计方法体现不同游戏的主题；6、棋牌游戏行业从业经验、了解Cocos Studio软件资源拼图优先；,游戏,50-150人,UI,郑州
游戏ui设计师,https://www.lagou.com/jobs/6839358.html,金水区,8k-12k,北京初聚科技有限公司,3-5年,大专,入职六险一金,岗位职责：1. 负责游戏界面的整体视觉风格设定；2. 从事游戏产品的UI设计工作，负责游戏中各种界面设计与制作 ；3. 游戏icon，logo，图标等设计制作以及资源管理工作； 4. 配合技术部门实现理想UI效果及简单动效； 5. 与项目团队配合，参与设计体验，对UI效果进行优化及版本迭代 ；任职要求：1.有出色的设计能力和丰富的想象力； 2.3年以上游戏UI工作经验，具有优秀的审美能力，能独立完成游戏用户界面的风格设定和UI设计3.有较强的美术功底，具有出色的艺术设计能力，能够灵活控制设计风格能够设计icon图标； 4.有较强手绘能力； 5.能够熟练使用Photoshop、U3D等软件；6.具有良好的理解和沟通能力，学习能力强，理解能力强，责任心强，良好的团队合作意识。,"移动互联网,广告营销",500-2000人,UI,郑州
UI设计师,https://www.lagou.com/jobs/6743612.html,金水区,10k-16k,厦门特力通信息技术股份有限公司,3-5年,本科,福利待遇好，发展空间大。,1)主要负责数据可视化方向的UI设计2)兼顾3D建模项目中前端功能的设计3)WEB方向的交互界面设计4)手机app客户端的交互界面设计5)交互设计维护工作,移动互联网,500-2000人,UI,郑州
ui设计师,https://www.lagou.com/jobs/6852295.html,郑东新区,8k-10k,河南宠呦呦信息技术有限公司,3-5年,大专,期权/饭补/五险/体检/旅游/奖金/,1.参与对互联网产品项目的视觉设计， 包括PC端，移动端APP的UI设计、创意和整体风格的规划设计； 2. 参与产品团队设计讨论， 确立产品的整体视觉风格并完成UI设计， 配合开发人员完成图形化界面开发。 3. 参与产品界面风格、界面UI设计，宣传网页， 产品说明书，白皮书，PPT等制定设计并定制标准； 4. 协同产品用户体验、优化完善设计流程，提升用户的体验；配合前端开发工程师， 产品经理一起研讨UI优化改进方案 岗位需求： 视觉传达、UX设计等相关专业毕业，UI设计相关经验 任职要求： 1. 能够独立完成设计工作 对于UX 有认识，能掌握使用者体验； 2. 精通用户体验设计流程和方法， 熟悉软件产品界面设计趋势， 有较强的视觉设计， 数据可视化设计创新能力； 3. 精通PhotoshopIllustratorAxureSketchPPT等相关设计软件； 4. 熟悉AEpremiere Dreamweaver HTML5、css3 等视频编辑软件者优先 5. 有数据分析产品设计经验者优先,物联网,15-50人,UI,郑州
UI设计师,https://www.lagou.com/jobs/7113302.html,管城区,6k-8k,郑州沁辰信息科技有限公司,3-5年,不限,生日小礼物，零食多多,工作内容：1、负责公司网页UI界面设计及手机UI界面设计；2、负责专题的设计及相关广告制作；3、完成网站、软件界面及平面效果等设计任务，对设计的画面布局合理、美观效果负责；4、配合活动策划人员，制作公司重大营销活动视觉设计；能力要求：1、熟练使用photoshop，掌握axure和AiAe等矢量图形软件，对最新的设计趋势有领悟能力，善于学习运用。2、具有web、APP移动端产品设计相关经验；3、了解并会简单使用csshtml布局编程；4、3-5年工作经验。不限学历，只要你能力强大，人品够好。5、面试需带作品,教育,150-500人,UI,郑州
UI设计师,https://www.lagou.com/jobs/6392832.html,中原区,3k-6k,河南量子矩阵科技有限公司,应届毕业生,大专,做自己喜欢的事情,岗位职责：1、负责公司Web，APP&H5产品UI设计工作，提升用户体验；2、负责公司网站和平面宣传资料的设计，提升公司形象；3、负责APP产品的原型交互稿输出；4、积极参与产品分析、创意，并提出视觉交互上创造性建议；5、提供完整UI设计规范并持续完善，形成完整设计理念和风格；任职要求：面试请附个人作品或提供作品链接，谢谢。1.统招本科学历及以上，设计专业，美院最佳；2、一年以上UI设计和平面工作经验优先；有互联网电商平台产品设计经验优先考虑；3、具有良好的美术功底及良好的创意构思能力，很好把握视觉色彩与网站布局，思想敏锐活跃；4、对用户体验、交互有较深的见解与认识，精通Sketch、Photoshop、AI、Axure等相关设计软件；5、工作积极主动、逻辑清晰、关注细节、对工作有较强的责任感；,"人工智能,数据服务",50-150人,UI,郑州
UI设计师,https://www.lagou.com/jobs/7008304.html,经开区,6k-10k,郑州俊来科技有限责任公司,1-3年,大专,五险一金、项目奖金、假期补助,任职要求：1.熟悉移动端UI设计及pc端网页设计；2.有一定的pc端或网页端设计经验；3.能够完成LOGO、图标及字体等的简单设计；4.熟练使用ps、ai、sketch等设计软件中的一种或几种;5.有较强的色彩把控能力和页面布局能力;6.能够按照产品需求完成原型设计；7.有移动端小程序设计经验者优先；8.有较强的工作责任心和沟通协调能力；岗位职责：1.按照项目排期完成设计任务；2.配合产品经理完成原型设计；3.完成网页、界面等设计；,软件开发,150-500人,UI,郑州
