job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
UI设计师,https://www.lagou.com/jobs/7069614.html,崂山区,5k-10k,湖北笑联科技有限公司,3-5年,本科,互联网公司，发展前景巨大。,App和pc端页面设计。活动页面设计等。,"移动互联网,企业服务",50-150人,UI,青岛
ui经理,https://www.lagou.com/jobs/7161475.html,,10k-15k,海尔集团,3-5年,本科,大平台、工业互联网、牛人团队,1、负责公司工业互联网产品的UI视觉设计（网站、H5、APP），并可根据B端客户业务需求形成符合客户需求的UI风格产品2、与产品、策划团队合作进行客户需求设计，文案撰写，图片处理等3、负责相关产品的视觉传达和设计策略4、根据产品的设计思路设计相应配套的UI,"物联网,电商",2000人以上,UI,青岛
游戏ui设计师,https://www.lagou.com/jobs/7026446.html,市南区,15k-20k,上海敬游软件科技有限公司,3-5年,本科,极速成长 亿级用户产品 大牛带队,岗位职责：1.针对项目的需求，设计界面风格；2.负责游戏主界面、功能界面的设计和制作；3.负责游戏ICON、图标等元素设计和制作。岗位要求：1.大专及以上学历，美术类、设计类等专业优先；2.具备至少1年以上游戏UI界面的设计与制作经验；3.熟练使用Photoshop，illustrator及其它设计类软件；4.具有较强的手绘能力，独特的创意，良好的审美观；5.对用户界面所涉及到的人机交互、操作逻辑、美观的整体设计有一定的理解。,游戏,150-500人,UI,青岛
ui设计师,https://www.lagou.com/jobs/7087530.html,崂山区,10k-20k,海尔集团,3-5年,本科,五险一金 带薪年假 发展空间大,岗位职责1. 负责业务线UI主视觉输出和风格把控，参与分析如何通过设计来帮助业务提升数据，并落实执行2. 与项目团队配合，参与设计体验，对UI效果进行优化改进3.参与项目前期讨论，和产品一起构思与创意，提供视觉解决方案4. 时时分析相关数据结果，并作出设计调整岗位要求1.专业要求：设计、美术等相关专业2.学历要求：统招本科以上3.技能要求：熟练掌握sketch、ai、ps等图形设计软件4.相关经历：3年以上设计行业从业经验，具备优秀的美术功底5.能力要求：具备良好的沟通能力，善于总结，有较强的学习能力，对时下流行的交互方式和设计有研究,"物联网,电商",2000人以上,UI,青岛
UI设计师,https://www.lagou.com/jobs/7124032.html,城阳区,5k-10k,青岛东度网联智能科技有限公司,3-5年,本科,五险一金,1. 熟悉移动端开发规范2. 有自己的设计风格3. 会简单动图和手绘优先,软件开发、电商,15-50人,UI,青岛
U3D客户端开发工程师,https://www.lagou.com/jobs/7026444.html,市南区,15k-25k,上海敬游软件科技有限公司,3-5年,不限,极速成长 亿级用户产品 大牛带队,岗位要求：1 设定游戏界面视觉创意风格。2 按照已定界面风格的原形标准，制定视觉规范完成各级界面的延续性设计。3 完成界面相关标志.图标.图素的设计与绘制。4 完成界面相关的动态.动画设计。5 跟进设计效果最终在产品的实现，保证设计品质与实现品质一致。6 有效管理界面资源，对界面编辑器等工具方法进行合理优化。7 熟悉unity3d能够对实际效果进行调优。8 能够把控UI相关的外包美术品质。 任职资格：1大专及以上美术院校或其他相关院校毕业，专业不限。2具有扎实的美术功底，良好的色彩搭配感.及设计造型的能力。3有较强的手绘能力，能独立进行精绘界面中的设计图素与图标。4熟练使用Photoshop，Illustrator等相关制图软件，5从事相关工作3年以上，至少三款手游项目界面开发经验，有主导进行欧美风格游戏产品界面设计经验。6热爱游戏事业，关注行业变化。7工作态度积极，具有良好的工作协作能力.团队合作精神，善于沟通。8具有良好的应变能力与抗压能力。,游戏,150-500人,UI,青岛
WEB前端工程师,https://www.lagou.com/jobs/3395351.html,市北区,9k-18k,山东海博科技信息系统股份有限公司,5-10年,本科,"五险一金,员工旅游,专业培训,带薪年假",岗位职责：1、负责项目前端开发工作，配合团队进行页面优化，完成前端架构；2、配合开发工程师，实现项目UI和交互方面的开发需求，确保产品具有优质的用户体验；3、研究新的前端技术并应用到产品中；4、参与讨论制订Web前端框架。岗位要求：1、理解Web标准、浏览器端原理以及性能优化等方面的知识；2、有至少两年以上使用(X)HTML、CSS和Javascript开发经验；3、熟练使用ps，能够独立完成网页切图，并使用DIV+CSS进行网页框架搭建以及静态页面制作等工作；4、熟悉不同浏览器下的兼容性调整（IE6、7、8、9、FF、Chrome）；5、熟悉常用的JavaScript框架、类库，至少熟练掌握JQuery和Extjs；6、有基于Ajax应用开发经验，有JSP开发经验或熟悉JSP者优先；7、有互联网产品开发经验者优先。,"移动互联网,信息安全",50-150人,UI,青岛
用户体验（UX/UE),https://www.lagou.com/jobs/3395333.html,市北区,12k-24k,山东海博科技信息系统股份有限公司,不限,本科,"系统培训,员工旅游,五险一金,带薪年假","岗位职责：1.主导用户体验设计，全面负责公司产品整体架构设计和风格的把握；2.负责对通过竞品服务、数据分析、用户调查等方式，不断更新产品，提升产品与市场的匹配度，提高APP用户活跃度和黏性；3.研究用户行为和使用场景，优化现有产品的设计缺陷并提出优化解决方案；4.参与产品的规划、项目的原型设计、产品流程设计及优化、UI界面等；5.跟进UI设计的整个流程，对每个流程进行可用性设计和测试，提供专业意见。任职要求：
 本科以上学历，心理学、计算机或美术设计等相关专业优先；
 精通交互设计、视觉设计、需求分析、可用性工程的相关知识与技能；5.对互连网设计趋势与流行有很强的敏锐度；
  同理心，真诚的去思考并帮助用户解决他们的实际问题，使我们的设计决策能更好的聚焦于用户目标；
 洞察力敏锐，对人性心理需求与用户行为有深度关注；
 具备管理、激发团队成员的能力，营造良好的团队氛围，能带领团队有效达成目标，有五年以上互联网公司UED工作经验最佳，其中2年以上的团队管理经验。","移动互联网,信息安全",50-150人,UI,青岛
软件开发工程师-Android,https://www.lagou.com/jobs/6758716.html,黄岛区,10k-20k,广东讯飞启明科技发展有限公司,3-5年,本科,具有竞争力的薪资,职位描述：1.从事Android平台上应用软件开发工作，包含新功能及新组件的需求分析、开发、问题调试等；2.根据开发流程完成开发任务并解决问题，撰写相应的开发文档；3.独立完成移动终端产品应用的功能模块开发；岗位要求：1.二本及以上学历，3年以上Android开发经验；2.熟悉Android下网络通信机制，对Socket通信、TCP/IP和http/https有较深刻的理解和经验；3.熟悉Android开发平台及框架，熟悉Android SDK开发，熟悉多线程，熟悉UI布局和控件的使用；4.有扎实的Java语言基础，熟练使用Idea、Eclipse、Android Studio等开发工具；5.熟练掌握android平台UI设计，熟悉常用布局，熟悉主流第三方库；6.具有较强的沟通能力和执行力，能主动思考及推进工作。,教育,150-500人,UI,青岛
android开发工程师,https://www.lagou.com/jobs/7209800.html,黄岛区,10k-20k,青岛国信城市信息科技有限公司,3-5年,本科,五险二金，免费三餐,"任职资格：1.根据业务需求负责项目的模块设计与开发，完成安卓移动端逻辑与功能开发，并保证良好的用户体验。负责公司移动端产品研发，编写高质量代码，优化App端性能；2.解决开发过程中的技术问题，优化系统性能和架构，提高系统的可用性，可靠性和可扩展性；3.与设计团队紧密配合，实现设计师的设计想法；4.负责公司现有项目和新项目的修改调试和开发工作；5.针对测试过程中发现的缺陷进行定位并修复；6.处理业务部门以及本部门提出的问题，提供技术支持；7.提出产品完善、产品市场竞争力提高的改进方案或意见；8.完成上级领导交办的其他工作。任职资格：学历：本科学历及以上专业：计算机、软件工程、数据等相关专业；年龄：不限；工作技能：1.3年及以上Android端开发经验。2.熟练掌握JAVA, 熟悉Android SDK, 熟悉Android的UI/网络/数据库框架；3.熟悉常见设计模式，有较强的架构能力，能独立负责产品的架构规划和架构演进；4.有移动端混合模式开发经验，熟悉ReactNative、Flutter、Weex等跨平台框架中任意一种；5.有良好的编程习惯, 代码结构清晰, 命名规范。","人工智能,区块链",2000人以上,UI,青岛
