job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Android开发工程师,https://www.lagou.com/jobs/3692942.html,朝阳区,18K-20K,北京易思卓科技有限公司,应届毕业生,本科,"牛人带领,免费零食,定期旅游,五险一金",职位描述：岗位描述： 1. 客户端相关产品研发工作，核心模块代码编写； 2. 参与产品的算法改进、构架优化等工作； 3. 产品相关维护工作 任职资格： 1. 211/985 院校计算机相关专业本科及以上学历 2. 扎实的java语言基础 3. 具有较强的逻辑思维能力和自学能力 4. 责任感强，良好的团队合作精神 5. 有Android开发经验者优先,"移动互联网,社交",15-50人,android,北京
Android开发工程师,https://www.lagou.com/jobs/4538151.html,海淀区,20k-40k,北京达佳互联信息技术有限公司,1-3年,本科,"大牛团队,产品超赞,薪酬福利好,弹性工作",工作职责：1.负责Android客户端设计与开发2.负责基础模块和组件的研发和维护3.关注性能，提升客户端用户体验任职资格：1.良好的编程风格，扎实的编程和数据结构算法基础；深入理解面向对象编程思想，具有较强的设计能力；2.深入理解Android SDK NDK，熟悉Android平台体系结构；精通各种UI控件，能够实现复杂的界面交互；3.熟练掌握Android平台下的高性能编程及性能调优；4.具有较强的分析和解决问题的能力；热爱互联网新技术，了解并探索业界技术动向5.有强烈的责任心和团队精神，善于沟通和合作6.具有音视频、直播、OpenGL相关开发经验者优先,文娱丨内容,2000人以上,android,北京
android开发工程师,https://www.lagou.com/jobs/7217631.html,朝阳区,10k-20k,北京爱家营企业管理有限公司,3-5年,不限,"团队协作,人性管理,环境好,上升空间大","岗位职责:
 负责相寓APP开发
任职要求：
 有扎实Java语言基础
 精通Android UI布局开发，动画开发，多线程开发
 有地图相关开发经验优先
 熟悉使用多种设计模式，扎实的编程功底和良好的编程习惯，愿意主动优化并改进项目代码
 有独立或者主导开发APP的经验，熟悉APP的整个发布流程
 有良好的沟通能力，工作积极主动，愿意与团队成员共同进步","移动互联网,电商",2000人以上,android,北京
高级Android开发工程师,https://www.lagou.com/jobs/6141973.html,朝阳区,25k-35k,北京三快在线科技有限公司,3-5年,本科,技术实力强,,消费生活,2000人以上,android,北京
安卓开发工程师,https://www.lagou.com/jobs/6842472.html,海淀区,15k-30k,北京达佳互联信息技术有限公司,3-5年,本科,六险一金、扁平化管理、免费三餐、房补,岗位职责：    1、负责Android客户端设计与开发；    2、负责基础模块和组件的研发和维护；    3、关注性能，提升客户端用户体验。    任职资格：    1、熟悉java语言；    2、熟悉Android开发平台及框架原理，精通Android的基本组件使用；    3、熟悉Android的底层机制；    4、熟练使用多种常用设计模式，具扎实的编程功底和良好的编程习惯；    5、良好的算法和数据结构基础；    6、有独立或者主导开发App的经验，熟悉APP的整个发布流程。,文娱丨内容,2000人以上,android,北京
android开发工程师,https://www.lagou.com/jobs/7021614.html,海淀区,20k-40k,北京车之家信息技术有限公司,5-10年,本科,平台大 氛围好 福利优,"Android高级开发工程师岗位职责：1、参与汽车之家App多媒体业务相关功能开发；2、完成核心模块的设计，并根据设计推动落地；3、疑难问题的分析及解决；4、提升优化性能，提高App用户体验；5、定期技术分享与培训； 岗位要求：1、3年以上Android平台开发经验，良好的编程习惯，精通数据结构和面向对象程序设计，代码高效整洁；2、精通Android各类UI组件、图像动画、网络、文件系统等模块的使用和开发；3、熟悉Android多媒体机制，有视频软件项目经验者优先;4、熟悉Android应用开发框架、熟悉Android UI及自定义控件开发，熟练使用Android SDK、熟练使用SQLite数据库；5、精通Android的线程机制，能够熟练使用各种安悉Android系统的线程类，及service、广播等；6、精通Android平台及框架运行原理以及应用程序的设计和开发，有过大型项目架构、优化和重构经验的优先；7、性格开朗、沟通积极主动，善于与人沟通、合作，勤于思考总结,有责任感、团队合作精神良好；",汽车丨出行,2000人以上,android,北京
高级Android开发工程师,https://www.lagou.com/jobs/6435195.html,朝阳区,20k-35k,雪球（北京）技术开发有限公司,1-3年,本科,财经知名公司，福利好，氛围好,"1、承担雪球APP android客户端的开发任务, 参与需求讨论, 编写高质量的代码和文档；2、开发并维护公共库、性能调优；任职要求1、 熟悉 Java、 kotlin 等语言, 熟练使用Android Studio等开发工具，熟悉Git 等版本控制工具；2.、熟悉多种主流 Android 框架和线程机制, 熟悉 Android 应用性能优化，内存优化等；3.、善于沟通，有良好的文档写作能力，口头沟通能力，良好的团队合作精神，良好的抽象思维，优秀的工程能力；4.、热爱开源、喜欢折腾，有过iOS、前端、服务端开发经验的优先。",金融,150-500人,android,北京
android开发工程师,https://www.lagou.com/jobs/7084442.html,海淀区,20k-30k,北京车之家信息技术有限公司,3-5年,本科,16薪 八险一金 办公环境好 带薪年假多,"岗位职责：1、提升软件性能，质量，效率等多维度的技术指标和提高App用户体验；2、完成核心模块的设计，并根据设计推动落地；3、疑难问题的分析及解决；4、定期技术分享与培训；任职要求：1、本科及以上学历2、5年以上Android平台开发经验，良好的编程习惯，精通数据结构和面向对象程序设计，代码高效整洁；3、精通Android各类UI组件、图像动画、网络、文件系统等模块的使用和开发；4、熟悉Android应用开发框架、熟悉Android UI及自定义控件开发，熟练使用Android SDK、熟练使用SQLite数据库；5、精通Android的线程机制，能够熟练使用各种安悉Android系统的线程类，及service、广播等；6、精通Android平台及框架运行原理以及应用程序的设计和开发，有过大型项目架构、优化和重构经验的优先；7、熟悉JSBridge原理，或React Native、Flutter等跨平台实际经验优先；8、性格开朗、沟通积极主动，善于与人沟通、合作，勤于思考总结,有责任感、团队合作精神良好",汽车丨出行,2000人以上,android,北京
Android开发工程师,https://www.lagou.com/jobs/6741316.html,东城区,15k-30k,北京默契破冰科技有限公司,3-5年,本科,七险一金，弹性不打卡，免费午餐，季度旅游,"岗位职责:1.负责玩吧Android App的开发和维护；2.负责玩吧Android底层基础模块和整体架构的优化；3.持续的从技术角度提升App易用性，保证App稳定性；4.根据产品设计，进行高质量的软件开发和持续性能优化；5.解决各种技术难点。任职要求:1.本科及以上学历,熟悉Java语言、Android SDK和NDK，熟悉Android平台体系结构,阅读过Android系统部分源码；2.精通Android App开发，熟练掌握常见的开源框架及其设计原理，优秀的面向对象化编程思想；3.有基础框架设计、公共组件开发、App重构和优化等实践经验，熟练掌握Android 基础框架原理，熟练掌握网络通信机制；4.有多个完整的Android App项目经验，至少参加过一个完整的Android APP的技术框架搭建、关键技术选型工作；5.有强烈的责任心和团队精神，善于沟通；6.加分项，有IM开发经验。",社交,150-500人,android,北京
android开发工程师,https://www.lagou.com/jobs/5939471.html,海淀区,30k-50k,腾讯科技（深圳）有限公司,3-5年,本科,大平台,岗位职责：1、负责腾讯视频产品的研发和性能优化，完成高质量编码和测试； 2、负责与产品同学配合，深度参与产品需求讨论和功能定义； 3、负责参与移动技术框架的设计选型，实现关键技术点；岗位要求：1、本科及以上学历，3年以上Android开发经验； 2、熟练使用Git，Android Studio及性能调优工具； 3、熟练使用Android常用API，理解系统体系结构及UI绘制原理； 4、精通Java多线程开发，熟悉Http/Socket工作原理，常用数据交换格式； 5、积极乐观，责任心强，具有良好的团队沟通与协作能力； 6、有系统源码研究、架构设计及自定义UI控件经验优先； 7、有较好的产品思维优先；,社交,2000人以上,android,北京
