job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
android开发工程师,https://www.lagou.com/jobs/6921575.html,江宁区,12k-24k,南京新知艺测科技有限公司,3-5年,本科,加班补贴 弹性工作 双休,工作职责：1. 负责公司教育类APP应用设计和研发2. 负责架构的改进和性能优化3. 负责软件开发过程中的问题分析和总结，提供建议帮助改善研发流程职位要求：1.良好的Java语言基础，熟悉常用数据结构和算法，熟悉设计模式；2.熟悉Android基础架构、组件、UI、性能优化、内存优化等，对于Android的新版本新特性有一定程度的了解；3.熟悉Android系统框架、熟悉下列一个或多个模块机制原理AMS、WMS、SurfaceFlinger、View体系架构等，或其他Framework模块有开发经验者优先，或者具有丰富Android应用开发经验，且对framework学习和开发有强烈兴趣；4.熟练使用常用调试工具Android Studio、Eclipse、GDB，具备良好的分析解决问题的能力，能独立承担任务，有良好的进度把控能力；5.具备良好的团队精神和沟通意识，责任心强，工作认真细致，有良好的抗压能力；,教育 移动互联网,15-50人,android,南京
安卓开发工程师,https://www.lagou.com/jobs/5433580.html,雨花台区,15k-25k,众能联合数字技术有限公司,3-5年,本科,独角兽企业、竞争力薪酬,"职责描述：1、根据产品需求开发相关的移动产品,并验证和修正测试中发现的问题。2、分析了解客户需求，制定移动端技术方案，参与移动端产品设计。3、学习和研究新技术以满足产品的需求，根据开发过程中的体验对产品提出改进建议。4、配合市场等其他部门，提供产品相关技术支持任职条件：1、本科及以上，25-35岁2、4年以上互联网或软件企业移动APP开发经验3、熟悉Android SDK，并且开发过2款以上成熟产品，熟悉 Android 应用打包、签名、验证和安装机制。对Android系统应用管理、进程管理、内存管理机制有深入理解；4、熟悉Android平台网络数据传输，本地数据存储，以及UI框架部分；熟悉与常见网络地图、位置服务等的结合开发。5、具有微信应用开发能力和经验。具有微信电商开发经验者，优先。6、熟悉JAVA开发者优先。","移动互联网,企业服务",500-2000人,android,南京
android开发工程师,https://www.lagou.com/jobs/6470019.html,雨花台区,15k-30k,掌阅科技股份有限公司,3-5年,本科,"工作氛围好,发展空间大",1、负责掌阅客户端的功能模块以及框架开发； 2、负责对安卓前沿技术进行预研与引入从而提升产品体验；3、负责对核心与重点技术进行攻关，保障项目顺利完成；4、根据开发过程中的体验对产品提出改进建议，保证开发出体验好，稳定性好的软件；任职要求1、计算机或相关专业本科及以上学历； 2、熟悉Android开发，3年以上Android应用开发经验，深入了解Android系统以及framework； 3、精通Android平台的UI组件、图像动画、数据库、文件系统、多线程等模块的使用与开发； 4、熟悉Xml、Json，熟悉网络编程等； 5、熟练使用Android Studio等开发工具，熟悉svn Git等版本控制工具； 6、有较强的学习能力和问题分析能力，可独立调试解决问题,文娱丨内容,500-2000人,android,南京
Android高级开发工程师,https://www.lagou.com/jobs/6179327.html,玄武区,11k-22k,南京贝湾信息科技有限公司,不限,不限,"团队棒,个人成长快",关于扇贝团队：扇贝是国内知名的在线学习平台，已经拥有过亿用户，同时持续盈利。我们在分布式架构，自然语言处理等技术方面也有长期积累，结合精良的内容制作，能够为用户提供独特和优秀的产品服务。- 我们会有各种分享会，产品、设计、技术、运营、英语大家一起交流；- 我们有一个专门的活动室，工作之余可以与小伙伴一起健身、运动；- 我们每天提供下午茶；- 我们提供人体工程学座椅， 办公电脑是Mac。岗位要求：- 热爱编程，技术扎实，对高质量代码有着持续不断的追求。- 熟悉常用Android开发技术，包括但不限于Java、网络、并发、UI、性能、图片加载等。- 基础良好，对计算机系统、数据结构和算法有一定的认知，能够胜任技术预研与选型工作。- 熟悉软件迭代开发流程，理解软件工程思想，具备良好的工程能力与团队协作能力。- 对oop、代码质量、代码复用有一定的理解。- 对业务具有敏感度，有一定的领域分析能力。岗位职责：-负责管理app技术团队，参与制定并负责app的迭代，并对开发质量负责；-负责app相关产品的设计、开发和维护；-参与产品需求的沟通、讨论和协调；-编写相关技术文档等工作；-参与分析和解决产品开发中遇到的问题。,"移动互联网,教育",150-500人,android,南京
Android开发工程师,https://www.lagou.com/jobs/6179293.html,玄武区,9k-16k,南京贝湾信息科技有限公司,不限,不限,"团队棒,个人成长快",关于扇贝团队：扇贝是国内知名的在线学习平台，已经拥有过亿用户，同时持续盈利。我们在分布式架构，自然语言处理等技术方面也有长期积累，结合精良的内容制作，能够为用户提供独特和优秀的产品服务。- 我们会有各种分享会，产品、设计、技术、运营、英语大家一起交流；- 我们有一个专门的活动室，工作之余可以与小伙伴一起健身、运动；- 我们每天提供下午茶；- 我们提供人体工程学座椅， 办公电脑是Mac。岗位要求：- 熟悉常用Android开发技术，包括但不限于Java、网络、并发、UI、性能、图片加载等；- 熟悉android开发的常用框架，功能和api；- 了解oop、代码质量、代码复用，软件工程思想；- 了解常用设计模式，数据结构和算法。岗位职责：-负责app相关产品的设计、开发和维护；-参与产品需求的沟通、讨论和协调；-编写相关技术文档等工作；-参与分析和解决产品开发中遇到的问题。,"移动互联网,教育",150-500人,android,南京
安卓开发工程师,https://www.lagou.com/jobs/6932662.html,江宁区,12k-22k,孩子王儿童用品股份有限公司,3-5年,本科,平台好 福利待遇好,"一、工作职责：1、移动端程序开发：安卓、iOS端APP程序开发；安卓、iOS端SDK程序开发；2、应用集成解决方案应对：应用集成解决方案需求分析、开发；3、解决用户问题：能分析客户出现的与软件相关的问题，译出问题原因，并找到合理的解决方法；能独立处理客户的问题（包括在客户现场），并能解决客户问题；若需要其他部门配合解决，能提出解决问题的方案；4、软件方面技术资料编写：收集整理、编写新产品、新技术软件方面技术资料；整理更新现有软件方面技术资料；整理编写应用集成解决方案技术资料；二、任职条件：1、本科以上学历，计算机软件相关专业；2、精通Android开发平台及框架，一年以上实际开发经验；3、熟练掌握C/C++或者Java开发语言和环境；4、从事过安卓/iOS系统下开发，熟练掌握后端开发，熟悉了解前端开发，两年以上相关开发工作经验；5、熟悉HTML/WML/HTTP,具有良好的编程思想。",消费生活,2000人以上,android,南京
Android开发工程师,https://www.lagou.com/jobs/7024885.html,雨花台区,12k-20k,易宝软件科技（南京）有限公司,3-5年,大专,五险一金加班补助定期体检免费班车项目奖金,技能要求：AndroidUI，SocketAndroid岗位级别：中高级1、计算机及相关专业，大专及以上学历，3年及以上全职开发工作经验，参与过2个以上完整的移动互联网项目；2、了解Android多线程编程原理，熟悉线程池的使用；3、熟悉开源网络框架和图片缓存框架的使用，了解过开源框架源码；4、对Android的UI、组件、性能优化、内存优化等有深入实践；5、熟悉Android下网络HTTP协议、socket协议编程；6、了解混合框架开发，了解Android与H5交互的机制；7、熟练掌握Android平台上APP性能优化的工具和方法；8、具备较强的责任感和主动性，良好的沟通能力、团队协作精神；9、熟悉google、facebook等国外第三方框架者优先。,移动互联网,150-500人,android,南京
android开发工程师,https://www.lagou.com/jobs/6901184.html,雨花台区,13k-25k,易宝软件科技（南京）有限公司,3-5年,大专,舒适办公环境 、活泼可爱90后的小伙伴,1、扎实的Android基础，熟悉常见的Android开发模式，熟悉Android各大组件和版本之间的差异。2、熟悉多线程开发，异步开发的注意事项和开发模式。3、思路清晰、有良好的独立分析问题及解决问题的能力。4、3年及以上相关工作经验，理工科专业。5、有热情、主动性和责任心强。,移动互联网,150-500人,android,南京
android开发工程师,https://www.lagou.com/jobs/7122087.html,雨花台区,11k-14k,江苏飞搏软件股份有限公司,3-5年,本科,清晰的职业通道,"岗位职责： 1. 根据项目具体要求, 承担模块设计、开发任务, 按计划完成任务目标; 2. 负责公司移动Android应用产品的研发, 编写高质量的代码; 3. 负责公司部分Android平台SDK和模块的研发优化工作，以及某些模块的移植工作； 4. 能够胜任某个产品移动端负责人的职责。 任职资格： 1、计算机或相关专业本科及以上学历. 2、熟悉android开发，3年以上android应用开发经验，深入了解android系统，java、AndroidStudio、AndroidSDK 3、精通android平台的ui组件，数据库，文件系统，多线程等模块的使用与开发 4、熟悉xml，json，熟悉网络编程等优先， 熟悉Android的常用API, 灵活掌握各种组件和控件 5、了解Android的基本运行时机制，有较强的组件、控件定制能力 6、扎实的抽象编程/设计能力, 掌握常用的设计模式, 拥有较高的编程质量 7、掌握H5开发、有跨平台开发经验者优先 8、有较强的学习能力和问题分析能力，可独立调试解决问题","信息安全,其他",150-500人,android,南京
Android开发工程师,https://www.lagou.com/jobs/4545234.html,鼓楼区,8k-16k,南京联创信息科技有限公司,1-3年,本科,开发框架,岗位职责 1. 负责手持终端的开发环境搭建，需求分析和架构设计讨论； 2. 完成手持终端系统功能模块开发； 3. 撰写相关开发文档； 4. 参与产品单元测试，后期产品升级维护。 5. 按照项目计划在保证质量的前提下、按时完成开发任务； 6. 负责与服务器端调试，确保应用质量。任职资格：1．熟练掌握java技术，熟悉面向对象编程设计，具备扎实的编程基础； 2．1年以上Android平台开发经验； 3．熟悉Android应用开发框架及Activity生命周期、熟练进行Android UI/Framework开发技能、熟练使用Android SDK、熟练使用SQLite数据库； 4．熟悉Android各种widget组件，能根据项目要求开发自定义控件； 5．熟悉Android下网络通信机制，对Socket通信、TCPIP、http和Xmpp有一定理解和经验； 6．拥有良好的代码习惯，结构清晰，命名规范，逻辑性强。,"移动互联网,教育",150-500人,android,南京
