job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Android开发工程师,https://www.lagou.com/jobs/6650030.html,西青区,10k-20k,天津畅索软件科技有限公司,3-5年,本科,五险一金，带薪年假，员工体检，团建旅游,工作职责：1、根据需求负责android平台framework层Service、JNI、app等相关内容开发调试；2、负责Android系统的优化、精简和跨平台移植等工作；3、负责Android系统的维护和扩展，以及相关问题分析定位；4、负责Android系统的新技术跟进和相关模块的文档编写；任职资格：1、熟悉Android框架、JNI开发、熟练掌握Java、C和C++语言开发；2、具备1年以上Android framework层的独立开发经验；3、熟悉android系统Service、Binder、callback等机制；4、熟练使用android调试工具，能快速定位问题；5、工作勤奋、敬业、积极主动、具备强烈的责任心和团队合作精神；,软件开发,150-500人,android,天津
Android开发工程师,https://www.lagou.com/jobs/6012664.html,河西区,15k-20k,中交智运有限公司,3-5年,本科,央企福利,岗位职责：1、负责android应用的迭代、修改、优化和维护工作。2、参与项目需求分析、产品功能讨论以及技术方案设计。3、完成相关组件、关键机制、流程等文档的沉淀。4、负责高质量的设计和编码，参与项目架构设计与实现。5、与UI设计团队紧密配合，保证产品用户体验。任职要求：1、全日制本科及以上学历，中共党员优先考虑，计算机相关专业，3年以上android开发经验；2. 具有扎实的Java语言开发基础和良好的编码习惯，熟悉常用的数据结构以及算法；3. 熟练掌握Android的UI编写、控件、以及framework和API的使用，能封装复用常用组件、降低代码耦合；4. 熟悉常用的安卓开发框架，熟悉热修复技术，插件化开发；5、具备良好的团队合作精神和创新意识，较强的责任心；可承受一定工作压力。,"移动互联网,物流丨运输",2000人以上,android,天津
android开发工程师,https://www.lagou.com/jobs/7035075.html,北辰区,8k-13k,天津鹏达金融外包服务有限公司,3-5年,本科,法定节假日，前景好,工作职责：1.负责公司android端APP的开发以及维护；2.负责公司项目新的需求分析，功能设计及研发工作;3.编写相关的开发文档，测试文档等；任职要求：1.统招本科及以上学历，计算机或软件工程相关专业，3年以上 android开发经验；2.熟练掌握android架构，及各组件及类库的使用；3.熟悉TCP/IP网络通信，多线程IO模型等；4.熟悉地图应用（定位，轨迹，里程计算等）的开发与优化；5.有责任感，具有较强的分析和解决问题的能力，能够独立完成android端的开发及调试工作；,金融,150-500人,android,天津
Android工程师(J10282),https://www.lagou.com/jobs/7080124.html,滨海新区,8k-10k,中标软件有限公司,1-3年,本科,国有企业 薪资待遇高 发展前景好,,"信息安全,移动互联网",150-500人,android,天津
移动前端开-Android/ios(J23156),https://www.lagou.com/jobs/6650764.html,红桥区,15k-30k,捷信消费金融有限公司,不限,本科,五险一金、带薪年假、补充医疗保险,Duties and Responsibilities:Requirements:Staff Welfare:,金融,2000人以上,android,天津
Android高级研发工程师,https://www.lagou.com/jobs/6838583.html,西青区,15k-20k,天津市莱斯宝科技有限公司,3-5年,大专,海外市场，五险一金，合资公司，年终奖金,职位要求：工作职责：1、具有4年以上Android实际开发经验，计算机或相关专业专科以上学历；2、精通Java语言，熟练掌握数据结构、算法及软件设计等；3、熟悉Android平台UI设计，熟悉常用布局，包括各种控件、布局方式、动画和自定义控件的使用方法；4、熟悉Android下网络通信机制，对Socket通信、TCP/IP和http/https有一定理解和经验；5、熟悉常用Android应用开发框架，并了解其实现原理；6、熟练运用Android的API，掌握Android中UI设计、后台运行、数据存储、分辨率、版本适配等的原理；7、具备良好的面向对象设计思想，熟悉软件工程和敏捷开发模式；具备以下条件者优先：1.有多终端开发、服务端开发、跨平台开发经验者优先；2.具备多个核心模块的设计实现经验，且项目成功上线，运行良好；3.有优秀项目案例或者优秀Android框架设计经验优先。团队亮点：1、优秀+无限潜力的创业公司，我们是高速奔跑，逆风飞翔，持续增长的团队；2、我们价值观驱动，客户**，真诚客观，我们拥有一群主动承担责任，合作共赢的伙伴；3、大家勤恳板砖，努力生活，我们测试是软妹纸，程序员是文艺男，周末邀你一起打游戏；4、在饭团，你将感受到轻松的人际氛围，扁平化的管理，舒适的办公环境和技术大牛们一起成长的快乐。 职位亮点：1、纯粹的技术氛围，团队都是代码爱好者，我们在代码上相亲相爱；2、业务发展迅速，涉及很多复杂的业务系统搭建与设计，更多的挑战在等你；3、有深度的自营产品，多变的海外市场，让你拥有更好的产品思维和逻辑；4、随着公司的高速可持续发展，更多资本进入，获得巨大的成功和回报。 我们希望你:1、“以梦为马”：愿意接受挑战，是有梦想的程序猿；2、“细节控”：追求细节和完美的“处女座”；3、“不拖延症”：快速解决实际问题，没有拖延症；4、“ 超级Geek ”：以创新技术为使命的人；5、“好奇心强”：关注前沿领域，对新技术充满热情。 工作环境:1、养生绿植3、舒适键盘4、Mac办公设备5、零食屋6、娱乐室（新办公场所即将上线） 员工福利:1、五险一金2、年终奖3、带薪年假4、节日福利5、每周三下午茶6、度团建节日尾牙7、深夜滴滴补助  8、公司烛光晚餐补助   岗位职责：1、负责产品Android端应用的架构和开发；2、主导技术攻坚；,"移动互联网,消费生活",50-150人,android,天津
android开发工程师,https://www.lagou.com/jobs/6620327.html,武清区,10k-20k,玛雅六月新（天津）电子商务集团有限公司,5-10年,本科,五险一金，有双休，免费住宿,职责：1.参与海外营销APP产品讨论，制定产品计划，验证产品效果；2.协调团队成员，保证每周的产品快速迭代；3.解决产品技术难题，及时采纳新技术，保证团队的技术领先；4.把用户当粉丝，对用户反馈的问题，及时响应和解决。要求：1.四年以上Android开发经验；2.作为主力开发过至少一个Android应用，有多终端适配经验；3.深入理解面向对象的设计模式，对数据结构、基本算法熟练掌握；4.了解Android平台内存管理机制、进程管理机制、任务管理机制；深入了解Android UI事件传递、布局、绘制等原理，能够编写自定义UI控件；5.熟悉Android下网络通信机制，对Socket通信、TCP/IP和HTTP有一定理解和经验；,电子商务,2000人以上,android,天津
初级安卓开发工程师,https://www.lagou.com/jobs/7163714.html,北辰区,5k-8k,天津市拓甫网络科技开发有限公司,应届毕业生,本科,五险一金、周末双休、年底双薪，年度体检，,岗位职责：1、负责android客户端软件的产品开发与维护；2、根据项目任务计划按时完成软件编码工作。任职要求：1、应届毕业生，全日制本科（统招二本）及以上学历，计算机相关专业；2、 熟悉Java，具有Android应用程序开发经验；3、良好的编程风格，扎实的编程基础和数据结构算法基础；4、有强烈的责任心，工作积极主动，善于沟通和团队合作；      5、综合素质优秀者条件可适当放宽。,"移动互联网,信息安全",50-150人,android,天津
安卓android,https://www.lagou.com/jobs/6788498.html,滨海新区,15k-20k,狮桥融资租赁（中国）有限公司,3-5年,大专,互联网 人才公寓 六险一金,"一、任职要求：1、大专及以上学历，计算机或相关专业，3年以上android开发经验；2、熟悉 React Native开发经验者优先；3、精通常用软件架构模式，熟悉数据结构，多线程，运行时、动画、内存管理、本地存储、网络   编程（Socket、http/webservice）等；4、具备优秀的沟通和协调能力，良好的服务精神及团队合作能力，能够承受较大工作压力；5、发布过作品者,有物流产品开发经验者优先考虑。二、岗位职责：1、负责公司产品android端开发，上线及维护迭代；2、能按照项目计划，按时提交高质量的代码，完成开发任务；3、参与移动平台软件框架的研究、设计和实现、关键技术验证和选型等工作；4、规范编写设计和维护文档；负责相关技术文档编写，并协助相关产品经理进行相关系统产品文档的编写；三、福利待遇：1.工资：15-20K，单双轮休；2.六险一金（全国任选购买地），带薪休假（法定假日、年假、婚假、产假、陪产假等），提供免费人才公寓;3.在职提升：公司为员工提供各种培训机会，狮桥学院根据员工的岗位类别，组织各种业务、工作、能力提升等相关内部培训与户外拓展，助力员工晋升发展；4.公司在不同季度将举办各类文娱活动，增进部门间沟通，愉悦身心；【备注】此招聘为公司直招，狮桥物流及其下属分公司在招聘过程中不收取任何费用、押金等，敬请各位求职者知晓，以免受骗损失财物。狮桥物流期待您的加入！若有意向请直接投递简历，若通过筛选，我司将在5个工作日内安排您进行相关面试！","金融,物流丨运输",2000人以上,android,天津
android开发工程师,https://www.lagou.com/jobs/7183782.html,东丽区,5k-10k,天津市联桥智能科技有限公司,不限,不限,移动端开发,1、负责Android端软件的设计、开发和维护；2、精通Android多线程、各类UI组件、图像动画、网络、文件系统、定位等模块的使用和开发;3、精通Android的线程机制，能够熟练使用各种安悉Android系统的线程类，及service、广播等;4、负责Android产品的性能优化、兼容性优化和故障排查等；5、拥有摄像头控制，视频处理，文件流，地图定位，通讯，直播等开发经验发经验优先 ;,物流丨运输,15-50人,android,天津
