job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
高级Android开发工程师(J10524),https://www.lagou.com/jobs/5831089.html,无锡新区,8k-15k,朗新科技股份有限公司,3-5年,本科,安卓,"工作职责:1、参与公司移动开发平台研发和项目开发，提供合理的技术框架，对实现方案评估；2、负责公司产品核心功能的代码编码；3、编写可复用的组件，并持续迭代；4、参与新技术探索、推进系统架构的演化；5、培养新人，制定培训计划；任职资格:1、掌握android常用的关键技术，如内存优化、Dalvik和ART虚拟机的整体框架、四大组件、网格操作、数据库操作等；2、具备有项目插件化、跨平台开发（H5）经验和技术能力，并在项目中使用并完善；3、熟练使用JUnit等进行单元测试及集成测试；4、熟练使用Gradle构建工具；5、熟练掌握常用的第三方框架，并了解部分原理，如RxJava,OkHttp，EventBus，Butterknife等；","移动互联网,企业服务",2000人以上,android,无锡
安卓开发工程师,https://www.lagou.com/jobs/7073968.html,新吴区,12k-24k,北京字节跳动科技有限公司,不限,本科,"六险一金,扁平管理,餐补,租房补贴",,文娱丨内容,2000人以上,android,无锡
android开发工程师,https://www.lagou.com/jobs/7183842.html,无锡新区,10k-14k,萨孚凯信息系统技术（北京）有限公司上海分公司,3-5年,本科,有发展空间,1. 计算机科学及相关专业本科毕业或以上2. 2-3年以上Android上软件开发经验，负责Android软件的开发及设计3. 2-3年以上Java/C++等面向对象的开发经验4. 英语CET-4以上，能够进行英文听说读写5. 熟悉网络协议栈，有web开发经验优先6. 较好的沟通和学习能力,"移动互联网,电商",2000人以上,android,无锡
Android开发工程师,https://www.lagou.com/jobs/7176021.html,无锡新区,8k-15k,华勤通讯技术有限公司,1-3年,本科,Android手机系统开发,工作职责：1，负责Android应用层客户需求的可行性评估、设计、编码及调试工作；2，维护和优化对应的模块，相关问题分析、解决和攻关；3，相关技术文档整理和输出。岗位要求：1，计算机，通信，电子相关专业本科及以上学历，扎实的java和C语言基础，良好的设计、编程能力；2，两年以上Android应用开发经验，熟悉Android框架及API调用、熟悉framework层各Service机制与原理、熟悉Binder等进程间通信机制、熟悉JNI机制；3，有高通平台或MTK平台的手机项目开发经验优先，有Camera、Audio、Sensor等开发经验优先；4，有强烈的责任心，思维清晰敏捷，良好的沟通能力和团队协作精神，积极主动，抗压能力强；5，具有良好的英语阅读能力和表达能力。,移动互联网,2000人以上,android,无锡
资深安卓开发工程师,https://www.lagou.com/jobs/7074030.html,新吴区,20k-40k,北京字节跳动科技有限公司,3-5年,本科,"六险一金,扁平管理,餐补,租房补贴",,文娱丨内容,2000人以上,android,无锡
Android系统开发工程师,https://www.lagou.com/jobs/7030509.html,新吴区,11k-22k,华勤通讯技术有限公司,1-3年,本科,福利待遇好,岗位职责：1、根据产品需求，进行Android系统层相关功能的设计、编码、调试；2、负责Android系统层功能问题分析、解决及攻关；3、负责相关技术文档整理和输出；岗位要求：1、计算机相关专业本科以上学历、至少1年以上Android系统开发经验；2、具备良好的编程习惯；Java、C++基础扎实；熟悉设计模式；3、熟悉Android框架和核心服务、熟悉JNI；对Framework有自己的理解；4、有稳定性、性能、功耗开发经验的优先；5、工作积极主动，有责任心，做事靠谱，能抗压；能快速学习并具有较强的领悟能力；6、具有良好的英语阅读能力；,移动互联网,2000人以上,android,无锡
android开发工程师,https://www.lagou.com/jobs/6971580.html,惠山区,8k-13k,无锡镓祥智能技术有限公司,1-3年,本科,核心项目 甲方企业 双休 13薪,工作内容：1、参与业务需求设计和讨论，基于Android平台进行应用程序开发2、负责Android系统APP的开发、定制、维护和新技术预研工作3、编写相关设计文档，包括需求文档，设计文档，测试文档等。4、参与移动平台软件框架的研究，设计和实现、关键技术验证和选型等工作。任职要求：1、3+年左右Android应用开发经验，有实践经验对前后端合作模式有深入了解2、熟悉Android SDK框架，熟练使用常用API，熟练使用Android开发和调试工具3、熟练掌握JAVA语言，熟悉C/C++ 语言，熟悉JNI/JNA开发4、对Android各个版本的区别和特性了然于胸，具有Android主流手机记性适配经验5、具有良好编码风格，代码阅读能力，调试和解决问题能力，逻辑思维清晰严谨6、有独立完成1到2款量产APP经验更佳,"汽车丨出行,软件开发",15-50人,android,无锡
Android开发工程师,https://www.lagou.com/jobs/6752463.html,无锡新区,8k-12k,无锡中科光电技术有限公司,3-5年,本科,晋升空间,职位描述：1、根据项目需求，高质量的完成页面和功能开发，实现相关效果；2、参与开发方案制定，提出高质量建议；3、优化新旧代码，提高App质量；4、可独立搭建高质量架构。任职要求：1、3年以上软件开发经验，有大型App架构开发和实践经验 对前后端合作模式有深入了解；2、熟悉多种主流 Android 框架及对它们适用的范围及优劣有独到见解；熟悉混合开发、 热更新、 模块化等技术，对项目拆分重构有深入见解;3、精通 Android 的线程机制 精通 Android 应用性能优化，内存优化等；4、对Android各个版本的区别和特性了然于胸，具有Android主流手机机型适配经验；5、熟悉面向对象设计方法和常用设计模式；6、熟练掌握Android的API，理解Android的体系结构，精通自定义View、后台运行、数据存储等的原理，熟悉xml、http、TCPIP协议；7、熟练掌握RxJava、Retrofit、MVP、MVC；8、加分项：Github有长期维护的开源项目，个人博客，熟悉Kotlin。,"数据服务,企业服务",150-500人,android,无锡
android开发工程师,https://www.lagou.com/jobs/7172380.html,滨湖区,8k-10k,河南群英电子科技有限公司,1-3年,本科,6险一金全额缴纳，有年终奖,1、熟悉Android应用开发框架和特性，具备两年以上的开发经验；2、熟悉C/C++，具备JNI开发经验；3、熟悉网络编程，熟悉TCP/IP、UDP、HTTP等协议；4、责任心强，具备良好的独立工作能力和沟通表达能力。   1、负责手机端APP和后台软件设计和开发；2、负责端到端系统对接和调测。,"移动互联网,企业服务",15-50人,android,无锡
Android研发工程师 （兼java应用研发）,https://www.lagou.com/jobs/7053521.html,滨湖区,12k-16k,无锡远迈信息技术有限公司,5-10年,本科,五险一金 双休 扁平化管理,1、负责公司网络货运Android应用核心代码开发、问题优化2、完成产品功能研发，解决过程中碰到的各种技术难题，不断突破性能瓶颈3、参与公司部分java后台业务研发。任职要求：1、本科及以上学历，计算机、通信等相关专业，5年以上Android/Java工作经验，JAVA基础扎实2、三年以上Android平台开发经验，熟悉JNI，NDK，熟悉Android架构和系统原理；3、熟练掌握Android开发工具和调试工具的使用，能熟练进行GDB调试；4、熟练掌握熟练SSM、SpringBoot，具有Redis、Kafka实战经验，了解分布式、缓存、消息队列相关知识5、有上进心和求知欲，态度端正，愿意拓宽技术栈，具备良好的沟通能力和理解能力,"移动互联网,数据服务",150-500人,android,无锡
