job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Android攻城狮,https://www.lagou.com/jobs/1669023.html,五华区,6k-10k,云南芮米科技有限公司,1-3年,不限,大牛领导，弹性工作时间，五险一金，项目奖,"岗位职责
 负责Android新应用开发以及现有项目维护。
 文档编写。
 负责为Flutter编写插件。
我们对你的期望：
 计算机相关背景专业；
 有完整Android应用开发经验；
 熟练使用Android各种调试工具；
 良好的编码能力及习惯，良好的算法分析和实现能力；
 具备良好的团队精神和沟通意识，责任心强，工作认真细致；
加分项：
 有上线作品，技术博客或github有开源项目；
 有部分前端知识，具备良好的学习能力，适应新的开发方向；
你将获得：
 不打卡，不打卡，不打卡，弹性办公时间。
 五险一金。
 电脑购买补助。
 良好的团队氛围，扁平管理。","移动互联网,数据服务",15-50人,android,昆明
android开发工程师,https://www.lagou.com/jobs/4940281.html,官渡区,5k-10k,昆明奥远科技有限公司,3-5年,大专,"双休,高薪,五险,办公环境好",任职资格：1、计算机相关专业专科及以上学历，具有一到三年以上软件开发工作经验；2、掌握Eclpise开发工具，熟悉Android SDK/NDK；3、熟练掌握Android的API，理解Android的体系结构，掌握Android中界面绘制，后台运行，数据存储等的原理，熟悉xml，json，http，TCP/IP，SOCKET等协议；4、具有团队协作精神，有较强的沟通和表达能力；工作积极主动，有较强的学习能力、分析能力和解决实际问题的能力；5、热爱编程，具备面向对象的开发意识，对设计模式有一定程度的了解；6、面试请提供相关项目案例；7、具备多个Android应用程序开发经验者或熟悉GIS开发者优先录用。职位要求：1、负责Android手机客户端软件的技术设计、研发和维护工作；2、参与客户端产品的架构设计，分析和发现系统的优化点；3、学习和研究新技术以满足产品的新需求；4、配合项目经理完成项目需求调研工作，编写需求分析说明书；5、根据开发进度和任务分配，完成相应模块的功能设计、代码编写、测试等工作；6、编写相关的技术文档；7、完成项目经理安排的其他工作。,"移动互联网,企业服务",50-150人,android,昆明
Android开发工程师,https://www.lagou.com/jobs/4892367.html,官渡区,6k-11k,云南腾道科技有限责任公司,1-3年,本科,"突破自己,挑战新事物,晋升空间大,领导优秀","岗位职责1、Android智能手机平台应用软件的分析、设计、编码和测试；2、智能手机应用相关的技术研究；任职资格1、计算机或相关专业本科以上学历；2、熟悉XML、JSON等数据传输格式,具备扎实的JAVA编程/安卓基础；3、有Android开发经验优先，熟悉Android SDK，并且开发过1~2款成熟产品；4、熟悉Android下电话、信息、数据库等运行原理；5、熟悉Android下网络通信机制，对Socket通信、TCP/IP和HTTP有较深刻的理解和经验，有网络编程经验；6、有音视频和应用集成或底层开发经验者优先。6、具备良好的沟通能力和优秀的团队协作能力。公司福利：1、定期培训2、提供透明、公平的内部晋升通道3、年终奖、社保、节日福利及丰富多彩的团队建设活动等4、周末双休，带薪休假，上班时间（上午09：30--18：00）5、公司提供完善的差旅制度，出差有相应的补贴","移动互联网,消费生活",50-150人,android,昆明
Android软件应用工程师,https://www.lagou.com/jobs/6618191.html,呈贡区,8k-9k,云南红岭云科技股份有限公司,1-3年,本科,五险一金、职能晋升、法定节假日。,岗位职责1.负责建立Android平台客户端软件的开发框架；2.根据产品需求，负责Android客户端软件的架构设计；3.遵照开发规范，负责Android客户端软件的设计、编码和测试；4.快速学习并掌握Android开发平台的新技术，新方法，并根据实际情况提出客户端软件改进建议或意见；5.熟悉Android开发工具和相关开发测试工具的使用；6.开发过程中相关技术规范文档的编写；7.了解行业相关专业知识，根据需要给客户提供技术支持。8.基于html5  Android开发的优先录用。    岗位要求1.负责建立Android平台客户端软件的开发框架；2.根据产品需求，负责Android客户端软件的架构设计；3.遵照开发规范，负责Android客户端软件的设计、编码和测试；4.快速学习并掌握Android开发平台的新技术，新方法，并根据实际情况提出客户端软件改进建议或意见；5.熟悉Android开发工具和相关开发测试工具的使用；6.开发过程中相关技术规范文档的编写；7.了解行业相关专业知识，根据需要给客户提供技术支持。8.基于html5  Android开发的优先录用。,"数据服务,移动互联网",50-150人,android,昆明
android开发工程师,https://www.lagou.com/jobs/6971174.html,官渡区,8k-11k,信息技术力量（成都）有限公司,1-3年,本科,五险一金 周末双休,职位描述：岗位职责：负责公司Android移动平台软件的开发，负责编写开发过程中的文档；负责app的调试以及维护；负责移动端接口开发；负责后期app上架；岗位要求：Android：1.精通Android开发平台和框架原理，精通Java开发语言和数据结构，具有面向对象编程思想和清晰的逻辑思维；2.有源生开发经验3.2年以上的Android的应用开发经验；有内存和性能优化经验；具有良好的编码习惯，独立完成过2个以上的项目，有成熟作品者优先；熟练使用开发工具，熟悉至少1种开发环境；具有良好的理解能力、沟通能力、执行力以及团队合作能力，具有责任心；能适应一定程度的加班；,"移动互联网,数据服务",50-150人,android,昆明
app开发工程师安卓、ios,https://www.lagou.com/jobs/6968864.html,西山区,8k-12k,云南宏星好运科技有限公司,1-3年,本科,3年后可转岗从事业务,"职位职责：1、负责产品迭代改进及移动新产品的开发；2、参与 APP 性能、体验优化及质量监控评估体系建设；3、参与客户端基础组件及架构设计, 推进研发效率；职位要求：1、本科及以上学历，计算机相关专业；2、热爱计算机科学和互联网技术，对移动产品有浓厚兴趣；3、扎实的数据结构和算法基础；精通至少一门编程语言，包括但不限于：Java、Objective-C、Swift、C、C++；4、熟悉Android或ios平台原理，具备将产品逻辑抽象为技术方案的能力；5、关注用户体验，能够积极把技术转化到用户体验改进上；","物流丨运输,软件开发",50-150人,android,昆明
软件测试工程师,https://www.lagou.com/jobs/6963399.html,西山区,3k-6k,神州数码系统集成服务有限公司,不限,大专,五险一金+餐补+电脑补 薪资待遇优厚,岗位职责：完成公司APP端，web端，PC端相关软件的测试。参与公司项目需求讨论，制定测试计划，设计测试用例，执行测试用例，编写测试报告；跟踪问题缺陷，推动问题处理；按时保质，保量的完成各项分配的工作内容；任职资格：1. 计算机相关专业优先；2. 英语四级或以上；3. 具有WEB系统测试或移动APP测试经验；4. 熟悉软件测试流程，能独立编写测试用例、执行测试用例；5. 熟悉Linux、MySQL数据库、fiddler、Jmeter、postman等；6. 认真仔细，逻辑思维清晰严谨，有良好的学习能力、分析与解决问题的能力；7. 工作积极主动，具有团队意识；8. 熟悉至少一种编程语言Python，Java的优先；9. 熟悉Android测试专项、UI自动化、服务端性能测试、安全测试者优先。,企业服务,2000人以上,android,昆明
ui设计师,https://www.lagou.com/jobs/6488901.html,盘龙区,4k-8k,昆明必搭科技有限公司,1-3年,不限,五险一金，高额任务提成，弹性制工作,技能要求：平面，UI，APP设计，视觉岗位职责：1、负责公司软件系统相关产品的UI设计；2、参与产品设计讨论，和研发团队共同创建用户界面，跟踪产品效果提出设计改善方案；3、根据产品需求，对产品的整体美术风格、交互设计、界面结构、操作流程等做出设计；4、从用户的角度出发，优化产品的易用性，持续提升用户体验。任职要求：1、美术、平面设计等相关专业毕业，1年以上相关工作经验；2、熟练使用PS、AI、AE等相关软件，对图片渲染和视觉效果有较好认识；3、掌握 iOS / Android / Web 等不同平台的设计规范，能给出适应不同平台规范、适配不同尺寸设备的设计方案；4、能够提供设计稿件，标注稿件与设计切图稿件，并能根据产品原型设计交互动效及动画等；5、对设计有独到的见解，具备良好的审美能力；6、有丰富的WEB端、APP端UI设计经验；7、如有作品请附上相关作品或相关作品的网址。,"人工智能,VR丨AR",15-50人,android,昆明
H5(web)前端开发工程师,https://www.lagou.com/jobs/6296927.html,官渡区,7k-13k,云南腾道科技有限责任公司,3-5年,本科,晋升空间大、周末双休、社保、绩效奖金,职位描述：1、负责前端业务系统的开发工作（移动端以及PC端，有APP开发 经验优先）；2、负责项目前端的维护、版本迭代、功能优化等工作；3、优化前端开发方式及协作流程，创建技术标准及规范项目前端的开发时间评估、发布上线等。4、与后端开发人员配合，完成前端开发工作；任职资格：1、【精通】Vue.js开发全家桶，熟悉webpack组件化开发和elementUI、uni-app、vant的使用；1、【精通】HTML、CSS、JavaScript、layui、freemarker等Web开发技术；2、【精通】具备手写css动画的能力3、熟悉Android原生开发流程，具有调试打包技能4、熟悉HTTP协议，了解TCP/IP的基本工作原理；5、熟悉常用WEB开发调试工具；6、熟悉使用Adobe XD软件、墨刀等原型设计软件者优先；7、具备服务端开发能力如Java、NodeJS或移动端HTML5开发经验者优先；8、持续关注业界的新技术领域；9、有前端岗位3年工作经验。,"移动互联网,消费生活",50-150人,android,昆明
ui设计师,https://www.lagou.com/jobs/6950549.html,五华区,4k-6k,昆明洲创科技有限公司,不限,大专,周末双休、年假、五险一金和完善的晋升通道,"岗位职责：1、主要负责PC端、移动端产品UI设计,以及相关视觉设计工作（如：banner、活动页、平面海报等）；2、快速理解产品的UI设计方案，根据需求原型交互文档，生成优质视觉设计方案；3、配合产品的设计需要，不断优化产品设计，做好版本迭代的工作；4、独自完成移动互联网产品视觉设计工作；5、参与设计体验、流程的制定和规范。岗位要求：1、大专以上学历，具有美术专业设计知识；对设计、互联网行业感兴趣，计算机相关专业、设计等相关专业毕业生优先；2、熟练操作PS、AI、Coreldraw、Photoshop、Illustrator、Axure等图形软件；3、有Android 、Web平台App及网站相关的用户界面视觉的设计经验；4、对web前端技术有一定了解；5、拥有优秀的交互设计和界面设计能力和沟通技巧，能快速消化业务；6、具有一定的学习能力、创新能力及团队协作精神，工作认真，有较好的综合素质者优先。7、面试的时候准备好自己设计的相关案例，可供参考。","移动互联网,企业服务",15-50人,android,昆明
