job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
android开发工程师,https://www.lagou.com/jobs/5551757.html,金水区,7k-10k,郑州时空隧道信息技术有限公司,1-3年,本科,"节日福利,带薪年假,五险一金,员工旅游",岗位职责：1、负责android应用程序设计、开发、测试、维护;2、跟进手机app新技术发展，编写设计开发及实现文档；3、负责优化移动APP的产品质量，性能，用户体验。任职要求：1、 计算机、通信相关专业本科及以上学历；2、 两年以上android软件开发经验；丰富的手机软件bug定位和修复经验；熟悉手机终端特 性，具有不同型号手机适配及移植经验；3、 熟悉android开发技术，包括常用控件、网络、多媒体、地图、推送、支付等；理解 android平台的体系结构、界面控制、后台运行、数据存储等；熟练使用网络编程，多进程 / 多线程通讯，文件操作，数据库，内存安全管理等;熟练使用java语言，熟练应用数据结构与 算法;精通面向对象编程，熟悉常用设计模式，拥有较好程序设计思想;4、熟悉 SVN 等代码版本管理工具;5、要求具备良好的英文阅读理解能力，较好的沟通协调能力﹑责任心及敬业精神;具备文档组织、编写能力，学习能力强；6、有责任心，工作谨慎细致，具备优秀的沟通与组织协调能力，良好的服务意识；7、有过同城配送App开发经验的优先。,"移动互联网,消费生活",150-500人,android,郑州
android开发工程师,https://www.lagou.com/jobs/7131248.html,金水区,8k-11k,郑州创恒实业有限公司,3-5年,本科,弹性工作，员工旅游，节日福利,岗位职责：1、负责现有产品的维护工作；2、根据新项目任务计划按时完成Android开发工作；3、根据产品文档在开始coding前分析出开发中会遇到的问题；4、对于开发难点进行攻关并提出相应的解决方案;5、积极配合项目其它岗位的协作工作，保证负责开发的产品满足进度，质量及成本要求；6、上级分配的其它任务;任职要求：1、计算机或电子信息相关专业本科或以上学历，3年以上Android实战项目开发经验；2、精通Android下UI设计，网络通信机制， JSON解析等；3、熟练使用Android SDK，Android Studio工具开发；4、熟悉WebView等相关Html组件使用；5、能独立进行第三方SDK接入开发；6、熟练使用Fiddler、Charles等抓包工具；7、熟练使用Postman等接口测试工具；8、可以独立完成开发任务；9、良好的英语读写能力，能快速阅读开发相关英文资料；10、具备良好的责任心、上进心、执行力以及良好的沟通能力和团队合作能力；,移动互联网,150-500人,android,郑州
android高级工程师,https://www.lagou.com/jobs/7104231.html,金水区,8k-11k,郑州创恒实业有限公司,3-5年,本科,弹性工作，五险一金，员工旅游，节日福利,岗位职责：1、负责现有产品的维护工作；2、根据新项目任务计划按时完成Android开发工作；3、根据产品文档在开始coding前分析出开发中会遇到的问题；4、对于开发难点进行攻关并提出相应的解决方案;5、积极配合项目其它岗位的协作工作，保证负责开发的产品满足进度，质量及成本要求；6、上级分配的其它任务;任职要求：1、计算机或电子信息相关专业本科或以上学历，3年以上Android实战项目开发经验；2、精通Android下UI设计，网络通信机制， JSON解析等；3、熟练使用Android SDK，Android Studio工具开发；4、熟悉WebView等相关Html组件使用；5、能独立进行第三方SDK接入开发；6、熟练使用Fiddler、Charles等抓包工具；7、熟练使用Postman等接口测试工具；8、可以独立完成开发任务；9、良好的英语读写能力，能快速阅读开发相关英文资料；10、具备良好的责任心、上进心、执行力以及良好的沟通能力和团队合作能力；,移动互联网,150-500人,android,郑州
Android高级工程师,https://www.lagou.com/jobs/2017131.html,金水区,6k-10k,郑州维创盈通软件科技有限公司,3-5年,大专,五险，全勤奖，绩效工资，餐补,主要职责：1. 负责Android手机客户端软件的技术设计、研发、和维护；2. 参与客户端产品的架构设计，分析和发现系统的优化点；3. 学习和研究新技术以满足产品的新需求；4. 指导与培养工程师，提升团队整体技术水平；5. 负责制定项目计划并能够按计划完成任务。 岗位要求1、计算机及相关专业，良好的Java技术功底；2、五年Android平台上应用开发经验，有成熟应用产品开发经验；3、熟悉Android下的UI设计；熟悉Android下网络通信机制，对Socket通信有经验；4、熟悉Android OS系统体系结构、framework、以及底层库；精通Android平台上主要开发技术优先考虑；5、熟悉Android系统的兼容性及屏幕适配；6、有github账号，技术blog优先；7、有独立承担项目和管理团队的经历。 8、同时会web前端优先,"移动互联网,电商",50-150人,android,郑州
Android开发工程师,https://www.lagou.com/jobs/6814279.html,高新区,8k-12k,金区有限公司,1-3年,本科,行业前景大，双休，扁平化管理,"岗位职责:1.负责公司安卓APP、Web端、Pc端、小程序、公众号的开发与维护，能够独立完成Android程序相关模块的设计和开发工作2.根据项目任务计划按时完成软件编码和单元测试工作 3.按照开发流程编写相应模块的设计文档4.参与或主导技术项目的方案选项和设计5.持续优化相关产品的质量、性能、用户体验任职资格:1、3年以上手机APP开发工作经验；2、负责手机端Android应用软件开发，具有独立完成产品开发的能力；3、精通Java语言，熟练掌握Android Studio工具、Android框架及各种UI控件；4、精通Android运行机制、内存管理、网络通信等； 熟练掌握Android的5种主要数据存储方式以及MySQL、SQLServier、SQLite数据库的CRUD操作,熟悉利用JSON方式进行数据交换，能利用Fastjson完成JSON数据的解析5、熟悉Socket网络编程、MySQL数据库、数据解析、地图、图表的应用6、熟悉设计模式，并在项目或产品中根据情况应用。7、主动解决问题，工作踏实，刻苦钻研，责任心强，具有良好的抗压能力8、有使用高德SDK/腾讯SDK/百度SDK开发Android地图应用经验9、有良好的编码规范，结构清晰，注释充分；有管理经验者优先考虑10、具备良好的学习能力和分析解决问题的能力，强烈的责任心和团队精神。","移动互联网,硬件",50-150人,android,郑州
Android开发工程师,https://www.lagou.com/jobs/7207894.html,高新区,5k-10k,郑州图易信息科技有限公司,1-3年,不限,"五险一金
季度奖金+年终奖","1、熟悉Android开发环境及Android基本框架；2、熟练掌握Android开发技能；3、熟练使用数据库开发；4、能独立完成公司定制APP功能；5、有图片或视频处理方面经验优先；6、吃苦耐劳、责任心强、做事积极主动、有团队合作精神；逻辑思维严谨、关注新技术，有持续学习能力。岗位任职要求： 1、计算机及相关专业，大学专科及以上学历； 2、熟悉Android系统架构及相关技术，2年以上实际Android平台开发经验； 3、熟练掌握Android各类组件的使用方法，熟悉Android的UI调用、绘制、后台服务、消息机制和数据存储的实现方式； 4、熟练插件化开发。 5、有带团队经验和独立开发作品的优先；6、有图片或视频处理方面经验优先；7、对Android应用的性能优化和内存优化有实际经验者优先； 8、具备熟练的技术调研能力并能完成相应技术报告；具有良好的言语表达能力和乐观积极的工作态度，善于与人沟通、合作，有良好的团队意识及高度责任心。福利政策：   1、五险一金、节日福利、日常福利等；   2、工作时间：9:00--12:00,14:00--18:00，单休，节假日正常休息。   3、季度奖金、年底奖金分红",软件开发,少于15人,android,郑州
Android开发工程师,https://www.lagou.com/jobs/7205762.html,高新区,6k-12k,郑州图易信息科技有限公司,3-5年,不限,"五险一金
季度奖金+年终奖","岗位任职要求：1、计算机及相关专业，大学专科及以上学历； 2、熟悉Android系统架构及相关技术，4年以上实际Android平台开发经验； 3、熟练掌握Android各类组件的使用方法，熟悉Android的UI调用、绘制、后台服务、消息机制和数据存储的实现方式； 4、熟练插件化开发。 5、有带团队经验和独立开发作品的优先；6、有图片或视频处理方面经验优先；7、对Android应用的性能优化和内存优化有实际经验者优先； 8、具备熟练的技术调研能力并能完成相应技术报告；具有良好的言语表达能力和乐观积极的工作态度，善于与人沟通、合作，有良好的团队意识及高度责任心。福利政策：   1、五险一金、节日福利、日常福利等；   2、工作时间：9:00--12:00,14:00--18:00，单休，节假日正常休息。   3、季度奖金、年底奖金分红",软件开发,少于15人,android,郑州
高级安卓开发工程师,https://www.lagou.com/jobs/6261353.html,中原区,15k-25k,安徽省刀锋网络科技有限公司,5-10年,大专,五险一金、全勤奖、13-14薪,1、负责公司Android平台软件的技术架构设计和核心代码开发2、负责Android客户端底层库的封装3、按业务需要修改VirtualApp，甚至从头开始研发安卓虚拟机4、负责攻关并解决项目中遇到的技术难题，进行新技术的前瞻性预研，以提供项目决策依据5、负责Android项目的性能优化，参与优化Android团队的开发方式及协作流程，创建技术标准及规范6、对Android团队进行技术分享及培训，提升团队技术水平任职要求：1、大专及以上学历；2、精通Java，3年以上Android平台产品开发经验；3、熟悉Android框架、JNI开发，熟练掌握Java语言，熟悉C/C++语言开发；4、熟悉Framework层Graphics，ActivityManager，Service，AIDL，HAL等重要组件；5、做事积极主动，具有强烈的责任心与团队合作精神，善于沟通合作，能承受较大的工作压力6、有丰富的修改VirtualApp（或者类似软件的）经验者优先,"移动互联网,游戏",500-2000人,android,郑州
安卓开发工程师,https://www.lagou.com/jobs/7209456.html,中原区,6k-9k,深圳蝶变智慧医用技术有限公司,1-3年,大专,缴纳五险、带薪休假、双休,"1、负责移动客户端相关项目的需求分析、详细设计及开发工作；2、独立完成android项目开发；3、进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量；4、负责相关产品的文档撰写，整体调控产品的开发与发布；5、根据需求和测试报告进行代码修改以保证软件质量；6、具有良好的编程习惯,书写易维护,易阅读的代码/注释。7、按照项目计划，在保质保量的前提下，按时完成开发任务。任职要求：1、统招大专以上学历，3年以上工作经验2、对手机软件性能优化、内存优化、机型适配、代码保护经验者优先；3、能够承受一定的工作压力，具有产品意识和项目责任感；4、善于沟通，较好的逻辑分析能力，较强的团队合作意识5、对软件产品有强烈的责任心，具备良好的沟通能力和优秀的团队协作能力；","医疗丨健康,软件开发",50-150人,android,郑州
Android app工程师,https://www.lagou.com/jobs/7140273.html,高新区,5k-7k,郑州万迪来电子技术有限公司,1-3年,本科,双休、8小时工作制，带薪年假,岗位职责：1.         参与业务需求设计和讨论，基于Android平台进行应用程序开发；2.         负责Android系统APP的开发、定制、维护和新技术预研工作；3.         参与移动平台软件框架的研究，设计和实现、关键技术验证和选型等工作。4.         编写相关设计文档，包括需求文档，设计文档，测试文档等。 任职要求：1.         本科及以上学历，计算机/软件工程等相关专业，2年以上Android项目开发经验；2.         熟悉Android框架，数量掌握常用API，数量使用开发和调试工具3.         数量掌握JAVA语言，有C语言基础优先，有JNI基础优先；4.         熟悉网络编程，掌握TCP/UDP，HTTP，websocket，有与硬件通信调试优先；5.         了解Android版本演进及特性，掌握主流手机的适配工作；6.         掌握代码优化和混淆；7.         良好的代码编写习惯，调试和解决问题能力，逻辑思维清晰；8.         有较强的责任心和团队合作意识；9.         有量产上架的APP优先。,"硬件,通讯电子",50-150人,android,郑州
