job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
android开发工程师,https://www.lagou.com/jobs/7129386.html,芙蓉区,8k-10k,宁夏博信通科技有限公司,3-5年,本科,五险一金 周末双休 节日福利 季度团建,"岗位职责：1. 基于Android平台进行手机软件的设计、开发、需求分析等；2. 熟悉手机客户端应用程序开发工具,包括UI及通讯等；3. 与项目相关人员配合共同完成手机客户端应用软件的开发设计工作；4. 配合美术及策划人员能够优化现有产品的用户操作体验；5. 源代码的模块学习开发及测试。职位要求:1.2年以上android平台开发经验，熟练使用eclipse、androidsdk等开发工具进行开发，了解android框架api；主导过一个以上开发项目者优先。有成熟作品者优先；2.构建软件产品的系统架构，包括软件设计、编码和验证；3.根据产品需求和概要设计写出产品详细设计文档，对指定模块和功能编码实现，参与相关技术难点攻关；4.熟悉Android平台UI设计规范，对Android控件的理解较深，能够按要求实现自定义UI和功能。","企业服务,信息安全",2000人以上,android,长沙
android客户端开发工程师,https://www.lagou.com/jobs/7161350.html,岳麓区,12k-16k,北京久幺幺科技有限公司,3-5年,本科,五险一金、周末双休,1. 负责Android客户端开发和性能优化，完成高质量编码工作；2. 对已有代码进行优化和重构，技术难点攻关；3. 与产品经理配合，深度参与产品需求讨论，提升用户体验。任职要求：1. 本科及以上学历，计算机相关专业，2年以上Android客户端开发经验；2. 具有良好的数据结构与算法基础，熟练掌握 Java 语言，熟悉网络编程3. 丰富的 Android 知识及应用能力，能写出漂亮的界面，也能写出良好的性能和稳定性4. 对代码质量有比较高的要求，追求可维护可复用的代码5. 有求知欲，热爱学习新知识，了解最新的 Android 技术动态6. 良好的沟通能力和合作精神，有责任感,"移动互联网,文娱丨内容",15-50人,android,长沙
android开发工程师,https://www.lagou.com/jobs/7213044.html,岳麓区,8k-10k,湖南青凰网络科技有限公司,3-5年,不限,双休，年底奖金,岗位职责：1.负责Andorid平台产品的核心框架的设计和改进；2.完成Android平台产品的开发工作；3.实现与服务器端的接口交互；4.配合测试人员进行自动化测试。职位要求：1. 3年及以上Android开发经验，熟悉JNI编程，有良好的编程习惯；2.熟悉Java语言，具备良好的编程能力；3.精通Android应用开发框架，以及UI实现相关技术，能独立开发高性能的Android应用；4.熟练掌握Android界面布局及绘制、数据存储、网络通信机制等，并对HTTP访问有实际开发经验；5.对现有Android设备，有多屏适配经验，熟悉移动设备开发特点，性能调优。福利：双休，年终奖，带薪年假，节日福利，生日关怀，团建聚餐，办公室零食，年度旅游,"移动互联网,电商",15-50人,android,长沙
android开发工程师,https://www.lagou.com/jobs/7176358.html,开福区,10k-15k,湖南链世网络科技有限公司,3-5年,本科,双休五险一金高福利,"岗位职责：1、主导或者独立完成本公司安卓平台产品开发任务；2、公司安卓相关产品维护及发版，并处理相关问题；3、项目技术预研和新功能开发测试发版上线。任职要求：1、计算机相关专业本科以上学历，3年android开发工作经验；2、精通android的核心API,精通主要的界面开发编程；3、熟悉常用的开发模式，精通MVC，熟悉并了解MVVM、MVP；4、熟练使用常用的开源组件；5、有扎实的Java基础，对其内部类、线程、并发、网络编程等有深入研究；6、熟练掌握基于HTTP协议的编程，清楚POST和GET等请求方式流程和细节；7、良好的沟通能力和团队合作精神。",移动互联网,50-150人,android,长沙
android开发工程师,https://www.lagou.com/jobs/7143747.html,岳麓区,7k-8k,湖南集拓科技股份有限公司,3-5年,大专,独层办公，为技术人才量身打造提薪标准。,岗位要求：1、三年以上Android开发经验，丰富的JAVA语言经验；2、熟悉Android SDK，精通Android开发平台及框架；3、对Android程序性能优化、内存优化有一定的经验；4、熟练使用Android标准控件，能够实现自定义控件；5、熟悉Android 版本新特性；6、精通多线程并发处理应用程序开发，熟悉Android线程与线程，进程与进程的通信机制；7、代码严谨，逻辑清晰，编码习惯良好；8、有强烈的事业心，遇到问题时，能积极主动地寻找解决方案；9、能够独立完成APP的开发。加分项：1.能够熟练使用AccessibilityService实现自动化控制2.对于Android应用保活有自己独特的见解3.有多个独立完成的项目可供演示,"移动互联网,社交",15-50人,android,长沙
Android 开发工程师,https://www.lagou.com/jobs/7054610.html,岳麓区,8k-15k,长沙随笔记网络技术有限公司,1-3年,本科,股票期权 带薪年假 年度旅游 五险一金,岗位职责1、负责Android客户端开发2、参与产品需求分析并制定技术实施方案岗位要求1、计算机或相关专业，能熟练阅读英文文档2、扎实的 JAVA 基础，熟悉常用的软件编程思想，熟悉常用算法及数据结构等知识3、对Android的基础架构、组件、性能优化、内存优化有深刻了解，熟练使用数据库，多线程/多进程通讯，网络编程，进程配置，权限管理等4、具备良好的团队协作意识和责任心福利待遇1、入职即购买五险一金，试用期工资不打折2、每月定期团建，生日会、下午茶、年度旅游等3、每年有加薪机会，你的晋升**有保障4、公司无融资压力，资金**到位5、免费入职体检，年度体检6、扁平化互联网公司氛围，不打卡,软件开发,15-50人,android,长沙
安卓高级工程师,https://www.lagou.com/jobs/7205384.html,天心区,13k-20k,湖南易智寄网络科技有限公司,5-10年,本科,双休、五险一金、年终奖、出国交流机会,职责：一本统招计算机相关专业毕业，5年以上Android项目开发经验；熟悉Android编程，Android系统化的知识体系；熟悉网络编程，对HTTP等网络协议有深入认识；具备较强的团队精神、良好的表达和沟通能力，工作认真负责，对移动产品有浓厚兴趣；具有以下条件者优先考虑:1)、熟悉常见设计模式、有独立承担过项目架构设计者；2)、熟练掌握Flutter编程者；3)、有物流仓储产品产品实现经验者；要求：精通Java语言，5年以上Android开发经验；精通Android开发平台及框架原理，对Android系统应用管理、进程管理、内存管理、Activity管理机制有深入理解，精通Android的基本组件使用；熟悉Android下网络编程，熟悉移动网络特点及相关协议，JSON等网络数据传输；熟悉Android下的安全技术；熟练使用多种常用设计模式，具扎实的编程功底和良好的编程习惯，良好的设计文档撰写能力；,移动互联网,15-50人,android,长沙
Android手机端工程师,https://www.lagou.com/jobs/6621085.html,雨花区,8k-15k,长沙牛感科技集团有限公司,应届毕业生,本科,五险一金、双休,职位描述：工作职责：1、参与移动端Android应用的开发，负责相关模块或功能的开发工作，有能力独立完成模块的设计及开发2、与产品和运营人员沟通，保证产品的质量和开发进度3、持续优化相关产品的质量、性能和用户体验4、对移动平台相关新技术进行研究和功能实现，对现有开发方法进行改进 任职要求：1、本科及以上学历，2年以上Android开发经验。2、精通Android SDK和JAVA编程、核心类库，能编写UI控件和动画特效3、对Android 系统应用管理、进程管理、内存管理机制有深入理解4、熟悉基于TCP/UDP/HTTP的网络协议5、熟悉Android平台网络数据传输、本地数据存储和UI框架部分6、责任心强，具备较强的团队合作精神和沟通表达能力本,"物联网,区块链",15-50人,android,长沙
Android,https://www.lagou.com/jobs/1927643.html,雨花区,7k-12k,湖南联信科技有限公司,3-5年,大专,待遇可面谈,"1、大专及以上学历，2年以上J2EE开发经验；2、熟悉java编程，熟悉面向对象思维，精通Eclipse、Idea等开发工具及jdk架构；3、熟悉springMVC，mybatis,SSH等常用框架；4、熟悉RESTful，webservice等常用的接口开发；5、熟悉TCP/IP,Socket等通信原理及开发；6、熟悉mysql等常见数据库，熟悉redis等；7、了解HTML5，CSS5，JQuery，Bootstrap，vue","移动互联网,金融",150-500人,android,长沙
Android高级工程师,https://www.lagou.com/jobs/6634806.html,岳麓区,8k-15k,湖南先森网络科技有限公司,3-5年,大专,五险一金、项目奖金、每年调薪、周末双休,一、岗位职责1. 部分技术预研、难点攻关，项目组技术骨干；2. 参与编码实现、测试、实施、维护；3. 相关文档的编写。二、任职要求(公司要求实战能力，刚毕业同学欢迎锻炼几年后向我司投递简历)1. 3年以上的Android开发经验，熟悉Android系统架构及相关技术，能够独立进行模块研发；2. 熟悉现有Android设备，有适配经验，熟悉移动设备的开发特点，性能调优；3. 熟悉Android软件的开发、测试、分发流程，熟练掌握Android开发工具和测试工具的使用；4. Java基本功扎实，了解常用的Web研发框架技术；5. 了解使用H5、CSS、JavaScript以及相关库、框架，例如jQuery或者React、Vue、Bootstrap其一，能解决常见的兼容、性能问题者优先；6. 学习能力强、抗压能力佳，热爱技术钻研。三、公司环境1. 共创共享公司秉承共同创造价值共享价值的理念。我司除了能让您获得一份在长沙具有竞争力的薪资外，更能获得价值千万单个项目的提成1%、年终奖和各类补助等。2. 长期合作公司希望来到公司的同事能长期合作，根据个人的努力和能力成长，待遇方面，公司每年提供一个具有竞争力的薪资涨幅；能力方面，公司提供各类培训，为个人的各项能力提升创造良好的环境；晋升方面，公司在快速发展，各位都有一个广阔的发展空间。3. 构建生活空间公司配置了冰箱、微波炉、咖啡机等，为各位同事提供免费的点心和茶饮，让大家经过紧张的工作后可以稍事停顿、舒缓身心。,"软件开发,物联网",15-50人,android,长沙
APP开发工程师（ios，Android）,https://www.lagou.com/jobs/6581207.html,岳麓区,9k-12k,湖南旻一生物科技有限公司,3-5年,不限,福利待遇,1.  3年以上IOS或Android开发经验2.  熟悉流媒体在线播放，对各类多媒体音频视频格式有一定的了解，参与过远程教育或社群类产品优先3.  熟练处理各终端设备的兼容和原生组件的使用4.  能独立解决和开发产品需求，注重代码质量，应用调优，熟悉React Native开发更佳5.  较为丰富的技术储备，能保真还原设计稿动画特效等，有对在线文档展示等插件应用和第三方API接入的实际项目经验6.  良好代码书写习惯和团队协作开发能力，了解flash开发或VUE前端构架优先,医疗丨健康,15-50人,android,长沙
安卓开发工程师,https://www.lagou.com/jobs/6798915.html,长沙县,8k-12k,湖南灵之心心理学应用技术有限公司,3-5年,本科,双休、年终奖、旅游、社保,岗位职责：1、负责根据产品定义完成Android端软件的设计、开发、测试、上线及版本维护；2、负责参与Android APP应用需求的整理分析，并协助产品工程师研讨可行性和交付周期；3、负责手机移动产品新技术预研等。4、负责编写相关技术接口文档与技术规范；任职要求：1、计算机相关专业； 3年以上移动客户端开发工作经验； 2、精通Java开发语言、常用算法和数据结构； 3、熟悉Android Framework及JNI开发、调试，具有源码阅读及修改能力； 4、有图像处理、openGL、openCL相关经验优先； 5、有教育类产品APP研发经验者优先。,"教育,软件开发",15-50人,android,长沙
