job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Go,https://www.lagou.com/jobs/506545.html,徐汇区,10k-20k,上海爱可生信息技术股份有限公司,不限,本科,新三板 年终奖 公司内健身区咖吧 各种团建,"我们在做什么:0. 开发语言不限.1. 开发的目标是MySQL数据库管理类平台.2. 开发需要注意的方向: 集群调度, 集群高可用性维护, 集群分布式特性维护, 集群容灾容错, 集群服务降级.3. 开发的日常任务: 日常代码, 维护自动化测试, 读书, 设计架构, 设计产品.4. 希望有意愿和能力逐渐读懂MySQL源码, 理解数据库的设计, 寻找产品的提升空间.5. 相关技术文档可参照公司官网文档中心： http://www.actionsky.com/category/jssq/jswd/ 技术文档 我们需要的候选人:0. 我们不在乎候选人现在的技术背景.1. 在之前的技术背景下, 做出了超过平均水平的/好玩的东西.2. 对自己的输出的品质负责.3. 愿意深入MySQL数据库相关的技术, 能自主完成自己的想法.4. 沟通能力正常. 我们不建议的候选人:0. golang只会beego, Java只会Spring/Hibernate.1. 跑得通开源项目的Quick start, 就""架构师"".2. 听过Paxos/Raft的基本流程, 就""精通分布式"".3. 用过bash命令, 就""熟悉Linux"".4. 信息来源仅包括: 百度搜索/QQ群/论坛.5. 没有仔细的读到这一行.",数据服务,150-500人,go,上海
go语言软件工程师,https://www.lagou.com/jobs/3513860.html,宝山区,10k-20k,上海臻相软件科技有限公司,1-3年,本科,"年终奖金,项目奖金,发展前景好,股权激励",1、负责公司基础服务和一些业务服务的开发和维护；2、参与产品需求沟通与设计评审、负责产品部分模块的设计与开发;3、培养带领初级工程师，进行技术设计、代码编写的指导和评审;4、配合测试及质量控制人员，完善并优化产品实现，提高交付产品的质量。,信息安全,15-50人,go,上海
资深C++/go资深研发工程师（KV/缓存方向）,https://www.lagou.com/jobs/4275962.html,长宁区,30k-60k,上海寻梦信息技术有限公司,3-5年,本科,"技术挑战大,技术氛围好,福利待遇高",作为基础架构团队的一员，在拼多多，你每天将：在社交电商领域排名**的新兴独角兽公司中切身感受公司和个人同时高速成长的感觉；为几百人的研发团队提供架构系统和中间件支持，规划技术发展方向，带动团队技术氛围；面临海量存储、高并发、超大规模流量带来的技术压力，解决各个业务团队碰到的疑难杂症；在充满创造力和活力的年轻团队中，技术驱动业务，改变互联网电商行业！岗位职责：1. 负责大规模分布式存储系统设计，负责核心模块代码编写；2. 整合分析业务需求，提供最合适的存储解决方案；3. 迎接业务增长带来的技术挑战，打造在高并发场景下的稳定，低延迟，高可用的存储系统。岗位要求：1. 计算机相关专业本科及以上学历，2年以上研发经验，掌握C++/go语言；2. 对redis/memcached/levelDB/rocksDB的一项或多项熟悉并有二次开发能力；3. 熟悉网络编程，TCP/IP协议，异步I/O模型；4. 熟悉分布式存储系统相关原理，在生产环境有快速定位问题的能力；5. 具有目标感，很强的责任心和上进心，良好的沟通，团队协作能力；6. 展示你的实力，一切条件皆免。,"电商,移动互联网",2000人以上,go,上海
高级/资深开发工程师（Python/GO）,https://www.lagou.com/jobs/7218017.html,长宁区,15k-30k,携程计算机技术（上海）有限公司,3-5年,本科,发展前景好,岗位职责1，负责服务器管理&机房管理工具平台的设计、开发、优化和维护；2，理解服务器管理部门的业务、工作、流程等数据流，并负责在工具平台中实现自动化；3，与其他部门密切合作，完成工具平台功能的开发、测试和上线。  任职资格: 1，计算机或其他相关专业本科及以上学历；2，熟练掌握GO、Python、JS等编程语言，具有良好的编程能力和编程习惯；3，三年及以上服务端开发经验，以及熟悉Python/Go等常用的技术框架；4，具备Linux平台下的编程和操作经验，熟悉mysql，sqlserver等数据库；5，了解主流品牌服务器硬件配置，有BIOS/RAID/BMC/Firmware管理经验更佳；6，了解基础的网络基础设备、网络基础服务及网络基础架构知识;7，优秀的逻辑思维能力和学习能力，具备钻研和探索精神。,旅游,2000人以上,go,上海
GO语言后台开发工程师,https://www.lagou.com/jobs/5681891.html,浦东新区,20k-40k,上海倾听信息技术有限公司,3-5年,不限,团队优秀,岗位职责：1、 完成服务端功能的设计与开发，保障需求正常推进。2、 负责服务的部署和运维，保证服务高质量的运行。3、 持续优化服务的设计与实现，撰写技术文档，保证服务的可维护性。4、 分析服务数据及日志，指导产品设计和业务运营。5、 参与团队code review，design review等工作。6、 主动思考产品需求，并依据平台特性提出体验、功能方面的优化建议。 岗位要求：1、 计算机相关专业本科及以上学历，有过大型计算机竞赛经验优先。2、 有扎实的计算机知识、优秀的算法基础及良好的代码习惯。3、 2年以上服务端开发经验，有中大型系统开发经验者优先。4、 熟悉Go语言，熟悉Linux操作系统，熟悉sql/mongo/redis等常用数据库。5、 能够理解产品设计和业务运营，愿意以技术手段帮助业务发展。6、 有较强的团队意识，能与其他成员高效沟通协作。富有激情，勇于挑战，具备优秀的学习能力和解决问题能力。,移动互联网,150-500人,go,上海
Go开发工程师,https://www.lagou.com/jobs/5102389.html,浦东新区,20k-40k,上海倾听信息技术有限公司,3-5年,本科,"年轻化,氛围好",岗位职责：1、负责蜻蜓广告系统的后端开发和维护，保证需求正常推进，保证系统高质量运行；2、持续优化系统的设计和实现，撰写技术文档，保证服务的可维护性；3、能够及时解决突发问题，为运营人员提供必要的帮助。岗位要求：1、计算机相关专业本科及以上学历。2、三年以上后台开发经验。3、熟练掌握Go语言。4、熟悉Linux操作系统，熟悉mysql或mongo等数据库应用。5、有强烈的团队意识，能与其他成员高效沟通协作。6、富有激情，勇于挑战，具备优秀的学习能力和解决问题能力。,移动互联网,150-500人,go,上海
GO/GOlang开发,https://www.lagou.com/jobs/6477600.html,浦东新区,20k-40k,福州络戴洪文化传播有限公司,5-10年,大专,弹性工作，饭贴，生日会，旅游，年底奖金,工作职责：1、负责手游戏服务器业务的实现、扩展、性能优化、质量把控，以及研发和运营过程中的日常维护；2、负责把控后端研发工作，撰写技术文档，使后端团队协调工作；3、协助客户端业务，后台业务（oss）的研发工作；4、相关数据库的维护和管理；5、负责与策划沟通设计需求并制定可行实现方案；6、配合测试完成功能验收，及时主动排除产品bug。 工作要求：1、计算机、数学等理工类专业，全日制本科及以上学历；2、5年及以上的手机游戏服务端开发经验，有规范的编程风格和良好文档习惯；3、精通go编程语言，精通数据结构与算法；4、熟悉各种网络协议及对应编程，熟悉mysql、redis，Linux开发环境；5、有良好的语言沟通能力、团队合作能力、抗压能力；6、额外熟悉c++，java，python，php等语言2门以上者优先；7、 有go语言开发上线产品经历者优先；8、211类及以上大学毕业生优先。,"移动互联网,游戏",50-150人,go,上海
高级GO开发工程师,https://www.lagou.com/jobs/6677841.html,黄浦区,18k-25k,千言信息技术（上海）有限公司,3-5年,本科,五险一金、学习福利、旅游补贴、15天年假,职位诱惑：五险一金、学习福利、旅游补贴、15天年假国际化平台，员工福利好，地点好，鼓励学习职位描述：职责描述：负责公司项目后端的开发工作；对代码质量负责，参与实现正确、高效、稳定的应用;遵守代码开发规范、单元测试及最佳实践.高质量的完成公司安排的开发任务负责后端技术框架的升级及改进帮助初中级人员提升能力，和解决难点任职要求：计算机专业本科学历4年以上Web项目开发经验，其中，2年以上Go具备2年及以上分布式服务开发经验具备2年及以上的微服务开发经验，且明确理解微服务定义有Go开发经验优先精通数据库（MySQL、Redis 或者NOSQL）及数据调优熟练使用 RabbitMQ、Elasticsearch 等第三方组件；富有严密的逻辑推理能力，享受思考的乐趣，喜欢折腾各种新奇有趣的事物具有良好的编程思想、沟通、团队合作精神、优秀的分析问题和解决问题的能力能够流利的使用普通话及书面中文沟通拥有架构能力，可指导初中级后端工程师具有良好的英语沟通能力者优先,"电商,教育",50-150人,go,上海
后端开发工程师（go/node.js）,https://www.lagou.com/jobs/6864471.html,浦东新区,18k-30k,达而观信息科技（上海）有限公司,3-5年,本科,高提成 六险一金 AI项目 年假多福利多,参与RPA核心系统平台（Studio、任务调度系统和软件机器人）的设计和开发；岗位要求：1、 本科及以上学历，熟悉Node JS、GO、Python、C++至少一种语言；2、熟悉Linux或Windows编程；3、熟悉计算机基础算法优先；4、对新技术敏感，求知欲强，能快速学习并具备较强的技术领悟能力。RPA（Robotic Process Automation），机器人流程自动化，又可以称为虚拟劳动力或数字化劳动力，是一种智能化软件平台，通过模拟并增强人类与计算机的交互过程，实现工作流程中的自动化。达观智能RPA平台融合自有的OCR和NLP技术，可迅速实现业务提效，将重复性劳动进行自动化处理，高效低门槛连接不同业务系统，让财务、税务、金融、人力资源、信息技术、保险、客服、运营商、制造等行业在业务流程上实现自动化智能升级。工作地址,人工智能,150-500人,go,上海
后端开发/架构（Java/Go/PHP）,https://www.lagou.com/jobs/6702373.html,浦东新区,30k-60k,上海基分文化传播有限公司,5-10年,本科,六险一金，绩效奖金,Java有良好的编程习惯，包括好的设计文档，单元测试，代码审查，偏爱敏捷开发模式。对技术有强烈的兴趣，喜欢钻研，具有良好的学习能力，沟通技能，团队合作能力。 熟悉spring boot、spring cloud、dubbo/zk、ibatis等开源框架。熟悉底层中间件、分布式技术（包括RCP框架、缓存、消息系统等).任职资格有大规模高并发访问的Web应用架构设计和开发者优先。有java虚拟机调优经验优先。有大数据爬虫经验的优先。有视频直播相关工作经验优先。Go/PHP1. 参与团队架构设计与开发2. 参与业务模块的抽象和复用3. 攻克高并发、系统解耦等方面的技术难关任职资格：1. 本科及以上学历（985/211优先），计算机相关专业，至少3年以上Golang开发经验；2. 有良好的数据结构、算法基础，熟悉Linux操作系统、网络协议、多线程编程；3. 具备很强的编码能力、抽象能力，有良好的编程风格；4. 有大流量分布式系统的设计和开发经验优先5. 有大型复杂业务系统的设计和开发经验优先6. 有开源项目参与经验优先,文娱丨内容,500-2000人,go,上海
