job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
安全研究员,https://www.lagou.com/jobs/7090172.html,东莞市市辖区,25k-50k,华为技术有限公司,3-5年,本科,大平台，福利待遇好，工作环境优,1、对华为产品和解决方案进行漏洞挖掘与漏洞利用，提前识别安全风险； 2、对业界最新安全漏洞保持高质量跟踪；3、持续跟踪、借鉴业界领先的安全技术成果和最佳实践，研究创新、领先的安全攻防技术方法与工具，并在测试活动中落地。任职要求：1、信息安全、计算机等相关专业本科以上学历；2、熟悉汇编（ARM/X86/MIPS）、C/C++、java、go、脚本语言（python/perl/ruby/bash）等一种以上语言；3、熟悉linux、android、vxworks、windows一种以上系统及其相关调试技术；4、熟悉至少任意2种JAVA WEB框架，并能快速分析自研框架；5、有真实软件漏洞挖掘和利用经验，或提交过高危CVE漏洞，或CTF/PWN类安全技术竞赛能力出众者优先。补充信息：实际薪酬范围视能力而定,通讯电子,2000人以上,go,东莞
高级软件工程师,https://www.lagou.com/jobs/6552032.html,东莞市市辖区,20k-40k,华为技术有限公司,不限,本科,竞争力的薪资、奖金回报、股权激励,业务技能要求：1、深入理解并精通C/C++/Java/Python/Go等一种或多种语言的开发应用，具备大型软件产品设计和开发经验；2、掌握组件化、服务化相关软件架构和技术，具备丰富的多线程、分布式、云化设计和开发经验； 3、经历过大规模软件特性开发，有丰富的项目重构和软件性能优化经验； 4、具有良好的沟通能力，刻苦、敬业、有上进心，对技术有激情，喜欢钻研，有较强的独立、主动的学习能力； 5、3年及以上项目开发经验，独立承担过模块开发、维护工作，并能独立承担系统和模块开发设计工作。 责职要求： 1、承担多个模块的代码编写、单元测试、静态检查、本地构建、测试环境搭建、问题定位、资料开发等工作； 2、参与软件系统核心模块的技术竞争力构建，架构设计，跟踪分析业界发展趋势，完成技术竞争力识别，标杆分析和指标设定。,通讯电子,2000人以上,go,东莞
golang后端开发工程师,https://www.lagou.com/jobs/6632286.html,东莞市市辖区,10k-15k,广东大榕树信息科技有限公司,1-3年,本科,包住宿 公司健身房 环境优美 团队氛围好,岗位职责：1、负责公司软件产品的后台开发，改进工作；2、负责开发设计文档的编写与维护；3、负责程序代码实现，独立完成具体编码；4、公司产品为物联网相关软件系统产品。任职要求：1、编程基本功扎实；2、熟悉go语言或C/C++，一年以上开发经验；3、了解TCP/IP、SNMP、Modbus等协议；4、熟悉Linux开发环境；5、熟悉多线程、多进程、进程间通信；6、有流媒体服务或数据采集服务的实战项目经验；7、有PHP开发经验者优先；8、良好的沟通和口头、书面表达能力；9、计算机相关专业，英语四级以上。福利待遇：1、有社保；2、每年最少一次员工旅游；3、生日礼金、节日礼品或礼金；4、有加班费；5、有出差补贴；6、带薪年假、带薪病假；7、年终奖；8、享受高新技术企业科技人才入户和小孩入学优待政策。工作时间：8：30-11：45；13：15-18：00 大小周休息 法定假按国家规定园区的公司环境优美，有免费健身房提供，公司倡导“快东工作，健康同行”的工作理念，寻找志同道和的您加入大榕树。欲详细了解本公司，请登陆：www.bbniot.com广东大榕树信息科技有限公司成立于2003年，注册资金500万元，是一家主营“动力环境监控、服务器、网络监控产品”的研发与销售的高科技信息化产业公司，产品已成功应用于通讯、电力、教育、金融、政府机构、路桥、能源、制造等行业，深受用户的好评。公司拥有自主核心知识产权，其中15个专利、18项软件著作权和2个注册商标，“”公司相继被评为省市民营科技企业、双软企业、专利培育、专利试点企业，并获得省公安厅的安防资格证书。此外，公司还获得了国家和地方科技创新基金、国家企业特派员企业的立项。公司一直以“诚信、热情、拼搏、创新”的理念在发展和壮大公司，视人才为公司***资源，为员工提供舒适的工作环境、良好的工作氛围，合理的薪酬，社会保险，提供各种培训，并为优秀员工提供入户条件，为员工提供可持续自由发展的平台，让员工能更自由充分发挥自己的专长，为个人、公司、社会创造更多的财富。,"信息安全,数据服务",50-150人,go,东莞
C/C++软件工程师,https://www.lagou.com/jobs/6390396.html,东莞市市辖区,8k-15k,广东大榕树信息科技有限公司,1-3年,本科,包住宿 公司健身房 环境优美 团队氛围好,岗位职责：1、负责公司软件产品的开发，改进工作；2、负责开发设计文档的编写与维护；3、负责程序代码实现，独立完成具体编码；4、公司产品为物联网相关软件系统产品。任职要求：1、编程基本功扎实；2、熟悉C/C++，一年以上C/C++开发经验；3、了解TCP/IP、SNMP、Modbus等协议；4、熟悉Linux开发环境；5、熟悉多线程、多进程、进程间通信；6、有流媒体服务或数据采集服务的实战项目经验；7、有Go语言或PHP开发经验者优先；8、良好的沟通和口头、书面表达能力；9、计算机相关专业，英语四级以上。福利待遇：1、有社保；2、每年最少一次员工旅游；3、生日礼金、节日礼品或礼金；4、有加班费；5、有出差补贴；6、带薪年假、带薪病假；7、年终奖；8、享受高新技术企业科技人才入户和小孩入学优待政策。工作时间：8：30-11：45；13：15-18：00 大小周休息 法定假按国家规定园区的公司环境优美，有免费健身房提供，公司倡导“快东工作，健康同行”的工作理念，寻找志同道和的您加入大榕树。欲详细了解本公司，请登陆：www.bbniot.com广东大榕树信息科技有限公司成立于2003年，注册资金500万元，是一家主营“动力环境监控、服务器、网络监控产品”的研发与销售的高科技信息化产业公司，产品已成功应用于通讯、电力、教育、金融、政府机构、路桥、能源、制造等行业，深受用户的好评。公司拥有自主核心知识产权，其中15个专利、18项软件著作权和2个注册商标，公司相继被评为省市民营科技企业、双软企业、专利培育、专利试点企业，并获得省公安厅的安防资格证书。此外，公司还获得了国家和地方科技创新基金、国家企业特派员企业的立项。公司一直以“诚信、热情、拼搏、创新”的理念在发展和壮大公司，视人才为公司***资源，为员工提供舒适的工作环境、良好的工作氛围，合理的薪酬，社会保险，提供各种培训，并为优秀员工提供入户条件，为员工提供可持续自由发展的平台，让员工能更自由充分发挥自己的专长，为个人、公司、社会创造更多的财富。,"信息安全,数据服务",50-150人,go,东莞
java架构师,https://www.lagou.com/jobs/6814635.html,东莞市市辖区,20k-35k,拓维信息系统股份有限公司,5-10年,不限,周末双休,工作职责：1、负责Java项目的架构设计和系统分析工作，分阶段分别输出概要设计和详细设计；2、为Java项目开发团队，提供模块化，服务化的核心代码开发以及开发指导；3、负责部分技术预研，以及项目开发团队的技术能力赋能；岗位要求：1、计算机技术等相关专业本科以上学历，有深厚的Java功底及项目经验；2、5年以上 Java/J2EE 项目开发经验； 3、精通Java语言，熟悉Java及其服务化系统架构设计，有大型关系型数据库的开发和设计经验；  4、熟悉一种关系型数据库，熟悉SQL语言；熟悉NoSQL，有相关的项目经验更佳； 5、熟练掌握主流框架（Spring/Struts/MyBatis 或 SpringBoot/SpringCloud）的原理及使用者优先；6、有其他编程语言基础（如Python，Go等）更佳7、思路清晰，具备良好的编程能力，较强的分析和解决问题的能力； 8、良好的交流沟通能力和团队合作精神；,"移动互联网,教育",2000人以上,go,东莞
运维开发工程师,https://www.lagou.com/jobs/6950879.html,东莞市市辖区,8k-13k,南宁星际华鑫网络科技有限公司,1-3年,大专,晋升空间大，企业福利好！工作灵活性强！,工作内容：1.	负责运维系统开发以及工具的设计，如监控数据分析系统、自动部署系统、集群管理系统等；2.	针对运维领域已有的系统和环境，以标准化自动化为结果导向，保证稳定性的同时持续优化提升效率；3.	协同架构团队/运维团队，改进和优化运维工作，并进行前瞻性规划，负责需求分析/架构设计/模块开发；4.	分析运维工作中的瓶颈问题，设计并开发使用于于公司环境的工具，持续提升自动化的比例和效率；5.	运维标准化建设，积累并总结运维工作的最佳实践，参与制定标准化相关规范和策略，并跟进实施。岗位要求：1.	大专及以上学历；2.	计算机应用，计算机科学技术，计算机网络、软件工程、电子技术、自动化、等理工类相关专业优秀.3.	了解Linux操作系统原理，有较长使用时间或系统管理经验为佳，在Linux环境下有完整的项目开发经验为加分项.4.	能够熟练使用java/php/python/javascript/go中至少两门编程语言，有相关领域已完成的项目为加分项，算法和数据结构方面的掌握度为加分项；5.	对主流数据库，具备基本了解和使用经验，有基于数据的成熟系统开发经验为加分项;6.	对互联网业务的架构有一定的了解和认识，比如DNS原理/负载均衡原理/网络通信协议，比较清楚客户端和服务端交互的全过程，有网站或app开发经验为加分项，产品完成度和复杂度为具体加分标准。7.	较强的学习能力和顺畅的沟通能力，具备良好团队协作能力，能够与业务人员对场景/问题/需求进行高效沟通。,硬件、软件开发,15-50人,go,东莞
架构师,https://www.lagou.com/jobs/6906189.html,东莞市市辖区,28k-30k,广东源禾智智能科技有限公司,5-10年,不限,直接向CEO汇报工作，广阔的发展平台,岗位职责：1、参与项目的需求调研，协助产品经理完成需求分析、设计文档、落地方案的编制；2、基于客户的IT运维现状与期望，为客户规划智能运维的愿景并结合公司的智能运维产品制定实施落地规划等；3、负责与软件研发部、软件外包商对接，持续跟进相关子系统或功能模块的研发过程，确保研发内容满足设计要求，并把控里程碑和关键任务；4、参与系统优化，协助解决项目开发过程中的技术难题；5、识别项目中的风险、并制定风险应对措施。任职要求：1、计算机相关专业本科及以上学历，六年以上R&D工作经验，具有丰富的行业解决方案经验，有大数据/IBMS或智慧园区相关行业经验优先；2、六年及以上的软件系统设计经验独立承担项目的系统设计工作；3、精通常用设计模式和主流设计工具，具有Java框架设计能力，有搭建Java框架经验，能参与核心模块的开发；4、至少精通Python、go、Java一种编程语言；精通Linux系统内核及虚拟化技术，能够熟练进行配置；5、熟悉运用Oracle、SQL Server、MySQL等主流数据库开发；熟悉B/S架构设计，熟悉敏捷开发、DevOps的开发模式、良好的软件开发规范；6、熟悉LonWorks和BACnet、以及KNX等通讯协议，并能够在协议基础上开发智慧园区或IBMS应用层软件或设计架构；7、具有较强的客户沟通及引导能力，能深入理解客户在IT运维方面的需求和痛点，并给出有针对性的解决方案；8、协助开发人员建立大数据/平台的业务模型；9、系统架构师证书/PMP证书/ACP证书等持有者优先；薪资：年薪35W-45W,通讯电子、物联网,50-150人,go,东莞
5G云化/服务化的分布式数据库开发,https://www.lagou.com/jobs/6834435.html,东莞市市辖区,20k-40k,华为技术有限公司,3-5年,本科,竞争力的薪资、奖金回报、股权激励,岗位职责：1、负责云化/服务化的分布式数据库系统的特性开发、问题定位和性能调优； 2、主攻分布式云化数据库弹性、一致性及大规模并发读写高性能数据库等技术方向； 3、参与产品云化/微服务化（docker、K8s）架构演进、微服务拆解，构建稳定、竞争力强的服务化架构并落地；面向未来承担关键软件技术的设计与开发； 4、负责看护产品核心技术，承担模块关键技术、疑难问题攻关，提升产品优势； 5、面向下一代网络架构，负责服务框架、网络切片和分布式磁盘引擎等前沿技术预研。业务技能：1、熟悉C/C++、Java、Python、Go、Js等语言的一种或多种，具备丰富开发能力和经验，能够熟练运用完成开发工作；2、具有良好的计算机和操作系统基础，熟悉常见的数据结构和算法，熟悉设计模式，具有一定的架构设计能力和重构经验；3、熟悉linux操作系统，对进程间通信/socket编程/多线程并发等有相关经验，有PaaS平台开发经验者优先；4、熟悉MangoDB/RocksDB等数据库者优先，具备数据库或高性能服务器软件设计开发经验者优先；5、熟悉Paxos/Raft等算法者优先；6、熟悉Tcp/IP/Sctp或者http，soap，diameter等协议者优先。,通讯电子,2000人以上,go,东莞
通用软件开发工程师,https://www.lagou.com/jobs/6844383.html,东莞市市辖区,15k-30k,华为技术有限公司,应届毕业生,本科,有年终奖有加班费有五险一金基数为实际工资,岗位职责：  在这里，你将从事IT应用层软件、分布式云化软件、互联网软件等的设计开发，可以采用敏捷、Devops、开源等先进的软件设计开发模式，接触最前沿的产品和软件技术，成为大容量高并发技术的专家；你将参与华为产品的软件研发工作，包括但不限于：  1、完成从客户需求到软件产品定义、架构设计、开发实现、再到上线运营维护等产品生命周期中的各个环节；  2、创造性解决产品在实现过程中的技术难题，应用前沿技术提升产品的核心竞争力，如分布式系统、性能调优、可靠性、数据库等。    岗位要求：  1、计算机、软件、通信等相关专业本科及以上学历；  2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/JS/HTML/GO等编程语言中的一种或数种，有良好的编程习惯；  3、优选条件：  （1）熟悉TCP/IP协议及互联网常见应用和协议的原理、熟JS/AS/AJAX/HTML5/CSS等前端开发技术。  （2）有IT应用软件、互联网软件、IOS/安卓等相关产品开发经验，不满足于课堂所学，在校期间积极参加校内外软件编程大赛或积极参于编程开源社区组织。,通讯电子,2000人以上,go,东莞
通用软件开发工程师,https://www.lagou.com/jobs/6853327.html,东莞市市辖区,15k-30k,华为技术有限公司,不限,本科,软件开发,岗位职责：      在这里，你将从事IT应用层软件、分布式云化软件、互联网软件等的设计开发，可以采用敏捷、Devops、开源等先进的软件设计开发模式，接触最前沿的产品和软件技术，成为大容量高并发技术的专家；你将参与华为产品的软件研发工作，包括但不限于：1、完成从客户需求到软件产品定义、架构设计、开发实现、再到上线运营维护等产品生命周期中的各个环节；2、创造性解决产品在实现过程中的技术难题，应用前沿技术提升产品的核心竞争力，如分布式系统、性能调优、可靠性、数据库等。岗位要求：1、计算机、软件、通信等相关专业本科及以上学历；2、热爱编程，基础扎实，熟悉掌握但不限于JAVA/C++/C/Python/JS/HTML/GO等编程语言中的一种或数种，有良好的编程习惯；3、优选条件：（1）熟悉TCP/IP协议及互联网常见应用和协议的原理、熟JS/AS/AJAX/HTML5/CSS等前端开发技术。（2）有IT应用软件、互联网软件、IOS/安卓等相关产品开发经验，不满足于课堂所学，在校期间积极参加校内外软件编程大赛或积极参于编程开源社区组织。工作地点：深圳、东莞、北京、南京、西安、武汉、上海、杭州,通讯电子,2000人以上,go,东莞
