job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
软件开发工程师,https://www.lagou.com/jobs/6798823.html,雨花台区,13k-26k,华为技术有限公司,不限,本科,Linux操作系统驱动，内核，用户态研发,职位1：Linux 操作系统开发工程师岗位职责：1、 参与Linux开源社区技术开发，挖掘关键技术和构建原型系统，推动关键技术落地；2、 参与Linux开源社区关键组件的开发和补丁贡献，融入主流开源社区，巩固和提升华为在开源社区的影响力；3、 参与通用linux操作系统关键子系统的特性需求分析、设计、开发、维测及调优工作；4、 负责操作系统关键组件持续演进，如技术开发、开源运作、行业认证等；岗位人员要求：1、统招本科及以上学历，具备 Linux操作系统相关开发经验；2、至少精通一门编程语言：C、go、python等；3、有Linux各主要开源社区补丁贡献者/活跃者优先；4、具备Linux应用程序开发、驱动开发、性能调优、中间件、虚拟化等方面的研发经验者优先；职位2：Linux 操作系统网络开发工程师岗位职责：1、 参与Linux开源社区网络领域技术开发，挖掘网络域关键技术和构建技术原型，推动相关网络技术落地实现；2、 参与Linux开源社区网络领域关键组件的开发和补丁贡献，巩固和提升华为在开源社区的影响力；3、 参与通用linux操作系统关键子系统的特性需求分析、设计、开发、维测及调优工作；4、 负责操作系统关键组件持续演进，如技术开发、开源运作、行业认证等；岗位人员要求：1、 统招本科及以上学历，熟悉计算机网络，了解Linux领域IPV4、IPV6、TCP、UDP等相关网络协议栈； 2、 至少精通一门编程语言：C、Python、Go等；3、 有Linux主要开源社区补丁贡献者/活跃者优先；4、 具备Linux网络开发、性能调优、中间件、虚拟化网络等方面的研发经验者优先；,通讯电子,2000人以上,go,南京
PaaS平台研发工程师 — 代码编译方向,https://www.lagou.com/jobs/7110581.html,鼓楼区,20k-40k,北京字节跳动科技有限公司,3-5年,本科,"六险一金,弹性工作,免费三餐,租房补贴",,文娱丨内容,2000人以上,go,南京
区块链工程师,https://www.lagou.com/jobs/6652324.html,江宁区,15k-30k,续科天下（北京）科技有限公司,不限,硕士,扁平化管理，全球资源共享,"职位描述
 设计与实现高可扩展、高性能的区块链基础架构。
 实现关键基础架构以支持大型区块链应用程序，包括p2p网络，异步共识，虚拟机，区块
 数据库等。
 构建基础测试套件和集成测试框架。
 与学术研究人员进行合作，研发下一代区块链技术。
 为开源项目贡献代码。
职位要求
 计算机相关专业硕士及以上。
 至少熟悉以下语言之一：C++，Rust或者Go
 熟悉网络编程，多线程编程，操作系统和编译器等相关计算机基础知识。
 能够编写质量高，覆盖率高的单元测试。
有以下任一经验者优先
 具有设计和实现区块链基础设施的经验。
 具有共识算法或分布式系统的研究背景。
 从头开始构建过一个编译器。","移动互联网,金融",15-50人,go,南京
后端开发实习生,https://www.lagou.com/jobs/6807526.html,鼓楼区,10k-20k,北京字节跳动科技有限公司,不限,本科,六险一金,,文娱丨内容,2000人以上,go,南京
运维经理,https://www.lagou.com/jobs/7164965.html,雨花台区,18k-25k,众能联合数字技术有限公司,5-10年,大专,期权激励,"岗位职责  1. 根据公司的战略，进行系统运维相关的规划和管理，建立规范化的运维体系，提高运维的稳定性、可靠性；2. 建立和完善公司的监控体系和事件处理机制，确保业务的稳定运行；3. 服务器基础平台（Linux操作系统、配置管理、存储、网络、监控、安全、备份）的 设计、实现、优化、管理、维护；4. 为开发团队提供系统技术支持，部署服务，优化系统性能；5. 结合CI/CD，推进容器平台建设（Docker, Kubernetes）；6.服务器硬件和云平台方案的技术选型、性能测试、容量规划；7.开发运维工具，规范运维流程，编写运维文档，提升运维效率。任职要求  1、计算机网络或计算机相关专业，全日制本科以上学历；  2、至少五年以上的运维经验，具备故障分析和处理能力，吃苦耐劳，能够在高压力下工作，有三年以上管理经验； 3、精通Linux系统的使用和配置，熟悉Linux系统原理，有丰富的定位解决系统故障、优化性能的经验；4、熟悉数据库系统 SQL Server/MySQL, 熟悉数据配置管理；5、熟悉APP系统架构，以及相关服务的部署调优；6、精通Shell脚本编写，熟悉至少一种编程语言（Python, Perl, Go, Ruby等）；7、了解服务器硬件知识及性能优化；8、对系统和网络安全有深刻的认识，思维缜密，高度的责任心；9、对开源技术有强烈的兴趣和爱好；","移动互联网,企业服务",500-2000人,go,南京
后端开发工程师,https://www.lagou.com/jobs/4092132.html,玄武区,9k-18k,南京贝湾信息科技有限公司,1-3年,不限,"福利好,团队棒,个人成长快","关于扇贝团队：扇贝是国内知名的在线学习平台，已经拥有过亿用户，同时持续盈利。我们在分布式架构，自然语言处理等技术方面也有长期积累，结合精良的内容制作，能够为用户提供独特和优秀的产品服务。- 我们会有各种分享会，产品、设计、技术、运营、英语大家一起交流；- 我们有一个专门的活动室，工作之余可以与小伙伴一起健身、运动；- 我们每天提供下午茶；- 我们提供人体工程学座椅， 办公电脑是Mac；关于扇贝后端团队：- 技术栈：Python3/Go/Nodejs/Kotlin；- 内部 grpc 协议；- 基于 Docker 的 CI/CD；- 基于 Kubernetes 的运维系统；- 只写必要的注释，多花点时间起好名字；- 我们每个月至少有两次团队分享，每个人都要参与，分享计入考评。 我们也会积极参与到技术社区的分享中；- 学习能力是个人晋升的重要指标。基本要求： - 熟悉数据库表设计，具备数据建模能力- 熟悉性能调优，包括不限于：缓存的使用，数据库查询的优化，服务的水平扩展- 熟悉服务故障定位方法，熟悉Linux系统，监控报警指标的设计- 熟练使用Python/Go/Java(Kotlin)- 能够遵循规范，遵守流程。熟练使用 Git。加分项：- 了解使用过 gRPC- 了解消息队列，包括AMQP, kafka 等- 了解使用过 docker, kubernetes- 了解 service mesh- 参与或贡献过开源项目","移动互联网,教育",150-500人,go,南京
后端工程师（实习岗）,https://www.lagou.com/jobs/3948271.html,玄武区,4k-6k,南京贝湾信息科技有限公司,应届毕业生,不限,"团队棒,个人成长快","关于扇贝团队：扇贝是国内知名的在线学习平台，已经拥有过亿用户，同时持续盈利。我们在分布式架构，自然语言处理等技术方面也有长期积累，结合精良的内容制作，能够为用户提供独特和优秀的产品服务。- 我们会有各种分享会，产品、设计、技术、运营、英语大家一起交流；- 我们有一个专门的活动室，工作之余可以与小伙伴一起健身、运动；- 我们每天提供下午茶；- 我们提供人体工程学座椅， 办公电脑是Mac。关于扇贝后端团队：- 技术栈：Python3/Go/Nodejs/Kotlin；- 内部 grpc 协议；- 基于 Docker 的 CI/CD；- 基于 Kubernetes 的运维系统；- 只写必要的注释，多花点时间起好名字；- 我们每个月至少有两次团队分享，每个人都要参与，分享计入考评。 我们也会积极参与到技术社区的分享中；- 学习能力是个人晋升的重要指标。基本要求： - 熟悉Python 或 Java(Kotlin)；- 熟悉 RESTful API 的设计；- 熟悉 MVC 模式，了解 Django/Flask/Tornado／Spring框架中的一种或者多种；- 熟悉 Git, Markdown；- 熟悉关系型数据库(RDBMS)设计，熟悉基本数据结构和算法；- Linux 系统基础知识；- 能够遵守规范，有团队合作精神。如果你对下列内容也有所涉猎，就更好了:- Redis- Docker- Service Autodiscover- Microservice- Puppet/Ansible- Elasticsearch- MQ- Spider- APIblueprint欢迎向我们展示你的:- GitHub/Stack Overflow","移动互联网,教育",150-500人,go,南京
PHP开发工程师,https://www.lagou.com/jobs/7139643.html,鼓楼区,8k-15k,奥琦玮信息科技（北京）有限公司,不限,本科,"五险一金,餐补,弹性工时","你需要做的事情：1、负责公司saas产品的设计，开发及改进工作2、参与系统的需求分析、设计、评审工作3、负责参与编码、codereview 、技术研究4、负责与其他团队研发沟通，推进项目进展希望你是这样的人：1、 计算机相关专业，本科以上学历，英语四级以上，能熟练阅读英文文档2、精通PHP, 四年以上开发经验，对于PHP底层实现有一定了解，熟悉PHP的常用包管理工具以及常用框架的实现原理（CI Laravel）3、熟悉HTTP协议，HTML/CSS/Javascript等Web开发相关技术；熟悉Linux常用命令，有一年以上基于Linux平台开发经验4、熟悉MySQL数据库，对于查询优化有一定经验5、有责任心，好学，团队合作意识，能承担压力6、有高并发及精通算法者优先，有Python 或 Go 第二语言经验者优先有进销存、采购、配送、Erp、供应链、电商项目经验者优先","移动互联网,消费生活",500-2000人,go,南京
golang,https://www.lagou.com/jobs/6978258.html,雨花台区,15k-30k,北京南海中天科技有限公司,3-5年,本科,试用期享转正薪资,"工作职责：负责平台服务器端研发工作根据产品需求，进行系统设计和编码持续对系统架构进行改造和优化 岗位要求：本科及以上学历，计算机相关专业，熟悉Go语言及后端开发，2年以上GO经验熟练掌握go语言相关框架(Echo, Beego, Gin等其中一种)，能够自主完成后端系统设计与实现掌握mysql，redis, rabbitmq, docker使用， 了解http协议，Oauth的原理 加分项：有交易系统项目, 服务端高并发和Ruby经验优先","电商,软件开发",50-150人,go,南京
python后端开发工程师,https://www.lagou.com/jobs/5320384.html,鼓楼区,15k-30k,北京墨云科技有限公司,3-5年,本科,五险一金,岗位职责：1、 负责公司安全产品的开发和维护，不断完善产品的安全能力2、 跟踪业内攻防技术、研究实现等，掌握实施业内安全动态任职资格：1.     计算机软件相关专业本科及以上学历，三年级以上工作经验2． 精通C/C++/Python/go等至少一门语言，熟悉shell脚本，掌握常见结构和算3． 有安全相关产品研发经验4． 有大规模分布式集群系统研发经验优先5． 精通容器技术，包括docker、mesos、k8s、swarm等6． 练掌握网络、应用、数据库的性能调优技术7． 了解常见机器学习算法,信息安全,50-150人,go,南京
