job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
DM2665-QQ音乐-C++/GO后台开发工程师,https://www.lagou.com/jobs/6838301.html,南山区,15k-30k,腾讯科技（深圳）有限公司,1-3年,不限,大平台,岗位职责：负责腾讯音乐相关产品（QQ音乐/全民K歌等产品）后台工作； 负责中大型项目的后台server软件架构和整体框架设计； 负责提出海量服务的解决方案，寻找高并发高负载服务应对策略； 负责Linux下面的C/C++系统以及数据库应用的设计和开发，要求开发的系统具有高性能和高可靠； 参与相关产品需求讨论与产品系统架构的设计和优化工作。岗位要求：本科及以上学历，至少2年以上相关开发经验； '掌握C/C++/Go等编程语言中的一种或几种，并有实际的项目开发经验，熟悉Linux下的网络编程及常用的系统编程知识，熟悉互联网应用协议； 了解并使用过KV存储，如Redis，了解MySQL及其相关开发，具备一定的数据分析能力； 具有良好的分析解决问题能力，能独立承担开发任务，有一定的项目进度把控能力；责任心强，良好的沟通和团队协作能力，主动，好学； 拥有扎实和体系完备的计算机专业知识，有互联网高并发、高性能、分布式系统设计和开发经验者优先； 有流媒体、音视频处理经验、熟悉ffmpeg，可加分但不做强求；掌握一定推荐系统知识者，可加分但不做强求。,社交,2000人以上,go,广东
TME-腾讯音乐C++/GO后台开发工程师,https://www.lagou.com/jobs/6315992.html,南山区,15k-30k,腾讯科技（深圳）有限公司,1-3年,本科,广阔发展平台，鹅厂福利，免费班车,岗位职责负责腾讯音乐相关产品（QQ音乐/全民K歌等产品）后台工作；负责中大型项目的后台server软件架构和整体框架设计；负责提出海量服务的解决方案，寻找高并发高负载服务应对策略；负责Linux下面的C/C++系统以及数据库应用的设计和开发，要求开发的系统具有高性能和高可靠；参与相关产品需求讨论与产品系统架构的设计和优化工作。任职要求：本科及以上学历，至少2年以上相关开发经验；掌握C/C++/Go等编程语言中的一种或几种，并有实际的项目开发经验，熟悉Linux下的网络编程及常用的系统编程知识，熟悉互联网应用协议；了解并使用过KV存储，如Redis，了解MySQL及其相关开发，具备一定的数据分析能力；具有良好的分析解决问题能力，能独立承担开发任务，有一定的项目进度把控能力；责任心强，良好的沟通和团队协作能力，主动，好学；拥有扎实和体系完备的计算机专业知识，有互联网高并发、高性能、分布式系统设计和开发经验者优先；有流媒体、音视频处理经验、熟悉ffmpeg，可加分但不做强求；掌握一定推荐系统知识者，可加分但不做强求。,社交,2000人以上,go,广东
ＧＯ主程,https://www.lagou.com/jobs/6835816.html,海珠区,25k-40k,广州奇异果科技有限公司,3-5年,本科,出国旅游 、 一年4次调薪、海外新项目,岗位职责：1、负责新项目主程序，从0开始开发一款游戏产品；2、参与游戏业务的需求评审、设计、编码、调试、上线；3、收集信息分析系统性能，找到系统瓶颈，提出改进方案并执行，最后保证稳定上线。任职要求：1、计算机相关专业，本科及以上学历，5年以上互联网行业后端开发经验；2、go为主要语言，2年以上go语言项目开发经验；3、有从无到有带领团队开发项目经验；4、熟悉mysql、mongodb、redis；5、掌握linux操作系统常用命令，熟悉unix环境编程；6、能抗压，能独立完成工作，具有良好的团队合作精神。,"移动互联网,游戏",50-150人,go,广东
GO开发工程师,https://www.lagou.com/jobs/3820855.html,南山区,15k-30k,深圳市即构科技有限公司,3-5年,本科,"核心部门,高并发,大牛云集,氛围浓厚",－负责IM类业务需求的后台架构设计、开发、运营－负责在线教育产品SAAS服务的后台架构设计、开发、运营职位要求：－本科及以上学历，2年及以上后台开发经验－良好的数据结构和算法能力－熟悉Unix/Linux开发环境，熟悉网络开发，理解并发编程－熟练掌握GO语言，有大型项目开发经验优先－在GO语言的基础上，有C/C++系统开发经验优先－良好的沟通能力和责任感，能够承担工作压力，独立分析和解决问题,"移动互联网,企业服务",150-500人,go,广东
高级GO开发工程师,https://www.lagou.com/jobs/6788802.html,南山区,20k-25k,万兴科技集团股份有限公司,3-5年,本科,上市公司 发展空间大 管理规范,"岗位职责：1.   根据产品需求和系统规划，负责核心业务系统的系统设计与开发；2.   负责后台功能开发以及维护，研发项目的项目管理工作。任职要求：1.   有四年以上Linux后台服务开发经验，两年以上Go语言实战开发经验，有微服务系统、API、运营系统等设计与开发经验，本科及以上学历；2.   具备优秀的团队协作精神，良好的沟通表达能力；3.   精通Go语言编程和设计模式，精通Linux网络编程、多线程编程，有分布式微服务治理、高性能、大并发后台服务开发经验者优先；4.   精通Mysql数据库，擅长SQL优化者优先；5.   熟悉Redis、Memcache、MongoDB等缓存中间件和NoSQL数据库,熟悉RabbitMQ、NSQ、Kafka等消息中间件。",移动互联网,500-2000人,go,广东
后台开发工程师（GO/C++/搜索推荐方向）,https://www.lagou.com/jobs/7203281.html,福田区,15k-30k,深圳市客路网络科技有限公司,3-5年,本科,国际化平台,,旅游,500-2000人,go,广东
高级GO开发工程师,https://www.lagou.com/jobs/6950091.html,天河区,20k-40k,广州市搜游网络科技有限公司,3-5年,大专,高薪,"岗位职责：1. 使用 Golang 架构和开发服务端软件；2. 建立并持续改善软件开发、测试与发布流程;3. 与项目相关人员配合共同完成应用软件的开发设计工作;4. 负责相关前沿开发技术的调研；任职要求：1、计算机及相关专业本科及以上学历；2、需要长期出差，公司提供优质食宿。3、开发经验丰富，熟悉golang语言,基础扎实，接受c/c++/python转go，至少三年后端编程经验;4、精通Golang协程，熟悉 Mysql、MongoDB、Redis 的基本操作；5、熟悉lua脚本编程和web、TCP等网络编程语言；6、良好的算法基础和清晰的编程思路，对算法类有一定的研究；7、工作积极主动，态度踏实认真，有较强的职业素养和工作操守；8、对技术有激情，喜欢钻研，能快速接受和掌握新技术，学习能力和工作责任心强，良好的沟通表达能力和团队协作能力。",移动互联网,15-50人,go,广东
PCG19-腾讯视频GO/C++后台工程师,https://www.lagou.com/jobs/6233830.html,南山区,10k-20k,腾讯科技（深圳）有限公司,1-3年,本科,平台发展,工作职责：负责腾讯视频app移动后台的设计与开发； 负责腾讯视频弹幕、直播服务等系统的设计与开发； 负责腾讯视频看单、push等系统的设计与开发。工作要求：本科及以上学历，计算机、通信及相关专业；2年以上开发项目经验，至少2年的GO或C/C++开发经验；深入了解TCP/UDP协议，进程间通讯编程，熟悉各类服务器架构并能合理的应用；对系统的瓶颈、业务扩展性，有比较强的把控能力；有海量服务器开发经验优先。,社交,2000人以上,go,广东
PCG19-腾讯视频GO/C++后台工程师（深圳）,https://www.lagou.com/jobs/6233510.html,南山区,15k-30k,腾讯科技（深圳）有限公司,1-3年,本科,免费早餐、免费班车、五险一金、大平台,"岗位职责：
 负责腾讯视频app移动后台的设计与开发；
 负责腾讯视频弹幕、直播服务等系统的设计与开发；
 负责腾讯视频看单、push等系统的设计与开发。
岗位要求：1. 本科及以上学历，计算机、通信及相关专业；2.2年以上开发项目经验，至少2年的GO或C/C++开发经验；3. 深入了解TCP/UDP协议，进程间通讯编程，熟悉各类服务器架构并能合理的应用；4. 对系统的瓶颈、业务扩展性，有比较强的把控能力； 5.有海量服务器开发经验优先。",社交,2000人以上,go,广东
C++／Go后台开发工程师 (MJ002903),https://www.lagou.com/jobs/7121010.html,番禺区,20k-40k,广州华多网络科技有限公司,3-5年,本科,健身房；餐补；免费咖啡,"工作职责：负责云视频会议系统的后台开发，设计，维护，优化。任职资格：1、本科以上学历，计算机或相关专业；2、3年以上linux C++/GO 后台开发经验；3、熟悉分布式/高并发/实时系统的设计, 了解相关理论知识；4、熟悉MySql/Redis等数据库以及缓存系统的使用；5、具备优秀的分析复杂解决问题的能力；6、具备强烈的责任心和团队精神，积极主动的工作意识；7、有云会议后台架构设计经验者优先。",文娱丨内容,2000人以上,go,广东
高级c++/go开发工程师 (MJ002230),https://www.lagou.com/jobs/6355679.html,番禺区,15k-30k,广州华多网络科技有限公司,3-5年,不限,公司大，平台广，福利多，设施配备全,"岗位职责：1. 负责大数据通道的设计、开发、以及维护； 岗位要求：1. 本科以上学历， 计算机或相关专业；2. 3 年以上Linux/Unix后台开发工作经验； 精通C++、go等一种以上开发语言；3. 精通TCP/IP协议，HTTP协议，socket编程，多线程编程，熟悉Unix/Linux下常用架构设计方法；4. 熟悉Unix/Linux操作系统原理，常用工具；5. 熟悉Mysql及开源No-SQL存储；有大型监控系统的数据处理和存储经验优先6. 思路清晰，优秀的分析和解决问题的能力, 具备良好的沟通能力，团队合作意识, 能主动承担，乐于分享。",文娱丨内容,2000人以上,go,广东
go语言开发工程师,https://www.lagou.com/jobs/6770863.html,南山区,20k-40k,北京字节跳动科技有限公司,1-3年,本科,休闲下午茶,,文娱丨内容,2000人以上,go,广东
Service By Shopee Go开发工程师,https://www.lagou.com/jobs/7137704.html,南山区,20k-40k,深圳虾皮信息科技有限公司,1-3年,本科,大牛多，氛围好，外企，福利好,"业务描述：SBS（Service By Shopee）服务于”Shopee自营“和”Shopee代商家运营“两种业务模式，由PMS（采购管理系统，服务于内部运营人员）和SRM（供应商门户，服务于供应商）承载。自2018年起已覆盖供应链供应商管理，商品管理，采购管理，出入库管理等流程，并于2020年搭建结算管理流程以形成一体化综合服务平台，使得供应链得以更好为商家和Shopee电商赋能。SBS产品不仅需要具备供应链的综合性业务知识，更需要对Shopee复合型电商模式的有全面的理解，如何将这两者整合成一个易用的产品，是对这个团队最大的挑战。技术责任描述： 
 负责SBS项目的开发建设、方案设计、优化和需求调查；
 负责建设高可靠、高并发的分布式API系统及服务端软件；
 重构和优化现有系统，满足业务高速发展；
 快速响应，处理解决线上问题；
 指导培训新员工；
 负责新技术的落地实施和相关的技术分享。
任职要求：
 计算机及相关专业，本科以上学历，一年及以上全职开发工作经验；
 扎实的编程基础，良好的代码风格和编程习惯；
 熟练掌握Go语言，有一年以上Golang项目开发经验，熟悉Python优先；熟练掌握IO、多线程、gRPC等基础框架；
 熟练使用MySQL，掌握数据库的设计方法;
 熟悉常见的消息队列、缓存服务和存储服务，有阅读或贡献源码者优先；
 熟悉WEB常见安全问题；
 优秀的逻辑思维能力和学习能力，具备较强的责任感和主动性，良好的沟通能力、团队协作精神；
 有电商供应链、物流系统开发经验优先。",电商,500-2000人,go,广东
