job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Go开发工程师,https://www.lagou.com/jobs/6755926.html,高新区,12k-24k,成都医云科技有限公司,1-3年,本科,"平台大,发展好,福利好",职位诱惑：独角兽企业 平台大 发展好职位描述：岗位职责：1.为项目提供强有力的server支持工作；2.参与迭代的规划、设计，让产品成为你的作品；任职要求：1.精通GO语言，熟悉常用开源框架及设计模式；2.对数据库、缓存、网络通信等有丰富经验和一定认知；3.有技术追求的“年轻人”！工作地址成都 - 高新区 - 天府软件园B区6栋二楼,"社交,医疗丨健康",150-500人,go,成都
Go 语言高级开发工程师,https://www.lagou.com/jobs/7134319.html,武侯区,18k-25k,杭州隆埠科技有限公司,5-10年,大专,五险一金，团队氛围好，试用期薪资不打折,"职位诱惑：
 五险一金，团队氛围好，试用期薪资不打折；
 办公地点在高端的天府四街 OCG，良好的办公环境；
 上班不打卡，每个人配备 MacBook Pro + 27 寸 4K 外接显示器； 
 后端岗位我们希望招聘到经验丰富的，不一定非得是 Go 语言，如你掌握 Ruby、Python、Java 等其他后端开发，也可通过；
 入职将会有专业指导 Go 语言、React、前端、Ruby、Rails 等工作需要的常用技能；
职位描述：
 理解业务需求，负责日常产品设计与开发；
 有需要的情况下参与中间件的设计与开发；
 与运维合作，部署维护自己的服务模块；
 参与技术合作方沟通和协同开发（需要英语）；
 我们期望有丰富的业务系统开发经验；
职位要求
 5 年以上互联网项目后端开发经验，并且需为业务系统开发经验；
 有机器学习、自然语言处理相关经验会有很大加分；
 这个岗位对前端方面没特别要求，但假如你是全栈工程师一定会有很大的加分；
 有数据库日常设计开发以及优化经验（MySQL、PostgreSQL）；
 熟悉 Docker、Kubernetes 会加分；
 可以用英语写文档以及书面沟通；
 熟练使用 macOS 以及 Linux 提供，掌握 Git 技能；
加分项
 有金融行业开发经验；
 有异地多活开发经验；
 英语流利；
 有机器学习、自然语言处理相关工作经验；
 全栈工程师能力；",数据服务,50-150人,go,成都
后台高级工程师/架构师（Rust Go C++）,https://www.lagou.com/jobs/7138603.html,锦江区,25k-50k,深圳市世云新媒体有限公司,3-5年,本科,研究前沿 按效果奖励 技术牛人多,任职要求：有较好的程序设计基础，良好编程习惯和素养；有较强的数学能力和算法实现能力；有架构能力，有架构复杂大型系统经验，对数据库、高并发、安全有实际经验；能够站在服务器角度思考问题，理解服务器的感受；能站在用户角度思考问题，能帮公司解决实际问题；本科或以上，算法、数学优秀，解决问题能力强。岗位职责：从事云计算领域底层技术开发，对接AWS和阿里云IaaS平台；Rust/Go/C/C++，精通至少一门；架构iVX.cn 后台，及其相关服务；负责服务安全稳定运行。,数据服务,50-150人,go,成都
后台高级工程师/架构师 Rust go C/C++,https://www.lagou.com/jobs/7138596.html,锦江区,15k-30k,深圳市世云新媒体有限公司,应届毕业生,本科,"GO深度开发，全栈技能，餐补,五险一金",任职要求：1. 有较好的程序设计基础，良好编程习惯和素养；2. 有较强的数学能力和算法实现能力；3. 有架构能力，有架构复杂大型系统经验，对数据库、高并发、安全有实际经验；4. 能够站在服务器角度思考问题，理解服务器的感受；5. 能站在用户角度思考问题，能帮公司解决实际问题；6. 本科或以上，算法、数学优秀，解决问题能力强。岗位职责：1. 从事云计算领域底层技术开发，对接AWS和阿里云IaaS平台；2. Rust/Go/C/C++，精通至少一门；架构iVX.cn 后台，及其相关服务；3. 负责服务安全稳定运行。,数据服务,50-150人,go,成都
go语言开发工程师,https://www.lagou.com/jobs/6877343.html,高新区,12k-18k,成都网信天成科技有限公司,3-5年,本科,"社保,加班补贴,周末双休, 包住宿",GO语言开发工程师 岗位职责：1. 承担区块链系统核心功能代码设计与开发；2. 针对区块链技术在行业领域的应用，基于区块链技术的产品和解决方案的设计和开发工作；3. 搭建开发区块链平台和基础框架;4. 参与区块链技术在行业应用中的衔接与落地；5. 从事区块链产品的设计和研发工作，研究区块链的协议，运行机制和底层实现；岗位要求：1、3年及以上互联网领域的设计开发经验；2、 熟练掌握 Go，C++等主流区块链系统开发语言至少一种，GO优先，参与过区块链开发社区并贡献源码者优先；3、 了解一些主流NoSQL数据库的原理与使用，尤其是KV型数据库，包括不限于LevelDB，RocksDB等；4、 熟悉Linux的常用命令，熟悉常见的性能查看工具及gdb等调试调优工具使用5、 参与过网络框架、搜索引擎、分布式数据库、云计算平台等底层平台或组件开发6、熟悉Bitcoin、Ethereum、EOS等开源区块链系统细节设计7、熟悉BFT、Paxos、Raft等一致性协议之一的细节8、 熟悉PoW，PoS，DPoS等区块链共识算法/协议细节9、熟悉现代密码学或者网络安全相关技术,"移动互联网,电商",50-150人,go,成都
【实习】GO开发（成都）,https://www.lagou.com/jobs/7056565.html,高新区,2k-3k,杭州安恒信息技术股份有限公司,应届毕业生,本科,导师一带一,工作内容：1、负责审计产品后端基础框架设计和实现，并能不断改进基础框架的可维护性，可扩展性，可持续性和稳定性；2、负责和产品经理沟通产品需求并能协同前端开发一起落地实现业务需求。岗位介绍：1、21届，本科大三或研一研二学生，计算机及相关专业，每周实习五天，实习时长五个月及以上；2、 具有go后端开发经验，最好有一个项目的开发经验；3、 至少熟悉并且跟踪一个go开源项目；4、熟悉go web API开发，熟悉前后端分离，熟悉restful，swagger等api开发思想/工具；5、至少熟悉一种关系型数据库(mysql，postgreSQL等)，有ORM使用经验，熟悉SQL语句调优；6、熟悉微服务架构，有gRPC，rpcx经验更佳；7、保持技术好奇心，有强烈的责任心和团队精神，善于沟通和合作。,"信息安全,数据服务",500-2000人,go,成都
真心热爱编程的全栈工程师: Go+前端,https://www.lagou.com/jobs/7036914.html,高新区,10k-20k,成都掌梦科技有限公司,应届毕业生,不限,产品很有前景 学习氛围好 公司食堂,"任职要求：熟练掌握GO 语言熟悉Mysql, Redis 等后端存储方案熟练掌握 Html, CSS, JavaScript，ES6 熟悉 jQuery,React /Redux等主流开发框架熟悉less或sass熟悉 Webpack，grunt，gulp等项目构建工具对新技术有强烈的探索欲望，勇于实践，敢于尝试产品意识强，会站在用户的角度考虑问题加分: 1)  有算法基础2）英语好3）有音频视频学习工作背景","消费生活,工具",少于15人,go,成都
go语言开发工程师,https://www.lagou.com/jobs/7209160.html,高新区,12k-18k,成都融盒科技有限公司,3-5年,本科,"周末双休,购买社保,发展空间大","职位诱惑：社保,加班补贴,周末双休, 包住宿职位描述：GO语言开发工程师 岗位职责：1. 承担区块链系统核心功能代码设计与开发；2. 针对区块链技术在行业领域的应用，基于区块链技术的产品和解决方案的设计和开发工作；3. 搭建开发区块链平台和基础框架;4. 参与区块链技术在行业应用中的衔接与落地；5. 从事区块链产品的设计和研发工作，研究区块链的协议，运行机制和底层实现；岗位要求：1、3年及以上互联网领域的设计开发经验；2、 熟练掌握 Go，C++等主流区块链系统开发语言至少一种，GO优先，参与过区块链开发社区并贡献源码者优先；3、 了解一些主流NoSQL数据库的原理与使用，尤其是KV型数据库，包括不限于LevelDB，RocksDB等；4、 熟悉Linux的常用命令，熟悉常见的性能查看工具及gdb等调试调优工具使用5、 参与过网络框架、搜索引擎、分布式数据库、云计算平台等底层平台或组件开发6、熟悉Bitcoin、Ethereum、EOS等开源区块链系统细节设计7、熟悉BFT、Paxos、Raft等一致性协议之一的细节8、 熟悉PoW，PoS，DPoS等区块链共识算法/协议细节9、熟悉现代密码学或者网络安全相关技术工作地址","金融,区块链",50-150人,go,成都
"Go语言, C/C++ 软件开发",https://www.lagou.com/jobs/6966023.html,青羊区,12k-24k,成都零壹众科技有限公司,3-5年,本科,移动宽带网络新市场,"1. 负责通信系统服务端部分架构设计以及实现新功能2. 完善系统的安装和升级。任职要求： 1.本科学历及以上，计算机、通信、电子相关专业; 具备扎实的计算机理论基础2.熟悉 Go语言, C/C++ 并具有其中一种或以上的成功开发经验3.精通TCP、UDP、RTP/RTCP等网络通信协议，具有丰富网络编程经验；4.熟悉多线程编程、并发控制和优化，掌握异步开发模式和面向服务的开发5.了解常用数据库, 如: MySQL、MongoDB、Redis等6，有如下音视频相关技术者优先：6.1  熟悉RTSP、RTMP、HLS等流媒体协议相关技术；6.2 了解监控系统的GBT28181/onvif协议，有GBT28181/onvif协议的实际项目开发经验者；6.3 了解H264,mpeg4,G711等音视频传输的封包和解析，了解ffmpeg等相关知识者；10.思维敏捷，性格开朗，责任感强，工作积极主动11.有很好的团队意识，具有很好的沟通能力和团队协作意识","移动互联网,文娱丨内容",少于15人,go,成都
Go 语言实验设计实习生,https://www.lagou.com/jobs/7211948.html,高新区,3k-4k,成都琛石科技有限公司,应届毕业生,本科,工程师氛围，免费零食，学习资源,"本职位接受长期远程工作。岗位职责：
 负责 Golang 相关的在线实验课程制作。
 优化实验楼（shiyanlou.com）现有 Golang 课程内容。
 对 Golang 课程内容和排版进行处理，并完成课程测试。
任职要求：
 计算机及相关专业，统招高年级本科生或研究生。
 至少熟悉一种常用编程语言，熟悉 Linux 和 Github 使用。【需在简历中说明】
 擅长运用简单、准确的语言表达。做事认真仔细，脚踏实地。
 有排版「强迫症」，追求文本段落的美观性。
 如果有个人技术博客请附在简历中。","教育,数据服务",15-50人,go,成都
