job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
go语言开发工程师,https://www.lagou.com/jobs/5116307.html,西湖区,15k-30k,杭州溜达网络科技有限公司,3-5年,大专,"快速发展,14薪,带薪年假,周末双休",关于我们：我们是一家做流量增长的企业服务公司，服务过网易、阿里云、携程、中国电信等多家知名企业，核心团队来自阿里的在线营销部门，有16年的丰富行业经验。我们期望把这些能力复制给更多的商家，帮助他们掌握自己的流量，不受制于平台。 期待有梦想、有韧性，乐于创造价值的你加入！你将承担的工作：1.用go语言开发公司的部分网站。2.用go语言开发linux服务器相关软件。 你已掌握的技能：1. 熟练使用Linux操作系统； 熟悉web开发相关技术。2. 精通C/C++/PHP等其中一种开发语言。3. 熟悉数据结构与算法，熟悉Redis、MongoDB等NoSQL技术。4. 拥用良好的编码规范，能够熟练阅读英文文档。5. 5年以上编程开发经验，拥用GO语言开发一年以上经验。6. 了解TCP/IP协议栈，HTTP协议。7. 了解Linux编程；了解POSIX API；sockets编程；用C写过多进程/多线程的网络服务程序优先。 你会获得有行业竞争力的薪资和很多个性化的福利：1. 行业大牛CEO的**内部培训分享会，助攻UP~!2. 核心员工股权激励方案、年终分红、全额公积金、年终奖、绩效奖金、带薪年假；3. 弹性工作时间，上下班无需打卡；4. 超高能装备：升降支架，机械键盘，3D显示屏幕等等；5. 不定期组织outing ：漂流，轰趴，露营BBQ，旅游等等超酷团建项目；6. 免费购书无上限。 优秀同学薪资open!,移动互联网,50-150人,go,杭州
后端高级开发工程师(Go),https://www.lagou.com/jobs/7173515.html,下沙,25k-35k,杭州鲸算科技有限公司,5-10年,不限,双休,岗位职责：1. 带领开发团队完成技术平台的开发任务2. 负责运维基于容器的自动化平台及各个组件的设计和开发3. 负责监控系统、日志平台的优化和二次开发4. 负责公共云管理系统设计和开发5. 负责安全中心的设计和开发任职资格：1. 5年以上开发经验，有很好的项目和人员管理经验2. 具有良好的编码规范，理解并遵循标准的开发流程，有很强的自动化运维的意识3. 熟悉Go语言开发，以及go生态相关框架和库4. 有Python开发经验优先5. 熟悉Docker以及Kubernetes编排系统并有相应开发经验的优先6. 好奇心强，做事靠谱，善于思考，沟通能力强，执行力强,"人工智能,软件开发",500-2000人,go,杭州
go开发工程师,https://www.lagou.com/jobs/7206410.html,西湖区,15k-20k,武汉佰钧成技术有限责任公司,1-3年,大专,六险一金 周末双休 带薪年假 绩效奖金,任职要求1.负责视频监控协议开发2.提升产品稳定性的开发工作3.根据需求做定制化开发或脚本开发4.出差偶尔客户现场支持岗位要求：1.2年以上Linux系统下开发经验；2.熟悉Golang；3.至少熟悉Shell/Perl/Python一种脚本语言；4.GBT28181和ONVIF经验者优先；5.沟通理解能力较好，具备独立分析和解决问题的能力。后面的同学需要沟通一下预期，有一定的客户支持工作，不全是代码开发岗位职责（主要工作内容、核心要点）1.视频监控产品业务诊断工具开发2.提升视频监控产品业务稳定性相关的开发3.客户网络诊断工具开发4.协议客户端模拟工具开发5.客户对接与问题排查,移动互联网,2000人以上,go,杭州
服务端研发工程师（Go）,https://www.lagou.com/jobs/6966697.html,西湖区,20k-40k,杭州微拍堂文化创意有限公司,3-5年,大专,独角兽企业,"岗位职责：1、负责微拍堂基础服务系统的研发，迭代及升级维护；2、优化调整基础服务架构高可用性、高可扩展性；3、对现有系统的不足进行分析，找到目前系统的瓶颈，改进系统算法，提出并实施落地可行性优化方案。任职要求：1、熟悉Golang，3年及以上实际项目经验；2、熟悉微服务的设计原则，对分布式缓存、消息队列、全链路追踪等技术有实际项目经验；3、熟悉MySQL、Redis、MongoDB等主流数据库结构的设计,有独立部署调优经验；4、熟悉TCP/IP协议的基本运作原理；5、熟悉分布式系统，Elasticsearch，Kingshard,Codis,Nsq者优先；6、热爱钻研，有责任心、不浮不躁、具备良好的沟通能力及团队合作精神。","移动互联网,电商",500-2000人,go,杭州
go后端／golang,https://www.lagou.com/jobs/6537172.html,西湖区,15k-30k,杭州微拍堂文化创意有限公司,3-5年,本科,六险一金 餐补 全勤奖 年终奖 出国旅游,"岗位职责：1、负责微拍堂基础服务系统的研发，迭代及升级维护；2、优化调整基础服务架构高可用性、高可扩展性；3、对现有系统的不足进行分析，找到目前系统的瓶颈，改进系统算法，提出并实施落地可行性优化方案。任职要求：1、熟悉Golang，2年及以上实际项目经验，了解TIDB源码者优先；2、熟悉微服务的设计原则，对分布式缓存、消息队列、全链路追踪等技术有实际项目经验；3、熟悉MySQL、Redis、MongoDB等主流数据库结构的设计,有独立部署调优经验；4、熟悉TCP/IP协议的基本运作原理；5、熟悉分布式系统，Elasticsearch，Kingshard,Codis,Nsq者优先；6、热爱钻研，有责任心、不浮不躁、具备良好的沟通能力及团队合作精神。","移动互联网,电商",500-2000人,go,杭州
监控平台开发工程师（Python、Go、C++）,https://www.lagou.com/jobs/7113916.html,余杭区,15k-25k,杭州同花顺数据开发有限公司,1-3年,本科,上市公司 免费中晚餐 核心项目,"岗位职责：1. 负责公司监控平台的设计和开发工作；2. 发现和解决系统性能瓶颈等技术难题；3. 整合现有监控，针对业务系统提出合理优化建议,提高监控的有效性，实时性，先于用户发现问题。岗位要求：1. 本科以上学历，有1年以上互联网运维平台或中间件研发经验,掌握两种及以上开发语言；2. 对监控理念有较深的理解，了解国内外先进的监控解决方案；3. 有监控系统研发或运维经验，熟悉业界常用开源监控系统架构及工作原理（如zabbix;nagios;prometheus;open-falcon等），能够根据不同监控问题制定相应监控解决方案；4. 开源监控系统二次开发经验更佳。","金融,电商",2000人以上,go,杭州
GO开发工程师,https://www.lagou.com/jobs/6965178.html,余杭区,15k-30k,杭州同花顺数据开发有限公司,1-3年,本科,金融大数据产品 技术氛围浓 上市公司,职责描述：1、负责后端业务中心、服务平台的API基础层建设、维护； 重构原有项目从其他语言到GO；2、支撑用户中心、产品中心、充值中心、CRM等系统业务，能够高效的进行迭代；3、不断学习并创新，改进后端系统的服务能力。任职资格及要求：1、统招本科及以上学历，计算机、数学相关专业；2、两年以上开发经验，一年以上的Golang开发经验，有主流框架的项目经验；3、基本功扎实，熟悉常见设计模式、常见数据结构算法、MySQL等关系型数据库、熟悉缓存技术、HTTP协议；4、较强的设计能力，具有良好的代码风格、接口设计与程序架构，可独立高标准的完成系统的设计及开发；5、具有良好的团队协作沟通能力、责任心强、快速学习能力；6、有网络编程、高并发开发经验优先。,"金融,电商",2000人以上,go,杭州
go/golang/C++/Java,https://www.lagou.com/jobs/7162532.html,西湖区,30k-60k,上海佑柏装饰设计工程有限公司,5-10年,本科,云计算 ，世界500强,办公地点：上海/杭州/北京岗位职责：构建新一代serverless计算平台，包括：1. 设计和实现完整可扩展的前端系统，包括身份验证/权限管理，元数据管理，流量控制，计量计费，日志监控等等2. 设计和实现弹性可靠的后端系统，包括资源调度，负载均衡，容错处理等等3. 丰富易用的SDK/Tools/CLI/控制台4. 用户需求驱动，追踪业界趋势，利用技术推动业务的成长任职资格：1. 算法/数据结构/操作系统等基础知识扎实，优秀的逻辑思维能力。2. 至少掌握一门编程语言。例如Java/Go/C/C#/C++。3. 有大规模、高可用分布式系统开发经验者优先。4. 有Web/Mobile Backends/Microservice开发经验者优先。5. 良好的沟通能力和团队合作精神，有一定的组织协调能力。6. 本科及以上学历7. 3年以上工作经验,其他,15-50人,go,杭州
Go后端开发,https://www.lagou.com/jobs/6898846.html,江干区,6k-9k,杭州集信科技有限公司,应届毕业生,不限,福利佳，工作生活平衡，性价比高,职位描述：1. 负责各产品线的后端微服务的开发2. 负责和前端的联调对接3. 负责Bug的修复和软件完善工作任职资格：1. 本科及以上学历，计算机相关专业2. 熟练掌握Go或Node.js语言，有C++开发经验者优先3. 熟悉MySQL、Sqlite，Redis等常用数据库，有良好的数据库设计和优化能力4. 具备良好的编码习惯，结构清晰，命名规范5. 熟悉linux下开发，有跨平台开发经验者优先6. 有高并发、海量数据处理经验者优先,"通讯电子,其他",15-50人,go,杭州
GO|Golang开发工程师,https://www.lagou.com/jobs/7146226.html,西湖区,15k-25k,拉勾猎头,3-5年,本科,"阿里系,云生态,数据智能,周末双休",﻿1、大数据运维开发工程师（面向docker、kubernetes做自动化部署、监控、运维平台开发）; 2、负责公司大数据产品运维管理平台的迭代研发； 3、负责公司产品交付效率工具研发；﻿1、本科及以上学历，3年左右的golang开发经验，熟练使用web开发框架； 2、熟悉docker，熟悉kubernetes架构，有实际的容器云开发和运维经验； 3、熟悉grafana\promethues等开关项目，有实际的监控系统开发经验； 4、有面向To   B项目交付经验者优先； 5、有大数据产品运维经验者优先； 6、对新技术有快速学习和上手能力，对代码有一定的洁癖； 7、能接受短期出差者优先。  加分项： 1、在GitHub或其他平台上有热门开源项目,"移动互联网,企业服务",500-2000人,go,杭州
