job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
应用后台开发工程师（安全态势感知方向）,https://www.lagou.com/jobs/6776369.html,渝北区,8k-15k,杭州初灵信息技术股份有限公司,1-3年,本科,六险一金、年底双薪、餐补、交通补贴,岗位职责：1)负责构建安全态势感知类数据应用开发，提供安全事务处理的后台开发服务；2）负责数据处理系统设计和开发，包括日志采集落地、清洗入库，实时统计、特征及模型加工等。任职资格：1）计算机或信息类、数学统计类相关专业本科及以上学历2）至少1年以上大数据应用后台开发工作经验3）熟练掌握Java、C++、Go其中至少一种语言，熟悉Shell，有Python开发者经验者优先；4）熟练掌握分布式高并发、高可用服务的设计思路和开发技能和经验；5）熟悉Hive、HBase、Spark、Presto、ElasticSearch、 Kafka、Redis等大数据组件，有处理经验者优先；,"移动互联网,数据服务",500-2000人,go,重庆
golang后台开发工程师,https://www.lagou.com/jobs/7159216.html,渝北区,15k-22k,腾讯科技（深圳）有限公司,1-3年,本科,16薪,岗位职责：    负责服务器端研发维护工作，保障系统稳定性； 负责产品安全策略的制定； 负责产品后台功能模块的开发和维护，根据相关需求对功能性进行调整。 （备注：该岗位为腾讯集团旗下全资子公司编制）   岗位要求：    熟悉GO编程语言；了解PHP、nodejs、java等其它语言者优先 熟悉web开发技术：Linux操作系统，web服务器，常见数据库和协议、架构、存储、缓存、安全，隐私，消息队列，API设计等 善于不断学习和运用新知识，具有良好的代码风格，具有良好的分析和解决问题能力 具有良好的团队合作精神、自我驱动力、乐观积极和抗压能力强 具有以下条件者优先： 有大流量web系统研发经验 有大型企业/政务应用开发经验 （备注：该岗位为腾讯集团旗下全资子公司编制）,社交,2000人以上,go,重庆
软件开发工程师,https://www.lagou.com/jobs/6011877.html,渝北区,7k-13k,中国民航信息网络股份有限公司重庆分公司,3-5年,本科,五险二金、国企福利、兴趣俱乐部、三餐,"岗位职责：1、在项目经理带领下独立完成软件系统及模块的编码,按质、按量、按时的完成编码任务。 　　2、根据项目需要，撰写及修改相应的技术文档。 　　3、业务功能实现与单元测试，系统维护。　4、支持项目对产品的应用服务。 岗位要求：
 有良好的沟通协调能力和团队合作精神，具备快速学习新产品和技术知识的能力;工作积极主动、责任心强。 　　
2.计算机相关专业, 精通Java语言，熟悉多线程编程;，至少全职2~3年以上实际开发经验。　　3.熟悉J2EE技术体系架构;熟练掌握Servlet、Spring、SpringMVC、SpringCloud编写技术。　　4.熟悉Tomcat、Jboss、WebLogic等一种以上服务器的布署、配置和调优，熟悉Nginx负载均衡配置。 　　5.熟练掌握Oracle、Mysql、MongoDB其中一种以上数据库应用和设计。 　　6.了解Vue.js、React.js的使用。 　　7.了解Redis缓存处理，以及消息队列使用。　　8.加分技能项:有过Python、Go开发经验，参加过开源项目开发，并有实际贡献。","移动互联网,电商",500-2000人,go,重庆
dba数据库工程师,https://www.lagou.com/jobs/7165822.html,渝中区,11k-19k,重庆商社电子商务有限公司,3-5年,本科,五险一金 前景可期,（一）岗位职责： 1、支持集团数据库稳定运行，监控数据库整体运行情况，持续发现和解决潜在的问题;   2、支持数据库运维管理，包括数据库部署、监控、性能调优、数据迁移、备份恢复、故障快速处理等;  3、部署和优化数据库高可用架构，搭建部署并持续优化;  4、配合开发提供数据库支持，负责SQL上线审核和优化，保证生产环境SQL高效稳定运行;   5、负责异构数据库之间的数据传输和同步;   6、完成数据库相关的工作.  （二）任职要求：1、2年以上oracle 相关的管理开发经验;  2、熟悉/精通oracle数据库体系结构和工作原理，熟练RAC、dg等;   3、了解数据库各版本的功能和特点，以及dataguard原理和实践;4、精通常用数据库备份恢复方法，并理解其工作原理;  5、精通sql优化，并能处理突发事件; 6、熟悉mysql体系结构，了解主从及MGR等优先;    7、熟悉Linux运维管理，熟悉shell、python、go等其中一种脚本语言开发；    8、熟悉常用ETL工具，技术和数据增量同步解决方案;   9、有较强的学习能力，对相关新技术有很强的求知欲和敏感度，并能快速学习新知识;,电商,50-150人,go,重庆
DBA工程师,https://www.lagou.com/jobs/6713366.html,江北区,16k-32k,北京小米科技有限责任公司,5-10年,本科,待遇优、大平台、挑战大、成长快,1.        保障各业务线的各类数据库稳定运行，包括但不限于 MySQL、Redis2.        负责数据库集群的架构设计，协同业务部门实现数据库的可用性保障，纵向和横向扩展方案并落地3.        能够配合业务做优化和调整，实现低成本，高性能的数据库服务4.        开发、设计数据库运维自动化产品和相关组件5.        保持技术敏感度，持续对数据库新技术、产品做调研，并形成可行性方案，推动业务实施，支持业务发展 任职要求:1.        精通 MySQL 或 Redis 数据库体系架构和运行原理，拥有部署、备份、调优、监控等日常运维的必要技能，具备丰富的数据库优化和排障经验2.        熟悉其他相关的数据库产品，MongoDB、TiDB 等，有一定研究和运维经验3.        熟悉 Linux 操作系统，擅长在 Linux 下做服务部署，故障处理和调优4.        熟悉 shell/python/go 等编程语言中的至少一种，能够熟练进行数据库运维自动化开发5.        能够面对工作上的挑战、抗压能力强、积极热情、有团队荣誉感和协作精神,硬件,2000人以上,go,重庆
开发运维工程师,https://www.lagou.com/jobs/6744121.html,渝中区,10k-15k,重庆西西弗文化传播有限公司,3-5年,大专,公司发展稳定，空间大,1、负责公司运维自动化方案的设计与开发，建设公司DevOps平台，包括监控系统，运维平台，自动化测试及部署，数据库，虚拟化等；2、研究DevOps新技术、工具链，推动DevOps实践落地，提升开发交付速度、效能及质量；3、为开发工程师提供一定的运维技术支持；4、参与系统架构设计、改进、优化，并实施技术方案；5、建立运维部署、安全和管理等相关标准化文档。任职资格：1、本科以上学历，计算机相关专业毕业，5年以上运维与架构经验；2. 掌握Bash脚本，掌握Python/Go等一种或多种开发语言；熟练使用Linux系统3. 熟悉微服务部署架构，并有实际运维经验4. 熟练使用Ansible、Git、Jenkins、JIRA、Docker等常用工具5. 有DevOps相关测试、开发、运维经验，熟练掌握持续集成、持续交付、持续运营的理念，有精益敏捷的大型团队落地经验的优先,"消费生活,文娱丨内容",500-2000人,go,重庆
安全运维,https://www.lagou.com/jobs/6742602.html,渝中区,10k-15k,重庆西西弗文化传播有限公司,5-10年,大专,公司发展稳定，空间大,1. 负责公司业务的安全规划和实施、网络攻击处置，入侵检测系统的完善和运营，应急响应等。2. 负责系统环境的漏洞扫描，对网络、系统、数据库、业务系统的安全风险评估和加固以及各种入侵、渗透的防范。3. 负责定期对服务器、操作系统、网络设备、应用程序、公司网站、APP等进行安全漏洞扫描和安全配置检查。4. 跟踪安全攻防技术及安全漏洞，建立健全安全知识库、案例库，不断提高公司整体的安全水平。任职资格：1. 专科及以上学历，计算机相关专业，1年以上甲方互联网行业安全运维经验；2. 熟悉Python、PHP、Shell或Go等至少一门语言；3. 熟悉Linux操作系统，有相关管理或开发经验。熟悉网络、操作系统原理；4. 熟悉TCP/IP协议工作原理、DNS原理、HTTP协议等常见网络协议；5. 熟悉主流安全技术及防范手段，如防火墙、IDS、WAF、漏洞管理、安全审计、SOC、安全加固等；6. 熟悉常见的Web漏洞原理、防范方法和审计方法，包括SQL注入、XSS、CSRF等安全风险；7. 熟悉渗透测试的各类技术及方法，熟练掌握各种渗透测试工具；8. 熟悉Nginx、Mysql、Php、ELK等服务的维护和安全配置。,"消费生活,文娱丨内容",500-2000人,go,重庆
IDC运维工程师,https://www.lagou.com/jobs/7140188.html,北碚区,6k-10k,深圳威尔视觉传媒有限公司,3-5年,大专,五险一金 年假10天,"岗位职责：1、 负责业务系统,服务器日常监控及维护，保障业务安全稳定2、 负责搭建/维护/优化redis,kafka,zk等中间件服务,保障服务稳定运行；3、 日常工作主要对重庆IDC机房进行维护。岗位需求：1、 大专及以上学历，计算机软件或相关专业2、 熟悉Ubuntu,CentOS和windows系统3、 至少熟悉1种开发或脚本语言：Python、Shell、Go等；4、 熟悉kafka,redis,zookeeper,mysql等常见后台组件服务，有长期运营经验者优先；5、 熟悉 IDC 机房,网络设备配置,有大规模网络架构项目经验者优先6、 能够即时故障响应及处理，有良好的学习能力和技术钻研能力，有强烈的责任心和主动性。7、 重庆机房地址：重庆市北碚区水土镇云汉大道中国移动数据中心，有车者优先考虑","移动互联网,文娱丨内容",50-150人,go,重庆
php开发工程师,https://www.lagou.com/jobs/7198191.html,渝北区,12k-15k,重庆尚诺科技有限公司,1-3年,本科,行业独角兽 团队成熟,职位描述：1、负责系统后台的设计及开发，核心代码的编写；2、按照项目计划和产品要求提供优质的解决方案；3、根据设计需求，完成相应模块的设计、开发、Coding；4、完成开发功能的单元测试，查出存在的缺陷并进行修正；5、负责系统的性能调优以及代码的规范优化；6、协助项目管理，对成员进行任务分配、过程监控和技能指导培训。任职资格：1、5年及以上后端开发经验，精通PHP+Laravel全栈开发；2、精通SQL，熟悉MySQL常见性能调优；3、良好的面向对象思维、注重编码规范、以最佳实践为基准；4、良好的问题解决能力；5、熟练使用Linux、Git等；6、熟悉Python、Java+Groovy、Go、Node.js等其他后端语言之一；7、主动性、自驱力、项目监管、过程监控。加分项1、github/segmentfault 等技术社区活跃；2、 参与过开源项目；3、熟悉AWS云产品。,"电商,医疗丨健康",50-150人,go,重庆
高级测试开发工程师,https://www.lagou.com/jobs/6937896.html,渝中区,10k-15k,重庆渝欧跨境电子商务股份有限公司,3-5年,本科,五险一金、周末双休、带薪年假、节日福利,"岗位职责：1、深度参与产品需求分析，负责测试计划制定，提供优化意见，预先评估项目风险，确保测试工作顺利开展；2、设计测试用例、执行测试用例并开发自动化测试脚本；3、建设质量保障体系、制定质量体系规划；4、线上线下故障追踪及分析，推动问题及时解决，并优化测试用例；5、完善研发过程中质量和效率问题的发现机制, 并提出明确改进意见。职位要求：1、本科及以上学历，3~5年互联网测试开发经验，熟悉测试流程、规范和测试用例设计方法；2、熟练掌握互联网测试方法和常用测试工具，对互联网测试工作有浓厚兴趣；3、熟悉自动化测试框架、自动化用例编写，并能对框架进行优化；4、熟悉Android/iOS平台特性，有一定的编程能力，熟悉Java/Obj-C或Python/Go/JavaScript其中一种；5、自驱能力强，对项目质量负责，能主动发现问题，推动项目持续改进。",电商,150-500人,go,重庆
