job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据开发工程师,https://www.lagou.com/jobs/6626474.html,浦东新区,11k-22k,上海商涌网络科技有限公司,3-5年,本科,学习成长快 团队氛围好发展空间大新兴行业,"职责描述： 1、参与大数据平台环境搭建，架构设计及优化，源码二次开发；2、参与基于HBase分布式数据高并发查询架构设计及优化，程序开发；3、参与基于Flink实时平台，实现数据采集，清洗和集成开发任务，并及时跟进解决问题；4、钻研最新大数据技术，能够更为深层次地理解数据技术架构。任职要求：1、计算机相关专业本科及以上学历，两年以上大数据开发工作经验；2、熟悉Linux、Unix系统及掌握基本命令；3、熟悉Hadoop，HBase，Flink，Spark及其基本理论。有过HBase实时高并发查询开发经验和Spark开发经验；4、熟悉使用SQL语句，对SQL查询优化有丰富的经验，熟悉MySQL，熟悉存储过程、函数、包、触发器等；   5、掌握Shell脚本编写，至少掌握两种及以上编程语言如Python,Java,Scala等； 6、了解高并发实时访问开发及其架构构建，具备实施调优经验；7、对Spark，Hadoop等开源的源码有过研究，对于新技术有研究热情，较强的学习能力和团队协作意识；8、有过保险/金融/医疗行业从业经验者优先。","数据服务,人工智能",50-150人,hadoop,上海
大数据开发 (MJ000024),https://www.lagou.com/jobs/5869943.html,浦东新区,15k-25k,上海剑圣网络科技有限公司,3-5年,不限,福利好；工作氛围佳,岗位职责：     1、负责大数据平台的搭建、功能设计、及核心模块的开发；2、负责指导团队成员开发，对代码质量进行监控、保证代码的可读性、易维护性，确保开发质量；3、负责大数据平台新技术的调研及技术选型。4. 对现有系统的不足进行分析，难点攻关，找到目前系统的瓶颈，改进系统架构设计，提高系统性能5. 根据用户行为分析，挖掘有价值的信息，指导公司运营和决策6、负责相关技术文档编写工作。任职要求：岗位职责：     1、负责大数据平台的搭建、功能设计、及核心模块的开发；2、负责指导团队成员开发，对代码质量进行监控、保证代码的可读性、易维护性，确保开发质量；3、负责大数据平台新技术的调研及技术选型。4. 对现有系统的不足进行分析，难点攻关，找到目前系统的瓶颈，改进系统架构设计，提高系统性能5. 根据用户行为分析，挖掘有价值的信息，指导公司运营和决策6、负责相关技术文档编写工作。任职要求：1、计算机相关专业全日制本科及以上学历，3年以上开发工作经验；2、有2年以上Java Web开发经验，能够熟练使用java编写MapReduce程序；3、2年以上大数据开发经验，对HBase，Hive，Spark，Kafka等组件原理和使用有清晰的理解；4、熟练使用hive sql，有数据仓库经验更佳；5、熟练使用scala，有scala编写SparkStreaming进行实时数据统计的经验。,"移动互联网,游戏",150-500人,hadoop,上海
大数据开发工程师,https://www.lagou.com/jobs/6888789.html,徐汇区,10k-20k,上海驰骛信息科技有限公司,1-3年,本科,团建活动、 带薪年假、定期体检、零食水果,"岗位职责：1. 参与大数据产品的设计和开发，包括数据的采集，清洗，预处理，存储，建模，分析挖掘等2. 根据业务用户需要分析数据，提供数据支持3. 参与公司大数据产品的运维和监控，保障数据质量和服务稳定性任职要求： 1. 具备本科以上学历, 计算机, 软件以及相关专业, 3年以上大数据开发经验2. 具备3年以上数据仓库建模和开发经验者优先3. 熟练掌握Java, 对Hadoop相关的技术和组件(HDFS, MR, Hbase, Hive, Spark, Storm, Kafka等）有全面深入了解4. 熟练掌握Shell或者Python中的一种5. 具备2年以上Spark调优经验者优先6. 具备实时计算(Kafka+Storm/Spark Streaming. 经验者优先7. 具备数据分析和数据挖掘方面经验者优先","数据服务,移动互联网",50-150人,hadoop,上海
数据产品（开发者套件方向）(J12413),https://www.lagou.com/jobs/6740744.html,闵行区,30k-40k,上海钧正网络科技有限公司,5-10年,本科,发展前景,,"移动互联网,硬件",2000人以上,hadoop,上海
大数据开发工程师,https://www.lagou.com/jobs/6428613.html,浦东新区,14k-18k,上海海万信息科技股份有限公司,3-5年,大专,做五休二，交通便利，大牛团队,岗位职责：    1、 负责数据统计与分析的研发和维护；    2、 根据产品经理和运营团队等的统计需求，进行开发实现；    3、 负责对用户行为数据的深度挖掘，以数据指导产品改善。    岗位要求：    1、 全日制专科及以上，3年以上工作经验；    2、 Java基础扎实，熟悉主流开源框架，懂JVM调优更佳；    3、 熟悉HBase、Spark、HIVE等数据框架；    4、 熟悉Kafka、ES、Redis等数据中间件；有实时计算经验更佳    5、 良好的SQL语句功底，熟悉MySQL、PostgreSQL、Oracle数据库中的一种；    6、 逻辑清楚、快速的学习能力及良好的沟通能力。,"移动互联网,金融",500-2000人,hadoop,上海
大数据开发工程师,https://www.lagou.com/jobs/5057134.html,静安区,10k-20k,上海海万信息科技股份有限公司,3-5年,大专,"带薪休假,节日礼金,体检旅游,年底奖金","岗位职责：1、参与公司大数据平台的研发2、负责大数据平台基础架构环境搭建，数据仓库建模，及相关运维工作3、处理日常ETL工作4、参与维护大数据平台，并能快速高效解决遇到的问题, 保障平台正常稳定运行任职要求：1、熟悉Hadoop、HBase、Hive、Spark、Flume、Kylin等开源项目的部署、性能调优；2、对Hadoop/Spark有深入理解；3、熟悉Linux系统管理工作；熟悉Shell编程，能够编写脚本解决日常问题，包括自动化的工作流设计","移动互联网,金融",500-2000人,hadoop,上海
大数据开发工程师,https://www.lagou.com/jobs/6967522.html,浦东新区,20k-30k,上海鲲驰贸易发展有限公司,3-5年,大专,"工作氛围好,发展空间大","1.参与大数据平台的各种数据产品的需求调研、（维度等）模型设计、架构及关键模块的设计和开发；2.参与数据仓库/BI需求调研和需求分析，能独立主导数据仓库、数据集市的模型设计；3.参与平台数据采集、数据传输，数据转换、规则引擎等的数据接口规范定义；4.参与搭建平台级数据治理体系；5.参与或负责大数据平台运维团队的日常系统调优及各种疑难问题排查。1.3年以上大数据开发经验，大专以上学历；2.深度理解数据开发工程师的职责和架构设计的目标、原则及取舍；3.熟悉MySQL，PostgreSQL,TSDB等主流数据库，能熟练进行SQL查询优化，有海量数据处理经验；4.熟悉数据标准管理、元数据管理、数据质量管理；5.熟悉Dataworks,Maxcompute优先；6.有电商、贸易、财务、供应链行业经验者优先。",电商,500-2000人,hadoop,上海
Java数据开发,https://www.lagou.com/jobs/7194454.html,徐汇区,20k-32k,深圳苹果树数据科技有限公司,3-5年,本科,腾讯团队,任职资格：    1、本科及以上学历，计算机相关专业；    2、3年以上JAVA开发经验，基础扎实，掌握常用的微服务开发框架，理解JVM原理，理解io、多线程、集合等基础框架，掌握面向对象设计开发;     3、精通MySQL等数据库原理及性能优化；    4、具有大数据开发经验，熟悉Python、R等语言，熟悉Spark开发，熟悉常用的大数据开发工具；    5、熟悉Unix/Linux操作系统原理、常用工具；    6、全面并且扎实的软件知识结构（操作系统、软件工程、设计模式、数据结构、数据库系统、网络安全）；    7、具备良好的分析解决问题能力，能独立承担任务和有系统进度把控能力；    8、好学、责任心强、思维缜密敏捷、良好的对外沟通和团队协作能力；    9、有海量数据和高并发开发经验者优先。,"金融,数据服务",150-500人,hadoop,上海
大数据开发工程师,https://www.lagou.com/jobs/5601093.html,浦东新区,20k-40k,上海阅文信息技术有限公司,不限,本科,"Top团队,福利好,环境佳,发展快",工作职责:负责大数据BI设计和开发；负责阅文日常数据统计分析；数据仓库、数据集市的模型设计与开发；负责ETL数据准确性验证及ETL任务的优化；参与大数据平台和数据仓库的的搭建。任职资格:熟悉大数据处理相关产品架构和技术（如Hadoop/Hive/HBase/Spark/Kafka/Storm/Flume等） ；熟悉数据仓库理论与技术，对ETL及BI有概念并具有丰富的实际操作经验，熟悉ETL开发流程； 熟悉BI项目，具有数据仓库、BI系统开发经验者优先；对mysql、oracle有丰富经验，有较强的数据库脚本编程能力，有较强的存储过程编写能力； 熟练操作linux系统，熟悉shell脚本或python； 有较强的逻辑思维能力，善于分析、归纳、快速定位并解决问题； 性格积极且沉稳，勤奋严谨，强烈的进取心、求知欲和团队合作精神。,文娱丨内容,500-2000人,hadoop,上海
大数据开发工程师,https://www.lagou.com/jobs/5740324.html,松江区,20k-40k,上海明品医学数据科技有限公司,1-3年,硕士,"技术大牛,环境好,氛围好",工作内容：1.    编程实现大数据采集、清洗等业务逻辑2.    通过数据建模实现用户需要的数据分析和挖掘功能3.    开发数据分析和挖掘相关的用户界面岗位要求：1.    数学、计算机、生物信息等相关专业硕士以上学历2.    良好的算法和数理统计相关理论基础，对数据敏感3.    熟悉Hadoop，HBase，Hive，Kylin，Kafka，Storm等数据处理相关技术，了解数据采集、清洗、建模、分析、挖掘等流程4.    掌握至少一种编程语言5.    良好的团队合作精神,"医疗丨健康,数据服务",150-500人,hadoop,上海
高级大数据开发工程师,https://www.lagou.com/jobs/7062583.html,长宁区,20k-30k,飞书数字科技（上海）有限公司,5-10年,本科,互联网广告,"岗位职责：1.主导数据ETL、数仓建设；2.主导新业务和行业的数据商业化探索和数据价值挖掘;3.负责海量数据采集、处理及存储、技术选型及架构实现；4.参与代码的实现，并带领团队追踪大数据和云计算技术的最新科技成果，并应用于内部业务实践。任职要求：1.本科及以上学历，五年以上相关行业经验；2.熟悉数据仓库产品，对数据处理、维度建模、数据分析等有深刻认识和实战经验;3.有较强的编程能力和编程经验, 精通Java，熟悉Hadoop分布式计算框架（HDFS、Hbase、Hive、Mapreduce、Storm/Spark、Flink、kudu等)；4.具备较好沟通协调能力，主动建立与业务的紧密合作，推动业务升级；5.有商业变现，DMP数仓建设和维护经验的优化。","社交,广告营销",150-500人,hadoop,上海
大数据开发工程师,https://www.lagou.com/jobs/6909504.html,长宁区,20k-35k,飞书数字科技（上海）有限公司,5-10年,本科,超长带薪年假 员工体检 健身卡 培训补贴,岗位职责：1、广告业务的实时，离线数据流开发；2、配合运营和产品经理做数据分析工作。 任职要求：1、6年以上大数据开发经验，有广告行业经验优先；2、熟悉云计算开发框架，Hadoop、Hive、HBase、Storm、Kafka等大数据主流工具和技术，有海量数据或海量并发的大型项目架构设计经验；3、扎实的Java（或.NET、PHP）和数据库技术基础，精通Web应用相关技术，熟悉分布式、多线程、异步处理、消息处理、搜索等中间件产品和工作机制；4、丰富的软件开发经验，深入理解各种框架工作源.,"社交,广告营销",150-500人,hadoop,上海
大数据开发工程师,https://www.lagou.com/jobs/6871647.html,徐汇区,15k-30k,上海思贤信息技术股份有限公司,3-5年,本科,健康体检、休闲零食、员工旅游、大牛带队,"岗位职责：
 参与基于Hadoop/Spark平台架构的设计和开发工作 ；
 负责对海量数据进行统计、分析与挖掘，不断提高系统运行效率；
 负责对数据分析及业务开发团队提供大数据技术指导和手段支撑；
 负责大数据平台的性能监控和持续优化；
 维持线上服务高效稳定，支撑业务和数据量的快速扩张;
任职资格：
 3年计算机软件行业开发经验，计算机或相关专业本科以上学历；
 具有扎实的Java或Scala开发语言基础，可以开发高效可靠的代码；
 有Hadoop和Spark实际开发经验,了解大数据组件的使用限制和应用场景，如HDFS、Yarn、HBase、Hive、Flume、Kafka、ZK、Kylin、Kudu、ES、Storm、MongoDB等;
 对分布式存储和计算原理有较深的理解；
 有实际CDH或HDP或Apache版本的Hadoop部署调优经验优先
 有参与并成功开发部署过1个日均TB级的集群项目优先","移动互联网,数据服务",50-150人,hadoop,上海
