job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据开发工程师,https://www.lagou.com/jobs/6426863.html,北辰区,15k-20k,天津市拓甫网络科技开发有限公司,5-10年,本科,五险一金、周末双休、年底双薪、年度体检,"岗位职责：1、满足业务需求，基于海量数据实现数据采集、清洗入库、统计计算、Web展示。2、主要负责实时计算分析和离线数据统计分析；3、构建推荐模型、排序优化系统的设计和开发；4、构建数据管理平台,用于存储、计算、分析、挖掘用户行为等日志数据处理和分析；5、利用挖掘技术分析用户偏好特征，构建用户画像、精细化运营等业务的数据基础。任职要求：1、本科及以上学历，有5年以上大数据开发经验；2、熟练掌握Java以及Scala/Python(2者任意一种)语言，熟练Linux开发环境以及Shell、Python常用脚本语言；3、熟练使用flink,Hadoop，Spark，Storm，Hive，Hbase，elasticsearch，MongoDB等开源技术；4、在实时计算、流计算、多维度olap分析方面有实践经验；5、有3年以上团队管理能力，具有团队合作精神，能独立解决遇到技术难题。","移动互联网,信息安全",50-150人,hadoop,天津
大数据开发工程师,https://www.lagou.com/jobs/6029864.html,河西区,15k-20k,中交智运有限公司,3-5年,本科,央企福利,"岗位职责：1、参与公司大数据系统研发工作；2、参与发掘和分析业务需求，进行系统方案设计；3、参与系统代码编写，确保性能、质量和安全；任职要求：1、全日制本科及以上学历，中共党员优先考虑，计算机相关专业，3年以上IT从业经验；2、精通Java 开发语言，熟悉常见的web前端开发；3、优先考虑有大数据平台Hadoop/Storm/Spark开发经验，熟悉Spark, Hive或Pig原理与实现；4、具有良好的抽象设计能力，思路清晰，善于思考，能独立分析和解决问题,责任心强，具备良好的团队合作精神和承受压力的能力；5、学习能力强，适应能力好，对技术、互联网有热情。","移动互联网,物流丨运输",2000人以上,hadoop,天津
大数据开发工程师,https://www.lagou.com/jobs/7160870.html,河北区,9k-18k,西安格蒂电力有限公司,3-5年,大专,ODS 数据存储,1、数据接入程序部署及测试，存储数据迁移。2、日常开展数据一致性对比、质量核查及数据接入链路日常监测与维护；3、二级系统数据按需上报保障，一级系统数据下发和质量核查；4、ODS场景的数据和业务功能的迁移；5、贴源层数据表到共享层标准表的抹平合并脚本、落模。,企业服务,500-2000人,hadoop,天津
大数据初级开发工程师,https://www.lagou.com/jobs/7047496.html,河东区,8k-11k,上海诺悦智能科技有限公司,1-3年,大专,五险一金 奖金 餐补 通讯补助等,任职要求：1. 精通Scala、java语言，有Scala实际编程经验；2. 精通传统数据库（ORACLE、MySQL等）的存储过程的编写；3. 掌握SparkCore/SparkSQL的设计和框架；4. 掌握Hadoop、HIVE的数据的解析、传输和存储；5. 掌握ORC列式文件的相关使用；6. 深入了解分布式系统、大数据平台、消息队列等高可用高弹性架构;7. 对HDFS/Yarn/HBase/Hive/Spark相关组件的性能优化和补丁跟踪等有实际项目经验者优先；8. 熟悉银行业务，有过银行数据处理、分析经验者优先；9. 在Hadoop、Spark、Storm、Flink等开源社区有过贡献最佳；10. 具有良好的英语读写；11. 本科及以上学历，2年以上相关工作经验；,数据服务,50-150人,hadoop,天津
高级数据库开发工程师(J11164),https://www.lagou.com/jobs/6866934.html,和平区,10k-15k,朗新科技股份有限公司,1-3年,本科,节日福利五险一金交通补助带薪年假弹性工作,,"移动互联网,企业服务",2000人以上,hadoop,天津
C/C++ 数据库开发工程师（内核）,https://www.lagou.com/jobs/3461953.html,西青区,10k-15k,北京人大金仓信息技术股份有限公司,不限,本科,"带薪年假,餐补,交通补助,六险一金",岗位职责：1、负责数据库产品内核的需求分析、系统设计、编码、单元测试、BUG修改等研发工作；2、负责为技术支持人员提供答疑和研发级的技术支持；任职资格：1、本科及以上学历，１年以上数据库内核研发经验；2、精通C/C++语言；3、精通Windows或Linux下系统核心编程（任一）；4、算法能力强，能够设计合理的算法对程序进行优化；5、逻辑思维能力强；6、熟悉研发项目过程，具有基本的项目管理能力；7、良好的沟通能力和技巧，和良好的文档编写能力；8、对工作充满热情，责任心强，能够承受压力；有良好的团队协作意识和能力。,数据服务,150-500人,hadoop,天津
大数据开发工程师,https://www.lagou.com/jobs/6747484.html,滨海新区,15k-30k,渣打环球商业服务有限公司,5-10年,不限,六险一金 带薪年假 节日福利,"The Role Responsibilities：- Development of large scale big data solutions to be used in a very large production environment.- Gather, analyze and maintain large data sets to provide answers to address hurdles and create innovative solutions in large-scale data infrastructures.- Interact with both business and technical stakeholders to deliver high quality products and services that meet business requirements and expectations while applying the latest available tools and technology.- Develop code and mentor junior developers to ensure deliverables are on time, within budget, and with good code quality.- Present technical solutions, capabilities, considerations, and features in business terms. Effectively communicate status, issues, and risks in a precise and timely manner.Our Ideal Candidate- Demonstrated hands on experience building Big Data solutions. Experience with Hadoop ecosystem: Hadoop, Spark, MapReduce, Hive/Pig, Yarn, HBase, etc- Experience with RDBMS as well as NoSQL stacks (ElasticSearch, HBase, Cassandra)- Good grasp of statistical and scientific programming packages in Python is a plus- Experience with data visualization tools: Hue, Kibana, Qlikview, Tableau is a plus- Good grasp of data science concepts with emphasis on machine learning techniques is a plus- Independent problem-solving, highly motivated and self-directing- Experience with Agile/Scrum development methodologies- Software testing know-how, including black-box and white-box testing methodologies and both functional and non-functional testing- Test driven development experience- Understanding of DevOps practices- Aptitude to learn the business domain of the application systems to be developed- Strong communication skills, should be able to communicate effectively with business and other stake holders",金融,500-2000人,hadoop,天津
大数据开发工程师,https://www.lagou.com/jobs/7055006.html,和平区,14k-27k,捷信消费金融有限公司,3-5年,本科,五险一金 带薪休假 补充商业保险,"Duties and responsibilities： l  Deploy business use cases that runs one JD/Taobao like Decision Engine and Search Engine；l  Technical savvy as much as business savvy；l  Being able to guide business who are not familiar with the technical design of DE/SE and design proper business use cases that will easy to implement, and logical to end EShop users；Being able to create KPIs that will be used to monitor system performance.Requirements:l  Deep knowledge of Scala on Spark，Maven/SBT;l  Deep knowledge of Python on scikit-learn, Pandas;l  Deep knowledge of data warehouse data modeling，Spark-SQL/Hive-SQL/PL-SQL;l  Deep knowledge of Vim, Linux;l  Deep knowledge of Decision Tree, LR, GBDT, DBSCAN, Fast-Unfolding, K-means, Data cube, etc and their respective optimization;l  Deep knowledge of XGBoost, LightGBM, Tensorflow framework;Being able to develop with Spark ML. Staff Welfare:1. After on boarding, providing supplementary commercial insurance besides the state-stipulated insurance and housing fund;2. Fast and transparent promotion channel and broad development opportunities;3. 5-15 days paid annual leave and 5 days paid sick leave. Free annual physical check-up;4. Attractive employee activities.",金融,2000人以上,hadoop,天津
大数据开发工程师,https://www.lagou.com/jobs/7087027.html,南开区,11k-20k,天津开发区先特网络系统有限公司,5-10年,本科,天津信息安全**，竞争力的薪资，大牛带队,岗位职责：1、负责大数据平台的开发和优化，基于大数据平台完成项目开发任务；2、负责海量数据的采集、清洗、挖掘，优化大数据计算性能，实时数据计算的开发。岗位要求：1、有实际的产品或项目开发经验熟练java/python/Go等任意一种语言;2、熟练使用Hive、flume、kafka、mongodb、redis、spark、ElasticSearch、hbase组件进行开发，熟悉分布式系统的工作机制者;3、熟悉攻防模型和安全数据（例如网络流量数据，系统安全收集的数据等）的分析和使用；有在大规模分布式数据处理的架构下使用分析数据的经验；4、学习能力强，责任心强，抗压力强，具有较强的思考和解决问题的能力，具有较强的团队沟通和协作能力。,"硬件,数据服务",150-500人,hadoop,天津
数据开发工程师,https://www.lagou.com/jobs/6724078.html,河西区,6k-8k,天津鑫云科技发展有限公司,3-5年,本科,"五险一金,绩效奖金,年底奖金,节日福利","工作职责：1.数据库、数据库的运维和管理，包括MySQL/SQL Server等；2.根据项目需求完成所需SQL语句的编写等；3.新技术调研、测试，改进系统架构，提高系统可用性，可维护性；4.按照用户需求实施数据运维任职要求：1.有MySQL、SQL Server或者其他数据库项目实践经验；2.熟练掌握MySQL/InnoDB原理，熟悉与之相关的运维工具使用；3.熟悉Python，Java，C++, C#，PHP等编程语言中的一种，有自动化运维系统建设经验的优先；4.有过互联网大规模运维经验的优先；5.做过相关app，小程序，公众号前后台对接者优先；6.基于阿里云或腾讯云服务器的项目者优先；7.有强烈的责任心、良好的团队协作精神、良好的沟通能力；","信息安全,数据服务",15-50人,hadoop,天津
