job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据开发工程师,https://www.lagou.com/jobs/7170639.html,新吴区,10k-15k,朗新科技股份有限公司,3-5年,本科,年终奖优厚 公积金福利优厚 蚂蚁生态企业,1.负责业务数据梳理及报表相关功能的设计、开发工作，并负责报表优化、维护；2.有实际的Oracle数据库开发相关工作经历3.有良好的沟通协调能力，能与客户及项目组同事有效的沟通；4.思路清晰，逻辑明确，有较强分析与解决问题能力；5.热爱软件事业，具有较强的责任感，能承受一定的工作压力；6.负责业务数据整合以及分析模型的建立、数据挖掘、优化和评估；专业技能：1.计算机相关专业，3年以上ORACLE数据库开发或大数据处理经验；2.精通PLSQL编程，能够熟练编写ORACLE存储过程等；3.熟悉大数据体系，如数据仓库、etl处理优先,"移动互联网,企业服务",2000人以上,hadoop,无锡
大数据开发工程师,https://www.lagou.com/jobs/6499910.html,江阴市,15k-25k,江苏江阴农村商业银行股份有限公司,1-3年,本科,全国**A股上市的农商行,岗位职责：1、有金融行业数据类项目开发经验者优先；2、基于HADOOP技术的大数据平台的建设、开发、维护与优化；3、协助对业务数据进行分析、建模，为业务部门的数据化运营提供支持；4、负责大数据实施过程中相关技术问题解决；5、完成与工作相关的技术文档编写工作。 岗位要求：1. 2年以上大数据开发或数据建模分析项目经验2.熟悉Hadoop、Spark、Hive、HBase等主流的大数据技术，具备CDH/Hadoop/Hive/Hbase/Spark/Storm等大规模数据处理框架的部署、开发以及调试经验；3.精通JAVA，Linux；有较强的分布式计算基础和软件工程能力4.熟悉传统关系型数据库，如ORACLE、DB25.有海量数据查询、处理的实际项目经验;6.具备良好的团队合作精神，有较好的沟通交流能力，善于主动思考和行动，乐于解决具有挑战性的问题；7.全日制本科及以上学历8.有星环大数据平台经验优先,金融,500-2000人,hadoop,无锡
大数据开发工程师(J11109),https://www.lagou.com/jobs/6844687.html,无锡新区,8k-15k,朗新科技股份有限公司,应届毕业生,本科,上市集团平台稳定学习机会多上升空间大,,"移动互联网,企业服务",2000人以上,hadoop,无锡
数据ETL开发人员,https://www.lagou.com/jobs/6499980.html,江阴市,14k-20k,江苏江阴农村商业银行股份有限公司,3-5年,本科,全国**A股上市的农商行,岗位职责：1、负责现有项目数据部分的例行维护，处理新的数据需求；   2、对现有项目数据处理的流程进行优化，改进过程；  3、负责测试环境数据库搭建与维护，指导与协调业务部门进行用户测试；   4、与测试对接人解决提交的bug和提供改进建议；  5、负责与运维组协调系统的上线，并对业务部门在上线前进行简明的培训；  6、及时对生产线问题提供必要的支持，并负责解决。 岗位要求：1、三年及以上数据库开发经验；2、熟练使用Oracle，Mysql等关系型数据库；3、精通TPLSQL的开发技术，精通Oracle存储过程和函数开发，具备较强的SQL编写功底和清晰的逻辑思维能力；4、具有丰富的SQL优化经验，对索引、执行计划有深入理解；5、熟悉ETL开发相关技术；6、熟悉linux服务，具有Shell脚本编写能力；7、有银行业数据集市开发经验，尤其是监管报送集市开发经验者优先,金融,500-2000人,hadoop,无锡
V2X车路协同平台架构师,https://www.lagou.com/jobs/7199965.html,新吴区,30k-50k,斯润天朗（北京）科技有限公司,5-10年,硕士,"弹性工作,绩效奖金，补充医疗，股票期权","技能要求：C/C++，java，Linux，Python，Hadoop工作职责1、调研跟踪车路协同技术发展现状与趋势，分析国内交通管理模式下车路协同环境的应用场景、解决方案和技术路线;2、 参与车路协同信息物理系统架构设计，围绕车路协同、智能交通、自动驾驶等应用场景，利用系统工程的建模分析方法，分析设计系统功能、数据流向、业务流程和物理架构等内容。3、 参与车路协同相关的示范区和测试场设计;4、 结合信息物理架构设计开展新产品规划和设计工作;5、 参与科研课题和其他咨询项目。6、 负责V2X通信协议栈、底层驱动（内核与模块调试）的设计、研发、测试及其他相关问题的解决；任职资格：1、 交通工程、智能交通、信息工程、通信工程、机械电子工程、计算机等相关专业;2、 交通行业3年以上工作经验，熟悉智能交通、车路协同和v2x相关应用;4、 具备智能交通系统规划设计、车路协同产品开发测试、测试场规划建设等经验者优先。5、 精通无线通信系统，熟悉了解LTE/D2D/V2X 3GPP协议（L1, MAC, RLC ,RRC,SAEL3 etc、）， 具有2年以上协议栈和通信脚本开发经验；6、 熟练使用C/C++语言，有丰富的开发经验，熟悉Linux系统下的软件开发；7、 能够独立完成软件的设计、开发、调试、对接、故障处理等相关任务；8、 良好的编程和质量保证习惯，熟悉常见的软件开发流程，能与上下游环节高效协作；9、 良好的英语表达和沟通能力。","移动互联网,数据服务",50-150人,hadoop,无锡
Java开发工程师（远程在家办公）,https://www.lagou.com/jobs/6809370.html,无锡新区,10k-20k,上海盘古餐饮管理有限公司,3-5年,本科,五险一金,"岗位职责：1、负责与组员共同完成公司网络点单产品云pos的开发2、与组员共同完成公司产品关键技术突破3、平台类产品、应用类产品开发4、技术栈：ReactJs、SpringBoot、Mybatis、Redis、WebSocket、MongoDB、Spark、Hadoop生态岗位要求：1、3年以上的 J2EE 应用开发经验,对主流开发框架,如 Spring、SpringMVC、Mybatis、SpringBoot等有全面的了解和掌握2、熟悉前端流行框架，如JavaScript、Freemarker、VUE、jquery、HTML+CSS、AJAX等3、精通MySQL、Oracle等常用关系数据库开发，能针对项目特性设计性能较优的数据库结构4、具有RESTful、Netty、Mina、RPC、node.js、微服务等的使用及开发经验5、 熟悉前后端分离开发模式,能独立完成功能模块的研发和编码,具有良好的代码风格、安全意识、代码洁癖6、熟悉常用的分布式缓存及消息队列技术，如Memcached、Redis、分布式任务调度平台XXL-JOB等，并运用于实际环境的优先考虑7、熟悉相关负载代理软件，如Nginx、HAproxy、F5等，了解集群高可用HA等技术优先考虑8、熟悉大型电商企业Web优化方案、调优、问题跟踪定位、监控等优先考虑9、有电商系统开发经验、有CRM会员系统、商品系统、订单系统开发经验优先10、熟练使用maven\git\svn\ jenkins，优先考虑11、熟练使用Dubbo以及阿里云等优先考虑可安排远程电话或视频面试集团总部在上海，工作形式为远程在家办公",消费生活,2000人以上,hadoop,无锡
算法工程师,https://www.lagou.com/jobs/6692271.html,无锡新区,25k-45k,西安纳森信息技术有限公司,3-5年,本科,大型上市企业子公司，稳定性高，福利,岗位职责：1.负责使用最新技术，开发新的AI架构和模型，重点关注深度学习；2.创建和训练AI模型，研究不同的解决方案并执行，为理论概念提供数据支撑；3.调查最新的人工智能技术并评估其效益；4.AI技术在工业（例如生产自动化，机床，机器人，工程）中的实际应用；岗位要求：1.拥有计算机科学，计算机工程，电气工程，数学或物理学位；2.本科5年，硕士3年以上的人工智能实践背景；3.熟悉机器学习技术和AI程序框架（例如TensorFlow）4.丰富的跨行业建模分析和数据挖掘项目经验；5.深入了解统计和预测建模，包括机器学习和数据挖掘。有深度学习算法经验的优先；6.熟悉主数据挖掘工具，如SAS，SPSS，R，Python等；7.熟悉关系数据库和SQL；8..有使用大型数据集的经验，了解分布式计算工具（Map / Reduce，Hadoop，Hive等）优先；11.良好的英语沟通交流能力（口头和书面）；,"社交,企业服务",50-150人,hadoop,无锡
java后端开发,https://www.lagou.com/jobs/3645629.html,新吴区,7k-14k,无锡点春科技股份有限公司,3-5年,本科,新项目，新技术,Java服务器后台开发人员工作职责：1.负责服务器端JAVA软件产品设计、开发、测试2.承担产品体系结构分析、设计、系统性能优化、接口设计等3.参与项目前端应用规划设计，与前端工程师配合项目设计4.参与项目外联设备信息、数据对接设计5.按项目规范要求提交软件开发和测试过程中的各类文档 任职要求：1.计算机相关专业本科以上学历2.3年以上java服务器后台开发经验，能熟练使用java语言，会编写 Servlet3.熟练使用 SpringBoot等微服务开发框架，熟悉struts、 Hibernate、Spring、Spring MVC等框架4.熟练掌握http，tcp等网络协议，有通信协议设计经验，对JSONHTTP有深入了解5.熟悉 WebService 、HTML、jsp、servlet、web service、NodeJS等技术 6.熟悉 Mysql或Oracle 数据库，对数据库性能优化有一定经验7.了解并会使用 Maven开发，了解物联网相关通讯技术8.了解大数据相关技术，Hadoop、Hbase等相关知识,"移动互联网,数据服务",50-150人,hadoop,无锡
数据分析,https://www.lagou.com/jobs/5693747.html,锡山区,5k-8k,无锡红豆居家服饰有限公司,不限,本科,专业数据career，大神在线指导,岗位职责：1．负责内部数据提取、处理、挖掘、建模、分析。2．从数据中洞察问题，输出可视化的数据分析报告。3．进行行业研究，为公司决策提供数据支持。任职要求：1．本科学历，统计学、应用数学、计算机等相关专业；2．工作认真积极主动、有较强的学习能力、沟通表达能力、逻辑思维能力；3．有数据分析相关工作经验更佳；4．熟悉数据挖掘、数据仓库、机器学习、hadoop平台者优先考虑。,其他,2000人以上,hadoop,无锡
算法工程师(J11113),https://www.lagou.com/jobs/6833843.html,新吴区,10k-15k,朗新科技股份有限公司,应届毕业生,硕士,六险一金 年终奖丰厚 不打卡 弹性上班,,"移动互联网,企业服务",2000人以上,hadoop,无锡
算法工程师(J11113),https://www.lagou.com/jobs/6844695.html,无锡新区,8k-15k,朗新科技股份有限公司,应届毕业生,硕士,上市集团平台稳定学习机会多上升空间大,,"移动互联网,企业服务",2000人以上,hadoop,无锡
