job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据开发工程师,https://www.lagou.com/jobs/6748373.html,吴中区,20k-25k,苏州海管家物流科技有限公司,5-10年,本科,五险一金 周末双休 年底双薪,岗位职责：1、负责基于传统关系型数据库以及大数据系统进行应用研发、数据建模、数据治理，保障后续的数据分析挖掘工作；2、配合产品经理、数据分析师、算法工程师等实施具体研发工作；3、保障大数据平台稳定高效运行，对大数据平台的数据和性能进行持续优化；4、负责领导大数据研发团队建设数据中台，有领导团队构建数据中台框架的能力；5、完成领导交办的其他任务。任职要求：1、计算机及相关专业，统招本科及以上学历；2、熟练掌握Oracle、MySQL等传统关系型数据库的使用，具有解决数据倾斜等数据问题的能力；3、熟练掌握大数据相关技术如Hadoop、Spark、Hive、HBase、Kafka、Elasticsearch、Ooize、Kylin等，并有实际工作经验；4、熟练使用Linux操作系统；5、熟练掌握Java、Scala、Python、Shell等开发语言中至少两种；6、有阿里云大数据平台开发经验者优先；7、具有机器学习和数据挖掘经验者优先；8、具有互联网企业经验者优先。,"消费生活,电商",50-150人,hadoop,苏州
大数据开发工程师,https://www.lagou.com/jobs/7128390.html,吴中区,15k-25k,云学堂信息科技（江苏）有限公司,5-10年,不限,公司发展空间大 福利待遇好,"岗位职责:1. 熟悉公司产品, 了解业务需求, 与产品及开发团队紧密合作, 完成数据计算及开发工作2. 应用大数据生态技术, 对产品产生的业务数据以及行为日志等进行ETL, 分析, 计算处理, 获取数据价值, 获取对产品对业务有价值的决策支持数据3. 参与公司数据中台/数据仓库的建设, 使用大数据技术及平台, 进行数据计算及挖掘, 更好的服务客户及赋能前台任职资格:1. 5年以上开发经验,熟悉Python/Scala/Java语言其中的一种或两种语言2. 熟悉数据结构及常用算法, 熟悉Linux的常用命令及日常开发使用, 熟悉正则表达式3. 熟悉RESTful API开发规范及最佳实践, 熟悉主流的RESTful api 开发框架Flask或者Spring4. 熟悉常用的Hadoop生态组件Hive, Spark, HBase, 熟悉使用Python或者Scala/Java开发Saprk离线及实时计算.5. 熟悉ETL, 有在受限时间窗口完成大量异构数据的ETL处理的经验4. 有强烈的自我驱动力, 对工作有owner意识及工匠精神5. 能积极主动地对待工作, 具备很好的学习能力、沟通能力及适应能力6. 以下作为加分项:a. 熟悉推荐系统的原理及常规算法, 并有过推荐系统的实际开发建设经验b.了解数据仓库/数据中台的建设思路, 参加过数据仓库/数据中台的实际建设项目",企业服务、教育,500-2000人,hadoop,苏州
大数据开发工程师,https://www.lagou.com/jobs/7179316.html,高新区,6k-8k,南京迈特望科技股份有限公司,1-3年,大专,大平台,工作职责：1、分析海量业务数据，配合业务部门数据查询工作;2、数据库相关程序(存储过程、SQL、Triger等)的编写和更新; 3、对需求的分析及设计; 4、数据仓库整体设计及规划、探索、构建; 5、数据挖掘建模研究。任职要求：1、本科及以上学历，计算机、数学或者金融等相关专业毕业; 2、有实际的mysql、oracle、DB2等数据库开发经验; 3、熟悉Linux环境和命令; 4、对Hadoop、hive、hbase、MapReduce、spark等大数据相关优先考虑;5、有数据仓库设计经验优先; 6、有电信业务经验优先。,"移动互联网,人工智能",500-2000人,hadoop,苏州
大数据开发工程师,https://www.lagou.com/jobs/6260916.html,工业园区,15k-25k,智慧芽信息科技（苏州）有限公司,不限,不限,管理偏平、老板NICE、上班不打卡,,移动互联网,150-500人,hadoop,苏州
数据平台开发工程师,https://www.lagou.com/jobs/6687542.html,工业园区,20k-30k,智慧芽信息科技（苏州）有限公司,3-5年,本科,大数据开发,"工作职责:1、Site Reliability Engineer，负责智慧芽在线SAAS平台可靠、稳定、高效运行；2、负责搜索引擎和大数据内部平台的部署、诊断、排障、调优、开发与维护等工作；3、负责公司数据资产管理，数据治理方面的建设;4、负责公司数据湖，数据仓库的建设；5、参与业务架构设计，在设计阶段给出可运维性改进建议；6、深入研究大数据业务相关运维技术，持续优化集群服务架构，探索新的大数据运维技术及发展方向。任职要求：1、2-3年以上ETL处理相关工作经验；2、熟练掌握java，spring生态，熟练掌握Map-Reduce,Spark等大数据开发工具；3、具备良好的合作精神和快速学习能力；4、熟悉Linux系统及基本操作优先；5、熟悉Tensorflow/Hadoop/Hbase/Hive/Storm/Spark/Kafka/Elasticsearch/Flume其中部分开源项目、可独立定位问题者优先；6、有良好编程习惯优先；7、有云平台运维经验者优先（AWS、阿里云等）、有持续集成及持续部署经验者优先、有日志管理经验者优先、熟悉openstack/kubernate/mesos/spinnaker技术者优先、有ansible开发经验者优先；8、熟悉各种运维开源运维系统以及开源监控系统的优先；9、对机器学习方向有很高的热情和兴趣，能主动学习了解相关知识。",移动互联网,150-500人,hadoop,苏州
大数据开发工程师（业务平台方向）,https://www.lagou.com/jobs/7176997.html,工业园区,12k-16k,苏州市中地行信息技术有限公司,1-3年,本科,有潜力的新兴业务，开放的人和环境,"岗位职责：1.负责业务接口平台的开发与维护；2.负责分析新的数据业务需求, 完成接口文档和实现；3.负责数据质量的监控；4.负责接口平台的性能优化；任职要求：1.两年以上开发经验;2.熟悉Java，熟悉常用框架如Spring boot 、Hiberante、Mybatis；3.愿意使用多种语言，熟悉Python语言者优先；4.了解一些常用算法，如分词、余弦距离等5.熟悉关系型数据库如Oracle和MySql，精通SQL编写，熟悉ETL工具；6.掌握Redis和Mongodb开发；7.需要热爱编写程序，喜欢学习，愿意挑战各种不确定性问题；","数据服务,移动互联网",50-150人,hadoop,苏州
大数据开发工程师（数据方向）,https://www.lagou.com/jobs/7177656.html,工业园区,12k-20k,苏州市中地行信息技术有限公司,3-5年,硕士,有潜力的新兴业务，开放的人和环境,岗位职责：1.基于Scrapy设计和开发爬虫系统2.负责公司的数据清洗和数据质量3.开发数据可视化应用4.基于统计学或者机器学习对公司数据进行统计分析 任职要求：1.两年以上大数据处理相关经验2.精通java或者python语言的一种，两种都懂加分3.熟悉Scrapy框架，能够独立设计并编写爬虫程序4.熟悉关系型数据库如Oracle和MySql，精通SQL编写，熟悉ETL工具5.掌握Redis和Mongodb开发6.能够使用Echarts开发大数据可视化应用7.有统计学和机器学习相关经验，掌握回归，聚类等分析方法8.以上要求3-7符合2项以上即可。9.需要热爱编写程序，喜欢学习，愿意挑战各种不确定性问题,"数据服务,移动互联网",50-150人,hadoop,苏州
大数据开发工程师,https://www.lagou.com/jobs/6720999.html,工业园区,18k-35k,微软（中国）有限公司,3-5年,本科,六险一金 15天带薪年假 15天带薪病假,"微软苏州招聘20+ 大数据相关软件开发工程师，要求英文可以工作交流，计算机基础知识，如算法和数据结构掌握扎实；Microsoft365 Big Data and Compliance Engineering team is hiring software engineers to work on big data performance and compliance systems for Windows and Office worldwide.  Hundreds of millions of global customers use Microsoft365 (M365, including Windows, Office and Office365) products every day. The engineering and telemetry logs, datasets behind this are at world’s largest scale: 1000+ PiB storage and 700K CPU cores. There are various kinds of data platforms and systems working with each other to deliver efficient services.  The M365 Big Data team manages this critical big data platform and we continuously optimize cloud storage & processing resources for M365 worldwide. We have achieved 100 million dollars cost reduction in the past few years, and have accumulated a wealth of technical experience in distributed storage and processing fields.Our team is also updating and establishing the data governance process to enforce access management and controls for protected data. Our team will design and build this compliance system with highly reliable and secure requirements, which will be used by all engineers in M365 to meet all privacy commitments.Successful candidates will become experts on big data performance, and will share best practices with thousands of M365 engineers all over the world. There will be many opportunities to show your passion, your talents in big data, improve the efficiency & reliability of the systems, pursue engineering excellence and make tremendous impact!Qualifications：• BS or MS degree in Computer Science or related field• 0-5 years of experience on design/development with C#/SQL Server/ASPX/JavaScript/Azure• Quick learning and solid problem solving, design, coding, and debugging skills• Communication in English: reading, writing, listening and speaking• Cross-team collaboration skills• Accountable and proactive• Optimization mindsets and skills/experience is a plus• Experience with distributed system is a plus","移动互联网,数据服务",2000人以上,hadoop,苏州
软件开发工程师 （数据仓库）(J10839),https://www.lagou.com/jobs/6895144.html,高新区,20k-30k,中移（苏州）软件技术有限公司,1-3年,本科,五险一金、交通补贴、餐饮补贴、通讯补贴,,移动互联网,500-2000人,hadoop,苏州
软件开发工程师 （数据算法）(J10516),https://www.lagou.com/jobs/6895051.html,高新区,20k-30k,中移（苏州）软件技术有限公司,3-5年,本科,五险一金、交通补贴、餐饮补贴、通讯补贴,,移动互联网,500-2000人,hadoop,苏州
