job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
25664-大数据开发工程师（腾讯云全资子公司）,https://www.lagou.com/jobs/6974825.html,渝北区,12k-20k,腾讯科技（深圳）有限公司,3-5年,本科,平台大，发展快，待遇好，福利棒,岗位要求：    5年以上后台开发经验；精通Java研发框架和代码开发，熟悉SpringCloud、SpringBoot等技术框架的设计、研发、调优流程，或者熟悉物联网相关网络平台的设计与开发，熟悉MQTT、CoAP等协议和应用；熟练掌握Hadoop、Spark、Flink、Hbase、Impala、Druid、Kylin技术栈中一种及以上；能够独立完成后端代码研发框架的搭建和开发；具有一定的数据模型和数据架构基础，熟悉大数据处理，大数据开发，物联网平台等相关技术。（注：此岗位为腾讯集团旗下全资子公司编制岗位）   岗位职责：    参与技术方案和架构设计；负责数据中台产品研发工作。（注：此岗位为腾讯集团旗下全资子公司编制岗位）,社交,2000人以上,hadoop,重庆
大数据开发工程师,https://www.lagou.com/jobs/6670723.html,渝北区,15k-25k,马上消费金融股份有限公司,5-10年,本科,带薪年假,岗位职责：1、负责数据平台的设计、开发、维护、优化，满足公司各级部门的数据分析需求； 2、研究与跟踪大数据技术发展方向，参与大数据平台架构的设计。3、参与概要设计，负责详细设计，并负责完成核心代码，技术攻坚；4、根据开发规范与流程独立完成模块的设计、编码、测试以及相关文档；岗位要求：1、学历要求:统招本科及以上学历，计算机以及相关专业，2、经验要求:具有4年及以上软件开发经验，其中负责大数据开发经验不低于1年3、技能要求:（1）精通java编程、设计模式和组件技术；熟悉分布式、高并发架构（2）对信息技术领域的新信息、新知识具有相当的敏感性，能够迅速更新自身的知识内容，能够在短时间内攻克技术难关；（3）有独立设计开发能力，编码习惯良好；,"金融,移动互联网",2000人以上,hadoop,重庆
大数据开发工程师,https://www.lagou.com/jobs/7044855.html,南岸区,5k-9k,重庆康洲大数据有限公司,3-5年,大专,周末双休、节日福利、五险一金,岗位职责：1.参与大数据平台的规划和建设；2.协助数据产品人员制定数据存储、处理规范；3.负责平台相关数据处理逻辑的设计与实现。任职要求：1.扎实的计算机系统和算法基础知识；2.扎实的Python或Java语言基础；3.具备较丰富的Structured Streaming开发经验；4.具备较丰富的HDFS、Hbase、Hive、Kafka、Elasticsearch及MySQL相关使用和开发经验；5.能熟练使用Linux操作系统；6.责任心强，沟通能力好，具备良好的团队合作精神。加分项：1.熟悉CDH的搭建和维护；2.熟悉CDH各组件的性能监控和调优。,"移动互联网,医疗丨健康",150-500人,hadoop,重庆
研发工程师（大数据开发）,https://www.lagou.com/jobs/7113722.html,九龙坡区,10k-15k,重庆中电自能科技有限公司,3-5年,本科,五险一金、年金、补充医疗保险、定期体检,一、岗位职责1、参与大数据平台（CDH/HDP）的搭建和维护2、参与大数据平台的整体数据架构设计，完成从业务模型到数据模型的设计工作； 3、参与数据ETL的开发、流程的优化及解决ETL抽取数据过程中各类问题；二、任职资格1.掌握数据仓库基本理论，熟悉CDH平台，精通hadoop/hive/spark/azkaban开发等2.具有良好的编程能力，熟悉Scala/Java/Python等编程语言3.熟悉SQL/HQL，有较好的SQL性能调优经验4.有数据仓库大型项目经验5.有很强的数据分析能力，能通过数据分析发现问题,"数据服务,企业服务",50-150人,hadoop,重庆
大数据开发工程师,https://www.lagou.com/jobs/7149926.html,渝北区,15k-22k,重庆花儿投资管理有限公司,5-10年,本科,年底双薪，年终分红，团队氛围nice,【岗位职责】：1、负责全域数据和应用产品的数据体系的建设，通过数据+算法+工程化能力，处理和萃取数据，让其成为应用和产品的能源；2、参与大数据基础架构和技术体系的规划建设，包括数据采集平台、数据资产管理与治理平台、数据质量及稳定性保障体系、数据处理智能化和自动化体系的建设。3、参与大数据业务需求的分析、数据建模、设计与开发工作；【岗位要求】：1、具有数据仓库和数据建模的相关经验，熟悉ETL开发；2、熟练掌握至少一种分布式计算框架，如hadoop、spark、storm、flink等，并理解其架构和工作原理；3、熟悉mysql/redis 等常用sql和nosql数据库;4、至少熟练掌握java、python等两种以上语言;5、有丰富的大数据集群部署和维护管理经验;6、极强的工作责任心，良好的团队协作精神，优秀的表达和沟通能力；7、乐于挑战，有一定的极客精神，能承受较大工作压力；v,企业服务,500-2000人,hadoop,重庆
数据开发工程师,https://www.lagou.com/jobs/6937154.html,渝北区,11k-20k,重庆后汉科技有限公司,3-5年,硕士,14薪，年底评A，16薪，B+，15薪,一、负责数据采集、挖掘二、数据分析、结构化,"移动互联网,广告营销",150-500人,hadoop,重庆
大数据应用开发工程师,https://www.lagou.com/jobs/7190894.html,渝北区,1k-2k,重庆脉乘科技有限公司,应届毕业生,大专,谁说搞IT只能做开发，还可以做系统专家,职责描述：1）对业务场景分析建模，研究并验证算法；2）实现数据可视化，比如报表、分析展示； 3）算法落地产品化，协助推动产品落地。 任职要求： 1）计算机或信息类、数学统计类相关专业 2）具备一定编程能力，熟悉JAVA或.net中一种3）了解数据结构，对数据有敏锐的洞察力 ，熟练使用SQL者优先4）有相关项目实践或创业意愿者优先5）特别要求，实习生是为团队作人才培养，如果通过实习评定后，必须在公司工作满一年，不接受短期实习的同学，谢谢理解。,"数据服务,企业服务",少于15人,hadoop,重庆
大数据开发工程师,https://www.lagou.com/jobs/6771566.html,江北区,12k-18k,永辉青禾商业保理（重庆）有限公司,5-10年,本科,全额五险一金；带薪年假；广阔平台,【岗位职责】1.        利用大数据相关技术从所识别的数据源系统中采集所需的结构、半结构、非结构数据；2.        负责大数据现有组件二次开发；完成各运维管理系统的落地（包括但不限于数据集成系统、基础设施管理系统、元数据管理系统、数据平台监控系统等）；3.        推动大数据平台架构演进；负责平台疑难问题技术攻关；主导平台各组件性能优化；跟进主流大数据相关技术并根据情况引入到平台内部；4.        参与公司流式计算相关项目，从各业务系统中实时采集处理相关数据，及时响应前端各种数据服务需求；【任职要求】1.        全日制本科及以上学历；计算机、理工类相关专业，复合人才优先考虑；2.        至少具备3年以上Java及大数据开发相关经验；最好有基于hadoop或Spark方面项目经验；3.        在项目中用到过流式计算方面的技术，如Storm/Jstorm/Flink/Spark Streaming均可，至少精通一样；4.        熟悉hadoop生态技术栈，如Mapreduce、HBase、Hive；对Flume、Kafka、Sqoop较熟悉；5.        使用过内存数据库，如Redis；6.        有一定Java编程经验，精通主流Java开发框架与技术，如Spring、Redis、Mybatis、Dubbo等；会Scala更佳。7.        具备较强的逻辑思维能力；8.        有良好的沟通能表达能力及团队合作精神；9.        善于学习新知识，有强烈的创新意识，对解决挑战性问题充满激情；10.    有较强抗压能力。,金融,50-150人,hadoop,重庆
数据开发工程师,https://www.lagou.com/jobs/6877215.html,渝中区,10k-18k,重庆渝欧跨境电子商务股份有限公司,3-5年,本科,五险一金、周末双休、带薪年假、节日福利,职位描述：1、负责数据产品需求分析、数据建模，完成相关设计及编码2、完善现有数据产品，优化现有产品数据体系3、深入理解业务需求，能从数据角度推动业务发展，开发相应数据产品及工具4、根据业务需要，提供面向业务的报表、数据提取等数据服务任职要求：1、计算机或相关专业本科以上学历，3年以上数据库开发经验2、精通sql开发(oracle、mysql、sqlserver等一种或多种)3、熟练掌握plsql开发，有至少一个项目的开发经验，对其有比较深的理解与认识4、熟悉数据仓库和数据集市的框架结构，具备数据仓库与数据集市的架构设计能力5、熟悉ETL工具，并具有一种ETL工具的使用经验6、熟悉Linux系统，具备shell、perl等脚本开发能力优先7、熟悉大数据平台与主流产品，并理解其架构体系8、高度的责任心、逻辑思维能力强、良好的沟通技巧和团队合作精神9、熟悉阿里云数据库产品，有相关经验者优先10、有零售行业数据类开发工作经验者优先,电商,150-500人,hadoop,重庆
大数据开发（大数据架构）,https://www.lagou.com/jobs/6892128.html,渝北区,1k-2k,中冶赛迪重庆信息技术有限公司,应届毕业生,不限,星级餐厅 导师带徒计划,"【岗位职责】1、参与公司大数据产品规划,大数据上层应用架构设计；2、参与数据存储、清洗、分析、挖掘程序的开发；3、负责系统关键模块的技术攻关，协助解决项目中的难题。4、负责大数据产品需求收集及产品推广介绍实施等。【任职要求】1、熟悉hadoop研发、熟悉hadoop集群的搭建、管理及优化；2、深入了解大数据计算平台架构和产品组件原理和应用场景，如Spark、Hadoop、Hive、HBase等；3、熟悉主流的云计算、大数据产品（hadoop、spark、flume等）和数据分析技术（机器学习)并具有相关项目经验；4、有海量数据的分析能力和处理经验、对数据分析和数据挖掘有浓厚兴趣者优先考虑",移动互联网,500-2000人,hadoop,重庆
