job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据开发工程师,https://www.lagou.com/jobs/6992876.html,岳麓区,13k-18k,中和农信项目管理有限公司,3-5年,本科,年底多薪 七险一金 大牛带队,"岗位职责：1、参与大规模数据系统的架构设计和应用，主要面向信贷业务方向；2、负责数据的开发和治理，满足可扩展性等业务指标；3、负责BI报表实现和数据服务需求；岗位要求：1、大学本科学历及以上；2、熟悉SQL,丰富的ETL设计和开发经验；3、对大数据理论、数据仓库理论、行业应用有一定的认识与研究，熟悉大数据相关技术；4、了解Hadoop各组件的原理和实现，具备故障排查能力，有很好的技术敏感度和风险识别能力；5、有阿里云大数据平台开发经验或金融风控领域的优先。","移动互联网,金融",2000人以上,hadoop,长沙
大数据开发工程师,https://www.lagou.com/jobs/6893657.html,芙蓉区,8k-16k,中通服创发科技有限责任公司,3-5年,本科,双休，项目绩效奖金，一年两次调薪机会。,1.3年以上大数据平台开发相关经验2.熟悉大数据相关工具：如Hadoop、Hive、Hbase、MapReduce、pig、MPP等，并数量搭建相关集群环境3.有基于spark streaming/flink/storm实时数据流处理经验，对大数据平台处理流程与机制有深入全面的了解和把握4.熟悉Spark/Map-Reduce/Hadoop/Flink/storm分布式计算框架，进行海量数据模型设计、数据ETL开发5.熟悉大数据架构，有实际大数据项目落地经验6.熟悉java，python开发语言7.工作积极主动、有责任心,"移动互联网,电商",150-500人,hadoop,长沙
大数据开发,https://www.lagou.com/jobs/7179339.html,天心区,6k-8k,南京迈特望科技股份有限公司,1-3年,大专,大平台,大专及以上学历，1年以上工作经历；有数仓开发经验，会Oracle，DB2、mysql等关系型数据开发，会hive，hbase，Hadoop开发,"移动互联网,人工智能",500-2000人,hadoop,长沙
大数据开发,https://www.lagou.com/jobs/6896048.html,岳麓区,12k-20k,中兴通讯股份有限公司,3-5年,不限,大数据,1.端到端负责公司大数据应用产品设计、开发、部署、运营2.完成技术难点的攻关及大数据平台新技术的调研及选型任职要求：1、全日制本科及以上学历，计算机相关专业，扎实的Java语言基础和Linux编程基础； 2、3年大数据相关系统研发经验，有java后台开发经验和Flink开发经验者优先； 3、对大数据相关组件：Hadoop、Spark、Hbase、Hive、Kafka、Flume、Kylin、ElasticSearch等架构与底层实现有深入理解，； 4、具备构建稳定的大数据基础平台的能力，具备数据收集、数据清洗、数据仓库建设、实时流计算等系统研发经验； 5、工作有计划性，责任心和执行能力强，具备高度的责任心、诚信的工作作风、优秀沟通能力及团队精神。6、 对技术有热情，有不错的数据思维和敏感度，有一定的数据分析能力优先； 7、具备强烈的工作责任感，喜欢钻研，态度乐观，团队意识强。,"数据服务,信息安全",2000人以上,hadoop,长沙
数据开发工程师（长沙） (MJ000396),https://www.lagou.com/jobs/7136038.html,芙蓉区,8k-15k,杭州玳数科技有限公司,1-3年,本科,阿里系创业、云计算生态、餐补、双休,1、负责数据整合以及数据模型的建立、维护、优化； 2、负责大数据项目的开发、测试和运维工作； 3、负责数据报表的开发、维护工作；4、项目交付过程中的开发文档编写；5、其它安排的事项。职业要求：1、计算机、软件工程、电子信息相关专业背景，1至3年左右工作经验（优秀的应届生也可考虑）；2、熟悉Oracle/MySQL/SQL Server(至少其中一种)等数据库，掌握SQL语言；3、熟悉Hadoop/Hive/Spark/Flink（至少其中之一）等大数据平台/工具，有Flink开发经验可优先考虑；4、了解常见的数据模型，有较好的开发习惯和编程规范；5、有Java或Python开发经验，会使用常用的开发框架；6、有很强的主动学习能力，理解能力，有大数据项目经验优先；7、较好的沟通能力，做事踏实，服从工作安排，接受出差。,数据服务,150-500人,hadoop,长沙
大数据开发工程师,https://www.lagou.com/jobs/7214772.html,岳麓区,10k-15k,湖南德翌成信息技术有限公司,3-5年,不限,周末双休+入职即购买五险一金,工作职责： 1、参与数据调研、数据治理规划，梳理数据资产；2、负责数据采集、数据标准化处理，为团队提供优质数据；3、负责数据治理工作，包括但不限于模型设计开发、数据质量管理、元数据管理、数据安全管控、数据血缘分析以及数据服务治理；4、负责基于大数据hadoop生态及阿里云生态的ETL开发任务；5、管理并优化海量数据处理过程，包括但不限于离线数据处理、实时数据处理；6、配合PM完成数据模块的交付，及时满足客户现场的数据开发需求任职要求：1、2年以上大数据项目开发经验，对数据治理有一定的认知和项目经验；2、熟练掌握hadoop生态的开发技能，比如hive、spark、flink、kafka、hbase等，有二次开发经验优先；3、熟练掌握关系型数据库（如MySql或Oralce等），至少掌握一种nosql数据库；4、熟悉linux操作系统，会使用shell、python中的至少一种脚本语言，熟练掌握java、scala、python中的至少一种编程语言5、对数仓建设理论有充分的理解，具备利用Hive或MPP构建大数据仓库的设计能力，包括对数据分层标准、数据模型标准、主题划分标准、ETL开发标准等的设计和编制；6、对数据敏感，有数据分析、BI可视化、算法开发经验者优先；7、良好的沟通和理解能力，思路清晰，善于思考，能独立分析和解决问题，责任心强，具备良好的团队合作精神和承受压力能力。,软件开发,15-50人,hadoop,长沙
数据开发工程师,https://www.lagou.com/jobs/7176199.html,岳麓区,10k-13k,苏州工业园区凌志软件股份有限公司,3-5年,本科,无加班，朝九晚五，节假日福利优厚，晋升大,岗位职责：   1.修改并测试数据报送流程中的sql脚本   2.优化数据报送流程相关sql脚本   3.开发新的报送流程SQL脚本 任职要求：   1.精通oracle，mysql等关系型数据库脚本开发   2.熟练掌握shell，脚本开发   3.熟悉hive，presto，对大数据相关组件有所了解  4.python，java，web，hive，有一项技能很擅长就可以,金融,2000人以上,hadoop,长沙
大数据开发工程师,https://www.lagou.com/jobs/3521074.html,岳麓区,10k-15k,北京易观智库网络科技有限公司,3-5年,本科,五险一金、双休、项目奖金、水果下午茶等,工作职责：1、负责提升数仓的性能，关注数据质量，设计数据稽核工具；2、负责ETL关键任务的优化设计，协助解决开发过程中的技术难题；3.   负责通过数据分析和挖掘，支撑业务团队数据需求。任职要求：1、本科以上学历，至少3年以上大数据工作经验；2、精通java 和 SQL；熟悉Kafka、MR、Hive、Hbase 等；有丰富的spark项目经验；3、具有很强的学习、分析和解决问题能力、良好的团队意识和协作精神，有较强的内外沟通能力；4、具有丰富的企业级数仓设计和的建模经验；5、具有移动互联网数据分析类产品的开发经验优先。,"移动互联网,数据服务",150-500人,hadoop,长沙
大数据开发工程师,https://www.lagou.com/jobs/6679885.html,芙蓉区,15k-20k,长沙二三三网络科技有限公司,5-10年,大专,"年底双薪,五险一金,周末双休,员工旅游",岗位职责：1、负责大数据的日常开发包括架构和日常的业务；2、与业务方沟通日常的需求梳理需求文档产出技术方案；3、支撑用户行为分析用户画像智能推荐、数据可视化系统的开发和建设。 任职要求：1、深刻理解HDFS分布式文件系统存储结构和高可用原理；2、能运用scala进行spark RDD，spark streaming编程； 3、熟练掌握hadoop mapreduce计算框架编程，对yarn的资源调度，作业监控了解； 4、深刻了解Spark运行机制掌握spark streaming编程，对定时批量任务处理； 5、熟悉flume，kafka等日志收集以及kafkaconnect实时多系统导入导出工具等分发框架的使用，能够将他们和storm、spark进行整合进行数据的实时处理； 6、能够熟练运用hive数据仓库工具，对日志数据进行查询，统计等数据操作，并且有一定的数据优化经验； 7、能将hive和spark sql进行整合，进行数据查询等相关操作； 8、熟悉hbase数据库的使用及其编程；9、熟悉ELK技术栈，了解ElasticSearch，Logstash的整合使用； 10、掌握Sqoop数据迁移工具的使用，能熟练的将数据从不同的存储介质进行迁移。其他薪资福利：绩效奖金+季度奖金+项目奖金+年底双薪+年终奖金+五险一金+周末双休+节日福利+员工旅游,"移动互联网,教育",150-500人,hadoop,长沙
大数据开发工程师,https://www.lagou.com/jobs/7097847.html,长沙县,13k-26k,三一汽车制造有限公司,3-5年,本科,福利待遇，发展前景,职责：1. 参与车联网大数据框架的搭建；2.参与车联网数仓的建设。3.分析生态圈数据需求，整合生态圈数据，支持产品创新 。任职要求：1.计算机或相关专业本科以上学历，有3年以上工作经验；2.熟悉数仓及数据中台建设；3. 掌握 sql server、mysql等关系型数据库技术；4. 精通hadoop、flink，spark、Druid、hbase等大数据存储和计算的相关技术；6.精通java、scala、sql等编程语言；7.精通linux、windows等常用操作系统；8.有车联网项目开发经验的优先考虑、有互联网大数据项目开发经验优先考虑。,汽车丨出行,2000人以上,hadoop,长沙
