job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据库开发工程师,https://www.lagou.com/jobs/4508375.html,,5k-9k,北京智麟科技有限公司,1-3年,本科,五险一金，定期团建，弹性工作,"岗位职责：本科以上学历，计算机相关专业工作经验1~3年负责日常运维技术工作负责相关技术文档的编写掌握ADF或JAVA优先负责Oracle相关的技术设计及研发精通Oracle PLSQL开发语言对ORACLE EBS技术理解深刻，掌握相关问题查证方法熟悉Linux、AIX、HP-UNIX操作系统，熟悉Shell脚本；理解Oracle数据库体系结构，基础扎实，熟练各部分的管理；熟悉Oracle的备份与恢复技术，熟悉各种情况下的恢复；熟悉安装，包括RAC及补丁安装,数据库升级，熟悉基本的操作系统命令；熟悉Oracle数据库原理，精通SQL调优，深入理解数据库性能，拥有书写、优化复杂SQL的能力。具备从操作系统、存储、网络以及硬件的优化和诊断能力。具备从架构、建模层面设计、优化数据库系统的能力。有OCP或OCM证书优先。具有良好的逻辑思维能力具有良好的业务理解能力工作积极主动、注重细节、认真负责，善于团队合作","移动互联网,数据服务",50-150人,hadoop,青岛
大数据开发工程师,https://www.lagou.com/jobs/7049921.html,市北区,6k-10k,青岛好驻大数据科技有限公司,不限,大专,早九晚六 周末双休 五险一金,1、计算机及其相关专业，大专及以上学历。2、具备实时处理框架的设计和开发能力4、熟悉Linux等开发环境，能进行shell脚本的编写;5、具有较强的逻辑分析能力，高度的责任心及团队合作精神;6、具有实际大数据项目的成功经验者优先考虑,数据服务、软件开发,150-500人,hadoop,青岛
ETL数据开发实习生,https://www.lagou.com/jobs/7019079.html,市南区,4k-6k,青岛语宽网络科技有限责任公司,应届毕业生,大专,五险一金，周末双休，法定节假日，朝九晚五,"技能要求：数据库，数据库管理员，数据库开发技能要求：ETL岗位职责：1、辅助参与项目数据分析和设计；2、辅助完成软件系统代码的实现，编写代码注释和开发文档；3、辅助进行系统的功能定义,程序设计；4、根据设计文档或需求说明完成代码编写，调试，测试和维护；5、辅助分析并解决软件开发过程中的问题；6、协助测试工程师制定测试计划，定位发现的问题；7、配合项目经理完成相关任务目标；8、具有很强的学习和独立分析能力、工作责任心、良好的沟通能力和团体合作精神。任职资格：1、专科及以上毕业生；2、相关专业优先考虑；3、有责任感，良好的团队协助精神；4、有无经验均可，一经录用，待遇优厚；5、可接收应届毕业生。","数据服务,软件开发",15-50人,hadoop,青岛
ETL数据开发工程师（可实习）,https://www.lagou.com/jobs/7029372.html,市南区,6k-8k,青岛语宽网络科技有限责任公司,应届毕业生,大专,五险一金，月薪过万，稀缺人才岗位,"技能要求：1、熟练掌握一种或多个开发语言(Python/perl/Bash等), 获取数据,应用算法,实现分析输出。2、熟悉linux开发环境, 掌握常用算法和数据结构。3、熟悉MySQL和NoSQL数据库,有很好的数据多维空间思维能力。4、熟悉计算机原理,操作系统,计算机网络等基础理论。5、熟悉C/C++。6、有很强责任心,优秀的团队合作精神,能够承受较大的工作压力逻辑思维清晰缜密,积极主动,具有较强的沟通协调能力。","数据服务,软件开发",15-50人,hadoop,青岛
数据库开发工程师,https://www.lagou.com/jobs/6633124.html,李沧区,7k-13k,上海超数信息科技有限公司,3-5年,大专,五险一金 餐补 节日福利等等,工作职责： 1、协助数据分析师完成数据处理、数据整合、ETL设计和开发工作; 2、在项目经理的带领下，参与数据分析与可视化项目实施过程； 3、专注于数据处理工作，包括理解客户需求，需求分析，方案设计，开发功能设计、开发测试、系统上线、客户培训等工作； 4、编写项目实施过程中的测试等文档。 职位要求： 1、具有相关数据库开发的工作经历优先  2、熟悉数据清洗、数据抽取、加工流程  3、熟练掌握ORACLE、DB2、SQLServer、MySql等数据库开发、熟悉SQL、存储过程以及数据库性能优化 4、熟悉LINUX、UNIX操作系统及其常用命令 5、掌握主流ETL工具，例如Kattle、Informatica、Shell、Python、存储过程等 6、有海尔、海信相关项目经验优先,"电商,数据服务",50-150人,hadoop,青岛
大数据应用（ETL）（中级）,https://www.lagou.com/jobs/6848278.html,黄岛区,13k-17k,青岛国信城市信息科技有限公司,3-5年,本科,市直企业、政府授权、智慧城市建设及运营,"一、需求量：1二、工作职责1. 负责大数据以及BI相关应用项目的ETL设计、开发、维护工作；2. 负责ETL调度架构和统一数据资源库的开发优化工作；3. 参与大数据平台产品及服务调研、构建与支持；4. 与团队内部以及需求部门进行有效沟通，支持项目实施以及解决相关数据问题。三、任职资格学历：本科及以上专业：计算机或其他相关专业年龄：40岁以下工作技能1. 3年以上数据工作经验；2. 有数据库开发和设计经验，熟悉数据仓库体系优先考虑；3. 熟悉数据ETL相关工具及架构体系，有Kettle经验的优先；4. 熟悉Linux, 会编写shell脚本；5. 至少熟悉Java/PHP/Python/C开发语言之一,熟练使用正则表达式优先；6. 熟悉Hadoop/hbase/HIVE优先；7. 正直、坦诚、有激情；8. 较强沟通和学习能力。","人工智能,区块链",2000人以上,hadoop,青岛
大数据架构师,https://www.lagou.com/jobs/7209777.html,黄岛区,15k-30k,青岛国信城市信息科技有限公司,5-10年,本科,五险二金，免费三餐,"岗位职责：1.负责平台的整体数据架构设计，完成从业务模型到数据模型的设计工作 形成快速解决方案；2.负责根据业务功能、业务模型，进行数据库建模设计 ，解决高并发的调度系统中的关键问题；3.负责平台数据提取、数据挖掘及数据分析，具有良好的商业敏感度和优秀的数据分析技能，能够解决复杂的商业问题；4.负责数据开发质量的评审，指导相关构建测试并完成性能、代码优化；5.负责组织开发人员进行技术研究和技术攻关工作，负责研发人员技术培训和技能提升，提升工作效率，降低研发成本；6.完成上级交办的其他工作。任职资格：学历：本科学历及以上专业：计算机、软件工程、数据等相关专业；年龄：不限；工作技能：1.有5年以上的大型项目工作经验,至少3年架构师或技术经理等工作经验。2.丰富的数据架构规划、数据建模、数据库设计以及程序设计、开发经验；3.丰富的数据解决方案或数据架构（数据仓库、数据集成、数据管理）构建经验；4.深入掌握业务抽象、SQL查询路径以及优化路径在内的方法和技能；5.精通至少一种数据库技术,至少一种开源ETL工具、数据建模工具；6.不少于三年hadoop生态圈相关经验，基于Hadoop、MPI或Cassandra、MongoDB分布式平台, HBase及类似的NoSQL存储, MySQL，和BI系统等大型商业系统实践经验。","人工智能,区块链",2000人以上,hadoop,青岛
数据服务工程师（青岛）,https://www.lagou.com/jobs/7129150.html,市南区,9k-12k,北京中宇华兴科技有限公司,1-3年,不限,薪资高，加班少，技术新，氛围好,岗位职责：1、参与数仓模型设计及数据治理的开发工作；2、参与共享交换服务工作；3、数据项目的对外技术支持，与用户沟通交流需求。4、培训与指导客户使用大数据产品。岗位要求：1、具备两年以上的数据开发经验（技术特别优秀者不受此条件约束）；2、熟悉数据仓库体系知识，熟悉维度建模方法，有实战经验；3、精通SQL语言，至少熟悉一种脚本者优先，如shell、python；4、熟悉ETL工具(kettle/DataStage/informatica)优先；5、有Hadoop/Spark/Storm 数据应用开发经验优先；6、有良好的沟通交流能力和接口设计文档编写能力,移动互联网,50-150人,hadoop,青岛
算法工程师,https://www.lagou.com/jobs/7088595.html,市北区,8k-16k,青岛上啥班网络科技有限公司,3-5年,本科,纯互联网公司，扁平化管理，晋升多，培训多,岗位职责：搜索推荐场景下利用机器学习、数据挖掘等方法建立用户画像和商品画像的算法模型，提升搜索推荐质量，改善用户体验岗位要求1.数据挖掘、机器学习相关经验3年以及以上2.有较强的数据结构和编码能力3.有hadoop使用经验，有NLP经验者尤佳,"移动互联网,企业服务",50-150人,hadoop,青岛
java高级开发工程师,https://www.lagou.com/jobs/7143462.html,崂山区,18k-28k,海尔集团,5-10年,本科,物联网平台前景好、薪资福利好、项目激励高,"岗位职责：
 参与制定项目研发计划，确保技术部门顺利按公司发展规划完成研发任务；2.承担项目组核心开发或设计工作，并能够按要求、高质量地完成开发或设计任务； 3.按照规范的要求，编写技术开发及设计文档；4.保证系统代码的高质量、稳定性与高性能；5.负责公司已有系统的开发和维护、新技术研究与实践； 任职资格：1.专业要求：计算机相关专业2.学历要求：本科及以上学历3.经历要求：4年及以上J2EE开发经验，具有WEB架构设计能力、项目规划和决策能力，具有一定项目管理经验；4.技能要求：深入了解strtus,spring,hibernate,ibatis,cache,mq,rpc等领域的框架或产品的机制与代码；深入了解MySQL、Oracle数据库，具有SQL数据库索引优化、查询优化和存储优化经验；具有丰富Memcache、Redis、Mongdb等缓存数据库技术经验，有分布式集群的实施经验；熟悉SOA服务化治理，具有RPC服务实施开发经验,如用dubbo等开源框架；熟悉消息中间件技术并具有相关项目开发使用经验，如用RabbitMQ、ActiveMQ等；熟悉Hadoop、Hive、HBase、Storm等相关开源项目；5.能力要求：有良好的领导能力，负责过一个完整系统或产品的整体架构设计和推动落地的；有SOA服务化、分布式系统实施经验者，有大数据、高并发和物联网行业系统构建经验者优先。","物联网,电商",2000人以上,hadoop,青岛
