job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
iOS开发,https://www.lagou.com/jobs/1879078.html,锡山区,12k-20k,南京帆软软件有限公司,1-3年,本科,福利待遇 优秀团队,职位描述：1、与产品经理，UX设计师一起工作来分析、评估和细化功能需求2、与软件开发团队一起再快速迭代中不断发布新功能3、作为软件产品模块的代码负责人，保持代码质量、完整性、效率和可用性4、与软件测试工程师交流设计信息并提供测试建议我们对您的期望：1、本科毕业生，重点院校计算机等相关理工科专业背景。2、对软件开发有浓厚的兴趣，有开发出完美的软件产品的热情，喜欢钻研。3、极强的逻辑思维能力和问题解决能力，数学基础优秀。4、熟练使用html5/iOS开发，或者熟练使用任何一种开发语言愿意转做iOS。5、有上线的app加分,数据服务,500-2000人,ios,无锡
iOS开发工程师,https://www.lagou.com/jobs/7074032.html,新吴区,10k-20k,北京字节跳动科技有限公司,不限,本科,"六险一金,餐补,租房补贴,带薪休假",,文娱丨内容,2000人以上,ios,无锡
资深iOS开发工程师,https://www.lagou.com/jobs/7074031.html,新吴区,20k-40k,北京字节跳动科技有限公司,3-5年,本科,"六险一金,餐补,租房补贴,带薪休假",,文娱丨内容,2000人以上,ios,无锡
高级iOS开发工程师(J10525),https://www.lagou.com/jobs/7179225.html,无锡新区,10k-20k,朗新科技股份有限公司,3-5年,本科,智慧城市APP,,"移动互联网,企业服务",2000人以上,ios,无锡
IOS开发工程师,https://www.lagou.com/jobs/6752462.html,无锡新区,8k-12k,无锡中科光电技术有限公司,3-5年,本科,晋升空间,岗位描述1、负责公司产品的功能研发和性能优化，完成高质量编码测试工作；2、和产品经理配合，深入参与手机产品需求讨论，功能定义等；3、设计良好的代码结构，不断迭代重构；4、承担重点、难点的技术攻坚。任职要求：1、具有扎实的编程功底，良好的设计能力和编程习惯；2、熟练掌握Objective-C，熟悉Swift的优先；3、三年以上ios开发经验，能独立开发iPhoneApp者优先；4、有较强的产品意识，对产品有好奇心，关注业内产品，喜欢使用产品，关注产品体验；5、热爱移动产品研发，有较强的学习能力，有强烈的求知欲、好奇心和进取心，能及时关注和学习业界最新的移动开发技术。6、熟练掌握Xcode，Interface Builder等工具，对设计模式MVC，MVVM有自己的理解；7、熟悉IOS操作系统，包括内存管理，任务管理，对APP性能检测，Crash方案，无埋点方案有一定的认知；8、具备H5前端开发技术优先,"数据服务,企业服务",150-500人,ios,无锡
php开发工程师（江阴华士）,https://www.lagou.com/jobs/6742880.html,江阴市,8k-13k,福村宝医疗科技有限公司,3-5年,本科,产品好+福利好+氛围轻松+团队正能量,"1.      负责公司app端系统业务的开发和维护；2.      负责接口（IOS、Android端提供数据）研发，对接与调测；3.      负责对系统的性能和可靠性调优；4.      负责基础组件开发、代码库整理及优化；5.      参与相关产品需求讨论与产品系统架构的设计和优化工作。任职资格：1.     本一或以上学历，计算机软件、数学等相关专业。2.     精通php基础，具备php开发经验、面向对象思想，有需求分析、系统设计经验；3.     熟悉Linux+apache+nginx+php+mysql开发环境，熟悉PHP一些主流框架，如：laravel、ThinkPHP等；4.     具有php缓存技术、静态化设计方面的经验；熟悉linux服务器命令，具有高负载、大访问量情况下的架构经验者优先；5.     熟悉HTML、CSS、JavaScript、XML等语言，熟悉AJAX、Jquery;6.     精通hbuilder语言及VS后端开发优先，3年以上移动互联APP应用开发经验优先；7.     具备需求分析和系统设计能力，以及较强的逻辑分析和独立解决问题能力；8.     良好的编码习惯,良好的团队合作能力和沟通能力；热爱互联网产品，工作态度积极，对产品细节敏感。",医疗丨健康,50-150人,ios,无锡
高级测试专家(J11026),https://www.lagou.com/jobs/6640703.html,无锡新区,10k-15k,朗新科技股份有限公司,3-5年,本科,产品经理,,"移动互联网,企业服务",2000人以上,ios,无锡
前端开发工程师,https://www.lagou.com/jobs/6499992.html,江阴市,15k-25k,江苏江阴农村商业银行股份有限公司,1-3年,本科,全国**A股上市的农商行,"岗位职责： 1、参与移动端产品和公司产品前端部分的开发工作； 2、负责协助需求人员完成需求分析工作，编写设计文档;3、负责协助测试人员和用户完成测试；4、完成项目经理交代的其它任务； 岗位要求：  1、两年以上相关工作经验熟悉Weex+vue框架 2、有APP开发经验或Web前端开发经验,熟练使用Git进行项目代码管理； 3、熟练掌握HTML、CSS和JS的使用，理解HTTPS等相关概念； 4、有移动端原生开发经验,熟悉IOS、Android原生开发 5、至少熟练掌握React，AngularJs，Vue等主流框架中的一种。",金融,500-2000人,ios,无锡
资深测试工程师,https://www.lagou.com/jobs/6688534.html,新吴区,15k-30k,北京字节跳动科技有限公司,3-5年,本科,"六险一金,餐补",,文娱丨内容,2000人以上,ios,无锡
测试工程师,https://www.lagou.com/jobs/7073969.html,新吴区,10k-20k,北京字节跳动科技有限公司,3-5年,本科,"六险一金,餐补,租房补贴,带薪休假",,文娱丨内容,2000人以上,ios,无锡
