job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
ios开发工程师,https://www.lagou.com/jobs/6039876.html,南山区,10k-15k,深圳市趣虹科技有限公司,1-3年,本科,年终奖、下午茶、节日礼品、团建旅游；,任职要求：1.本科以上学历，计算机及相关专业，2年以上iOS平台开发经验；2.能独立承担开发高性能的iOS应用，熟练掌握iOS平台UI、线程、消息和进程通信机制，有社交、通信类应用开发经验者优先；3.熟练掌握iOS框架及各种特性，对Socket通信、TCP/IP和HTTP有较深刻的理解和经验，熟悉JSON/XML，了解sqlite数据库，有网络编程经验；4.熟练掌握Objective-C或swift设计语言，对设计流程有深入理解；5.具备较强的逻辑思维和学习能力，能独立进行模块设计、解决实际问题；6.在APP Store成功上线过应用者优先；7.能够按期完成工作，并适应具备挑战与压力的工作环境，能与团队进行良好的沟通协作；8.有直播APP开发经验者优先。,移动互联网,50-150人,ios,深圳
IOS开发工程师,https://www.lagou.com/jobs/7219540.html,,8k-12k,万达宝软件（深圳）有限公司,1-3年,本科,五险一金 专业培训,1.一年以上IOS平台开发经验，有扎实的编程功底和良好的编程习惯；2.精通Objective-C语言和 IOS SDK；3.熟练掌握xcode和相关测试工具；4.了解HTML5/CSS3 标准和语法5.了解 Web前端开发框架；6.对新技术感兴趣，学习能力强，有钻研和开拓精神；7.有2个以上的IOS项目开发经验者优先。,软件开发,150-500人,ios,深圳
EB0626-全民K歌 iOS开发工程师,https://www.lagou.com/jobs/6737390.html,南山区,15k-30k,腾讯科技（深圳）有限公司,1-3年,本科,大平台,岗位职责：负责iOS平台上全民K歌APP的开发工作；与产品、测试及其他团队协作，分析产品需求，制定技术方案，攻克技术难题；新技术研究和引入。岗位要求：本科以上学历，计算机相关专业；2年以上相关工作经验； 计算机基础扎实，精通Objective-C，熟悉iOS平台并有良好的软件开发经验； 熟悉https及流媒体上传下载协议，精通TCP/IP协议； 良好的编码风格，以及足够的调试技术和问题解决能力； 责任心强，积极向上、乐于学习新技术。,社交,2000人以上,ios,深圳
GK5207-腾讯音乐广告iOS开发工程师,https://www.lagou.com/jobs/6819683.html,南山区,15k-30k,腾讯科技（深圳）有限公司,1-3年,不限,大平台,岗位职责： 负责QQ音乐/全民K歌iOS APP广告业务的开发工作；与产品、测试及其他团队协作，分析产品需求，制定技术方案，攻克技术难题；新技术研究和引入；广告iOS SDK的架构设计、迭代开发和重构优化。岗位要求： 3年以上安卓开发经验，计算机基础扎实，熟悉主流框架及原理；熟悉安卓ui框架、线程、进程特性，熟悉安卓性能指标、监控工具及调优方法；熟悉TCP/IP、UDP、HTTP等网络协议及特性，有相关的开发经验；熟悉java/kotlin语言，具备良好的编码风格，熟练代码管理工具git；具备良好的分析解决问题能力，良好的学习和分享习惯，工作积极主动，责任心强；了解互联网广告，有广告相关经验者优先。,社交,2000人以上,ios,深圳
iOS 开发工程师,https://www.lagou.com/jobs/6283604.html,南山区,25k-35k,爱客科技（深圳）有限公司,5-10年,本科,全球项目、高薪资、高福利、国际团队,"有关 AfterShip2012 年成立于香港，公司自2014年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 600 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。岗位职责1、负责 iOS 系统手机软件应用研发、功能的持续改进、维护，参与项目需求分析、产品模块的概要和详细设计；2、参与手机 App 团队技术研究和创新，与项目团队互相沟通合作完成项目；3、分析并解决开发中的各种问题，维护并改善程序质量；4、推动基础组建或公共组件等基础设施建设；5、负责其他新功能开发并持续优化，提高用户体验。岗位要求1、统招本科及以上学历，具备英语读写能力；2、5年以上 iOS 客户端开发经验，熟练使用 Git 等工具；3、扎实的计算机科学基础，熟悉Swift，熟悉多线程以及网络编程；4、强烈的进取心和责任感，极强的学习能力和良好的团队合作精神。加分项1、有海外 iOS App 开发经验；2、有跨平台开发经验；3、有更好的产品 sense，能更多站在产品层面思考问题；4、有写 Blog 的习惯，活跃技术社区，参与开源项目等；5、有代码洁癖，对代码精益求精，对技术有极客热情。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、行业头部企业: 海外驰名企业，细分领域领跑者；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,ios,深圳
ios开发工程师,https://www.lagou.com/jobs/7110217.html,南山区,13k-18k,深圳市超盟金服技术信息服务有限公司,3-5年,本科,领导nice 年轻化团队 集团企业,【岗位职责】1、参与需求的讨论和评审，完成业务功能与技术模块及框架的实现；2、有良好的设计意识、质量意识及代码规范意识，可以通过各种自动化工具3、对模块进行质量测试，并完成设计优化及性能优化；4、关注移动开发前沿技术，参与新技术的调研和选型。【职位描述】1、三年以上iOS开发经验，熟悉Swift开发；2、熟悉 App 内存占用、耗电、网络、UI 渲染等性能方面分析和优化的方法3、熟悉IOS下的程序优化、内存管理、Sqlite/Realm、RunLoop、网络协议、GUI开发，有一定的逆向能力优先考虑；4、熟悉常用的设计模式，具备技术架构的设计能力、设计思路和方法论，对app高用户体验、性能调优、防崩溃、节省流量等的方法有一定了解。 5、积极主动，具备良好的分析解决问题能力，能独立承担开发任务和良好的团队协作能力；6、熟悉IOS应用发布流程及蒲公英等第三方企业版发布流程、jekins自动化打包；7、有Hybrid APP/SDK应用开发经验优先，熟悉weex、Flutter优先，有金融、媒体、支付行业公司工作经验优先。8、精通 iOS UI 界面、多线程，对 HTTP/HTTPS/Socket 等网络通信协议有深刻理解和经验9、熟练OC中ReactiveCocoa、Swift中的RxSwift框架进行日常响应式开发，并有深刻理解10、有知名开源项目或大型项目架构经验优先,移动互联网,500-2000人,ios,深圳
ios开发工程师,https://www.lagou.com/jobs/6696780.html,罗湖区,10k-15k,深圳市阿卡索资讯股份有限公司,1-3年,大专,"五险一金,周末双休,健身俱乐部,带薪年假",职位描述：岗位职责：1、负责IOS平台相关应用的开发和维护工作;2、理解产品需求，独立进行客户端产品的技术实现和框架设计；3、根据功能需求和设计方案进行开发，完成代码的编写和调试工作4、能够快速完成高质量的代码，注重代码细节；5、思路清晰，具备良好的沟通能力和理解能力；6、热爱设计编写程序，对IT行业充满激情，有独立的用代码解决问题的能力任职要求：1. 计算机相关专业大专及以上学历，2-5年以上相关工作经验2. 熟练掌握Objective-C/Swift，C/C＋＋语言，掌握MVC、MVVM架构以及设计模式，有一定算法知识3. 熟悉多线程开发，理解OC Runtime运行机制，熟悉常用第三方框架4. 能独立负责应用开发，积极主动沟通，及时高效完成开发任务5、熟悉iOS SDK中的UI、网络、数据库、Webkit、JavascriptCore等开发技巧，熟悉常见iOS第三方开源库；6、熟悉各种UI控件，能够实现复杂的界面交互；7、掌握Android开发和了解跨Android、iOS平台开发框架加分；8、熟悉多线程，内存管理，内存优化，熟悉 Git 代码管理工具加分9、热爱并愿意投身在线教育事业。,"教育,移动互联网",2000人以上,ios,深圳
ios开发工程师,https://www.lagou.com/jobs/5590811.html,南山区,12k-20k,深圳印象互娱网络科技有限公司,3-5年,本科,五险一金，绩效奖金，员工旅游,岗位职责1.能够配合产品经理完成各种手游SDK的开发或者聚合，包括统计SDK、广告SDK、付费SDK、登陆SDK等。2.根据研发规范和项目流程编写SDK相关的技术和说明文档。3.能够对SDK进行各种游戏平台的适配主要包括unity、cocos2d、adobe air等。4.能够把SDK植入到游戏中，有修改游戏逻辑的能力，游戏平台主要味unity、cocos2d、adobe air等。5.负责SDK的日常维护开发和维护工作，保证交付高质量的SDK。6.负责SDK日常的问题排查工作。任职要求1.3年以上相关工作经验，计算机专业优先。2.精通object c和java，精通C#，精通unity-3d平台开发。3.熟悉iOS系统架构及相关技术。4.了解cocos2d和adobe air animate cc等平台开发，有能力修改游戏源码，增加广告位和付费入口等。5.熟悉收集游戏开发、上线、运营整体流程。6.有较强的学习能力，能够快速学习新的游戏引擎平台和语言，能够快速适配新平台的SDK。7.对游戏行业充满热情，积极主动，踏实，代码质量高。8.有底层开发相关经验和游戏上架经验者优先。,游戏,50-150人,ios,深圳
iOS开发工程师,https://www.lagou.com/jobs/2983928.html,南山区,10k-15k,深圳市埃微信息技术有限公司,1-3年,本科,"周末双休,扁平管理,上升空间,氛围轻松","1、岗位职责 （1）负责公司iPhone和iPad客户端软件的开发，参与项目需求分析、产品设计。（2）按计划完成产品的代码编写，产品测试，并且保证代码质量。（3）按照开发流程编写相应模块的设计文档。（4）跟进iOS平台终端技术的更新,设计和实现新产品和功能。（5）对iOS平台开发技术进行研究。（6）提供产品相关技术支持。习、沟通和协调能力，有良好的团队协作意识。2、岗位要求（1）具有扎实的计算机基础理论知识（2）熟练掌握IOS 开发技术 包括UI、多线程、Socket，HTTP网络通信等方面。能够根据产品设计独立完成手机客户端应用及核心代码的编写（3）熟练掌握前端开发技术(HTML、JS、CSS)，了解各项技术的相关标准， （4）具有良好的编程习惯，有较强的代码阅读能力和学习能力，对移动产品有浓厚兴趣（5）有React Native 经验,或App Store 线上作品者优先3、公司福利      1.所有员工入职即购买五险一金（入职当月以15日为界限）；      2.季度奖金，每三个月发一次；      3.根据工作业绩，公司对成绩优秀的员工进行现金奖励与外部培训；      4.根据绩效，每年调薪1-2次；      5.根据公司经营情况，每年组织2-3次旅游（省外或国外）；      6.每周两次体育活动（篮球、羽毛球）或聚会；      7.夏季提供游泳票，每人每周一张；      9.每月组织员工生日会，每天设立下午茶时间；      10.员工培训及良好的晋升机制。本岗位提供工资+季度奖+年终奖+期权奖励的方式，欢迎有激情有能力的年轻人加入","移动互联网,医疗丨健康",50-150人,ios,深圳
IOS,https://www.lagou.com/jobs/5164546.html,福田区,10k-20k,上海海万信息科技股份有限公司,3-5年,大专,"交通便利,大平台,环境好,新技术",1、2年以上工作经验。2、有native+H5混合开发经验，熟悉phonegap或cordova;熟悉git工具使用；3、有通用框架使用经验，有电商类APP或IM相关开发经验优先；4、熟悉OC、swfit语言5、计算机相关专业优先；做事积极，有责任心。,"移动互联网,金融",500-2000人,ios,深圳
