job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
ios,https://www.lagou.com/jobs/6760592.html,浐灞生态区,12k-20k,腾讯科技（深圳）有限公司,不限,本科,平台大，团队好,岗位职责   ：     1.负责视频会议iOS或Mac端相关业务需求开发；     2.负责视频会议业务开发；     3.负责视频会议稳定性及性能优化；     4.负责视频会议客户反馈问题跟进及效率工具开发；          岗位要求：     1. 本科及以上学历，计算机或软件工程相关专业；     2. 2年以上IOS或Mac开发经验，精通Objective-C，熟悉Swift。     3. 具备扎实的数据结构和算法基础；     4. 良好的计算机基础，数据结构和算法是必备技能，熟悉Git等工具开发；     5. 具备良好的分析解决问题能力，良好的学习和分享习惯，工作积极主动，责任心强；     6. 有跨平台或音视频开发经验者优先          备注：此岗位为腾讯集团旗下全资子公司编制岗位,社交,2000人以上,ios,西安
高级iOS开发工程师,https://www.lagou.com/jobs/6596532.html,高新技术产业开发区,18k-25k,西安逆袭网络科技有限公司,5-10年,本科,"扁平管理,五险一金,健身福利,股票期权",职责描述：1、负责移动产品的功能研发和性能优化，完成高质量编码和测试工作；2、和产品经理配合，共同打造高性能和极 致体验的产品；3、设计良好的代码结构，不断迭代重构；4、承担重点、难点的技术攻坚。任职要求：1、五年以上iOS平台开发经验，主导过相关项目核心模块开发，有完整的成熟移动端产品开发经验优先；2、具有扎实的编程功底，良好的设计能力和编程习惯；3、精通ObjectC，C，C++、Mac OS X、X code；4、有较好的产品意识；5、生活工作态度积极，有良好的的沟通能力和团队合作精神，责任心强；6、理解创业精神，敢于创新，思维严谨，勇于挑战自己；7、有图片、视频类开发经验者优先。,"移动互联网,社交",50-150人,ios,西安
ios开发工程师,https://www.lagou.com/jobs/7168074.html,未央区,7k-12k,彩讯科技股份有限公司,3-5年,本科,五险一金 周末双休 生日福利,岗位职责：1.根据需求独立完成IOS系统的设计与开发；2.负责需求的技术调研和分析，与研发部同事一起推进产品开发进程；任职要求：3.负责解决开发过程中遇到的技术难题，进行系统的维护优化。1. 3-5年iOS开发经验，熟练iOSAPP开发流程。计算机相关专业本科及以上学历。2. 熟练掌握Objective-C，C/C＋＋语言，掌握MVC、MVVM架构以及等设计模式，有一定算法知识3. 精通多线程开发，理解OC Runtime运行机制，熟悉常用第三方框架4. 熟练React Native5、精通iOS SDK中的UI、网络、数据库、Webkit、JavascriptCore等开发技巧，熟悉常见iOS第三方开源库；,"移动互联网,消费生活",500-2000人,ios,西安
ios开发工程师,https://www.lagou.com/jobs/5699955.html,灞桥区,9k-14k,北京联龙博通电子商务技术有限公司,3-5年,本科,双休、五险一金、加班补贴,工作内容：1．负责项目移动端的功能开发；2．根据设计文档或需求完成代码编写、调试、测试。专业知识及技能:1.深入理解iOS SDK，具有丰富的 Objective-C 及 C/C++ 开发经验，有良好的编程能力和代码风格，能够熟练使用各种设计模式；2.精通 iOS 操作系统各个组件和机制并灵活运用；3.熟悉多线程、Runtime、 Runloop、 Cocoa Touch、APNS、 KVO/KVC、内存管理机制；4.熟悉掌握iOS平台下软件开发、调试、优化和适配等工作；5.熟练掌握Xcode和相关开发工具的使用，具有系统分析设计能力，能独立进行产品开发、打包、发布；6.熟悉Swift/ReactNative中的一个或多个者优先。,"移动互联网,电商",2000人以上,ios,西安
22989-iOS/Mac开发工程师（腾讯云全资子,https://www.lagou.com/jobs/6930241.html,雁塔区,15k-20k,腾讯科技（深圳）有限公司,1-3年,本科,发展潜力大,"岗位职责：
 负责腾讯音视频和云通信 PAAS 产品的场景化设计和场景化功能开发工作，针对不同行业场景打造细分领域的垂直化产品特性。 
 基于腾讯云音视频和云通信 PAAS 产品线，帮助企业级客户制定业务流程，包括业务最佳实践、产品变更处理机制和产品问题处理机制等，帮助客户深度理解音视频及通信云服务，并将我们的技术产品落地到自身的业务场景中。 
 负责腾讯云语音通话、视频通话、直播点播以及即时通信等场景的接入问题分析和汇总工作，总结刚需场景，剖析客户痛点，设计和指定最符合客户业务场景的实施解决方案。
  负责腾讯云通讯类 SDK 产品的功能维护和相关的技术优化和技术支持工作，包括自动化框架的设计、建设和维护，以及性能优化平台的设计、建设和维护工作。 
岗位要求： 
 计算机相关专业本科及以上学历，2年以上相关开发经验，具有良好的C/C++编程能力，具有良好的编程风格和快速开发的能力。
 具备良好的学习能力和分析解决问题能力，责任心强，良好的对外沟通和团队协作能力。
 熟悉Objective-C开发语言，了解GCD运行机制，具有良好的数据结构和算法基础。
  有深度学习SDK开发和接入经验者优先，有多终端开发经验者优先。
 有音视频相关开发经验者优先
此岗位为腾讯集团旗下全资子公司编制岗位。",社交,2000人以上,ios,西安
iOS开发工程师（西安）,https://www.lagou.com/jobs/5834236.html,高新技术产业开发区,8k-15k,杭州格像科技有限公司,1-3年,本科,六险一金 年度体检 年度旅游 午餐补贴,"岗位职责：1.负责新项目的iOS客户端的开发及优化；2.持续优化代码效率，提高产品性能；3.把握项目进度和风险，完成既定业务目标。岗位要求：1.计算机及相关专业，本科及以上学历，CET4及以上，具有良好的英文文档阅读能力；2.熟悉Objective-C, Swift, C/C++开发语言，精通iOS应用开发技术和iOS开发框架，具有丰富的 UI 开发经验;3.熟练掌握Xcode, Git ，Carthage等相关开发工具, 并且对性能调优有一定的经验;4.有过大型项目经验，能够独立思考产品中的技术架构和实现，以及未来的扩展性，针对问题可以给出合理的解决方案；5.具有良好的沟通和团队协作能力。",移动互联网,50-150人,ios,西安
IOS开发工程师,https://www.lagou.com/jobs/7153405.html,曲江新区,7k-14k,陕西律鸽子商业运营管理有限公司,3-5年,大专,项目市场前景很好,熟练运用xcode进行程序调试，和页面布局熟悉使用objective-c语言。熟练使用oc语言进行项目布局和调试掌握svn、postman等设计常用工具对第三方高德地图，百度地图的集成；掌握xcode的debug使用；DIV+CSS布局的HTML代码编写，熟练手写标准CSS样式表；微信、支付宝等第三方支付分享等功能的调用；阿里云图片、极光推送、等第三方调用；二维码扫描支付消费订单、二维码扫描实现添加好友功能；有良好的规范意识，注重代码的规范性,电商、软件开发,150-500人,ios,西安
ios开发工程师,https://www.lagou.com/jobs/7196910.html,高新技术产业开发区,10k-15k,西安皑鸥软件科技有限公司,应届毕业生,本科,五险一金，双休，人性化管理、年轻团队,工作职责 1. 主要负责iOS App的模块设计和开发；2. 根据客户端软件的难点问题有针对性的进行技术攻关；3. 根据研发过程中的体验对产品提出建议；4. 协同产品经理，对产品做出用户体验或性能上的创新与迭代；5. 设计良好的代码结构不断迭代重构。技能要求 1、至少3年iOS APP项目开发经验； 2、具备扎实的Object C编程基础，有独立的APP开发能力； 3、熟悉Xcode开发环境，各种相关开发框架技术； 4、熟悉iOS原生态系统和H5混合开发。 5、熟悉iOS操作系统以及Framework机制，熟悉网络通信:Socket及HTTP协议； 6、具备良好的沟通能力和优秀的团队协作能力，能够阅读英文文档；,移动互联网,15-50人,ios,西安
ios开发工程师,https://www.lagou.com/jobs/7164302.html,高新技术产业开发区,9k-12k,上海鑫渡金融信息服务有限公司,3-5年,本科,发展前景广阔，五险一金,"岗位职责：1、参与项目需求分析及系统框架和核心模块的详细设计；2、负责iOS应用软件的设计，开发，迭代，维护，测试；3、与设计师和产品经理紧密配合，实现有丰富界面交互的手机终端应用。4、协调并管理现有iOS团队,发现并修复程序缺陷5、配合后端工程师实现功能并优化系统；6、参与新功能需求、设计与接口文档编写；7、持续优化迭代，提升质量和性能8、负责IM模块架构设计，并完成IOS客户端IM模块核心代码、应用程序开发； 任职要求：1、本科及以上学历，计算机相关专业，五年以上工作经验，三年以上专职ios手机平台开发经验,面向对象编程基础扎实，对多线程处理游刃有余，具备独立设计和完成项目的能力；3、熟练掌握常用数据结构及软件设计方法等，包括代码布局AutoLayout+Soryboard+xib；4、有RESTful API 的开发经验, 熟悉网络通信相关框架；5、(非必需)熟悉其它编程语言或平台更好，如Swift，JS，Android，Unity3D，Web等。有多媒体领域相关的开发经验,会使用ffmpeg/vlc等工具；6、了解javascript,html5等web开发知识；7、熟悉UI界面编程,了解iOS内存管理，熟悉ARC机制，了解多线程编程, 数据库，文件，LBS，缓存，通用算法，常用协议等基本技术；8、熟悉移动端网络开发，对网络协议(tcp, http, XML,JSON)的使用和设计有深刻的理解;9、良好的逻辑思维与技术思维，对编程充满兴趣和激情，代码规范，有良好的团队协作精神和良好的沟通能力，责任心强，有团队合作精神；10、具备快速定位问题的能力，能熟练使用 instruments 工具；",移动互联网,50-150人,ios,西安
ios开发工程师,https://www.lagou.com/jobs/6776873.html,高新技术产业开发区,9k-12k,陕西同纳信息技术有限公司,3-5年,本科,线上产品，有很好的行业前景,"职位描述:1、负责iOS产品迭代改进及移动端新产品的开发；2、参与 APP 性能、体验优化及质量监控评估体系建设；3、参与客户端基础组件及架构设计, 推进研发效率；职位要求:1、热爱计算机科学和互联网技术，对移动产品有浓厚兴趣；2、扎实的数据结构和算法基础；精通至少一门编程语言，包括但不限于：Objective-C、Swift、C、C++、Java；3、熟悉 iOS平台原理，具备将产品逻辑抽象为技术方案的能力；4、关注用户体验，能够积极把技术转化到用户体验改进上；5、对新技术保持热情，具备良好的分析、解决问题的能力；6、熟练使用git等版本管理工具；",移动互联网,15-50人,ios,西安
