job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
ios工程师,https://www.lagou.com/jobs/4840931.html,渝北区,7k-14k,重庆市九吨科技有限公司,3-5年,本科,"员工旅游,五险一金,年终奖，项目分红","职位描述： 1、 负责公司移动APP端软件研发工作， 能够独立处理和解决所负责的任务； 2、 根据业务平台需求完成需求分析、模块设计、编码、单元测试工作； 3、 参与公司核心业务平台的技术架构设计、核心模块开发、部署工作；保障技术架构、技术实现符合业务发展需求； 4、 负责公司软件平台的后台系统设计与开发工作； 5、 负责生产、测试和开发环境的搭建、维护； 6、 负责公司IOS的版本上线下线，版本更新。 任职要求：1、2年实际iOS开发经验，比较丰富的客户端应用架构经验，可以独立完成APP开发； 2、精通 iOS Framework 层，有通过源码阅读定位问题的经验； 3、精通iOS UI 开发，熟悉 UI 架构，具备一定的UI 交互知识； 4、精通iOS 调试工具和方法，善于攻克各种iOS 复杂问题； 5、精通iOS SDK中的UI、网络、数据库、XML/JSON解析等开发技巧； 6、 掌握 iOS 应用开发、上线、发布流程整套项目开发经验； 7、 熟练使用Object-c、Xcode、Instruments进行调试、熟悉IOS第三方库,编程基础扎实，熟悉常用框架，json，xml，H5等； 8、应聘时请携带参与开发的App作品及简历我们的福利：弹性半小时上班，周末双休，五险一金，丰厚的年终奖金、每日下午茶、每月生日会、带薪年假（全年6天）、节日礼品、年度旅游（1-2次）、年度体检、年终活动会（100%中奖），",移动互联网,150-500人,ios,重庆
ios开发工程师,https://www.lagou.com/jobs/6485078.html,渝北区,12k-20k,完美世界（北京）软件科技发展有限公司,1-3年,本科,员工食堂、免费健身房,工作职责：1)承担移动App相关的开发&优化任务2)跟进iOS相关开发技术与产品测试、发布流程3)解决需求研发中的各种技术难题，定位问题并制定解决方案4)与交互设计团队、QA团队紧密合作5)追求并实现最优的用户体验及性能提升，拥有独立的产品研发见解岗位要求：1)计算机相关专业本科或硕士学位， 3年以上全职mobile-app开发经验。2)精通iOS开发及兼容性，追求最优的、突破性的移动端用户体验！3)熟练掌握Objective-C，额外熟悉swift者优先4)具有基本的模块化开发与良好的抽象思想5)熟悉至少一种主流数据库，熟悉多线程开发技术7)熟悉Socket、HTTP、TCP/IP系列网络编程及通信协议8)熟练掌握常用算法及数据结构的应用！,"移动互联网,游戏",2000人以上,ios,重庆
iOS开发工程师,https://www.lagou.com/jobs/6800095.html,渝北区,7k-13k,重庆可兰达科技有限公司,3-5年,本科,五险一金；年终奖；带薪年假；,"职位描述:●完成IOS平台应用开发需求分析与功能设计●开发IOS平台的产品职位要求:●计算机或相关专业，本科及以上学历;●二年以上Objective c开发经验，有其它语言开发基础可降低年限限制。●具有iPhone,Windows Mobile开发经验者优先考虑;●具有良好的沟通能力和团队合作精神、对工作任务和工作进度的完成有责任感。",移动互联网,150-500人,ios,重庆
ios开发工程师,https://www.lagou.com/jobs/6009556.html,渝北区,8k-15k,重庆可兰达科技有限公司,1-3年,本科,五险一金；周末双休；员工体检；带薪年假’,"有人说：与Bug斗，其乐无穷；与数据斗，其乐无穷；与服务器斗，其乐无穷；来这里你才知道：有人逗，最是乐在其中。职位描述:●完成IOS平台应用开发需求分析与功能设计●开发IOS平台的产品职位要求:●计算机或相关专业，本科及以上学历;●二年以上Objective c开发经验，有其它语言开发基础可降低年限限制。●具有iPhone,Windows Mobile开发经验者优先考虑;●具有良好的沟通能力和团队合作精神、对工作任务和工作进度的完成有责任感。",移动互联网,150-500人,ios,重庆
移动开发工程师（Android/IOS）,https://www.lagou.com/jobs/4072232.html,渝北区,8k-15k,中国民航信息网络股份有限公司重庆分公司,1-3年,大专,五险二金、带薪年假、工会福利、教育培训,"Android方向岗位职责：1、负责Android/AndroidPad平台下应用的开发和维护工作；2、负责相关方案及技术文档编写；3、根据产品需求开发相关的移动产品；4、验证和修正测试中发现的问题；5、学习和研究新技术以满足产品的需求；6、根据开发过程中的体验对产品提出改进建议。 任职要求：1、计算机相关专业本科及以上学历，两年以上项目经验；2、熟悉Java、Kotlin语言，具备良好的编码风格；3、熟悉android UI框架、线程、进程特性，熟悉android性能指标、监控工具及调优方法，有系统化的知识体系；4、熟悉MVVM、Jetpack、DataBinding、ObjectBox 、Dagger；5、了解CI/CD相关技术, 熟练git等工具；6、思路清晰，善于思考，对数据敏感，能独立分析和解决问题，对代码的质量和性能有追求；7、有H5、Vue项目开发经验者优先；IOS方向岗位职责：1、负责iOS/iPad平台下应用的开发和维护工作；2、负责相关方案及技术文档编写；3、根据产品需求开发相关的移动产品；4、验证和修正测试中发现的问题；5、学习和研究新技术以满足产品的需求；6、根据开发过程中的体验对产品提出改进建议。 任职要求：1、计算机相关专业本科及以上学历，两年以上项目经验2、丰富的C，C++或objective-c的编码技能；3、理解面向对象编程思想、设计模式，熟悉网络编程，具备Hybrid项目开发能力；4、熟悉iOS应用开发框架和常用开发架构模式，熟悉多线程，网络编程；5、了解CI/CD相关技术, 熟练git等工具；6、思路清晰，善于思考，对数据敏感，能独立分析和解决问题，对代码的质量和性能有追求；7. 有H5、Vue.js项目开发经验者优先。","移动互联网,电商",500-2000人,ios,重庆
ios开发工程师,https://www.lagou.com/jobs/7178581.html,南岸区,5k-10k,重庆芸享实业有限公司,1-3年,大专,五险一金，双休，工龄工资，定期体检,"职位职责：1. 负责一个项目的完整研发及后期的上架维护2. 根据测试人员或客户的反应情况及时做出解决方案3. 能在项目的研发过程中与相关的同事进行沟通，交流4. 对自己的项目负责，有着良好的用户体验任职资格：1、精通OC，熟悉swift2、对常用的框架及控件能灵活的应用，特别是对控件的封装，能熟悉的使用常用的项目管理工具（如：git,snv）3、能独立完成一个完整的项目,并进行后期的上架维护，能熟练的使用常用的三方功能4、有比较丰富的项目经验，对各种类型的项目能轻松入手（如：商城,考试,酒店,直播..）5、有较强的代码阅读能力，代码有着常有的写作规范，可读性强，容错性高6、2年及以上工作经验7、有较强的学习能力，必须具有团队合作意识和团队合作精神，具有较强的责任心工作时间：早上8:30-下午18:00，每天工作八小时；周末双休，享受国家法定节假日。薪酬福利:1.基本工资+五险+绩效奖金+不定期奖金+福利补贴+年终奖金+定期体检；2.每年1月固定调薪，有实力者可无限制次数加薪；3.交通补助+话费补助+节日福利（礼品）+生日福利（礼品）+加班补贴；4.不定期举办团建活动，一年两次周边游，优秀员工加一次国外游。","信息安全,数据服务",50-150人,ios,重庆
ios开发工程师,https://www.lagou.com/jobs/7151158.html,渝北区,9k-13k,重庆用维通信技术有限公司,3-5年,本科,五险一金，免费午餐，绩效奖金，十三薪。,1.本科及以上学历，计算机或相关专业毕业。2. 掌握ObjectiveC以及iPhone SDK相关技术开发，3年及以上iOS 平台实际开发经验。 3. 熟悉各种常用UI控件，对消息推送机制有一定的了解。 4. 熟练掌握HTTP、Socket、webservice等协议通信和JSON数据格式 。 5. 具有基本英语阅读能力.良好的沟通表达能力和团队合作精神，有上进心，愿意学习新技术。 6. 有andriod跨平台开发经验优先。,"数据服务,其他",50-150人,ios,重庆
IOS 提审专员,https://www.lagou.com/jobs/7147200.html,渝北区,10k-15k,重庆创微网络科技有限公司,1-3年,大专,领导好、扁平化管理,岗位描述：1.负责IOS产品的过审管理和总结，确保各产品能够及时提审，形成规范文档；2.负责对过审被打回的产品进行分析及归纳文档并找出解决方案3.整理、收集、分析审核规则，根据新规快速做出应对方案；4.及时收录苹果发布的最新审核政策，为各产品的提审提供参考；5.协助技术，了解和处理ios sdk的问题；6.负责持续研究AppStore或IOS生态圈相关政策、行业资讯以及竞品信息的收集整理；7.对产品过审负责。任职要求：1.全日制大专及以上的学历，计算机相关专业，1年以上的相关工作经验；2.熟悉appstore审核规则以及流程，并有独特的理解和解决办法3.工作认真细心，抗压能力良好，执行力强；4.具有优秀的沟通能力，总结意识和分析习惯，善于推动工作流程，善于学习；5.热爱游戏，熟悉并喜欢各类游戏；6.有成功Appstore马甲包提审解决方案的优先考虑。,移动互联网,15-50人,ios,重庆
ios开发工程师,https://www.lagou.com/jobs/7175227.html,渝北区,6k-10k,重庆瓦莎奇科技集团有限公司,1-3年,大专,包吃包住,岗位职责：1、 负责公司移动APP端软件研发工作；2、 根据业务平台需求完成需求分析评审；3、 制定清晰的上线计划；岗位要求1、  三年以上IOS开发经验，具有多个成功上线的产品开发经验；2、 熟练掌握Swift；3、 熟悉主流开源框架；4、 熟悉地图类开发经验；5、 有良好的代码习惯；6、 有开源项目以及技术博客优先；7、 应聘时请携带参与开发的App作品及简历；8、 有一定抗压能力（UI还原度高）；9、熟练交互逻辑，有一定审美；,"文娱丨内容,软件开发",15-50人,ios,重庆
ios开发工程师,https://www.lagou.com/jobs/5568627.html,渝北区,8k-13k,重庆市万物数联科技有限公司,3-5年,大专,五险、优秀员工奖+节日礼金+生日礼金,"IOS开发工程师任职要求： 1、能独立开发，有2年以上iOS 开发经验； 2、熟练使用Mac 系统、Xcode 等相关开发工具； 3、精通Objective-C、swift，具备良好的编程习惯，熟悉扩展iPhone UI 控件、iPhone 事件机制； 4、熟练掌握storyboard、autolayout、xib 使用、会使用reactnative； 5、精通socket 和http 网络接口编程,，熟悉数据库、多线程、JSON解析，熟悉客户端/服务端通讯方案等； 6、对Cocoa、UIKit、framework 框架及iOS SDK 有深入理解，能够对移动应用进行性能分析和优化； 7、熟悉以下API接口：软硬件接口、支付接口、快递查询接口、百度地图接口、打印机接口。1：实力强大的技术团队，能够让您不断成长。1：转正员工公司提供五险+优秀员工奖+节日礼金+生日礼金2：公司都是一群有梦想有活力的九零后，不会让你感觉枯燥乏味。","移动互联网,消费生活",50-150人,ios,重庆
