job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
ios开发工程师,https://www.lagou.com/jobs/7200772.html,岳麓区,12k-16k,北京久幺幺科技有限公司,3-5年,本科,五险一金、周末双休,1.根据产品需求开发iOS客户端产品；2.对已有代码进行优化和重构，技术难点攻关；3.与产品经理配合，深度参与产品需求讨论，提升用户体验。任职要求：1.本科及以上学历，计算机相关专业，3年以上ios客户端开发经验；2.具有良好的数据结构与算法基础，熟练掌握Objective-C，熟悉网络编程3.丰富的ios知识及应用能力，能写出漂亮的界面，也能写出良好的性能和稳定性4.对代码质量有比较高的要求，追求可维护可复用的代码5.有求知欲，热爱学习新知识，了解最新的ios技术动态6.良好的沟通能力和合作精神，有责任感7.做过游戏社交类项目优先,"移动互联网,文娱丨内容",15-50人,ios,长沙
ios,https://www.lagou.com/jobs/6572635.html,岳麓区,10k-13k,湖南逻辑教育科技有限公司,3-5年,本科,五险，发展空间大，生日福利，年度绩效,1.大学本科及以上学历，计算机相关专业；2.从事iOS开发3年以上，有做iOS讲师兴趣的;3.喜欢钻研新技术；有良好的编码风格，追求代码的执行效率；4.精通多线程和网络编程5.理解面向对象设计基本原则;6.英语良好，具有一定的英文文档阅读能力；薪资待遇:固定薪资10k-15k（面谈）+餐补+全勤+五险+包宿+带薪年假,"移动互联网,教育",15-50人,ios,长沙
ios,https://www.lagou.com/jobs/6561384.html,岳麓区,13k-15k,湖南逻辑教育科技有限公司,3-5年,大专,五险、浮动调薪、餐补、包住、带薪年假,"一，岗位职责  1，大学本科及以上学历，计算机相关专业；  2，从事iOS开发3年以上,从事软件开发5年.  3，熟练掌握Swift，有一年以上Swift实际项目经验  4，喜欢钻研新技术；有良好的编码风格，追求代码的执行效率；  5，精通多线程和网络编程，对高性能程序设计、架构有较多的工作经验  6，理解面向对象设计基本原则，能熟练运用常用设计模式  7，英语良好，具有一定的英文文档阅读能力；二，福利待遇:固定薪资（根据个人能力经验来定）+餐补+全勤+包住+五险+带薪年假。 三，上班时间:下午一点到晚上十点半，休息一个半小时。    公司人性化，发展空间大，气氛好！","移动互联网,教育",15-50人,ios,长沙
ios开发工程师,https://www.lagou.com/jobs/7213035.html,岳麓区,8k-10k,湖南青凰网络科技有限公司,3-5年,本科,双休，年底奖金,岗位职责：1.负责iOS平台产品的开发工作；2.实现与服务器端的接口交互；3.配合测试人员进行自动化测试。任职要求：1.3年以上IOS开发经验，熟悉IOS SDK，至少参加过一个完整的商业级手机应用开发项目；2.具备扎实的编程基础，良好的编程习惯；熟悉各种主流手机特性，深刻理解手机客户端软件及服务端开发特点；3.熟练使用XCODE进行开发，精通常用软件架构模式，熟悉数据结构，多线程等；4.具有较丰富的IOS程序调试经验，有独立分析和解决问题的能力；5.了解苹果发布流程，可协助发布苹果应用程序；6.能独立开发高性能的IOS应用。福利：双休，年终奖，带薪年假，节日福利，生日关怀，团建聚餐，办公室零食，年度旅游,"移动互联网,电商",15-50人,ios,长沙
ios开发工程师,https://www.lagou.com/jobs/7127663.html,岳麓区,8k-12k,湖南艾瓦特网络科技有限公司,3-5年,本科,年终分红、技术大牛、五险一金,"岗位职责：1、具有多个应用上架App store，并处于活跃应用，掌握appstore的上架流程；2、精通Object-C、swift和IOS SDK开发及相关开发工具，对OOD/OOP 面对对象设计/编程、数据结构、设计模式有深刻的理解 ；3、精通IOS各种常用UI组件、网络通讯、图形界面以及数据存储、数据解析以及了解各个不同版本iOS特点，了解IOS内存管理机制，具备调优性能的能力；4、精通Xcode开发和调试技巧，熟悉多线程、Socket网络编程和TCP、UDP、HTTP、FTP等网络协议；5、有丰富的ios性能优化经验，能熟练使用xcode的instrument来诊断和调试问题；6、有完整的iOS产品开发经验，有成功上线的商业应用案例；任职要求：1.计算机或相关专业毕业，本科以上学历；2. 3年以上的IOS开发经验，有电商项目经验优先；3. 熟悉OC、Swift精通iPhone SDK,熟悉设计模式；4. IOS平台客户端开发经验，具备App上架及审核经验，能遵循开发规范；5. 掌握storyboard、xib、autolayout技术，对Swift有一定的了解；熟悉IOS平台及框架，精通Objective-C语言；6. 熟练使用Objective-C或者Swift常用开源类库；7. 熟悉Xcode、Mac开发环境及模拟器调试、远程调试；熟练使用Xcode的Instrument来诊断和调试问题，熟练编写Xcode下的单元测试；8. 熟悉IOS各个系统版本API特性及版本差异，能够提供良好的解决方案；9. 完成IOS客户端的开发工作及后期维护bug修复工作;","移动互联网,电商",150-500人,ios,长沙
ios高级开发工程师,https://www.lagou.com/jobs/5513582.html,岳麓区,12k-20k,湖南福米信息科技有限责任公司,3-5年,本科,"五险一金,餐补,高福利",岗位职责：（1）负责iOS平台客户端的开发及优化；（2）调研新技术，解决开发中的疑难问题；（3）参与架构设计，对产品的稳定与性能有**追求；（4）独立进行应用的设计和实现，与团队一起打造最好用的客户端产品；任职要求：（1）精通Objective-C或Swift语言，熟练使用Instruments查找问题与性能调优；（2）熟练掌握HTTP，socket和多线程编程，熟练使用JSON/XML，熟练使用Sqlite数据库；（3）在AppStore上发布软件者优先考虑；（4）熟练使用版本控制工具(svn，git至少一种)，有github等开源项目公开代码者优先；（5）有股票、外汇等金融产品客户端相关经验者优先；（6）目标导向，具有较强的学习能力、良好的团队协作和沟通能力；（7）三年以上相关工作经验，985、211等高等院校毕业者和有大型项目参与经验者优先考虑；,"金融,移动互联网",50-150人,ios,长沙
iOS,https://www.lagou.com/jobs/1930845.html,开福区,8K-12K,湖南联信科技有限公司,1-3年,不限,待遇可面谈,1、 具备扎实的C/C++、Objective-C编程基础以及良好的编程习惯，精通iOS应用开发框架和开发环境；2、 熟悉TCP/IP网络应用协议，熟悉socket和http网络接口编程；3、 具备良好的文档写作、用户需求分析、程序设计能力。4、 思路清晰，善于思考，有良好的分析和独立解决问题的能力，有较强的学习能力和探索精神，责任心强；5、 对终端产品的UI/UE有独到的见解与认识，有APP Store上架作品或相关作品优先,"移动互联网,金融",150-500人,ios,长沙
APP开发工程师（ios，Android）,https://www.lagou.com/jobs/6581207.html,岳麓区,9k-12k,湖南旻一生物科技有限公司,3-5年,不限,福利待遇,1.  3年以上IOS或Android开发经验2.  熟悉流媒体在线播放，对各类多媒体音频视频格式有一定的了解，参与过远程教育或社群类产品优先3.  熟练处理各终端设备的兼容和原生组件的使用4.  能独立解决和开发产品需求，注重代码质量，应用调优，熟悉React Native开发更佳5.  较为丰富的技术储备，能保真还原设计稿动画特效等，有对在线文档展示等插件应用和第三方API接入的实际项目经验6.  良好代码书写习惯和团队协作开发能力，了解flash开发或VUE前端构架优先,医疗丨健康,15-50人,ios,长沙
ios开发工程师,https://www.lagou.com/jobs/6933118.html,开福区,10k-12k,湖南卡友商通电子技术有限公司,3-5年,本科,加班补助、年假、年终奖、全勤、五险一金,岗位职责1、搭建iOS应用构架提交iOS系統技术方案，根据产品需求完成相关产品功能开发2、独立负责完成iOS客户端程序相关模块的设计和开发工作3、研究iOS相关技术点的解決方案，进行iOS技术文档编写，负责难题攻关和软件性能优化4、编写相应模块的设计文档，独立完成编码及单元测试任职资格：1、3-5年或以上的iOS产品研发经验2、有扎实的 ObjectC语言基础，有较好的产品意识3、熟悉iOS操作系统，并对iOS开发相关的性能、内存处理有深入理解4、熟悉 Xcodelnstruments等工具的使用5、熟悉 ObjectC常用的开源框架6、熟悉iOS开发相关的持久化存储、多线程编程网络通讯等知识7、熟悉iOSUI渲染机制，理解iOS动画原理，能熟练使用 iphone开发过程的各种动画的使用场景福利待遇： 1.购买五险一金；                   2.带薪年假；                   3.节假期福利；生日福利                   4.大小周，国家法定节假日休息,"移动互联网,数据服务",15-50人,ios,长沙
ios开发工程师,https://www.lagou.com/jobs/5316390.html,芙蓉区,8k-12k,湖南蔻田网络科技有限公司,1-3年,大专,五险，团队氛围好,"岗位职责：1、负责IOS手机和平板应用开发；2、配合产品经理完成产品设计；3、按照产品设计完成指定的开发工作；4、根据测试反馈，修正测试中发现的问题；5、对IOS平台开发技术进行研究，根据开发过程中的体验对产品提出改进建议；6、操作app提交苹果审核流程，了解产品关键词，能够根据用户反馈，持续进行产品优化。 任职要求： 1、2年以上开发经验，2年以上Objective-c开发经验；2、精通ios开发，能够独立开发app，有独立完成一个项目的经验；3、精通Objective-C或Swift4、精通IOS中的UI、网络、数据库、JSON解析等开发技巧；5、掌握appstore发布流程，并且有app成功上架；6、掌握objc/c/c++开发语言,能够独立进行ios软件开发；7、有良好的数据结构算法基础;熟悉面向对象开发，熟悉vc++/xcode开发环境；8、熟练运用以下： MVC  设计模式、绘图 MainStory，Xib 或者手写利用Masonry约束、cocopods 第三方依赖库、网络框架 AFNetworking9、工作认真负责，责任心强，具备良好的沟通理解能力，有很强的团队精神。",移动互联网,15-50人,ios,长沙
