job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
ios开发工程师,https://www.lagou.com/jobs/7184742.html,城阳区,8k-12k,龙匠（北京）科技发展有限公司,3-5年,大专,自由度高，发展空间大,岗位职责：1、根据业务需求，基于iOS平台进行移动端应用程序开发设计、实现、测试以及功能维护；2、分析产品的基本功能和实现方式，与产品经理、UI设计等配合，能独立完成开发工作;3、认真做好自测，并对测试人员提出的问题意见及时反馈，对程序进行调试修改与完善。任职要求：1. 三年以上IOS开发经验，本科以上学历。2. 熟练掌握计算机基础知识，数据结构、算法、网络通讯和面向对象知识。3. 熟练掌握oc、swift中的任一语言。4. 掌握面向对象编程，了解常用设计模式，较好程序编码思想。5. 至少有2个以上大中型完整的IOS应用开发经验。6. 对技术热衷，勇于创新，工作认真负责，时间管理能力强，能承受较强工作压力，善于沟通协作，具备良好的团队合作精神。备注：1.自备电脑优先考虑，非硬性要求2.我司注册于北京，五险在北京上，可转回青岛。,移动互联网,少于15人,ios,青岛
iOS开发工程师QD004,https://www.lagou.com/jobs/6160863.html,市北区,8k-15k,北京值得买科技股份有限公司,3-5年,大专,五险一金 绩效奖金 节日福利,"1.负责公司IOS移动端的技术架构设计和重点模块开发；2.负责项目架构及性能优化、关键技术选型、技术难题攻关、技术创新等工作；3.负责根据产品开发计划，按时提交高质量代码，完成开发任务；任职资格：1、四年以上IOS开发经验，熟悉IOS开发流程、系统架构、开发环境。2、有扎实的Objective-C/ C++语言基础，了解iPhone SDK及相关开发工具,熟练运用XCode等开发工具，熟悉Swift者优先。3、精通iOS应用开发：熟悉CocoaTouch框架、内存管理、动画、多线程、网络优化等；4、有较强的责任心和全局思维能力，能够独立负责一个项目。5、 对新技术持有敏感性以及愿意致力于新技术的探索和研究；6、自学能力强，沟通协作意识良好，能够承担工作压力。7、有良好的架构设计能力，熟练运用设计模式。",电子商务,500-2000人,ios,青岛
iOS架构师QD008,https://www.lagou.com/jobs/6161120.html,市北区,20k-30k,北京值得买科技股份有限公司,5-10年,大专,周末双休 五险一金 带薪年假,"主要职责：1、设计当前架构。包括新技术方案的制定或评审。2、改进过去架构。根据业务的发展或者技术债务的原因,重构当前技术方案并且推进实施。3、前瞻未来架构。技术方案调研和分析,随时准备好对新技术的使用。4、推进技术方案实施,解决实施过程中具体的技术问题。5、技术分享和培训。推进技术交流和新技术的使用。任职要求：1、5年以上开发经验，2年以上大型app架构经验（日活100W以上）。2、有扎实的Objective-C/ C++语言基础，熟悉swift，熟悉常用的数据结构和算法，了解iPhone SDK及相关开发工具,熟练运用XCode等开发工具。3、对iOS的内存，GPU，CPU，耗电及网络请求等优化有深入研究，熟练掌握常见性能优化工具链并对性能问题有已经验证的方法论；4、有较强的责任心和全局思维能力，能够独立负责一个项目，能够实现性能优良、可复用的组件。5、 对新技术持有敏感性以及愿意致力于新技术的探索和研究；6、具备良好的学习能力、沟通能力、分析及解决问题能力，优秀的团队协作精神，能够指导他人工作。7、有良好的架构设计能力，熟练运用设计模式。8、经常评审其他程序员的代码，乐此不疲地追求程序的执行效率，提高运行性能和安全性以达到产品最佳的用户体验加分项：1、近三年在大型互联网公司任职者加分2、有项目重构和复杂技术方案推行者加分3、有复杂或优秀 App 开发经验者加分4、有深入思考并解决较为复杂的技术问题者加分5、从事过多种类型app开发或架构的加分",电子商务,500-2000人,ios,青岛
ios开发工程师,https://www.lagou.com/jobs/7124394.html,黄岛区,4k-8k,青岛千约科技有限公司,不限,不限,团队人员年轻，有激情,"开发iOS前端和后端
 开发经验不重要，只要有一定的计算机背景，肯学习并且愿意和公司一起发展
 熟悉Swift和PHP语言优先考虑",电子商务,少于15人,ios,青岛
ios开发工程师,https://www.lagou.com/jobs/6553507.html,李沧区,8k-12k,青岛钜源运动器材有限公司,3-5年,不限,五险一金、绩效奖金、带薪年假、周末双休,岗位描述： 1. IOS平台下手机应用程序设计、开发、测试和维护；2. 根据项目任务计划，按时完成移动端应用开发。任职要求： 1. 有扎实的Object-C 编程基础，具有良好的编程习惯；2. 熟悉IOS下网络通信机制，精通Socket通信，熟悉TCP/IP、HTTP协议；3. 三年以上手机平台或嵌入式开发经验；4. 熟悉软件开发管理过程，有良好的编程规范及开发技能；5. 掌握MAC或Unix系统工作机制，熟悉SQL语言，熟悉TCP/IP协议及网络编程；   对编程有浓厚的兴趣，具有较强的学习能力，善于接受新技术。擅于沟通，具备团队合作精神，稳定的工作态度；有成熟作品者优先，能提供可展示个人做过的作品或项目地址者优先。,"企业服务,体育",500-2000人,ios,青岛
ios开发工程师,https://www.lagou.com/jobs/6905085.html,黄岛区,8k-12k,青岛汇海融科信息科技有限公司,1-3年,不限,福利好，发展前景大，晋升空间大,"一、岗位职责1．生成开发文档.2．界面开发、常用布局、代码调试、性能优化、内存优化等3．快速查找定位和修正程序的Bug.4．iphoneSDK开发环境及底层API调用.二、岗位要求1．2年以上ios开发经验者2．熟练Objective-C和C++(优先录用)  3．熟悉HTTP通信、SOCKET通信、多线程  4．熟悉APP本地数据库编程及缓存应用5．领导过小组和团队的(优先录用)6．区块链系统开发经验优先录用.7．要超强学习能力、创新力和团队协作能力.有强大的自驱动力和创业激情.三、薪酬结构及福利体系1．薪酬:底薪8000-12000+房补+年终奖金.2．分红:超额激励分红+在职激励分红.3．期权:为与公司长期共同发展的成员发放期权.4．五险:为成员提供养老保险，医疗保险，失业保险，工伤保险和生育保险五大类保险.5．带薪年假:为工作满1年的员工提供带薪年休假.6．年度体检:每年度公司统一安排成员体检.7．活动基金:按月享受活动基金,供部门或团队活动之用.8．其他福利:提供下午茶、点心和水果以及晚餐9．生日会:为员工准备生日礼物与蛋糕.",软件开发,15-50人,ios,青岛
ios开发工程师,https://www.lagou.com/jobs/3250087.html,市北区,9k-12k,青岛巴别塔网络科技有限公司,1-3年,本科,"弹性工作,双休",,"电商,金融",15-50人,ios,青岛
IOS开发工程师,https://www.lagou.com/jobs/6478240.html,市北区,10k-15k,青岛喵咪互动娱乐有限公司,3-5年,本科,双休五险一金带薪年假,"1.本科及以上学历，4年以上的iOS研发经验，能够独立开发项目，使用Swift开发，了解Objective-C编程；熟悉常用的数据结构和算法，掌握面向对象的思想2.熟悉TCP、UDP、HTTP、HTTPS等网络协议的一种或者多种，熟悉网络通信机制及其常用数据传输协议;3.对iOS的内存，GPU，CPU，耗电及网络请求等优化有深入研究，熟练掌握常见性能优化工具链并对性能问题有已经验证的方法论；4.熟练掌握MVC、MVVM、MVP等常用架构,有组件化研发经验.5.熟练掌握iOS开发技术，包括但不限于内存管理、多线程、runtime、网络编程等，熟练运用XCode等开发工具。6.熟悉AVFoundation，了解VideoToolBox，AudioToolbox等音视频相关框架，熟悉GPUImage者优先；7.熟悉iOS下音视频采集录制编辑相关框架，精通GPUImage优先；8.熟悉相关音频编解码标准以及音频编解码核心算法，有回声抵消、噪声抑制、自动增益控制、频响均衡等其他语音前后处理及增强算法相关经验者优先；9.基于OpenGLES等图形库实现图像缩放、特效、裁剪、叠加、模糊、滤镜、特效等后处理操作。10.对ReactNative有深入理解和应用、有统计SDK/第三方SDK开发/框架开发经验者优先。",消费生活,500-2000人,ios,青岛
iOS研发工程师,https://www.lagou.com/jobs/7014874.html,崂山区,7k-11k,北京泛钛客科技有限公司,1-3年,本科,五险一金、技术学习、零食供应，工作氛围好,"岗位职责：1.参与负责移动端项目的需求设计及研发2.按照项目计划，能够高效率的完成任务，并可阶段性测试3.负责技术攻坚、性能优化，bug定位等4.能够负责独立的业务模块，编写高质量代码，并保证其稳健性、扩展性、可维护性等 岗位要求：1、熟练使用Objective-C，了解iPhone SDK及相关开发工具,熟练运用XCode等开发工具2、熟悉iOS系统的多线程机制，了解iOS系统的事件响应机制3、熟悉MVC模式，单例等常用设计模式4、了解OC的内存管理方式，能熟练使用各类主流的OC开源框架和控件5、熟悉iOS 界面开发规范以及AppStore 上架流程和规则6、熟练使用Git等⼯具","金融,数据服务",150-500人,ios,青岛
android开发工程师,https://www.lagou.com/jobs/7150831.html,市南区,8k-15k,青岛微智慧信息有限公司,3-5年,本科,五险一金、项目奖金、各种补助及节日福利,1. 本科及以上学历，计算机相关专业，具备3年以上 Android 开发经验；2. 具备1年以上ReactNative开发经验，熟悉IOS或Android原生应用开发；3、精通React技术栈，熟悉ReactNative的基本实现原理，熟悉组件间的通信和数据的管理；4、有React Native实际项目经验，能单独开发React项目；理解Redux工作原理。5. 擅长 Android  UI 开发，精通当前主流互联网应用的开发技术，能独立承担中型客户端产品的开发与维护；6. 掌握软件工程思想，能够对复杂任务分解，熟悉软件迭代开发方法；7. 良好的沟通能力和解决问题的能力，思维敏捷，思路清晰，工作积极主动，能够承受较大工作压力。,移动互联网,50-150人,ios,青岛
