job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Java后端开发主管,https://www.lagou.com/jobs/6817449.html,东莞市市辖区,25k-50k,广东坚朗五金制品股份有限公司,5-10年,大专,办公环境舒适,"工作职责：1、负责公司电商平台后台数据库、接口开发；2、面向web前端和APP接口开发；3、负责电商系统业务的后端迭代开发；4、负责电商相关活动的后端支持及实现；5、上级交办的其他事项；任职资格：1、大专以及以上学历，有后端开发管理工作经验；2、有8年以上工作经验，有一定团队管理工作经验；4、熟悉Java语言；5、熟悉Spring Boot框架；6、熟练掌握Java,kotlin语言；",其他,2000人以上,java,东莞
Java开发工程师,https://www.lagou.com/jobs/6951656.html,东莞市市辖区,10k-20k,易宝软件科技（南京）有限公司,不限,本科,项目奖金1-3个月,统招二本以上学历，3年以上Java后端开发经验。,移动互联网,150-500人,java,东莞
Java,https://www.lagou.com/jobs/7121863.html,东莞市市辖区,10k-20k,上海中软华腾软件系统有限公司,1-3年,本科,平台好团队氛围好领导好发展前景好,"传统Java后台开发，springmvc,springbot,ssm，微服务框架。优先mysql,orecal,1、2年以上Java开发经验；2、了解后端Java开发，熟悉mysql,orecal,数据库，对项目中涉及的springmvc，springbot，ssm，微服务框架；3、 熟练掌握Java开发知识和技能，能够承担模块级或部分简单系统/子系统需求分析、设计实现及软件验证等工作；4、有一定的学习能力，动手能力，能够较快的接受新术；5、责任心强，积极进取，学习能力强，乐观开朗善于沟通；6、对应用的部署和维护、Linux的操作比较熟悉优先考虑。","企业服务,金融",2000人以上,java,东莞
java开发工程师,https://www.lagou.com/jobs/7196749.html,东莞市市辖区,15k-30k,君师禾信息技术（上海）有限公司,不限,本科,福利待遇好,"岗位职责：1、负责参与制造IT产品研发与设计；2、负责制造IT研发产品中间件、框架设计与开发；3、负责制造IT研发产品算法设计及开发；4、负责制造IT关键技术攻关、软件工程能力提升，提升产品质量；专业知识与业务技能要求：1、精通一种或多种开源框架, 中间件(比如Spring, MyBatis、ZooKeeper, Redis, Kafka/RocketMQ等)；2、精通Java语言以及JVM调优3、精通JavaEE开发工具或Oracle, PostGreSQL、MySQL等相关大型数据库技术;4、有较强的分析问题、解决问题的能力，喜欢技术研究；",信息安全,15-50人,java,东莞
java开发工程师,https://www.lagou.com/jobs/7131149.html,东莞市市辖区,10k-15k,上海羿海信息科技有限公司,1-3年,大专,五险一金 绩效奖金 加班补助,"职位要求：1、本科及以上学历，计算机相关专业，3年以上相关工作经验；2、熟练JAVA编程、熟练掌握IO、多线程、集合等基础知识，具有分布式、高并发、高性能等架构经验；3、熟练Spring、SpringCloud、SpringBoot, Mybatis等开发框架；4、熟悉SQL语言及MySQL、SQL Server等关系型数据库5、熟悉HTML5、CSS3、JavaScript，熟悉Vue.js、elementUI前端框架；6、熟练Eclipse、Idea等软件开发工具,掌握Maven、GIT等工具；7、熟悉docker，nginx的部署与维护，了解Linux下的常用命令；有微信公众号，扫码登录共享设备，加密视频播放，OSS对象存储，三级分销商城的开发经验","移动互联网,企业服务",150-500人,java,东莞
java开发工程师,https://www.lagou.com/jobs/7034370.html,东莞市市辖区,10k-20k,易宝软件科技（南京）有限公司,不限,本科,五险一金+周末双休+ 重点项目+节日福利,技能要求：Linux，MySQL，java爬虫技能要求：java，SQL，MySQL，后端开发，微服务岗位职责1、根据开发进度和任务分配，完成相应模块软件的开发任务；2、辅助参与项目的应用功能设计和开发工作；3、参与项目的需求分析、负责项目的架构设计、模块设计与开发。任职资格1、实际项目开发经验2年以上，全日制统招二本院校本科学历（必要条件），计算机相关专业优先 ；2、熟悉面向对象的软件设计方法，具备数据库应用系统规划及设计能力；3、熟悉HTTP协议，熟练掌握XML、HTML/XHTML、CSS、Javascript、AJAX、JSON、Jquery等Web页面技术；4、具备良好的代码编程习惯及较强的文档编写能力；5、有良好的逻辑分析及解决问题和学习能力，有团队合作精神。6、能服从公司业务上的安排，新老项目自由切换。,移动互联网,150-500人,java,东莞
java开发工程师,https://www.lagou.com/jobs/7175793.html,东莞市市辖区,8k-15k,广州维朗网络科技有限公司,3-5年,大专,周末双休 五险一金 年终奖,1、4年以上Java应用开发经验；2、JAVA基础扎实，数量掌握数据结构、多线程编程、掌握常用的设计模式；3、熟练使用springMVC、spring、mybatis、springcloud等框架技术；4、熟悉redis、memcached等相关缓存技术；5、熟悉mysql、oracle等数据库，熟悉SQL语句编写和调优;6、熟悉高可用性开发、熟悉缓存、多线程，MQ，NIO等技术；7、有对接app应用接口开发经验、第三方接口对接经验；8、具有较强学习能力和逻辑分析能力，良好的代码书写、注释和单元测试习惯；9、熟悉接口协议安全规范，具有与第三方平台账号体系互通设计经验优先。,"移动互联网,企业服务",50-150人,java,东莞
Java开发工程师,https://www.lagou.com/jobs/6028877.html,东莞市市辖区,7k-14k,常州泉晋光电有限公司,1-3年,本科,五天制，朝九晚六，五险一金，每年三次加薪,1.本科及以上学历，2年及以上工作经验（大专放宽到3年以上经验）；精通javascript、jquery，能基于js做面向对象开发；2.熟练掌握HTML/CSS/JAVASCRIPT/ Ajax/jQuery/react等页面技术.精通至少一种JS框架或者对JS语言掌握较深3.对于Java基础技术体系（包括JVM、类装载机制、多线程并发、IO、网络）有一定的掌握和应用经验； 4.良好的面向对象设计理解，熟悉面向对象设计原则，掌握设计模式及应用场景；5.具有比较强的问题分析和处理能力，有比较优秀的动手能力，热衷技术，精益求精，有一定的技术癖； 6.熟悉底层中间件、分布式技术（包括缓存、消息系统、热部署、JMX等）；7.对于高并发、高稳定可用性、高性能、大数据处理有过实际项目产品经验者优先。8.熟悉HTTP协议，能够实现前后端数据交互，熟悉JAVA语言，能快速用java+mysql搭起后台开发服务。,"移动互联网,数据服务",2000人以上,java,东莞
java开发工程师,https://www.lagou.com/jobs/6733074.html,东莞市市辖区,8k-15k,深圳奶爸保咨询管理有限公司,1-3年,本科,年终奖金、绩效奖金、节日慰问,"职位描述：java 开发工程师岗位职责：1、按系统设计完成功能模块的编写；2、遵循工作规范和编写要求；3、编写模块详细设计文档和相关资料；4、按规范进行模块功能单元测试。 任职资格：1、2年以上JAVA开发工作经验,有实际项目开发经验；2、熟悉面向对象编程、常见设计模式，具有较好的编码习惯及一定的文档编写能力；3、熟悉JAVA基础，对J2EE有较深的了解及应用，能独立完成开发及测试任务；4、熟悉JAVA Web开发，熟悉Spring MVC 、Srping Boot、Spring Could、Mybatis、SSM、HTML、JQuery等框架及工具；5、熟悉MySQL、Oracle、SQLServer中的一种或多种数据库语言；6、掌握Maven、SVN等工具，熟悉Tomcat的部署与维护，了解Linux下的常用命令；7、较强的学习能力、责任心、主动性和抗压能力，有团队意识及强烈的学习欲望和进取心。",其他,50-150人,java,东莞
java开发工程师,https://www.lagou.com/jobs/7203755.html,东莞市市辖区,8k-15k,东莞吾觅信息科技有限公司,3-5年,本科,海外市场，有出国旅游机会,岗位职责：1、参与直播系统的需求分析、设计和开发工作。2、敏捷式开发业务应用系统，支撑业务不断进化，设计和实现高性能、高可用、安全的业务系统；3、参与系统的开发与维护，文档撰写，code review，分析系统的优化点，解決存在的技术问题。任职要求：1、本科以上学历，计算机软件或相关专业：2、精通Java开发，熟悉常用框架（ Spring、 Spring MVC、 Mybatis， Redis， Kafka、ZK等），并能掌握它的原理和机制；3、精通Spring Boot框架；4、熟悉常用关系型数据库，如 MYSQL、Oracle；5、具备系统调优、性能调优等技能，对疑难技术问题具各较强的排查能力；6、对技术有激情，有较强的独立开发能力、主动的学习能力，良好的沟通表达能力和团队协作能力；7、有直播和相关互联网开发经验优先。,软件开发,少于15人,java,东莞
