job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Java开发工程师,https://www.lagou.com/jobs/6666323.html,南开区,15k-25k,天津吉城美家信息技术有限公司,5-10年,本科,创业团队、协同快乐有理想,java高级开发工程师职位描述：1.精通Springmvc、Springboot框架 的搭建和使用；2.熟悉至少一种主流数据库技术，有较好的数据库设计和脚本编写能力3.有扎实的基础、Java多线程、锁；4.对MySQL、Redis高并发有深入的了解；5.对websocket有开发和使用经验；任职要求：1.大专及以上学历，计算机相关专业，具有五年以上Java开发经验；2.具备良好的代码规范及很好的团队沟通；3.具备良好的学习能力及抗压能力；4.对工作有责任，做人做事靠谱；5.有上进心,移动互联网,2000人以上,java,天津
java开发工程师,https://www.lagou.com/jobs/7125662.html,河东区,10k-15k,信雅达系统工程股份有限公司,3-5年,本科,五险一金，节日福利，年终奖，调薪机制,"1、本科以上学历，计算机相关专业毕业，学历要求学信网可查；2、至少4年Java开发经验，精通JAVA语言，熟练使用编程工具JBuider或MyEclipse；3、熟悉HTML、CSS,、JavaScript；4、有Web前台开发经验，对JavaScript前台开发有深入理解；5、熟悉J2EE相关技术，最好有用过Spring、Struts、Hibernate、ibatis、ssh、ssm、etl、springboot相关经验；6、精通SQL，熟悉Oracle/Mysql/Db2关系数据库中的一种；7、熟练使用和配置一种或一种以上的主流应用服务器（WebLogic,WebSphere,Tomcat)；8、有金融相关工作经验者优先考虑；9、良好的沟通表达能力，有一定的抗压力。",移动互联网,2000人以上,java,天津
java开发工程师,https://www.lagou.com/jobs/6304181.html,南开区,11k-15k,天津市神州商龙科技股份有限公司,3-5年,大专,福利待遇优厚,岗位职责：1、负责产品模块设计及开发工作；2、负责代码重构及性能优化，保障产品上线的稳定性及性能。任职资格：1、性别不限，计算机相关专业专科及以上学历；2、1年以上Java Web开发经验，具有大型软件项目设计、管理、开发经验者优先考虑；3、精通Spring、SpringMvc、MyBatis及其他常用Java EE框架；4、熟悉Html、JavaScript、CSS、Ajax等WEB前端技术；5、熟练使用Eclipse、MyEclipse等开发工具；6、熟练掌握Oracle、Mysql等数据库；7、有良好的编码规范，敏锐的Bug分析排查能力。研发人员福利：1、五险一金2、年底双薪3、双休、享受国家法定假期4、餐补、话补5、防暑降温、采暖补贴6、值班津贴7、生日礼品、节日礼金8、外地员工提供住宿9、年度薪资普调10、定期体检11、带薪年假12、年度旅游13、优秀员工及十年员工境外旅游14、免费外训及专业内训15、免费健身、免费图书借阅16、内部推荐奖金17、员工考取资质证书报销制度18、每年二次技能调薪19、弹性工时20、技术创新奖金21、研发项目奖金22、研发专项图书购买基金,"移动互联网,消费生活",500-2000人,java,天津
java开发工程师,https://www.lagou.com/jobs/6792084.html,东丽区,8k-11k,上海安硕信息技术股份有限公司,1-3年,本科,上市公司 牛人带队 金融行业 福利健全,"1.本科以上学历，计算机、软件、信息系统等相关专业；2.2年开发经验，有银行信贷系统或者核心系统的实施或者设计经验者优先；4.熟悉Oracle,DB2等大型数据库及SQL的应用；5.熟悉tomcat、websphere、weblogic等应用服务器的操作。  岗位职责： 1.金融行业应用产品的研发及实施；2.产品维护与产品技术支持； 3.基础产品和应用系统的技术支持。",金融,2000人以上,java,天津
java开发工程师,https://www.lagou.com/jobs/5941529.html,北辰区,12k-20k,天津市拓甫网络科技开发有限公司,5-10年,大专,五险一金、周末双休、年底双薪、年度体检,岗位职责：1、 负责项目及产品需求分析、系统设计及数据库设计。2、 配合项目经理完成复杂项目的拆解，并能独立完成相关模块的开发工作。3、 根据项目计划，按时完成编码，并确保代码质量。4、 解决软件研发及维护过程中存在的各种问题，优化代码结构，提升代码质量。5、 负责项目及产品研发过程中各种技术文档编写。任职要求：1、 本科及以上学历，有5年以上Java软件开发经验。2、 Java基础扎实，对Java内存管理、垃圾回收、NIO及集合有深入理解；3、 熟悉Java主流常用框架，能快速完成ssm\ssi（Spring、Spring mvc、Mybatis）框架搭建及开发；4、 熟悉spring boot、spring cloud、redis、elasticsearch、rabbitmq、kafka及多线程，优先考虑；5、 精通HTML5、Jsp、Css、Javascript、JQuery、Ajax开发。6、 精通Sqlserver、Oracle、MySQL等数据库开发。7、有3年以上团队管理能力，具有团队合作精神，能独立解决遇到技术难题。,"移动互联网,信息安全",50-150人,java,天津
高级java开发工程师,https://www.lagou.com/jobs/6368620.html,河西区,10k-15k,天津卓修生物科技有限公司,3-5年,本科,双休 、五险一金、 带薪年假、补助、体检,岗位职责：1.负责产品相关系统的架构设计，承担核心基础模块、业务功能实现、程序设计、数据库设计和编码实现；2.参与编写产品概要设计、详细设计、接口设计；3.负责跟进服务器安全、稳定、维护和性能优化等工作；4.负责解决开发过程中的技术问题，参与系统的维护、升级；5.调研相关新技术，负责对外沟通和对内技术培训。职位要求：1、统招本科及以上学历，计算机相关专业。熟悉B/S架构，3年以上开发工作经验；2、有丰富Java编程、设计经验，具有多线程编程能力、有高并发、高可用系统调优经验者优先；3.有微服务架构经验，熟练掌握springcloud、mq、elasticsearch等，有数据分析等项目经验；4.熟练掌握Springboot、Mybatis等开源框架；Redis，Memcache等至少一种NoSql数据库；熟悉Netty、Socket等框架；5.熟练掌握mysql，有sql调优经验；6.具有出色的抽象设计能力，思路清晰，善于思考，能独立分析和解决问题；7.熟悉软件工程和数据库理论，深入理解UML和设计模式，对统一软件开发过程有深入的了解，对缺陷跟踪和管理工具有一定的经验；8.有大型APP服务器研发经验或支付系统、账户系统开发经验者优先。,其他,15-50人,java,天津
Java开发工程师,https://www.lagou.com/jobs/6787370.html,滨海新区,6k-10k,凯捷咨询（中国）有限公司,应届毕业生,本科,六险一金，话费补助，交通补助，有年假,任职要求：1.计算机或金融专业本科及其以上学历；2.英语听说读写能力良好；3.有学习Murex的意愿。,企业服务,2000人以上,java,天津
java开发工程师,https://www.lagou.com/jobs/6770814.html,北辰区,5k-10k,天津鹏达金融外包服务有限公司,1-3年,本科,法定节假日、大牛带，发展好,"工作职责：
 负责现有系统的维护和升级，确保系统安全、稳定运行；
 负责公司项目新的需求分析，功能设计及研发工作;
 编写相关的开发文档，设计文档和测试文档等；
任职要求：
 统招本科及以上学历，计算机或软件工程相关专业，3年以上 java开发经验；
 熟练运用java基础知识，掌握Spring、SpringMVC、Spring Data、MyBatis、hibernate等框架；
 熟悉MySQL，oracle等数据库，熟练掌握各种SQL语句的编写及优化工作
 熟悉Web前端技术（HTML/CSS、jQuery、React、Vue等）
 有责任感，能够保质保量完成java研发任务；",金融,150-500人,java,天津
java开发工程师,https://www.lagou.com/jobs/7175095.html,滨海新区,10k-17k,武汉软帝联合科技有限公司,3-5年,大专,"双休,办公环境好,弹性工作制",熟练掌握Sprig MVC或者Spring Boot 相关技能；对Spring 定时任务有使用经验；对Mysql数据库熟练使用，能够书写复杂逻辑Sql语句；会使用RabbitMq上班时间：早9 晚上6点。周一~周六,移动互联网,500-2000人,java,天津
java开发工程师,https://www.lagou.com/jobs/5997136.html,西青区,6k-8k,天津瀚海智慧科技有限公司,1-3年,本科,智慧制造解决方案、技术及管理的学习、提升,岗位职责： 1、根据软件产品研发任务进行程序开发，包括更新原有系统、开发新系统； 2、与团队内成员充分沟通，共同解决开发中的问题； 3、负责序的单元测试，与测试部同事共同确立测试用例； 4、编写开发的相关文档； 5、完成上级领导交办的其他事项。任职要求：1、熟悉java、j2ee体系结构，熟练掌握spring、struts、hibernate的开发技术； 2、熟悉mysql等数据库开发，熟练掌握sql语句，有较好的数据库设计能力；3、熟练掌握html、javascript、ajax等web开发技术，熟悉http协议； 4、熟悉svn、eclipse等工具，熟悉tomcat、weblogic、websphere等web中间件。 5、有独立的产品设计经验，对软件开发架构有清晰的思路，善于总结并乐于表达。6、个人远景：有意成为企业管理化软件开发专业人才。,"企业服务,硬件",15-50人,java,天津
