job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
java开发工程师,https://www.lagou.com/jobs/7217718.html,龙岗区,10k-20k,深圳天天舞苑文化产业有限公司,1-3年,本科,自由度高，充满创造力，共同进步,"岗位职责：参与公司产品服务端的整体设计和开发；解决产品中的问题以及技术难点，负责产品中的技术难点攻关；负责对系统的优化，提升系统的性能稳定性和可靠性；岗位要求：计算机相关专业，一年以上相关工作经验，熟悉互联网软件产品的开发流程；熟悉SpringCloud等各种常用的技术框架, 熟悉SpringMvc、Dubbo、zookeeper等分布式框架, 熟悉Redis等缓存技术，熟悉常用消息中间件；熟练掌握mysql，redis等主流数据存储系统,能够结合具体的应用场景编写高效的sql语句或存储过程；熟练掌握java多线程的基本原理和编程方法，能够在必要的时候通过多线程编程提高程序的效率和性能；熟练使用Maven、Git、gitlab等项目构建管理工具；具有良好的沟通能力和团队合作精神，优秀的分析问题和解决问题的能力，对技术有热情。大家最感兴趣的：1. 公司实力：成立于2013年，多条业务线同步发展，持续盈利，业务量呈持续上升阶段。2. 交通便利：坐标在坂田天安云谷，楼下10号线8月开通，距离岗头地铁口步行3分钟。3. 薪酬福利：薪酬在同行业中具有竞争力，每年两次调薪机会，团建活动丰富。4. 职业发展：专注于技术开发，良好的技术氛围为每个技术人提供良好的成长平台。5. 企业文化：团队年轻，有活力，希望新加盟的员工也能跟着团队产品一起成长，保持长效稳定的共同进步，打破中小软件企业跳槽频繁的职业怪圈。",电商,150-500人,java,广东
java高级开发工程师,https://www.lagou.com/jobs/7131643.html,福田区,18k-23k,深圳华强电子交易网络有限公司,5-10年,本科,团队气氛+领导nice,1、负责站内搜索，数据分析子系统的设计、开发、单元测试和后续维护；2、参与基础框架、核心代码的编写和技术研究；3、参与项目重点、难点模块的研发工作，结合业务的特点，提供面向业务的整体优化方案；职位要求：1、本科及以上学历，计算机或相关专业；5年以上相关工作经验；2、懂JAVA、安卓、.net中两种及以上语言。JAVA基础扎实，精通多线程编程，掌握常用的设计模式；熟悉JVM，包括内存模型、类加载机制以及性能优化； 3、对全文检索Lucence、Solr、Elasticsearch等技术有较深入的了解；4、熟悉SQLServer、MySQL、Redis、MangoDB等数据库的使用；5、有大型分布式、高并发、高负载、高可用性系统设计和稳定性经验；,"移动互联网,电商",150-500人,java,广东
Java开发工程师,https://www.lagou.com/jobs/3002525.html,天河区,8k-15k,广州市讯飞樽鸿信息技术有限公司,1-3年,本科,"有发展前途,团队氛围好","岗位职责：1、完成软件系统代码的实现，编写代码注释和开发文档；2、辅助进行系统的功能定义,程序设计；3、根据设计文档或需求说明完成代码编写，调试，测试和维护；4、分析并解决软件开发过程中的问题；5、协助测试工程师制定测试计划，定位发现的问题；6、配合项目经理完成相关任务目标。 任职资格：1、计算机或相关专业本科学历及以上；2、三年及以上java开发经验；具有非常扎实的Java基础，熟悉IO、多线程、集合等基础框架；3、熟悉分布式系统开发，有消息中间件，redis等使用经验者优先；4、熟悉Linux操作系统，能基于linux系统下进行java开发部署；5、熟练使用Oracle，Mysql等主流数据库，有数据库调优经验者优先；6、具备需求分析和系统设计能力，以及较强的逻辑分析和独立解决问题能力7、能熟练阅读中文、英文技术文档；富有团队精神,责任感和沟通能力。","移动互联网,信息安全",50-150人,java,广东
java开发工程师,https://www.lagou.com/jobs/5471131.html,南山区,8k-16k,深圳市汇合发展有限公司,不限,本科,双休、加班费、年终奖等,"1、3年以上Java开发经验2、 熟悉Java后端开发并掌握开源框架（Spring、Mybatis）3、掌握面向对象原理和设计模式；4、 熟练使用Git、Eclipse/IDE等开发工具；5、掌握前端React，H5, CSS3等技术 优先。1、二本以上，计算机专业；2、2年以上工作经验。","企业服务,金融",2000人以上,java,广东
java开发工程师,https://www.lagou.com/jobs/5505763.html,东莞市市辖区,10k-20k,东莞市糖酒集团美宜佳便利店有限公司,1-3年,本科,管理人性化 福利待遇优,岗位职责：1.  负责后端架构设计、代码编写、系统性能优化；2.  开发维护系统核心模块功能和组件；3.  编写和维护文档；职位要求本科以上学历，3年以上Java后端项目开发经验，企业级项目开发经验者优先；精通JavaEE，对开源框架如Spring\MyBatis\SpringMVC\SpringBoot等有深入了解；熟悉MySQL\Redis\HBase\MongoDB\SQLServer中的一种或多种；熟练使用Kafka，熟悉zookeeper；熟悉es相关搜索引擎，熟悉多线程与高并发；熟悉微服务相关技术与框架；熟悉分布式系统开发，熟悉hadoop生态体系者优先；自我管理能力强，工作积极主动。,其他,500-2000人,java,广东
java开发工程师,https://www.lagou.com/jobs/7211386.html,天河区,15k-20k,广州雳德信息科技有限公司,5-10年,不限,加班补贴，大平台,期望遇到这样的您：1、计算机相关专业本科或以上学历，3年以上Java开发经验，2年以上Web前后端开发经验；2、扎实的编程基础，对于Java基础技术体系（包括JVM、类装载机制、多线程并发、IO、网络）有一定的掌握和应用经验；3、熟悉Spring、SpringBoot、SpringMVC、springCloud、MyBatis等开源框架和其理念，熟悉常见的一些设计模式；4、熟悉Linux下的常用命令，熟悉Mysql，有较好的数据库表设计能力；5、具有比较强的问题分析和处理能力，有比较优秀的动手能力，热衷技术，精益求精，有一定的技术癖；6、熟悉Dubbo、Redis、MQ、ElasticSearch等高性能并发中间件者优先；7、熟悉掌握Web相关技术（Http/Https/HTML/CSS/Javascript等)尤佳;8、有React/Vue/AngularJS经验者优先；9、对大数据生态有一定了解和经验者优先；10、具备良好的表达和沟通能力、具备团队合作精神，学习能力较强，有一定的抗压能力，有责任心和独立分析能力。未来需要您做的1、负责参与系统核心技术模块开发；2、参与平台框架设计和公共基础组件设计和研发；3、负责指导中级工程师开发工作，协调解决开发中的技术问题。  公司可以给到您的：大数据，大平台，周末双休等等等,"移动互联网,其他",50-150人,java,广东
java开发工程师,https://www.lagou.com/jobs/7159575.html,天河区,15k-25k,广州赞赏信息科技有限公司,5-10年,本科,午餐晚餐 五险一金 年终奖 薪资福利优,岗位职责：1. 配合项目经理完成系统的需求分析、概要设计及编码工作；2. 设计开发功能，能独立处理和解决所负责的任务；3. 能够根据开发进度和项目需求，完成软件的设计、开发、编程任务；4. 能够根据系统架构设计中存在的问题，并给出有效的解决方案。 任职资格：1. 全日制本科及以上，计算机相关专业；2. 5年以上Java开发工作经验，熟悉常用设计模式，如：Spring Cloud全家桶、MyBatis、Redis/Kafka/ElasticSearch等；3. 精通Java编程，精通JVM、多线程、集合体系等基础，熟悉分布式、缓存、消息、搜索等机制；4. 具有一定项目规划和决策能力，具备良好的识别和设计通用框架及模块的能力和指导他人开发工作的能力；5. 具备良好的沟通能力，责任心强，有团队合作精神，对系统质量有近乎苛刻的要求意识；6. 有直播平台、SAAS/PAAS系统设计和研发经验者优先；7. 有大规模高并发服务或Web应用系统的设计和开发经验者优先。,移动互联网,150-500人,java,广东
Java高级开发工程师,https://www.lagou.com/jobs/6762052.html,南山区,25k-35k,腾讯科技（深圳）有限公司,3-5年,本科,大平台,岗位职责：1、负责腾讯音乐集团IT应用系统开发工作，包括但不限于财务、采购、人事、行政、IT基础平台等领域信息化系统的开发和实施落地；2、负责相应领域系统的持续优化和日常维护，保障系统的持续优化迭代，以及系统的安全稳定高效运行；3、协助进行系统推广、培训、运营等相关落地支持工作。岗位要求：1、全日制大学本科及以上学历，计算机相关专业；7年以上应用系统开发经验；2、精通Java语言，同时熟悉或实践过Go/PHP等后端语言开发者为佳；3、熟悉Linux操作系统，能熟练使用Oracle/MySQL/MongoDB/Redis等数据库，熟悉常用的系统性能分析及优化方法；4、主导过完整的系统开发者优先（从系统的需求、设计、架构、实现和运营），重点掌握后端开发，并对常见的前端开发模式了解（如基于Vue的前端开发）；5、有激情有进取心，乐于持续学习，抗压性强，良好的沟通能力和合作精神；6、对新技术保持好奇心并具有专研精神和创新思维。,社交,2000人以上,java,广东
java开发工程师,https://www.lagou.com/jobs/6569468.html,天河区,12k-24k,中国移动通信集团设计院有限公司黑龙江分公司,5-10年,本科,发展,岗位职责1. 针对存量产品进行适配改造集成；2. 针对新需求进行新产品架构设计、产品开发；任职资格1、 本科学历，5年以上Java实际项目开发经验，具备独立负责大型Web应用开发工作的经验，能够根据需求给出IT整体解决方案及并进行整体架构设计2、 能够打磨IT团队进行独立产品模块的开发，针对遇到的棘手或新技术问题给出指导解决方案，对于产品开发过程中可能遇到的问题能够进行风险预警3、 具备通信领域系统平台开发经验者优先4、 精通Java语言和Java Web开发，熟练使用如多线程、异常处理、泛型、JDBC、Servlet等Java基础技术，精通熟练掌握SSM等JAVA主流Web框架5、 熟悉设计模式，具有面向对象的分析和设计的能力6、 熟悉HTML、CSS、JavaScript/Ajax等WEB页面设计与编程；熟悉XML、JSON、jQuery等开发技术7、 精通SQL语言，熟练掌握Oracle、MYSQL、PostgreSQL中至少一种数据库，PostgreSQL优先8、 熟悉Unix/Linux操作系统，精通weblogic/tomcat等应用服务器在Linux/Windows等系统上的安装部署和配置方法9、 熟练掌握容器化 微服务等技术者优先10、 熟悉Hadoop/Hive/Spark/HBase等大数据存储和计算系统，具有Hbase/Hive/Spark/Storm/Kafka等应用和开发经验者优先,通讯电子,2000人以上,java,广东
java开发工程师,https://www.lagou.com/jobs/7187590.html,南山区,13k-20k,深圳市超盟金服技术信息服务有限公司,3-5年,本科,领导nice 年轻化团队 集团企业,"岗位职责：1.负责项目任务分配，软件设计、开发、单元测试及性能优化2.快速定位及解决开发及运行过程中的技术问题3.积极了解公司业务，并参与相应的会议提供建议。4.按计划有效且高质量的完成分配的任务5.负责软件各阶段技术文档的编写。6.主动提交工作报告及进度。7.完成上级领导交办的其他事宜。任职资格：1.精通Java基础知识，熟悉常用的开源框架，2.熟悉分布式、缓存、消息、搜索等机制，能对分布式常用技术进行合理应用；3.熟练 http、socket、tcp、udp 等协议4.熟练使用：MySql，Oracle，SqlServer 等数据库5.熟悉 html,JavaScript,css 等前端技术，可独立完成简单的后台管理系统6.熟悉Linux操作系统，常用命令和shell脚；7.有独立分析问题和解决问题的能力和较强的学习动力和自我提升欲望。8.具备良好的沟通能力，富有团队精神和工作责任感，勤勉敬业、脚踏实地",移动互联网,500-2000人,java,广东
