job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
中高级Java工程师（2B方向）,https://www.lagou.com/jobs/7217595.html,高新区,13k-22k,四川倍施特科技股份有限公司,5-10年,本科,"五险一金,年终奖,节日福利,补贴",职位描述：1、负责项目的需求分析；2、独立完成软件的设计和开发；3、负责已有系统的性能优化、维护升级，满足业务需求；4、完成技术leader分配的业务研发工作； 任职资格：1、本科以上学历，5年以上JAVA领域系统设计、开发经验，熟悉敏捷开发方式更佳；2、JAVA基础扎实，精通I/O、多线程、集合等基础框架，精通分布式、缓存、消息、搜索等机制；3、熟悉JAVA EE规范，熟悉常用的设计模式；4、精通Java平台上的开发技术与常用框架；5、熟悉SQL，熟悉Mysql、Sqlserver、Oracle；6、熟悉Linux下的常用命令；7、具有较强的沟通能力，责任心强，乐于接受挑战，具有良好的团队合作精神和承受压力的能力；8、具有高度的抽象设计能力，思路清晰，善于思考，能独立分析和解决问题；9、专注于技术，乐于尝试最新的技术，追求编写优雅的代码，从技术趋势和思路上能影响技术团队。10、有ERP系统、交通行业系统相关方面开发、设计经验优先,移动互联网,50-150人,java,成都
java开发工程师,https://www.lagou.com/jobs/6883867.html,武侯区,7k-14k,深圳市汇合发展有限公司,不限,本科,双休、加班费、年终奖等,成都：新增1个开发岗位，主要负责智能租赁管家系统的需求开发和日常运维。中级，人员要求：1，具备良好团队协作精神及沟通能力，有责任心与主动性；2，思维敏捷，愿意接受新事物，学习能力强；3，熟悉java web开发，熟悉spring、spring mvc、spring cloud、spring boot等开发框架；4，了解前端开发技术，能够进行前端开发，熟悉angular或react前段框架优先。,"企业服务,金融",2000人以上,java,成都
java开发工程师,https://www.lagou.com/jobs/7130136.html,武侯区,8k-11k,宁夏博信通科技有限公司,1-3年,本科,五险一金 周末双休 节日福利 季度团建,岗位职责：1、负责项目的开发和维护等相关工作。2、协助产品需求分析，参与开发方案编写，负责代码开发、版本升级等。3、根据业务需要，理解用户需求，根据系统需求文档和系统开发方案，制定自身所负责的任务开发计划。4、负责完成相关功能模块的开发、测试以及后期的实施、应用维护等工作。岗位要求：1、本科及以上学历，软件工程、计算机及信息技术相关专业优先；2、3年以上工作经验，有过大型项目研发经历的优先；3、掌握Spring/iBATIS/SpringBoot/Spring MVC/Tomcat/Nginx等3种以上框架开发技术；4、具有独立学习及创新能力，具备良好的口头和书面沟通能力，能按要求撰写相关的设计文档；5、具有多应用系统整合经验者优先，具备SpringBoot开发经验，或分布式缓存Redis和消息队列等中间件应用经验的优先；,"企业服务,信息安全",2000人以上,java,成都
java高级开发工程师,https://www.lagou.com/jobs/7098707.html,高新区,10k-15k,成都博焱中大科技有限公司,3-5年,本科,行业好，发展空间大，有期权,"职位描述：  * 按照市场要求的进度完成项目开发、测试，协助完成项目实施； * 参与公司产品规划、设计、开发和测试； * 配合公司平台的需要，修改和设计平台产品；   * 根据公司需要和个人意愿，未来转向项目经理/软件经理；岗位要求： * 计算机相关专业，本科生及以上学历，具备很强的学习和交流能力；* J2EE开发经验，熟悉Spring、springmvc、spring boot等Java开发框架； * 精通JAVA、JavaScript、Servlet相关技术，具有一定规模的项目开发经验； * 了解B/S架构，熟悉jquery/ajax/div&css等HTML开发技术； * 熟练freemarker模板技术为佳； * 熟悉tomcat等常用web容器,熟悉nginx等分布式处理技术优先； *熟悉android移动应用开发；* 熟悉MYSQL，懂得数据库优化为佳； * 熟悉网络通信知识； * 责任心强，可以承担压力，有较强的独立解决技术问题的能力； * 有银行行业领域知识优先；* 熟悉linux环境，熟悉suse优先；* 执行力强，自我驱动，沟通能力好，主动性好。","金融,软件开发",少于15人,java,成都
JAVA后端开发工程师,https://www.lagou.com/jobs/5915579.html,高新区,10k-14k,北京卡拉卡尔科技股份有限公司,3-5年,本科,"五险一金,季度福利假,弹性上班,年终奖",一、岗位职责1.  参与核心内容平台开发建设与维护；2. 参与SaaS平台开发建设与维护；3. 定位、处理线上环境系统问题；4. 优化平台，解决技术难点，保障业务的持续发展；二、任职要求1. 统招本科，计算机相关专业，3年以上Java开发经验；2. 基础扎实，数据常用算法及数据结构；理解IO、多线程、状态机等基础概念；3. 熟悉MySQL，PostgreSQL等关系数据库使用；4. 熟悉Spring MVC、Spring Boot等框架，了解其原理和实现机制；5. 熟悉Redis、MongoDB、等NoSQL数据库，及Elasticsearch等；6. 熟悉Linux/Unix平台，能够使用常用的命令；7. 熟悉JavaScript，JQuery，AJAX等技术；8. 能独立完成大型模块开发和维护；9. 较强的表达和沟通能力，有责任心和持续的进取精神，团队协作意识较强，抗压能力强；10. 热爱技术，热爱编程，有强烈意愿在工作空闲期间提升自己；三、加分项目1. 拥有Github个人开源项目，或为知名开源项目做出过有意义的贡献；2. StackOverflow活跃用户；3. 坚持长期原创的个人技术博客；4.热爱技术，相信 “代码是写给人看，顺便给机器跑的” 代码洁癖者(需佐证)；如有加分，任职要求可适当放宽,"数据服务,文娱丨内容",150-500人,java,成都
核心Java开发工程师,https://www.lagou.com/jobs/6851178.html,高新区,12k-20k,四川众鹏科技有限公司,5-10年,本科,"六险一金,年底双薪,节日福利,年度体检",岗位职责：1.     负责/参与产品或者项目的架构设计、重构、优化及产品间的接口设计。2.     负责项目关键模块的详细设计，并开发实现。3.     负责/参与项目原型设计。4.     完成软件产品在测试、运行过程中出现问题的分析、修正。5.     组织小组成员完成开发工作。 任职要求：1.     本科及以上，计算机相关专业，3年以上java开发经验。2.     熟悉主流开源框架spring boot、spring cloud；storm/spark/ELK；且至少在一个项目中深入应用。3.     具备良好的数据结构基础，有扎实的Java程序设计与编码功底，对面向对象思想有深入理解。4.     熟悉JVM原理及运行机制，能根据实际情况对JVM进行定制优化。5.     深入掌握JAVA软件开发技术，具备中小型项目的分解能力，并能指导初级工程师完成技术工作。6.     能熟练使用vue前端框架7.     熟悉软件设计与开发流程，熟悉Axure、PowerDesigner等设计管理工具。8.     熟悉Memcached、Redis、MongoDB等常用NoSQL解决方案、了解各自的优缺点以及使用场景者优先；,"移动互联网,消费生活",15-50人,java,成都
初级java开发工程师,https://www.lagou.com/jobs/7216421.html,高新区,6k-10k,四川众鹏科技有限公司,3-5年,本科,"六险一金,年底双薪,节日福利,年度体检",岗位职责：1.     负责/参与产品或者项目的架构设计、重构、优化及产品间的接口设计。2.     负责项目关键模块的详细设计，并开发实现。3.     负责/参与项目原型设计。4.     完成软件产品在测试、运行过程中出现问题的分析、修正。5.     组织小组成员完成开发工作。 任职要求：1. 本科及以上，计算机相关专业，3年以上java开发经验。2. 熟悉主流开源框架spring boot、spring cloud；且至少在一个项目中深入应用。3. 具备良好的数据结构基础，有扎实的Java程序设计与编码功底，对面向对象思想有深入理解。4. 具备较强的业务理解能力和客户沟通能力。5. 熟悉Easy ui、Layui等前端框架组件，熟悉使用vue前端框架优先。6. 熟悉软件设计与开发流程，熟悉Axure、PowerDesigner等设计管理工具。7. 熟悉Memcached、Redis等常用NoSQL解决方案、了解各自的优缺点以及使用场景者优先；8. 具备较强的代码跟踪能力，有独立开发功能模块者优先。,"移动互联网,消费生活",15-50人,java,成都
Java开发工程师,https://www.lagou.com/jobs/6835224.html,高新区,12k-20k,成都科来软件有限公司,3-5年,本科,15薪 职业发展 领导nice,"工作职责:1、根据产品需求,完成产品功能的模块设计,开发,测试及维护;2、解决重要项目中的关键架构问题和技术难题,负责项目中关键技术难点的攻关;3、整理业务方的需求并与产品一起完善需求.4、能够与架构师,部门负责人一起解,将战略转化成目标和重要事件,并制定相应的计划。任职资格:1、计算机相关专业,3年及以上Java语言为主的软件开发经验, JAVA基础扎实,深入理解JVM原理,对性能调优有丰富的经验;2、熟悉IO,NIO,多线程,集合等基础框架;3、对设计模式有深入的理解,熟练使用AOP,MVC等框架,如Spring MVC,SpringBoot,SpringCloud等; 4、熟悉Netty、dubbo等RPC框架;5、熟悉数据库设计和优化,了解常用的数据库如MYSQL;有NoSQL数据库如Mongodb、Elasicsearch使用经验者优先; 6、熟悉LINUX操作命令及SHELL脚本编写;7、有工控网络分析系统经验优先","企业服务,其他",150-500人,java,成都
Java开发,https://www.lagou.com/jobs/7211585.html,武侯区,10k-15k,深圳市汇合发展有限公司,3-5年,本科,5天工作制 年终奖 六险一金 项目稳定,岗位要求：1、全日制统招本科以上学历，计算机相关专业优先；2、3年以上java开发经验，有互联网企业工作经历优先；3、熟练掌握spring、mybatis、springboot等主流技术框架；4、熟练运用Oracle、MySQL等数据库中的一种；5、工作踏实认真、责任心强，具备良好的学习能力，能够承受工作压力；6、具备良好团队协作精神及沟通能力福利介绍：1、入职购买六险一金（公司全额购买商业险可用于门诊医疗报销），免费的上下班班车接送；2、1-2个月年终奖金，根据入职时间来计算（多数员工可拿到超过一个月薪资年终奖）；3、转正员工每季度享有600元额外季度奖金；节假日：端午，中秋，春节，年后开工利是分别有300元现金福利；4、入职满一年可享有5天带薪年假；法定节假日放假安排；5、入职满一年有2次调薪调级别机会（4，10月）；工作表现优异者有机会转为总行内部员工；6、团队每月1-2次下午茶活动，每年公司会组织一次外出团建旅游活动；7、办公环境优良，加班有加班费（全额工资为计算基数，加班不超过晚上10点，平日加班为时薪1.5倍，周末加班为日薪2倍，周末加班也可优先选择调休，管理人性化）,"企业服务,金融",2000人以上,java,成都
java工程师,https://www.lagou.com/jobs/6275005.html,锦江区,9k-16k,深圳市紫川软件有限公司,3-5年,大专,节假日礼金发放，一年一度免费旅游,1、熟悉java开发语言，熟悉J2EE的主流框架(springcloud\springmvc)，能独立完成J2EE系统的设计、分析和代码开发。2、有数据库设计经验，熟悉pg\oracle、sql server等主流数据库，具备数据库编程开发能力，了解数据库调优，能对常见的sql脚本进行优化。3、具备前端开发知识及经验，熟悉VUE\H5编程者优先。二、学历要求：1、计算机专业本科毕业，3年及以上的系统开发经验，1年以上的系统设计经验。,"电商,金融",500-2000人,java,成都
