job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
java开发工程师,https://www.lagou.com/jobs/7190187.html,无锡新区,6k-9k,福建八萃网络科技有限公司,1-3年,大专,周末双休、五险一金、年终奖,职位要求：1.2~3年java开发经验；2.JAVA基础扎实，熟悉J2EE规范，熟练掌握mybatis 、spring mvc、spring boot等常用技术框架，熟悉ORACLE、MySql数据库SQL语法；3.能熟练使用JSP、VUE开发前端页面者优先；4.沟通能力良好，服从工作安排，有一定抗压能力，愿意加班、出差,"移动互联网,企业服务",150-500人,java,无锡
高级Java开发工程师,https://www.lagou.com/jobs/7115887.html,新吴区,13k-25k,朗新科技股份有限公司,5-10年,本科,年终奖优厚 公积金福利优厚 蚂蚁生态企业,1、了解JVM工作机制，有一定调优经验；2、精通面向对象的编程原理及相关设计模式。3、掌握分布式开发常见知识（分布式事务、调度、幂等控制等），掌握主流1-2个分布式开发框架，熟悉常用中间件。4、了解分布式架构设计原则。5、能说清楚自己负责的业务背景、业务流程。,"移动互联网,企业服务",2000人以上,java,无锡
java开发工程师,https://www.lagou.com/jobs/7211011.html,锡山区,8k-16k,北京开科唯识技术有限公司,3-5年,本科,节日福利 结婚生育礼金 氛围好,任职要求1、统招本科以上学历，计算机相关专业，英语水平良好；2、2年以上后台软件开发和项目实施经验，有金融银行背景的优先；3、熟悉spring boot，spring cloud，dubbo等开放框架；4、熟悉oracle，mysql，redis，mangodb等数据库，能熟练使用相关SQL或者命令；5、熟悉jetty，tomcat，netty等框架；6、熟悉java相关开发工具；7、有linux/Unix操作系统下开发经验者优先。岗位职责：1、参与软件项目的编码实施、测试和文档编写；2、参与系统概要设计；3、参与部分模块的详细设计；4、负责部分模块的编码实施；5、负责分析解决生产相关技术问题；6、负责公司相关平台底层研发，负责新技术学习跟踪。,金融,500-2000人,java,无锡
java架构师,https://www.lagou.com/jobs/7068381.html,滨湖区,20k-30k,无锡鼎洲电子科技有限公司,3-5年,本科,五险一金、项目奖金、年底分红、带薪年假,一、任职要求：1.精通Java，3年以上Java开发经验；2.熟悉J2EE开发相关技术和框架，对各种框架如Spring、Hibernate/Spring Data、Struts/SpringMVC等有深入的应用经验；3.熟练掌握jQuery、Javascript、JSP、HTML、CSS、AJAX等Web前端编程技术；4.熟悉json/xml相关知识；5.熟悉Mysql数据库；6.具备良好的文档撰写能力，能够独立交付数据接口文档，编码时能清晰明了的注释；7.具备钻研新技术的兴趣和能力；8.积极主动，善于沟通，独立工作能力强并具备良好的团队合作意识。二、职位描述：1.根据需求完成功能设计和代码编写；2.负责后端系统性能优化和改进；3.独立承担子系统和模块的架构设计以及开发；4.从技术层面参与产品讨论、设计；5.移动平台APP产品后台，接口的开发和维护以及后台搭建，数据库搭建；,人工智能,15-50人,java,无锡
java后台开发工程师,https://www.lagou.com/jobs/5451300.html,锡山区,10k-20k,南京帆软软件有限公司,1-3年,本科,有梦想，有实力，有情怀,岗位描述：1、参与FineReport和FineBI各类客户需求的技术评审和实现；2、维护FineReport和FineBI已有的产品模块，快速解决客户在使用产品中遇到的问题；3、产品性能持续优化，提升FineReport和FineBI处理大数据的能力，解决各种潜在的宕机风险问题，保障客户系统稳定、快速的运行。岗位要求：1、扎实的java编程基础，熟练掌握常用的单元测试技术，精通多线程开发相关技术；对各种常用开源框架有比较深入的了解，如：Spring、Hibernate；2、注重代码质量，日常工作中积极对“坏”代码提出改进意见，自己的代码能始终保持较高的质量；3、能熟练的掌握linux操作系统的使用，对常用命令能娴熟的应用，在linux下运行的应用程序出现问题时，能熟练的进行调试；4、具备良好的表达和沟通能力以及强烈的责任心，能在技术评审中积极寻找可能存在的问题并提出改良方案。,数据服务,500-2000人,java,无锡
高级Java开发工程师(J11370),https://www.lagou.com/jobs/7172434.html,新吴区,8k-10k,朗新科技股份有限公司,3-5年,本科,五险一金、定期体检、带薪年假,"工作职责:1、基于Spring Cloud Alibaba 开发公司基础框架。2、调整现有项目及系统功能技术路线，和产品二次迭代开发技术转型。3、开发相应功能业务微服务。任职资格:任职资格：1、JAVA基础扎实,多线程、集合等基础框架，对JVM原理有一定的了解。2、5年及以上使用JAVA开发的经验，对于常用的开源框架如Spring boot 和 Spring Cloud 能了解到它的原理和机制。3、熟悉分布式系统的设计和应用以及常用的开发套件（Zookeeper，Ribbon，Hbase，Dubbo，Hystrix等）。4、熟练使用Redis、Memcache，和它们的原理与机制。5、熟练使用常用消息中间件RabbitMQ。6、熟悉Docker容器使用。7、掌握Linux操作系统和数据库（Oracle、MySql，MyISAM）；对sql优化有丰富的经验。优先技能：1、Spring Cloud Alibaba使用开发经验者优先；2、Nacos，Sentinel和Seata使用开发经验者有先3、阿里云RDS，OSS，OTS，EDAS 使用经验者优先4、应用或基于时序数据库开发和优化，或有大数据开发经验(InfluxDB,MangoDB，ElasticSearch)","移动互联网,企业服务",2000人以上,java,无锡
java开发,https://www.lagou.com/jobs/6827436.html,无锡新区,8k-14k,福建八萃网络科技有限公司,1-3年,大专,五险一金、年终奖,任职要求：1、熟练掌握JAVA开发语言，精通J2EE架构，拥有良好的代码习惯，要求结构清晰，命名规范，逻辑性强，代码冗余率低，熟练掌握Sprint Boot；2、熟练掌握oracle 、mysql等主流数据库，能熟练进行数据库编程；3、了解使用中间件rocketmq4、有一定的模块、数据库设计能力者优先5、熟悉html、js、vue、java模板引擎（按需）6、能独立进行web类功能开发者优先（按需）,"移动互联网,企业服务",150-500人,java,无锡
"软件开发工程师（WEB后端，JAVA,Go语言）",https://www.lagou.com/jobs/6891806.html,无锡新区,7k-12k,上海讯联数据服务有限公司,1-3年,本科,晋升，14薪+年终奖+项目奖,岗位职责：1、负责服务端系统的开发和维护工作；2、对现有系统进行持续改进和优化。岗位要求：1、至少掌握 Golang、Java 等任意一种编程语言；2、掌握 MySQL 或 MongoDB 数据库的基本使用；3、熟悉 Linux 常用命令；4、了解 Git、SVN 或类似工作流程；5、注重代码质量与文档质量；6、有较强的团队协作意识，具备良好的沟通、表达能力，能抗压，有责任心，学习能力强；7、985、211院校毕业优先。,金融,150-500人,java,无锡
"高软件开发工程师（WEB后端，JAVA,Go语言）",https://www.lagou.com/jobs/6891783.html,无锡新区,12k-20k,上海讯联数据服务有限公司,不限,本科,晋升，14薪+年终奖+项目奖,岗位职责：1、负责服务端系统的设计、开发和维护工作；2、对现有系统进行持续改进和优化；3、带领开发团队，配合 PM 与产品经理，完成项目需求分析、团队任务分配、技术难题攻坚等相关任务；4、主导系统与产品的架构设计、调优工作，结合自身所掌握的技术与业务知识，主动梳理并提出优化思路，并落地实施。岗位要求：1、熟练掌握 Golang、Java等任意一种编程语言；2、熟练掌握 MySQL 或 MongoDB 数据库的基本使用，具备性能优化的意识与能力；3、熟练掌握项目开发流程，了解 Git、SVN 或类似工作流程；4、具备高可用、高并发系统或模块的设计、开发经验；5、具备软件工程意识，注重代码质量，能抗压并带领团队完成关键问题攻坚；6、思维敏捷，善于沟通，并具备独立解决问题的能力；7、加分项：具备架构设计，研发团队管理，金融相关行业经验者优先，具备良好的日语或英语能力者优先。,金融,150-500人,java,无锡
Java开发工程师,https://www.lagou.com/jobs/7122359.html,锡山区,10k-15k,北京开科唯识技术有限公司,3-5年,本科,公司规模大，晋升空间大，团队氛围好,1、本科及以上学历，计算机相关专业，英语水平良好；2、3年以上后台软件开发和项目实施经验，有金融银行背景的优先；3、熟悉Struts、Spring、Hibernate等服务端开发框架，并有实际项目开发经验；4、熟悉javascript、HTML、CSS前端开发，并有实际项目开发经验；5、熟悉SQL，熟悉Orcale、DB2、SQLSERVER、Mysql数据库应用开发中至少一个；6、熟悉Weblogic、Websphere、Tomcat、Jboss等J2EE应用服务器中至少一个；7、熟悉Eclipse开发工具；8、有linux/Unix操作系统下开发经验者优先；9、了解常用加密算法、签名算法；10、熟悉HTTP和HTTPS通讯协议；11、熟悉分布式应用架构（Dubbo/Spring Cloud）的开发和应用部署；12、具有良好的沟通能力、团队合作精神和职业稳定性，工作积极主动、服从安排，能承受较大压力，责任心和学习能力强。1、参与软件项目的编码实施、测试和文档编写；2、参与系统概要设计；3、参与部分模块的详细设计；4、负责部分模块的编码实施；5、参与测试和文档编写工作。,金融,500-2000人,java,无锡
