job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Java开发工程师,https://www.lagou.com/jobs/6515169.html,东湖新技术开发区,10k-15k,武汉北斗科技有限公司,3-5年,本科,待遇好，工资高！是个赚钱的好地方！,职责描述：1、在深入了解产品的基础上，对其进行后端开发；2、合理地设计和编写单元测试代码并进行单元测试；3、参与产品等相关的需求分析，与团队一起优化、改进产品、机制等方面；4、及时、精准的定位BUG，并对其进行修改，解决问题；5、针对现有的代码、架构、基础模型等方面进行持续的优化与改进；技能要求：1、本科或以上学历，IT相关专业，具备良好的沟通能力和团队合作精神；2、扎实的计算机基础，知识面广，有较强的代码规范意识3、精通Java、SQL、TCP/IP、HTTP和WebSocket4、熟悉Spring Boot、Mybatis、Redis、RabbitMQ、Postgresql、Git5、熟悉Linux和基本Shell命令6、具有比较强的问题分析和处理能力，有比较优秀的学习能力，能承担较大工作压力，热衷技术，精益求精7、具有高并发、地图应用、支付类开发实际项目经验者优先8、熟悉VUE、Javascript、Jquery优先第3、4条必须满足，优秀应届生可适当第4条该职位可远程面试、可远程办公，但有短期省内出差，介意者勿投本人需要在湖北省内,"消费生活,数据服务",15-50人,java,武汉
高级JAVA开发工程师,https://www.lagou.com/jobs/4523510.html,江汉区,9k-15k,禾苗（武汉）信息技术有限公司,5-10年,大专,"领导好,福利好,发展空间大,学习机会多","中、高级JAVA后台工程师岗位职责：1.参与公司系统的架构设计和核心代码的编写，对技术架构进行预研和选型，建设系统开发框架并推广使用。2.制定技术规范和接口标准，保障平台服务在高并发环境下的性能和稳定性。3.为各业务线研发可复用的基础服务、开发框架和代码库，提升业务技术团队的开发效率和开发质量。4.对初级开发工程师进行技术培训和指导，提升团队开发成员的整体开发技术。5.审核团队成员提交的代码，确保代码质量，并确保新版本发布的准确性和稳定性。任职要求：1、计算机及相关专业，大专及以上学历了解Java开源框架者，如spring,mybatis、dubbo等，熟悉io、多线程、集合等基础框架；2、5年以上Java使用经验，扎实的Java基础，精通io、多线程、集合等基础框架。3、熟悉SOA体系架构，1年以上微服务产品研发经验，对微服务的架构设计有深刻的理解，能独立完成微服务架构设计。4、熟悉Sping Boot/Spring Cloud/Dubbo等微服务框架和架构，了解其原理和使用其优缺点，并有实战经验。5、熟悉分布式架构，分布式缓存，能够设计和实现高并发性、高可用性系统。6、精通Linux，对服务器配置, 性能监控、调优等等有比较深入的开发经验。7、熟悉数据库设计和优化，了解常用的数据库如ORACLE、MYSQL；有NoSQL 数据库使用经验者优先。8、有较强的业务需求分析能力，高度的抽象设计能力，思路清晰，善于思考，能独立分析和解决问题，责任心强，具备良好的团队合作精神和承受压力的能力。9、做事严谨踏实，责任心强，条理清楚，善于学习总结，有良好的团队合作精神和沟通协调能力。",电商,15-50人,java,武汉
Java开发工程师,https://www.lagou.com/jobs/6565428.html,东湖新技术开发区,15k-30k,华为技术有限公司,1-3年,本科,五险一金、绩效奖金、股票期权,岗位职责：负责支撑业务的IT化系统和工具开发岗位要求：1、全日制本科及以上学历，计算机软件，熟练使用JAVA或者Python语言进行前后台开发；2、掌握当前流行的开发技术，有大型系统开发经验者优先，有系统优化经验者优先；,通讯电子,2000人以上,java,武汉
java开发工程师,https://www.lagou.com/jobs/5357640.html,洪山区,8k-15k,武汉朗蕴科技有限公司,3-5年,不限,做五休二，五险一金,1、3年以上Java开发经验，精通Java语言，具有良好编程习惯；2、熟悉Web Service、J2EE体系架构及MVC模式；3、熟悉springboot，springcloud，Dubbo，mybatis或类似框架；4、有分布式项目工作经验；5、熟悉redis、memcache或其他缓存技术；6、熟悉RabbitMQ，rocaketMq或其他消息中间件技术；7、精通SQL，熟练使用MySQL、Oracle等数据库，并具有一定的SQL优化能力。,移动互联网,50-150人,java,武汉
高级JAVA开发工程师,https://www.lagou.com/jobs/7074671.html,洪山区,18k-25k,武汉朗蕴科技有限公司,5-10年,本科,做五休二,1. 需求8年以上Java开发经验，有企业级应用项目经验；	2. 主导或负责过开发项目 ，有分布式系统开发设计经验；	3. 熟悉微服务框架：springboot、springcloud；	4. 熟悉Linux与Tomcat，以及相应的应用服务器的开发、部署和相关配置优化；,移动互联网,50-150人,java,武汉
高级java开发工程师（武汉）,https://www.lagou.com/jobs/6546541.html,青山区,10k-17k,上海文景信息科技有限公司,3-5年,本科,***项目，福利好,岗位职责：1、主导重大项目的架构设计和核心模块设计；2、负责基础架构组件的需求把控、功能开发、测试；3、编写核心代码；4、审核开发工程师的系统设计和代码质量，制定技术规范和开发规范；5、主导技术难题攻关、重构系统、保证系统稳定可用、高性能；6、负责培训和辅导初级java工程师；7、完成上级领导交办的其他工作。 任职要求：1、计算机、数学专业统招本科及以上学历，具有强大的编码能力，及3年以上大型企业级项目的开发经验；2、扎实的Java基础，对常用数据结构，计算机网络，操作系统等相关概念和实现有深入理解；3、熟悉SSM、SpringCloud、SpringBoot、Spring体系及常见开源框架，能对框架进行重构优化；4、熟悉ORACLE、MySQL数据库、对数据库写入层、数据同步组件、Redis缓存、消息队列等组件有深入理解；5、熟悉大规模Web应用开发，熟悉常见性能调优方法；6、能承受较大的工作压力，有强烈的责任心和上进心，能通过持续学习完善自身；7、有较强的客户服务和产品意识，沟通能力及团队协作能力强；8、能根据项目需要， 适应3个月左右的出差。,"移动互联网,其他",50-150人,java,武汉
JAVA技术经理,https://www.lagou.com/jobs/6490686.html,青山区,12k-16k,上海文景信息科技有限公司,5-10年,本科,朝阳行业 ***项目,"职位描述：岗位职责：1、全面领导国家部委级大项目的开发及管理工作；2、积极理解客户需求，倾听客户声音，将客户需求转化为可落地的产品；3、针对已有软件系统，提升系统的代码质量和健壮性；4、对持续发展的新业务系统决定技术方向，做技术选型，负责方案的实现，包括系统架构、模块设计和核心模块代码编写等；5、负责项目研发团队的建设和日常管理工作，不断提升团队成员技术水平；6、用敏捷、创新、积极的思维解决问题。 任职要求：1、计算机及相关专业统招本科以上学历，软件行业5年以上java全栈开发和系统设计经验；2、计算、存储、网络等计算机体系基本功底扎实，熟悉Java常见开发框架使用及原理，有高并发、大数据量的系统开发、设计和编程经验，会使用E-R图建立数据模型；3、有宽阔的技术视野，对开源和业界技术有一定的了解；精通WebSphere/WebLogic/JBoss/Tomcat等主流J2EE应用服务器至少一种；熟悉Oracle/SQLServer/Mysql等主流数据库管理系统、相关技术及工具； 熟悉常用的开源框架：Spring,、Spring MVC、Mybatis； 熟悉常用的缓冲框架（redis, memcache等）和SOA分布式处理框架；4、优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情；5、优秀的沟通能力，积极的做事心态，能与客户进行有效沟通；6、能适应6个月左右的出差；7、有大型企业级项目研发经验者优先；8、有港口、物流、海关行业软件研发经验者优先。","移动互联网,其他",50-150人,java,武汉
高级java开发工程师,https://www.lagou.com/jobs/6289127.html,洪山区,8k-15k,江西国泰利民信息科技有限公司,3-5年,本科,国企，年终奖，餐补，五险一金，双休,"职责描述：1、业务需求分析和系统结构设计；2、负责核心代码的开发和维护；3、指导软件系统的测试和验证程序；4、编写相关的技术文档；5、协助项目经理、产品经理、设计师进行相关的辅助设计及其他辅助性工作；任职要求：1、 本科或以上学历；2、 计算机及相关专业并具备5年以上JAVA企业应用程序开发经验，熟悉软件开发流程，有良好的编码习惯；3、 熟悉设计模式；熟悉常用算法和数据结构；4、 具备数据库编程、优化经验；熟悉SQL数据开发和优化技术及应用服务器日常运维工作，了解MariaDB/MySQL工作原理；5、 熟悉jQuery、Bootstrap框架等，熟练使用js/jsp/html/xml/css；6、 熟悉SpringBoot+SpringCloud+mybatis；7、 了解SOA架构；8、 熟悉分布式缓存如Redis，Memcache，熟悉面向服务设计(SOA)，熟悉搜索引擎，熟悉消息队列如ActiveMQ，RabbitMQ, KAFKA等之一者；9、 党员优先考虑。","数据服务,移动互联网",150-500人,java,武汉
java开发工程师,https://www.lagou.com/jobs/7145451.html,东湖新技术开发区,7k-12k,武汉海昌信息技术有限公司,1-3年,本科,五险一金、大小周、下午茶、春秋游,工作职责：1、负责软件功能详细设计、编码及单元测试，并为自行编写的代码提供规范注释；2、按照项目计划，按时提交高质量代码，完成开发任务；3、对完成的代码进行检视和优化，提高项目的易用性和性能；4、为规范软件过程，参与编写各类软件过程文档；5、为系统运维提供软件技术支持，为开发团队做相关技术分享。任职要求：1.计算机相关专业，本科或研究生学历；2.熟练使用springboot，elasticsearch和solr； 3.精通Java开发语言，熟练多线程编程；4.熟悉MySQL、Oracle等主流数据库，熟练使用MySQL者优先；5.具有较强的分析能力，动手能力以及语言表达能力；6.具有良好的沟通能力，团队合作和职业稳定性，工作积极主动，服从安排，能承受较大压力，具有责任心和较强的学习能力,"移动互联网,企业服务",50-150人,java,武汉
java技术专家,https://www.lagou.com/jobs/6995109.html,洪山区,25k-40k,北京百家互联科技有限公司,5-10年,本科,大牛多 待遇佳 氛围好,"1、负责跟谁学用户增长部的基础架构设计和关键技术的调研落地； 2、推进各应用业务的技术升级； 3、负责项目中技术难点的攻克，解决核心的业务问题； 岗位要求： 1、5年以上工作经验，计算机及相关专业，985、211院校优先； 2、精通 Java ，对JVM有深入了解，熟悉常用数据结构和算法，熟悉spring相关生态链，熟悉MySQL数据库； 3、精通微服务理念和开源微服务框架如Spring cloud, Dubbo或Istio等Service Mesh技术； 4、具有很强的编码功底、具备良好的编程习惯和工程规范; 5、有强烈的上进心和求知欲，良好的团队合作精神，较强的沟通能力和学习能力； 有以下经验者优先： 1、有Kubernetes集群的生产环境相关运维及开发经验者优先； 2、有Docker/Kubernetess社区开发经验者优先；","移动互联网,教育",2000人以上,java,武汉
