job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
java开发工程师,https://www.lagou.com/jobs/7175480.html,南山区,18k-35k,深圳市赞达贸易有限公司,3-5年,不限,五险一金、13薪+年终奖,1、承担核心功能代码编写，重点项目架构设计开发；2、深入理解业务需求，分析和发现系统的优化点，负责推动产品性能和架构优化；3、新人指导、培训及Code Review，主导技术难题攻关，提升团队整体技术水平；职位描述1、计算机相关专业本科及以上学历，三年以上Java Web应用软件开发经验；2、精通Servlet、Spring、Hibernate、iBatis、Velocity开发，对SOA模式有深入理解，对虚拟机及Linux下的开发环境有较深厚的开发经验；3、熟练MySQL，对数据库有较强的设计能力，同时熟悉大数据相关技术；4、熟悉Maven项目配置管理工具，熟悉Tomcat、Jboss等应用服务器，熟悉高并发处下的性能优化；5、具有良好的沟通，团队协作、计划和创新的能力；6、有数据化驱动、用户增长业务经验优先,"移动互联网,电商",2000人以上,java,深圳
Java高级开发工程师,https://www.lagou.com/jobs/6762052.html,南山区,25k-35k,腾讯科技（深圳）有限公司,3-5年,本科,大平台,岗位职责：1、负责腾讯音乐集团IT应用系统开发工作，包括但不限于财务、采购、人事、行政、IT基础平台等领域信息化系统的开发和实施落地；2、负责相应领域系统的持续优化和日常维护，保障系统的持续优化迭代，以及系统的安全稳定高效运行；3、协助进行系统推广、培训、运营等相关落地支持工作。岗位要求：1、全日制大学本科及以上学历，计算机相关专业；7年以上应用系统开发经验；2、精通Java语言，同时熟悉或实践过Go/PHP等后端语言开发者为佳；3、熟悉Linux操作系统，能熟练使用Oracle/MySQL/MongoDB/Redis等数据库，熟悉常用的系统性能分析及优化方法；4、主导过完整的系统开发者优先（从系统的需求、设计、架构、实现和运营），重点掌握后端开发，并对常见的前端开发模式了解（如基于Vue的前端开发）；5、有激情有进取心，乐于持续学习，抗压性强，良好的沟通能力和合作精神；6、对新技术保持好奇心并具有专研精神和创新思维。,社交,2000人以上,java,深圳
java开发工程师,https://www.lagou.com/jobs/7168545.html,福田区,9k-12k,深圳市汇合发展有限公司,1-3年,本科,5天工作制 年终奖 六险一金 项目稳定,岗位要求：1、本科及以上学历，计算机相关专业2、JAVA、JavaScript基础扎实3、掌握SqlServer或Mysql等数据库开发4、责任心强、思维清晰、沟通能力强5、项目经历真实有效，全职参与开发至少一个持续超过半年的项目6、互联网、金融领域工作背景优先7、线上通过腾讯会议面试福利信息：1、入职购买六险一金（无论是否深户都缴纳一档社保+公司全额购买商业险可用于门诊医疗报销）；2、入职满一年有一个月年终奖金；入职满一年可享有5天带薪年假；3、项目稳定、团队稳定性高，团建活动，每月有1-2次下午茶，不定期聚餐安排，团队氛围非常好；4、节假日：端午，中秋，春节，年后开工利是分别有300元现金福利；生日礼物等，法定节假日放假安排（法定节假日一年多7天左右，不需要补班）；5、每月有绩效奖金（1k+）；根据项目组要求安排的加班支付加班费用（按照薪资的1倍计算，1-3k）；6、上班地点：福田区基金大厦,"企业服务,金融",2000人以上,java,深圳
java开发工程师,https://www.lagou.com/jobs/5786933.html,南山区,11k-14k,深圳市博悦科创科技有限公司,1-3年,本科,"五险一金,员工旅游,定期体检,年终奖金","岗位要求：1、本科及以上学历，具有扎实全面的Java编程能力，深刻理解面向对象的程序设计思想；2、熟练掌握常用框架，如spring,SpringMVC，mybatis,springCloud等；3、掌握Java多线程编程；熟悉UML；理解MVC设计模式；4、熟悉JBuilder、Eclipse、MyEclipse等开发工具以及相关的代码版本管理工具；5、熟悉Oracle或MySQL等关系数据库的SQL使用操作；6、能承受一定压力，有良好的沟通协调能力与团队合作精神。",移动互联网,500-2000人,java,深圳
java开发工程师,https://www.lagou.com/jobs/6831613.html,南山区,10k-16k,深圳市汇合发展有限公司,3-5年,本科,5天工作制 年终奖 六险一金 项目稳定,岗位要求：1.计算机相关专业，本科及以上学历；2.3年以上JAVA开发经验；3.精通J2EE技术平台及常见的Java开发框架；4.熟悉spring、spring boot、mysql、Oracle、redis、nginx、netty等，并有过相关开发经验福利介绍：1、入职购买六险一金（无论是否深户都缴纳一档社保+公司全额购买商业险可用于门诊医疗报销）2、1-2个月年终奖金，根据入职时间来计算（多数员工可拿到超过一个月薪资年终奖）；3、转正员工每季度享有600元额外季度奖金；节假日：端午，中秋，春节，年后开工利是分别有300元现金福利；4、入职满一年可享有5天带薪年假；法定节假日放假安排；5、入职满一年有2次调薪调级别机会（4，10月）；工作表现优异者有机会转为总行内部员工；6、团队每月两次下午茶活动，不定期聚餐安排，每年公司会组织一次外出团建旅游活动；7、办公环境优良，加班有加班费（全额工资为计算基数，加班不超过晚上10点，平日加班为时薪1.5倍，周末加班为日薪2倍，周末加班也可优先选择调休，管理人性化）。,"企业服务,金融",2000人以上,java,深圳
java开发工程师,https://www.lagou.com/jobs/6664439.html,龙岗区,13k-20k,上海易立德信息技术股份有限公司深圳分公司,3-5年,本科,大数据项目、公司福利好、,1、本科学历以上，计算机相关专业毕业，4年以上（含4年）软件开发工作经验；2、精通java技术，熟练掌握Spring+Springmvc+mybatis；3、具备良好的数据库开发、优化经验，熟悉ORACLE、MYSQL等关系数据库中的一种；4、熟悉MongoDB；5、具备良好分析问题、解决问题的能力，有windchill经验优先；6、具备团队合作精神；,软件开发,500-2000人,java,深圳
java高级开发工程师,https://www.lagou.com/jobs/7131643.html,福田区,18k-23k,深圳华强电子交易网络有限公司,5-10年,本科,团队气氛+领导nice,1、负责站内搜索，数据分析子系统的设计、开发、单元测试和后续维护；2、参与基础框架、核心代码的编写和技术研究；3、参与项目重点、难点模块的研发工作，结合业务的特点，提供面向业务的整体优化方案；职位要求：1、本科及以上学历，计算机或相关专业；5年以上相关工作经验；2、懂JAVA、安卓、.net中两种及以上语言。JAVA基础扎实，精通多线程编程，掌握常用的设计模式；熟悉JVM，包括内存模型、类加载机制以及性能优化； 3、对全文检索Lucence、Solr、Elasticsearch等技术有较深入的了解；4、熟悉SQLServer、MySQL、Redis、MangoDB等数据库的使用；5、有大型分布式、高并发、高负载、高可用性系统设计和稳定性经验；,"移动互联网,电商",150-500人,java,深圳
java开发工程师,https://www.lagou.com/jobs/7217718.html,龙岗区,10k-20k,深圳天天舞苑文化产业有限公司,1-3年,本科,自由度高，充满创造力，共同进步,"岗位职责：参与公司产品服务端的整体设计和开发；解决产品中的问题以及技术难点，负责产品中的技术难点攻关；负责对系统的优化，提升系统的性能稳定性和可靠性；岗位要求：计算机相关专业，一年以上相关工作经验，熟悉互联网软件产品的开发流程；熟悉SpringCloud等各种常用的技术框架, 熟悉SpringMvc、Dubbo、zookeeper等分布式框架, 熟悉Redis等缓存技术，熟悉常用消息中间件；熟练掌握mysql，redis等主流数据存储系统,能够结合具体的应用场景编写高效的sql语句或存储过程；熟练掌握java多线程的基本原理和编程方法，能够在必要的时候通过多线程编程提高程序的效率和性能；熟练使用Maven、Git、gitlab等项目构建管理工具；具有良好的沟通能力和团队合作精神，优秀的分析问题和解决问题的能力，对技术有热情。大家最感兴趣的：1. 公司实力：成立于2013年，多条业务线同步发展，持续盈利，业务量呈持续上升阶段。2. 交通便利：坐标在坂田天安云谷，楼下10号线8月开通，距离岗头地铁口步行3分钟。3. 薪酬福利：薪酬在同行业中具有竞争力，每年两次调薪机会，团建活动丰富。4. 职业发展：专注于技术开发，良好的技术氛围为每个技术人提供良好的成长平台。5. 企业文化：团队年轻，有活力，希望新加盟的员工也能跟着团队产品一起成长，保持长效稳定的共同进步，打破中小软件企业跳槽频繁的职业怪圈。",电商,150-500人,java,深圳
高级 Java 开发工程师,https://www.lagou.com/jobs/6835316.html,南山区,25k-35k,爱客科技（深圳）有限公司,5-10年,本科,出海产品 技术大牛 扁平化管理,"有关 AfterShip2012 年成立于香港，公司自2014年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 600 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。if (your_passions.includes('coding')) { switch(your_stacks) {  case 'Java':  case 'Go':  case 'Kubernetes':  case 'Serverless':   console.log('Join AfterShip'):   break; }}岗位职责1、负责开发公司各平台系统的开发和维护工作；2、负责系统的 SLA 代码维护、迭代更新，保证任务质量和交付及时性；3、负责编写相关的技术文档、单元测试，对产品质量负责。岗位要求1、统招全日制本科及以上学历，具备英语读写能力；2、五年及以上研发经验，精通 Java，熟悉 Spring, MyBatis 等主流开源组件和框架；2、熟悉高并发、多线程开发、分布式系统，异步消息和微服务框架；3、对数据库有较强的设计能力，熟悉 Hadoop, Spark 等大数据处理框架和平台；加分项1、有更好的产品 Sense，能更多站在产品层面思考问题；2、有写 Blog 的习惯，活跃技术社区，参与开源项目等；3、有代码洁癖，对代码精益求精，对技术有极客热情;4、有软件著作权申请，有专利发明申请。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、行业头部企业: 海外驰名企业，细分领域领跑者；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,java,深圳
java开发工程师,https://www.lagou.com/jobs/7187590.html,南山区,13k-20k,深圳市超盟金服技术信息服务有限公司,3-5年,本科,领导nice 年轻化团队 集团企业,"岗位职责：1.负责项目任务分配，软件设计、开发、单元测试及性能优化2.快速定位及解决开发及运行过程中的技术问题3.积极了解公司业务，并参与相应的会议提供建议。4.按计划有效且高质量的完成分配的任务5.负责软件各阶段技术文档的编写。6.主动提交工作报告及进度。7.完成上级领导交办的其他事宜。任职资格：1.精通Java基础知识，熟悉常用的开源框架，2.熟悉分布式、缓存、消息、搜索等机制，能对分布式常用技术进行合理应用；3.熟练 http、socket、tcp、udp 等协议4.熟练使用：MySql，Oracle，SqlServer 等数据库5.熟悉 html,JavaScript,css 等前端技术，可独立完成简单的后台管理系统6.熟悉Linux操作系统，常用命令和shell脚；7.有独立分析问题和解决问题的能力和较强的学习动力和自我提升欲望。8.具备良好的沟通能力，富有团队精神和工作责任感，勤勉敬业、脚踏实地",移动互联网,500-2000人,java,深圳
