job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Java开发工程师,https://www.lagou.com/jobs/7033495.html,工业园区,10k-15k,苏州市中地行信息技术有限公司,3-5年,本科,福利好，待遇优，办公环境优美,"岗位职责1、负责公司核心产品的前后端开发，优化，维护；2、负责核心技术问题的攻关，模块架构设计，系统优化，协助解决项目开发过程中的技术难题；3、了解互联网的技术发展、评估外部技术与解决方案；4、根据产品需求，按时完成指定模块的设计和开发；5、解决服务、产品建设中遇到的问题，并做到持续的技术改进和优化；任职要求：1、3年以上JAVA及Web应用开发经验；2、熟悉Spring, SpringMVC, SpringBoot,JPA等开源框架；3、熟悉网络编程，具有设计和开发对外API接口经验和能力；4、熟悉常用设计模式；5、熟悉Oracle/Mysql等关系型数据库；6、熟悉在Linux操作系统下的应用环境部署及性能优化；7、熟悉MQ(rocketmq,rabbitmq),NoSql（mongoDB，redis）等技术；8、熟悉前端主流技术者优先考略，如:vue.js,jquery等；","数据服务,移动互联网",50-150人,java,苏州
java工程师,https://www.lagou.com/jobs/5099208.html,吴中区,13k-20k,上海海万信息科技股份有限公司,3-5年,本科,"五险一金,节日礼金,年终奖,旅游体检",岗位职责：1、 能独立担任系统分析与设计，并完成一些关键核心代码的开发；2、 按照进度要求完成分配的编程工作任务，参与研发产品在工程项目中的部署实施3、 参与相关软件项目或系统模块的研发工作，包括需求分析、设计、编码、测试等环节4、 按照公司开发规范，开发工具进行开发，保证交付代码质量；5、 对投产系统的运营支持，bug修正，日程维护升级等，保证系统的稳定性；任职要求：1、 本科计算机软件相关专业毕业，两年以上相关工作经验；2、 熟悉掌握JAVA主流WEB开发框架技术使用，如SSH，SpringMVC，SpringBoot等；3、 熟悉SQL，有oracle数据库开发经验，能熟练地运用PL/SQL开发工具；4、 熟练使用GIT代码版本工具，JIRA项目管理工具；5、 熟练掌握Linux上面一些常用命令；6、做过合同模板生成系统7、工作态度踏实，责任心强，具备良好的沟通、学习能力，以及良好的团队合作精神地点：苏州市吴中区星阳街，证券公司,"移动互联网,金融",500-2000人,java,苏州
高级java开发工程师,https://www.lagou.com/jobs/7212865.html,工业园区,18k-22k,上海微创软件股份有限公司,3-5年,不限,年终奖 六险一金,负责设计和开发Web应用程序，包括前端和后端以及与其他系统的接口。 与产品团队和开发测试团队合作，以高质量和及时的方式完成开发项目 负责编写设计说明书，并支持产品的测试和推出 继续学习和提高目前的技术能力要求： 计算机科学相关专业基本要求 4年以上软件开发领域工作经验，对软件开发生命周期有深刻的理解。 良好的网络应用程序开发和框架技能，包括前端(H5，CSS，JavaScript，redux等) 后端(java、Spring could等框架) 具有良好的数据库和系统集成接口知识(WebService，WebSocket)。,"企业服务,移动互联网",2000人以上,java,苏州
高级java开发工程师,https://www.lagou.com/jobs/7125914.html,工业园区,15k-30k,同程网络科技股份有限公司,3-5年,本科,优秀团队，成熟团队，业务领先,"职位描述：1、从事互联网系统研发，进行良好的系统设计和实现；2、拥有目标的设定与执行、 协调沟通能力，富于团队精神和工作责任感；3、完成系统框架和核心代码的改造优化；4、负责线上系统的维护和管理，保障系统稳定运行；5、对所负责系统进行规划，并结合项目不断优化和升级，提高性能、稳定性、可用性和扩展性；6、对APP、小程序、H5多平台的前端开发提供相关业务逻辑接入的API；岗位要求：1、具有扎实的java功底，熟练掌握架构设计原则和实际操作方法。2、深入了解Spring,SprintBoot,mybatis等框架（框架提供的特性及其实现原理）；3、具备系统调优、性能调优等技能，对疑难技术问题具备较强的排查能力；4、熟悉多线程，高并发，分布式通信、分布式存储等相关技术 ；5、熟悉常见的开源组件，如Redis等Key-Value存储系统，消息队列比如Activemq，Rabbitmq，有过相关使用经验；6、理解IO、集合等基础框架，对JVM原理有一定的了解;7、良好的逻辑思维能力，熟悉业务抽象和数据模型设计，具有很强的分析问题和解决问题的能力，对解决具有挑战性问题充满激情。",旅游,2000人以上,java,苏州
高级java开发工程师,https://www.lagou.com/jobs/6912310.html,吴中区,15k-25k,同程网络科技股份有限公司,3-5年,本科,福利待遇、发展空间、15-18薪,"岗位职责：1、参与系统的需求调研和需求分析，负责和产品一起讨论项目的可行性方案；2、根据业务与架构设计，完成功能模块架构设计和数据库设计，以及部分代码的编写工作；3、负责系统的性能优化、稳定性建设；4、负责在线票务业务需求变现、订单、营收、营销等系统的开发和维护。任职要求：1、3年及以上java 互联网项目开发经验；2、java基础扎实，编码规范，程序具备较高的健壮性，熟悉常用设计模式；3、掌握Linux环境下的网络编程、多线程编程，数据结构和算法能力良好；4、熟练MySQL、Redis、Memcached等数据存储系统；5、熟悉MVC、RPC等相关技术，例如：Spring MVC、Spring、MyBatis、Spring Boot 等；6、熟悉高并发架构、分布式架构、以及NoSql、消息等相关开发，并有一定的理解；7、具备较好的业务架构设计能力，能够深刻把握业务需求，抽象成系统设计；8、具有高度的责任心、勇于承担责任，能承受较强的工作压力，并能够带领团队完成项目；9、积极主动，敢于接受挑战，有较强的团队合作精神；10、有海量数据存储经验、高并发数据处理经验者优先考虑。""",旅游,2000人以上,java,苏州
高级java开发工程师,https://www.lagou.com/jobs/6767082.html,吴中区,15k-20k,云学堂信息科技（江苏）有限公司,3-5年,不限,晋升空间大、培训丰富、人性化管理,职位描述：1、负责新生态 sass 平台的服务端研发工作；2、参与需求讨论和分析，能够分解任务，提出合理的设计方案；3、能够高质量完成所负责模块的编码工作，并能指导和review其他同事的编码；4、对业务工程现有技术架构进行优化改进。职位要求：1. 扎实的编程基础，精通java开发语言，熟练掌握jvm，web开发、缓存，分布式架构、消息中间件等核心技术；2. 技术思路清晰，结构化思维清晰，善于解决复杂问题；3. 良好的组件级建模能力，熟悉NoSQL、MQ、Cache、TCP/IP原理，能够设计复杂业务系统 ；4. 愿意深入了解业务知识，并能敏锐的发现业务痛点；5. 熟悉SQL和性能调优，有大并发编程经验6. 熟悉自动化测试，能够对代码走自动化测试和压力测试7. 有B端平台型业务开发经验的优先。,企业服务、教育,500-2000人,java,苏州
高级java开发工程师,https://www.lagou.com/jobs/7170626.html,工业园区,15k-20k,上海微创软件股份有限公司,3-5年,本科,世界500强外企,"Division: Power Generation Service / Digital SolutionsTeam Name: Digital Solutions, Power Generation ServiceDS team is the Technical Portfolio Owner of fleet management and will manage complete portfolio group of products/services/solutions over the whole lifecycle across the PS Division.Product/Project introductionThe fleet management is the digital solution for power plant which will include the basic platform for connectivity, data acquisition, data processing, data storage, common services. And the different applications cover asset health, asset performance, fault diagnostics, operation and maintains and etc. for power plant.The related technologies will include IoT, machine learning, big data, web, mobile devices, visualization, cyber security, virtualization, cloud computing and so on. 01 - Job Function: Software DevelopmentBase: SuzhouNumber:4Job descriptionThe software development engineer will design and development web applications (Front end and back end) for digital solutions. Duties and Responsibilities Be responsible for design and development web applications including front end & back end and interface with other systems. Cooperation with Product team and Development &Test team to complete the development projects with high quality and in a timely manner Responsible for writing design specification, and support for test and roll out the product Continues learning and improvement of current technical competencies Requirements: Computer science related major is basically required At least 2 years working experience in software development field and deep understanding for software development life cycle. Good skills in web application development and framework in back end (java, spring framework and etc.), front end is prefer. Good knowledge of database and interface for system integration (WebService, Websocket). Fast learning and Innovative to new technology and knowledge Good team work Good writing & reading in English","企业服务,移动互联网",2000人以上,java,苏州
高级java开发工程师,https://www.lagou.com/jobs/7058462.html,工业园区,15k-30k,苏州奖多多科技有限公司,5-10年,本科,双休 五险一金全额缴纳 年假15天,岗位职责： 1.理解和分析产品需求，给出合理的技术方案和开发计划，及时解决项目涉及到的技术问题  2.负责完成核心代码编写，接口规范制定  3.参与后台服务性能效率优化 任职资格： 1.三年以上Java开发及系统设计经验； 2.JAVA基础扎实：熟练掌握数据结构、多线程编程，掌握常用的设计模式； 3.熟悉JVM，包括内存模型、类加载机制以及性能优化  4.熟悉常见的中间件、分布式解决方案及其原理：分布式缓存、SOA、消息中间件，负载均衡、连接池等,"移动互联网,消费生活",150-500人,java,苏州
java开发工程师,https://www.lagou.com/jobs/7191912.html,工业园区,12k-14k,苏州工业园区凌志软件股份有限公司,3-5年,本科,无加班，朝九晚五，节假日福利优厚，晋升大,岗位职责：1、能独立担任系统分析与设计，并完成一些关键核心代码的开发；2、按照进度要求完成分配的编程工作任务，参与研发产品在工程项目中的部署实施3、参与相关软件项目或系统模块的研发工作，包括需求分析、设计、编码、测试等环节4、按照公司开发规范，开发工具进行开发，保证交付代码质量；5、对投产系统的运营支持，bug修正，日程维护升级等，保证系统的稳定性；任职要求：1、本科计算机软件相关专业毕业，两年以上相关工作经验；2、熟悉掌握JAVA主流WEB开发框架技术使用，如SSH，SpringMVC，SpringBoot等；3、熟悉SQL，有oracle数据库开发经验，能熟练地运用PL/SQL开发工具；4、熟练使用GIT代码版本工具，JIRA项目管理工具；5、熟练掌握Linux上面一些常用命令；6、具备证券行业经验或流程开发经验优先；7、工作态度踏实，责任心强，具备良好的沟通、学习能力，以及良好的团队合作精神,金融,2000人以上,java,苏州
java架构师,https://www.lagou.com/jobs/7033505.html,工业园区,20k-25k,苏州市中地行信息技术有限公司,3-5年,本科,福利好，待遇优，办公环境优美,"岗位职责1、负责公司核心产品的前后端开发，优化，维护；2、负责核心技术问题的攻关，模块架构设计，系统优化，协助解决项目开发过程中的技术难题；3、了解互联网的技术发展、评估外部技术与解决方案；4、根据产品需求，按时完成指定模块的设计和开发；5、解决服务、产品建设中遇到的问题，并做到持续的技术改进和优化；任职要求：1、3年以上JAVA及Web应用开发经验；2、熟悉Spring, SpringMVC, SpringBoot,JPA等开源框架；3、熟悉网络编程，具有设计和开发对外API接口经验和能力；4. 熟悉主流技术栈，如spring，mysql，redis，rocketMQ，zookeeper，mongodb等；5. 能熟练使用常见分布式项目框架，如SpringCloud、dubbo等；6. 熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息、负载均衡等机制和实现；7. 对数据库的基本理论和内部实现机制有深刻的理解，能够熟练应用MySQL、NoSQL；","数据服务,移动互联网",50-150人,java,苏州
java开发工程师,https://www.lagou.com/jobs/7190627.html,工业园区,10k-15k,苏州工业园区凌志软件股份有限公司,3-5年,本科,上市公司，五险一金，下午茶，公司旅游,岗位职责：1、能独立担任系统分析与设计，并完成一些关键核心代码的开发；2、按照进度要求完成分配的编程工作任务，参与研发产品在工程项目中的部署实施3、参与相关软件项目或系统模块的研发工作，包括需求分析、设计、编码、测试等环节4、按照公司开发规范，开发工具进行开发，保证交付代码质量；5、对投产系统的运营支持，bug修正，日程维护升级等，保证系统的稳定性；任职要求：1、本科计算机软件相关专业毕业，两年以上相关工作经验；2、熟悉掌握JAVA主流WEB开发框架技术使用，如SSH，SpringMVC，SpringBoot等；3、熟悉SQL，有oracle数据库开发经验，能熟练地运用PL/SQL开发工具；4、熟练使用GIT代码版本工具，JIRA项目管理工具；5、熟练掌握Linux上面一些常用命令；6、具备证券行业经验或流程开发经验优先；7、工作态度踏实，责任心强，具备良好的沟通、学习能力，以及良好的团队合作精神,金融,2000人以上,java,苏州
Java开发工程师,https://www.lagou.com/jobs/6843021.html,工业园区,12k-16k,天聚地合（苏州）数据股份有限公司,3-5年,本科,"待遇丰厚,老板nic,团队氛围好",岗位职责：1.负责后台核心服务设计与开发，核心功能代码编写，开发与维护系统公用模块；2.解决开发中的难点问题，为团队提供必要的技术指导；3.参与系统稳定性、性能和扩展性调优，解决各类潜在系统技术风险，保证系统质量。岗位要求：1、本科及以上学历，3年以上工作经验。2、熟练掌握面向对象的设计和编程，具有扎实的Java基础知识，熟练掌握多线程，并发、JVM等相关知识。3、熟练掌握MySQL等关系型数据库，熟悉Sql语句优化。4、熟悉分布式架构，微服务架构，了解微服务系统的设计、拆分。5、有项目管理经验，懂的针对需求进行分析、调研、设计，懂得项目里程碑的制定和相关的工作汇报流程。6、熟悉Redis、ZooKeeper、Elasticsearch等。7、具有良好的编码习惯和抗压能力。,数据服务,50-150人,java,苏州
java,https://www.lagou.com/jobs/7091590.html,工业园区,10k-20k,苏州奖多多科技有限公司,3-5年,本科,五险一金全额，年终奖，年假,1.2到4年java研发工作经验 2.java基础扎实，对多线程有一定的了解 3.熟悉redis缓存、熟悉active mq、rabbit mq消息中间件、熟悉tomcat web应用服务组件 4.熟悉spring、springmvc、jpa、hibernate、springboot研发框架 5.熟练使用idea、mavan、git、mysql等研发工具 6.有微服务研发经验及dubbo rpc框架使用经验优先录用  岗位职责： 1.维护现有平台 2.完成业务方需求技术实现 3.产出接口文档、设计文档、程序源代码等 4.独立承接部分业务模块研发设计,"移动互联网,消费生活",150-500人,java,苏州
java开发工程师,https://www.lagou.com/jobs/5622025.html,工业园区,15k-30k,上海喔噻互联网科技有限公司,3-5年,本科,股票期权，大牛带队，晋升空间,"1、负责收钱吧相关的后台服务2、配合前端开发人员实现产品功能3、参与系统需求调研与分析、详细设计任职资格：1、至少3年及以上服务器端开发经验2、精通Java语言，对于面向对象模型和设计模式有清晰的认识，了解常用设计模式；3、熟练掌握网络通信原理，熟悉服务器端，数据端的主流技术或框架，熟悉Spring Boot、SpringMVC或netty等框架，熟悉自动单元测试框架；4、熟练掌握mysql或mongodb数据库，了解分布式事务控制；5、了解工作流，分布式服务架构等技术优先, 有高并发，高性能WEB开发经验者优先；6、有较强的责任心、有较强的学习能力，对技术方案和代码质量有追求；7、具有良好的沟通、团队协作及一定的抗压能力，做事精益求精加分项：1、熟悉任意一门前端框架（Angular.js/Backbone/Ember）2、有Go语言的开发经验者优先",移动互联网,500-2000人,java,苏州
高级Java开发工程师,https://www.lagou.com/jobs/7194794.html,吴中区,10k-20k,云学堂信息科技（江苏）有限公司,5-10年,本科,五险一金 带薪年假 各类补助,1、JavaEE项目设计和开发；2、参与客户需求沟通、分析；3、基于现有产品根据客户需求进行二次开发；职位要求：1、5年以上JavaEE开发经验，精通struts/spring/hibernate/ibatis等开发框架，熟练掌握Maven、Ant等常用工具。2、具备良好的面向对象设计思想和扎实的编程基本功；对java技术有深入研究。3、精通Mysql、Oracle等数据库设计、开发和调优；4、熟悉前端技术（HTML、CSS、JS）5、较强的学习能力、理解能力及逻辑推理判断能力，对开源技术有浓厚兴趣，思路敏捷，富有创意，能从全新的角度进行思考，同时乐于在工作中进行创新性尝试，有技术决策或者创新点，如模块级创新、技术解决方案，并能对相关专业领域或工作产生显著的良性影响，使工作效率提高。6、对客户需求有较好的分析理解能力，能对客户需求能精准把握并有良好的设计能力，能够深入了解产品需求，并能综合权衡产品需求、体验与技术实现，从技术侧给产品合理的建议，在产品开过程中发挥技术影响力。能够较好的理解产品目标，参与产品未来规划。7、能够主导部门级项目，发现和解决部门内的重点/挑战性问题，对专业人员工作开展给予技术专业指导。,企业服务、教育,500-2000人,java,苏州
java开发工程师,https://www.lagou.com/jobs/7183970.html,工业园区,12k-18k,杭州数金在线云科技有限公司,3-5年,本科,移动产品，福利待遇好,岗位职责： 1.根据业务部门需求，按照需求完成工单开发;  2.根据需求任务，动态服从内部工作安排;  3.配合完成项目组相关工作。 岗位要求： 1、全日制本科及以上学历，计算机及相关专业;  2、两年以上工作经验，熟练使用SQL语言;  3、具有金融行业软件应用开发和实施经验;  4、熟练掌握Java、DB2、html/css/w3c/js/jquery等开发语言和规范;  5、有较强的责任心和心里抗压能力;  6、开发过我行企业网上银行系统、有过国结系统开发经验优先。,"硬件,软件开发",500-2000人,java,苏州
java开发工程师,https://www.lagou.com/jobs/6909746.html,吴江区,13k-20k,苏州市软件评测中心有限公司,3-5年,大专,六险一金，免费体检,工作职责：1.负责评估项目技术方面的可行性、成本评估，识别系统风险等；2.负责编写系统架构、模块建模、数据库设计，以及其他必要的设计、技术文档编写；3.协助项目经理完成项目资源配置与管理协调，组织项目开发、实施、运行过程中所需的各项人力、物力资源，处理和协调项目组各种内外部关系与合作；4.协助项目经理完成组织项目人员开展项目研发、实施工作，并对其工作进行培训、跟踪、指导、监督，有效控制项目开发过程和项目质量；5.协助项目经理完成识别和控制项目风险，制定对策指导、处理、协调和解决项目中出现的问题；6.负责核心模块的业务代码编写；岗位要求：1. 大专及以上学历，3年以上IT行业从业经历，面向智慧城市/工业4.0实际项目经验者优先；2. 具备丰富的大中型开发项目的总体规划、解决方案平台架构设计经验优先；3. 技术知识全面，具备物联网、云计算、大数据、移动互联网等新一代信息技术产业研发与应用经验；4. 熟悉Linux平台上的编程环境， 熟悉虚拟服务器集群与优化，至少熟练掌握一门编程语言，如Java；5、熟练使用微服务架构springcloud或springboot6. 有智慧城市细分领域相关标准和标准组织的工作经验者优先；7. 面向目标，承认结果，可承受对应的工作压力与节奏；,"移动互联网,企业服务",500-2000人,java,苏州
JAVA开发工程师,https://www.lagou.com/jobs/6832595.html,高新区,12k-24k,昆仑智汇数据科技（北京）有限公司,3-5年,本科,"行业风口,大牛带路,扁平化,环境好",岗位职责：1. 参与公司大数据平台和应用产品后端开发；2. 参与构建高效、可扩展的行业大数据应用；3. 为公司数据平台和应用产品提供技术支持；任职要求：1. 统招一本及以上学历，计算机相关专业；2. 两年以上相关工作经验，熟练阅读英文技术文档；3. 熟悉Java开发，理解面向对象方法；4. 熟悉MySQL或者其他商用数据库；5. 熟悉大数据开源组件加分，如Hadoop、Spark、Kafka等；6. 熟悉微服务和容器技术加分；7. 良好的沟通和分析问题与解决问题能力；8. 有责任心，工作积极，对新技术有热情。,数据服务,150-500人,java,苏州
java开发工程师,https://www.lagou.com/jobs/7215386.html,昆山市,8k-14k,江苏网进科技股份有限公司,3-5年,本科,双休,岗位职责：1、参与系统平台核心后台系统的设计和研发；2、负责网站的研发和维护；3、负责基础平台、功能设计开发，关键技术问题的攻关工作；任职要求1. 熟悉HTML，CSS，JavaScript。有web前端开发经验，对jquery、ajax前台开发深入理解；2. 熟悉主流的J2EE框架，如springMVC、spring、mybatis等；3. 熟练使用webservice开发接口（cxf的soap、restful协议）；4. 精通SQL，熟悉Mysql关系数据库，了解nosql，熟悉redis缓存服务；5. 熟练使用和配置tomcat应用服务器，了解基本的Linux命令；6. 参与过与客户端（android、ios）的接口开发项目。,数据服务,500-2000人,java,苏州
java开发工程师,https://www.lagou.com/jobs/6710409.html,工业园区,9k-18k,苏州云极客信息技术有限公司,3-5年,本科,五险一金 绩效奖金 午餐补贴 周末双休等,"1、理解业务需求；2、主导重大项目的架构设计和核心模块设计；3、审核开发工程师系统设计和代码质量，制定技术规范和开发规范；4、计划完成产品模块的代码编写，产品模块测试，保证代码质量；5、负责培训和辅导初级开发工程师任职资格：1、本科及以上学历，计算机或者相关专业；2、3年以上Java开发经验，扎实的Java基础，熟悉Java EE,SOA,网络等相关技术；3、熟悉面向对象思想，精通编程，调试和相关技术；4、熟悉Spring、hibernate等开源框架，熟悉JavaScript，html、CSS、JSON、jquery等前端技术；5、熟悉大规模Web应用开发，有一定的性能优化和系统安全的实践；6、具备需求分析和系统设计能力，以及较强的逻辑分析和独立解决问题能力；7、能熟练阅读中文、英文技术文档；富有团队精神,责任感和沟通能力。","移动互联网,电商",15-50人,java,苏州
