job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
java高级开发工程师,https://www.lagou.com/jobs/7150776.html,高新区,8k-12k,河南云端信息技术有限公司,3-5年,本科,双休、五险一金、员工旅游、定期体检、餐补,"职位描述：岗位职责:1.项目开发工作中承担主要业务的开发工作；2.对团队提供技术指导；3.承担与项目相关的部分文档编写工作；4.配合销售提供售前支持工作；任职要求 :1.计算机相关专业大学本科以上学历，具有扎实的计算机理论基础，熟悉java语言，3年以上Java B/S 设计开发经验；2.精通Java技术，具有高度的抽象设计能力，熟悉常用设计模式，能熟练进行网站架构设计，精通以下开发框架及技术中的3项以上：jfinal,Spring, Struts2, iBatis, , ajax, XML,SpringMVC，JPA， Shiro，Freemarker，Thread技术。前端技术掌握2项以上：Jquery，Extjs，EasyUI，Bootstrap。3.熟悉应用服务器，如Nginx、Tomcat、Apache等；4.熟悉Oracle/SQLServer/Mysql/MongoDB等主流数据库的设计开发，以及大数据处理，熟悉Json、Web service数据对象处理；5.熟悉Linux操作系统，熟悉TCP/IP协议栈；6.精通软件开发过程规范，有很强的软件开发过程评估和控制能力；7.对工作认真负责，有良好的学习能力、沟通能力和团队合作精神；8.能有一定的文档编写能力和团队管理能力者优先。工作地址：郑州高新技术产业开发区长椿路11号河南省国家大学科技园孵化园区1号孵化楼1012号","移动互联网,数据服务",15-50人,java,郑州
java高级开发工程师,https://www.lagou.com/jobs/6958104.html,高新区,15k-26k,河南国超电子商务有限公司,3-5年,本科,稳定，工作时间灵活，年终奖,职位描述：工作职责1.负责产品平台核心功能的开发2.解决产品研发过程中的关键技术问题3协助诊断和解决现行系统可能存在的问题，保证产品系统的安全、稳定、高效率运行能力要求1.本科及以上学历，4年以上互联网开发经验.2.精通Java，深入了解常用的开发框架，具有分布式架构产品开发工作经验、分布式存储和缓存设计和使用经验3.熟练掌握MySQL，掌握各种调优技巧4.有丰富的面向对象系统研发经验，善于分析业务需求并融入对象设计5.有大型分布式、高并发、高负载、高可用系统设计、开发和调优经验6.有良好的沟通和表达能力，能协调多方资源完成共同目标。,"文娱丨内容,社交",50-150人,java,郑州
Java开发工程师,https://www.lagou.com/jobs/2679543.html,中原区,6k-8k,北大医疗信息技术有限公司,1-3年,本科,五险一金，商业保险，交通补贴,"岗位职责：1、负责软件项目的设计与开发，独立完成核心模块的设计、编码及相关文档工作；2、负责系统后台数据库性能调优及数据安全工作；3、参与产品架构设计和搭建。任职要求：1、 本科及以上学历，计算机及其相关专业；2、 至少有3年以上Java深层次开发经验，具备深厚的Java功底，熟悉HTTP协议，熟悉JSP、Servlet、HTML、XML、JSon、AJAX、JS等技术；3、 熟悉B/S开发模式，有B/S系统架构能力，熟练掌握主流开发框架Spring、Hibernate、Struts2/ Struts1等；4、 熟悉SQL语言及至少一种大型数据库使用配置，熟悉至少一种持久化技术（Hibernate、MyIbatis等），熟悉tomcat服务器优先；熟练使用Eclipse等开发工具；5、 熟悉常用应用服务器如: Apache、Tomcat等的使用及相关开发配置，了解Linux系统常用操作命令；6、 具有大型应用系统分析、设计能力和经验，精通主流技术系统的核心思想，有医院HIS,LIS,PACS等开发经验者优先；7、 思维敏捷，具有发散性，良好的逻辑分析能力及问题解决能力；8、 良好的跨部门沟通及组织能力，积极发扬团队合作精神。",医疗丨健康,500-2000人,java,郑州
高级java开发工程师,https://www.lagou.com/jobs/6707972.html,高新区,13k-26k,中移在线服务有限公司,3-5年,本科,"前景大,产品牛,领导好,扁平化",职位诱惑：优质平台 项目规模可观 发展空间大 团队氛围互联网化岗位职责：负责中移在线一体化客服系统的设计研发工作，通过对业务的理解，提出自己的见解，解决用户的问题，帮助提升完善客服系统。任职资格：1、本科及以上学历，有3年以上开发经验；2、精通java，理解io、泛型、多线程、集合等Java基础使用和实现原理；3、精通Spring、MyBatis、SpringMVC、Spring Boot等应用框架并熟悉实现原理；有大型分布式、微服务系统架构经验，对服务治理有深入理解，使用过dubbo或spring cloud且有实际项目经验；4、熟悉主流Key-Value存储系统，能够进行系统性能调优；5、掌握Linux 操作系统；熟练使用一种脚本语言，shell或python；6、拥有高并发、分布式系统经验优先；7、有大数据处理经验优先；工作地址：郑州市高新区玉兰街32号中国移动4楼,移动互联网,2000人以上,java,郑州
JAVA开发工程师,https://www.lagou.com/jobs/4807518.html,高新区,8k-15k,河南八六三软件股份有限公司,1-3年,大专,"双休,五险一金",1、计算机及相关专业大专以上学历；2、java基础知识扎实，良好的面向对象分析与设计能力；3、熟练应用JSP/servlet/jdbc/Struts/Spring/Hibernate等相关技术进行软件开发；4、至少熟悉Oracl/SQLServer/MySql中的一种数据库；5、具有至少一年实际项目开发经验；6、具有一定的沟通协调能力、良好的团队合作意识，以及高度的团体责任感；7、能适应在上海、北京、大连、苏杭等全国各地出差；,移动互联网,500-2000人,java,郑州
Java开发工程师,https://www.lagou.com/jobs/6184239.html,二七区,6k-8k,河南捷之捷网络技术有限公司,3-5年,本科,五险一金，房补，双休,岗位职责1、负责平台系统开发；2、参与区块链的技术发展和应用开发 。岗位要求：1、统招本科及以上学历，两年以上互联网开发相关工作经验；2、精通Java和面向对象编程，熟悉设计模式；3、有良好的code style及编程习惯；4、精通Java并发编程；5、熟练使用各种开发工具（GIT、IDEA、Maven）；6、熟悉MySQL、Redis、Mongo等至少一种数据库技术；7、精通spring springMVC及其生态链加分。ABOUT U US我们希望你喜欢技术，喜欢交流，喜欢处理线上的性能和高并发问题；只要技术牛，薪水都好说。,移动互联网,15-50人,java,郑州
java开发工程师,https://www.lagou.com/jobs/5680104.html,中原区,5k-8k,北大医疗信息技术有限公司,应届毕业生,本科,"六险一金,餐补,通讯补助,年终奖",岗位职责1.医疗产品研发和项目技术支持；2.产品关键技术研究和代码开发；3.负责模块开发和初级程序员开发指导；4.参与项目需求分析；5.参与项目开发设计，负责模块设计。岗位要求1.本科及以上学历，计算机及医学相关专业，2019届应届生；2.熟悉并在工作中应用过Java script语言者优先；3.深入理解某种框架设计思想者优先（例如Spring等）；4.对某一技术领域有深入研究并有实践者优先（例如JVM调优、搜索引擎等）；5.研究过优秀开源项目并有心得者优先。,医疗丨健康,500-2000人,java,郑州
java开发工程师,https://www.lagou.com/jobs/7065159.html,管城区,6k-11k,郑州科瑞思拓软件科技有限公司,3-5年,本科,技术新颖，双休,1.3年Web Java开发经验，计算机相关专业，大专及以上学历2.熟悉面向对象概念和Java语言，能够利用相关的Java类库快速完成开发任务；3.精通SpringMVC、Mybatis等开发框架；4.精通 JS、JQuery、Extjs等5.熟悉Oracle、mysql中至少一种数据库产品。6. 熟悉至少一个前端开发框架(如easy-ui、bootstrap等)，并有过实际项目经验7：对linux能熟练掌握，对系统集成有一定的了解,"移动互联网,旅游",50-150人,java,郑州
高级java开发工程师,https://www.lagou.com/jobs/7200029.html,郑东新区,13k-25k,漫法树信息科技（上海）有限公司,5-10年,本科,漫想家app产品的迭代更新优化新功能开发,"你好，我们是做动漫IP衍生品(手办、模玩、潮玩)专业细分领域的社交电商APP(例：潮鞋领域""毒""、""有货""和""nice"")可以填写一下我们公司的招聘表，如果公司整体90后的氛围契合，有满意的工作环境，可以先与我们保持联系。",软件开发,15-50人,java,郑州
java,https://www.lagou.com/jobs/6180980.html,金水区,5k-10k,郑州维创盈通软件科技有限公司,3-5年,大专,全勤奖，加班补助，房补,工作职责：1. 参与软件系统的详细设计工作2. 负责程序编码工作3. 负责程序代码的单元测试工作4. 负责按照公司的软件开发规范编写相应的项目技术文档任职要求：1. 两年以上java工作经验2. 熟悉spring、mybatis、springmvc等主流技术框架3. 熟悉mysql数据库，具备良好的sql编写能力4. 熟悉linux（含shell脚本）和系统常用命令5. 思维、表达和沟通能力良好6. 会Android ERB开发经验优先,"移动互联网,电商",50-150人,java,郑州
