job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
高级java开发工程师,https://www.lagou.com/jobs/6948730.html,渝北区,11k-17k,杭州指令集智能科技有限公司,5-10年,本科,弹性工作制，扁平化，工作氛围好,1. 理解产品需求背景，针对产品提出有效建议，配合和引导产品需求确定; 2. 设计产品核心功能不同技术方案，判断和误别不同方案的优缺点，落地和推进方案落地； 3. 保证自己的代码质量，参加代码改进评审，影响和提升团队伙伴； 4. 推动身边可利用资源把事情做成，并有结果； 5. 能独立解决线上服务运行期间出现的大部分问题；岗位要求： 1. 本科计算机相关专业，3-7 年相关开发工作经验，有网联网相关行业经验； 2.有较强的系统设计能力、业务抽象能力和基础的架构能力，需要透过现象看本质； 3. Java基础扎实，良好的代码风格，理解Java反射机制和常用的设计模式； 4.有相关系统调优经验，调整过JVM参数，会使用linux命令和jdk相关工具查看资源使用情况； 5.深入了解常用的开发技术栈--MVC框架、RPC框架、消息、存储、缓存等(Springboot、mybatis、mysql、dubbo、redis、kafka...)，了解原理，阅读过相关源码； 6. 熟悉Linux环境以及操作，svn、maven的使用，熟悉Tomcat，Apache，Nginx等开源的服务器； 7.微服务相关开发经验，熟悉docker容器原理； 8. 熟悉网络七层协议、网络通信相关原理； 9. 非常活跃的思维，敢于挑战，接受新事物，持续自我驱动和成长，优秀的团队合作能力； 10. 开源技术作品优先考虑，有mqtt、modbus、rs485/432、窄带网相关协议或有相关协议开发优先考虑，有k8s、IaaS私有云搭建、PaaS平台搭建经验优先考虑;,移动互联网,50-150人,java,重庆
java开发工程师,https://www.lagou.com/jobs/6375106.html,渝北区,8k-14k,杭州指令集智能科技有限公司,3-5年,本科,弹性工作制、定期团建、带薪年假。,"理解产品需求背景，并能提出一些改进建议，完成需求分析和功能模块技术方案确定； 2. 负责基于指令集操作系统的工业APP的设计与开发，并推进模块相关团队人员工作； 3. 参加代码改进评审，能不断优化调整代码结构，编写接口单元测试； 4. 搭建开发测试环境，配合测试同学完成测试； 4. 自研相关物联网新技术，落地到产品中； 5. 解决线上服务运行期间出现的问题；岗位要求： 1. 本科计算机相关专业，2-5 年相关开发工作经验，计算机基础、网络知识扎实； 2. 掌握面向对象编程，java语言基础扎实，解io、多线程、集合等基础框架，了解JVM原理； 3. 有较强的系统设计能力、业务抽象能力和一般的架构能力； 4. 熟练掌握对Springboot,ibatis等开源框架，掌握 MySQL, SQL Server、Oracle 等至少一种主流数据库； 5. 熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制(eureka、redis、kafka)；能对分布式常用技术进行合理应用； 6. 熟悉Linux环境以及操作，svn、maven的使用，熟悉Tomcat，Apache，Nginx等开源的服务器； 7. 微服务相关开发经验，了解docker镜像、容器相关原理并熟悉使用； 8. 强烈的责任心和团队合作能力，性格开朗，善于沟通，良好的学习能力，逻辑思维能力并且敢于创新和接受挑战； 9. 有物联网、制造业相关行业经验、开源技术作品优先考虑。",移动互联网,50-150人,java,重庆
java开发工程师,https://www.lagou.com/jobs/6743560.html,渝北区,7k-14k,缺月智能科技（上海）有限公司,1-3年,本科,团队氛围好、上升空间大、员工福利有保障,"工作职责：1、参与系统的需求调研和需求分析，撰写相关技术文档；2、项目概要设计、详细设计、开发计划等的编制；3、根据设计完成代码编写，实现应用功能，负责解决开发过程中的技术问题；4、参与、协助项目经理完成系统功能设计和数据库设计；5、独立完成个人承担模块或项目的开发和测试，及时修复程序bug； 任职要求：1、  计算机相关专业，本科学历；2、  1到3年Java实际项目开发经验，具有扎实的Java开发基础；3、熟悉J2EE的主流开源框架，如Spring MVC, Spring Boot, MyBatis等，了解其原理和机制；4、熟练使用主流数据库，SQL编写熟练,有一定的表结构设计能力；5、熟悉Tomcat等应用服务器的应用部署和配置；6、熟练掌握Eclipse、Svn或其它相关开发管理工具；7、具备良好文档编写能力；8、有微服务项目开发经验者优先；9、真诚敬业，踏实肯干，富有钻研精神，具有良好的团队合作精神和协作能力；10、有地产、物业和智慧社区行业经验优先；","人工智能,物联网",15-50人,java,重庆
Java开发工程师,https://www.lagou.com/jobs/7020893.html,渝中区,9k-15k,重庆荆棘鸟科技有限公司,3-5年,本科,AI人工智能领域，底薪加提成,诚聘JAVA开发小牛1～2枚：1、JAVA平台开发，前端VUE，后端spring boot ，mysql;2、有3年以上开发经验；3、计算机专业本科毕业（条件优秀者可适当放宽）；4、有OA、CRM、ERP开发经验；5、能独立设计数据库字典；6、有需求分析、概要设计经验1年以上；,移动互联网,50-150人,java,重庆
java开发工程师,https://www.lagou.com/jobs/6532526.html,渝北区,7k-14k,北京中科智加科技有限公司,3-5年,本科,全额公积金，节假日福利、带薪年假、团建,岗位要求：（1）计算机、数学、通信等相关专业，本科及以上学历 （2）扎实的Java编程基础，深入理解面向对象的思想及相关设计模式，熟悉IO、多线程、集合等基础框架，具有一定的代码阅读和调试能力；（3）熟悉Java EE，Redis，MQ，至少掌握一种开源的框架如Spring，SpringMVC，MyBatis等，了解其原理和机制，有SrpingBoot相关经验更佳；（4）熟练使用Mysql，Oracle或SQLServer等关系型数据库，熟悉Nosql数据库，如：Mongodb、Gbase等，掌握数据库优化、查询优化等知识；（5）熟悉linux环境部署及常用命令；熟练使用svn、git等版本管理工具；（6）具有撰写概要设计和详细设计文档的能力，能够准确提供时间评估，按时提交高质量的代码；（7）熟练的英文读写能力，能够阅读和理解代码相关的英文说明文档；（8）具有良好的独立分析和解决问题能力；（9）热爱计算机行业，有主动学习的意向，较强的沟通表达能力，较强的责任心，具备良好的团队精神和一定的抗压能力 ；（10）能接受一定程度的加班和出差。职位亮点：（1）深入接触业界最前沿人工智能核心技术；（2）享受全国范围出差游福利； （3）全额五险一金、定期涨薪、未来股权激励； （4）差旅补助、带薪休假、节日福利； （5）2-5个月全额年终奖,"移动互联网,数据服务",50-150人,java,重庆
Java开发工程师,https://www.lagou.com/jobs/7194984.html,渝北区,9k-11k,上海中软华腾软件系统有限公司,3-5年,本科,双休，带薪年假，年终奖，五险一金,1、 4年及以上互联网行业相关产品研发2、 Java基础扎实，熟悉I0、多线程、集合等基础框架3、 精通主流开源框架Spring、 Spring MVC、 Mybatis等， 阅读相关源码者优先4、 熟悉分布式、缓存、消息、搜索等机制5、 熟悉Redi s缓存、lucene搜索技术者优先6、 熟悉主流关系数据库Mysql、Oracle， 有sql调优经验优先7、良好的主动性和责任感8、 良好的逻辑思维、沟通能力、学习能力,"企业服务,金融",2000人以上,java,重庆
java开发工程师,https://www.lagou.com/jobs/7208296.html,渝北区,8k-13k,成都四象联创科技有限公司,1-3年,不限,社保齐全 法定假日,"岗位职责：1、完成软件系统代码的实现和功能测试,编写代码注释、开发文档、测试文档；2、辅助进行系统的功能定义,程序设计；3、根据系统原型、设计文档或需求说明完成代码编写,调试,测试和维护；4、分析并解决软件开发过程中的问题。岗位要求：1、专科(含)及以上学历；2、要求2年以上JAVA WEB开发工作经验,有微服务系统设计和开发经验，；3、精通J2EE企业级程序开发，Java基础扎实，有良好的软件工程思想和编程习惯；4、熟练使用spring boot,spring cloud, spring mvc,mybatis,hibernate；上班地址:重庆市渝北区黄山大道中段64号高科总部广场 不接受者慎投","移动互联网,金融",50-150人,java,重庆
java高级开发工程师,https://www.lagou.com/jobs/7171251.html,渝北区,9k-14k,重庆链图信息技术有限公司,1-3年,本科,五险一金 带薪休假 节日补贴,岗位职责：1) 参与时空信息云平台的后台系统开发工作；2）参与统一认证系统的后台开发工作3）参与现有项目后台维护升级工作4) 负责后台技术架构研究及关键技术攻克；5）负责后台技术的规范化管理任职要求：1) 本科及以上学历，计算机、地理信息系统及相关专业；2) 精通Java语言、熟悉SpringBoot、SpringMVC、struts、hibernate/mybatis等开源框架；3) 熟悉MySQL、ElasticSearch、PostgreSQL等主流数据库开发，有相关证书者优先；4) 了解 GIS 理论知识，具有ArcEngine、ArcGIS Server及相关开源GIS引擎开发经验者优先; 5) 具有良好的个人素质及团队协作能力，能承担一定压力，有很强的分析和解决问题的能力，有强烈的责任心。,"数据服务,软件开发",50-150人,java,重庆
高级JAVA开发工程师,https://www.lagou.com/jobs/6801112.html,渝北区,18k-23k,马上消费金融股份有限公司,5-10年,本科,带薪年假,岗位职责：1) 负责视频呼叫系统后端开发2) 负责视频呼叫系统故障排查和分析岗位要求：1) 5年以上java开发经验，至少1年以上java1.8版本开发经验，并能熟练应用java1.8新特性2) 精通java面向对象设计与编程，精通Spring、SpringMvc、mybatis等J2EE及java中间件主流开发框架；3) 熟练运用redis缓存技术，掌握redis高级api，熟练使用redisson框架编程4) 熟练使用rabbitMq、kafka这两个消息中间件5) 熟悉spark、elasticsearch、logstash等组件6) 熟练掌握websocket技术7) 熟练掌握MySQL数据库；8) 具备1)-7)点基础上了解docker容器技术，熟悉k8s优先9) 具备1)-7)点基础上熟悉webrtc、sip优先、精通事件消息驱动型系统的设计与开发者优先、精通高并发代码编写能力者优先；,"金融,移动互联网",2000人以上,java,重庆
java高级开发工程师,https://www.lagou.com/jobs/7166090.html,渝中区,15k-23k,重庆商社电子商务有限公司,5-10年,本科,五险一金 前景可期,(一)岗位职责1、参与需求分析、研发、上线等整个项目周期内的工作；  2、负责业务模设计、开发、维护；  3、编写代码实现产品功能，完成项目开发，撰写相关文档； 4、负责核心技术问题的攻关，系统优化，协助解决项目开发过程中的技术难题；   5、配合项目的整体计划和安排，对现有系统进行重构。(二)任职要求：  1、JAVA基础扎实：熟练掌握数据结构、多线程编程，掌握常用的设计模式；精通Spring MVC、Spring Boot、Spring Cloud、MyBatis等常用框架；   2、深入理解面向对象设计原则，具备良好的OO、AOP和开发能力; 熟悉Restful API开发；   3、熟悉J2EE、SpringCloud架构体系，熟练使用spring、SringMvc、mybatis等主流框架；    4、熟练掌握RDBMS原理及SQL语言，熟悉MSSQL、mysql等数据库应用，熟悉redis、memcached、ehcache等缓存技术；   5、熟悉软件设计模式，对常用设计模式有一定理解；   6、良好的代码风格、良好的测试意识、简约全面的文档；  7、良好的逻辑思维、严谨工作习惯，工作积极主动，主动发现和解决问题，主动改进，彻底解决问题；8、沟通表达能力好，学习能力强，具备强烈的责任心和团队合作能力。9、了解Docker、Kubernetes等容器相关知识者优先；,电商,50-150人,java,重庆
