job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
java开发工程师,https://www.lagou.com/jobs/6205719.html,天心区,10k-20k,湖南中融汇智信息科技股份有限公司,不限,大专,职业通道可根据个人特点设立,"基于开发主管的工作安排，负责需求沟通及产品模块级的独立开发；负责分管产品模块的开发维护；中级开发工程师任职要求（8000~10000元/月）1.具备计算机相关方面的专业证书优先；2.具备2年以上Java项目开发工作经验，需有企业管理系统开发经验；3.具有较强的前、后端框架及组件开发能力；4.具备主流ERP,如Sap、用友、金蝶ERP的系统集成能力；5.具有互联网主流平台的集成开发能力，如淘宝、微信等优先；6.具有企业级Ajax框架组件的独立开发能力； 7.熟悉io、多线程、集合等基础框架，熟悉分布式、缓存、消息、搜索等机制；高级开发工程师任职要求（10000~15000元/月）1.满足中级开发工程师的相关岗位及任职要求2.具备计算机方面的专业证书；2.具备3年以上Java项目开发工作经验，需有企业管理系统开发经验者；3.具有Pc及App等多类开发平台的独立开发互联网主流平台的集成开发能力，如淘宝、微信等优先；4.精通多线程及高性能的应用的设计，编码及性能调优，有高并发应用开发经验； 5.熟练主流应用服务器框架、分布式数据库、缓存、文件系统、消息系统等技术；6.熟悉常用设计模式，有大型分布式、高并发、高负载、高可用性系统设计开发经验；7.具备独立完成产品模块级详细设计及开发的能力；资深开发工程师（15000元/月~25000元/月）注：以上岗位需要有过前、端开发经验，能力以及要求达标者薪资可根据情况提高。","数据服务,企业服务",50-150人,java,长沙
java开发工程师,https://www.lagou.com/jobs/7128641.html,芙蓉区,9k-12k,宁夏博信通科技有限公司,1-3年,本科,五险一金 周末双休 节日福利 季度团建,工作内容：1、负责软件系统概要设计、详细设计、及相关文档编写；2、负责项目计划的模块设计、开发及自测等，按时提交高质量的代码，完成开发任务；3、对系统平台开发技术进行研究，根据开发过程中的体验提出改进建议；4、能独立解决系统研发过程中的技术问题，善于学习和总结，可形成文档；岗位要求：1、本科及以上学历，软件工程、计算机及信息技术相关专业优先；2、3年以上工作经验，有过大型项目研发经历的优先；3、掌握Spring/iBATIS/SpringBoot/Spring MVC/Tomcat/Nginx等3种以上框架开发技术；4、具有独立学习及创新能力，具备良好的口头和书面沟通能力，能按要求撰写相关的设计文档； 5、具有多应用系统整合经验者优先，具备SpringBoot开发经验，或分布式缓存Redis和消息队列等中间件应用经验的优先；,"企业服务,信息安全",2000人以上,java,长沙
java高级开发工程师,https://www.lagou.com/jobs/7171520.html,岳麓区,10k-15k,北京联合众为科技发展有限公司,3-5年,本科,五险一金 带薪年假,岗位职责：1、负责核心模块开发；2、负责核心技术问题的攻关、系统优化，协助解决项目开发过程中的技术难题；3、参与设计文档评审。任职要求：1、计算机相关专业本科及以上学历，五年以上Java开发经验，热爱技术；2、熟练使用SpringBoot、SpringMVC等框架，了解其原理与机制；3、熟练使用MySQL、Oracle、MongoDB等数据库，熟悉redis、mq等技术，熟悉tomcat、nginx等应用服务器部署和配置；4、熟练使用Maven、Git等系统构建工具； 5、熟悉分布式、缓存、消息、多线程处理等机制；6、有微服务、大数据，大型项目开发经验者优先；7、熟悉linux操作系统者优先；8、有Web前端开发经验者优先；9、具备良好的沟通表达能力，良好的团队合作精神。,"硬件,信息安全",150-500人,java,长沙
JAVA 游戏（棋牌类）工程师,https://www.lagou.com/jobs/7175972.html,开福区,12k-20k,深圳市掌娱炫动信息技术有限公司,3-5年,本科,双休年假 项目奖金 试用期五险一金,"1.游戏服务端功能系统的开发和优化；2.跟进处理各模块的BUG，跟进处理游戏的线上问题；3.保证游戏各版本的服务端代码质量；4.服务端周边工具的开发和优化工作；任职资格：1.扎实的Java基础，熟悉常见设计模式；2.有java nio框架开发经验，熟悉netty、mina等网络通讯框架；3.熟悉java多线程、并发、线程安全；4.熟悉mysql，能编写数据分析类SQL，具备对服务端数据存储的设计能力；5.熟悉linux常用命令，有tomcat、nginx等部署经验；6.熟悉spring、mybatis, 并能熟练使用；7.良好的编码习惯，善于思考，能独立分析和解决问题；8.有三年及以上游戏服务端开发经验优先；9.有成功上线游戏项目经验优先","移动互联网,游戏",50-150人,java,长沙
资深java开发工程师,https://www.lagou.com/jobs/5118746.html,岳麓区,12k-20k,北京五八到家信息技术有限公司,3-5年,本科,"强大平台,优厚薪资,扁平管理,六险一金",岗位职责：1、参与系统需求分析与设计，负责完成核心代码编写，接口规范制定2、参与架构设计，服务性能效率优化等3、拆解产品需求，提出技术实现方案和步骤职位要求：1、有3至5年java WEB及Server项目开发经验，Java基础扎实，规范的编码，了解设计模式；2、熟悉常用的前端html、js、jquery、ajax、Json等相关技术；3、熟悉常用的数据结构，深入理解面向对象、MVC等相关概念；4、熟练使用sql以及相关优化，了解sql语句的一般规范，能够优化并清除慢查询语句，具备数据库应用系统的规划及设计能力；有NoSql相关实际经验，对memcached、redis、hadoop等开源框架有使用经验更佳；5、有互联网系统研发经验，懂web系统架构设计，能考虑到高并发和大数据量者优先；6、了解Linux下常规操作，熟悉shell、awk等优先；7、有良好的沟通能力，具有跨部门协作的经验，推进能力强，责任心强；8、 积极主动，较强的学习能力，能够思考和优化解决方案，能够独立完成项目的设计和交付；加分项：1、较好的教育背景，本科学历及以上；2、逻辑思维清晰，热爱互联网和移动端产品；3、能写出严谨的结构清晰的易于阅读的代码；4、热爱技术，自己是&愿意加入一群实干派工程师的团队；5、能独当一面，自我管理和驱动力强，有良好的时间管理意识,消费生活,2000人以上,java,长沙
高级java开发工程师,https://www.lagou.com/jobs/6915265.html,天心区,10k-16k,长沙计支宝信息科技有限公司,5-10年,本科,行业领先、五险一金、系统培训、老师徒带教,岗位职责：1、按时完成开发任务。2、完成bug修改。3、指导新人。任职要求：1、抗压能力强，逻辑思维强，接受单双休及加班2、3年以上工作经验3、需要机试和笔试,移动互联网,50-150人,java,长沙
Java开发工程师,https://www.lagou.com/jobs/6758295.html,开福区,8k-15k,深圳航天工业技术研究院有限公司,3-5年,本科,待遇丰厚，团队氛围融洽,后端岗位职责:1、参与JAVA技术的相关架构设计、开发；2、负责基础中间件平台（mq\cache\db\gateway\微服务\devops\容器平台等）的选型、设计、开发、高可用部署； 3、负责公共基础微服务（搜索、通知、流程、权限、事件、队列、调度、语音等）的选型、设计、开发、高可用部署；4、审核开发工程师的设计与开发质量。岗位要求：1、5年及以上Java开发经验，能够熟练使用Java语言进行服务器端开发，熟练掌握Java并发编程，对JVM原理有扎实的理解；2、 精通Spring/MyBatis/Dubbo/Spring Cloud等主流的开发框架，并对其设计与运行机制有一定了解。对国内大厂的主流微服务框架有深入了解着优先；3、熟悉Redis、MQ、ELK、Nginx等中间件的使用、特性、及高可用方案；熟悉MySQL数据库，具有一定的数据库设计及调优经验，熟悉VUE、有前端经验者优先； 4、熟悉Docker容器、Kubernate平台的基本使用，对应用镜像构建、发布、运行、更新的全生命周期有清晰的理解； 熟悉Linux操作系统，熟练掌握常见安全、调优配置，及追查分析问题的操作命令； 5、有一定的架构设计思维，有良好的软件工程规范； 有公共平台型产品的建设经验者优先； 6、对大数据技术栈及数据应用体系有一定的认识，了解Hive、HBase、Spark、Flink、Strom、ES等大数据技术，并能针对业务的实际应用场景提供合理的大数据技术架构；7、有清晰的逻辑思路，善于分析问题、解决问题，能掌握前后端完整链路的各环节者优先； 善于沟通、善于学习，为人踏实、不浮躁者优先。8、拥有良好的代码规范和文档规范。,其他,50-150人,java,长沙
高级Java开发工程师,https://www.lagou.com/jobs/4059349.html,岳麓区,12k-20k,安克创新科技股份有限公司,5-10年,本科,"一日三餐,五险一金",岗位职责：1、负责软件设计、核心重要模块开发，有很强的质量意识，主导核心代码开发；2、负责需求、设计中相关文档编写；3、编写制订各项技术方案；4、负责较高难度的需求分析；5、指导、培训中初级工程师、新员工；6、解决项目中技术难题；7、参与系统稳定性、性能和扩展性测试。任职要求：1、有扎实的软件理论基础，深刻理解面向对象编程，良好的面向对象分析设计能力；2、有5年以上大中型项目开发经验并持续至今，其中3年以上基于J2EE架构大型应用系统的模块设计开发经验；3、精通JAVA 语言，有良好的编程习惯，掌握SpringMVC，Mybatis，Spring，Hiberante等开发框架原理；4、精通/具备MYSQL、ORACLE等数据库使用及设计，开发经验丰富者优先；5、精通UML，熟练掌握UML设计工具，有良好文档编写习惯；6、可承受较大的工作压力，有团队意识和钻研精神；7、有项目管理经验优先，有互联网系统开发经验的优先，有工作流开发经验的优先。,移动互联网,500-2000人,java,长沙
java开发工程师,https://www.lagou.com/jobs/7018724.html,天心区,8k-16k,上海脉多信息技术有限公司,3-5年,本科,准上市公司、公司稳定，氛围好,职位描述：1. 按照技术主管的要求，参与系统代码的编写；2. 参与研发需求分析及后续代码编写工作；3. 维护和升级现有软件产品，快速定位并修复现有产品的缺陷；4. 按照公司项目管理及开发管理流程与规范要求编制开发过程中必须的各种开发文档；任职要求：1. 本科学历，计算机或理科相关专业。2. 5年及以上Java开发经验，Java基础扎实；3. 熟悉SSM、springboot等主流框架并能了解内部机制；4. 熟悉常用分布式系统包括: 集群、单点登录、缓存、消息队列等机制；熟悉多线程开发；5. 熟悉Linux 操作系统能进行常规项目部署、日志分析等；6. 学习能力强，能快速适应新技术应用。积极乐观的工作态度，拥抱变化。,"硬件,软件开发",50-150人,java,长沙
java开发工程师,https://www.lagou.com/jobs/6205719.html,天心区,10k-20k,湖南中融汇智信息科技股份有限公司,不限,大专,职业通道可根据个人特点设立,"基于开发主管的工作安排，负责需求沟通及产品模块级的独立开发；负责分管产品模块的开发维护；中级开发工程师任职要求（8000~10000元/月）1.具备计算机相关方面的专业证书优先；2.具备2年以上Java项目开发工作经验，需有企业管理系统开发经验；3.具有较强的前、后端框架及组件开发能力；4.具备主流ERP,如Sap、用友、金蝶ERP的系统集成能力；5.具有互联网主流平台的集成开发能力，如淘宝、微信等优先；6.具有企业级Ajax框架组件的独立开发能力； 7.熟悉io、多线程、集合等基础框架，熟悉分布式、缓存、消息、搜索等机制；高级开发工程师任职要求（10000~15000元/月）1.满足中级开发工程师的相关岗位及任职要求2.具备计算机方面的专业证书；2.具备3年以上Java项目开发工作经验，需有企业管理系统开发经验者；3.具有Pc及App等多类开发平台的独立开发互联网主流平台的集成开发能力，如淘宝、微信等优先；4.精通多线程及高性能的应用的设计，编码及性能调优，有高并发应用开发经验； 5.熟练主流应用服务器框架、分布式数据库、缓存、文件系统、消息系统等技术；6.熟悉常用设计模式，有大型分布式、高并发、高负载、高可用性系统设计开发经验；7.具备独立完成产品模块级详细设计及开发的能力；资深开发工程师（15000元/月~25000元/月）注：以上岗位需要有过前、端开发经验，能力以及要求达标者薪资可根据情况提高。","数据服务,企业服务",50-150人,java,长沙
