job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
高级java开发工程师,https://www.lagou.com/jobs/7143106.html,崂山区,15k-30k,海尔集团,5-10年,本科,物联网平台前景好、薪资福利好、项目激励高,"岗位职责：1.配合架构师进行AIoT PAAS平台架构设计 2.负责核心代码实现以及指导中级、初级工程师完成开发任务，负责代码的编写与检查3.帮助团队其他成员解决技术问题，参与代码Review工作4.参与技术难点的攻关工作任职资格：
 JAVA基础扎实，理解io、多线程、集合等基础框架，对JVM原理有一定的了解；
 5年及以上使用JAVA开发的经验，对于用过的开源框架，能了解到它的原理和机制；
 对spring，mybatis，kafka，spark，elasticsearch等开源框架熟悉者优先；
  熟悉分布式系统的设计和应用，能对分布式常用技术进行合理应用，解决问题；
 掌握多线程及高性能的设计与编码及性能调优；有高并发应用开发经验优先；
 学习能力强，适应能力好；具备耐心细心的品质； 7.我们希望你喜欢去看及尝试最新的技术，追求编写优雅的代码，从技术趋势和思路上能影响技术团队","物联网,电商",2000人以上,java,青岛
java,https://www.lagou.com/jobs/6807260.html,崂山区,10k-20k,江西牛客科技有限责任公司,3-5年,本科,大平台 福利好,1、负责后端框架搭建和核心功能开发工作；2.、熟悉后端框架当前发展趋势和特性，能够根据项目情况，独立进行后端框架选型和架构设计等工作；3、根据业务需要进行系统设计、开发、系统自测等工作；4、处理系统开发的各种问题，保证开发质量及开发进度；5、负责前后端交互的架构设计和开发，负责后端系统架构、性能和数据库设计的技术性优化；6、参与讨论用户体验和细化需求。1、计算机、软件工程、数学等相关专业。3年以上后端项目开发经验，对技术有热情；2、精通Java，了解HTML/CSS/JQuery/Ajax等前端技术，熟悉J2EE架构，深入了解spring、Spring MVC、MyBatis、Hibernate原理和实现机制，具有RESTful API和SpringBoot等相关框架开发经验，具有相应的系统架构能力和设计能力；3、精通数据库系统，熟悉主流数据库SqlServer和Oracle的使用，具有相关数据库设计能力，具有非关系型数据库应用经验者优先；4、精通Java多线程开发和线程池使用，具备中间件，云计算，大数据等技术最佳实践的能力5、良好的编码习惯，熟悉软件工程管理。6、良好的问题解决能力和自我管理能力，对问题能多角度思考提出解决方案7、工作主动、负责，具有良好的沟通和表达能力。团队协助能力和执行力突出。,"移动互联网,电商",少于15人,java,青岛
Java后端开发工程师,https://www.lagou.com/jobs/7137688.html,李沧区,10k-20k,海尔集团,3-5年,本科,六险两金 发展前景好,岗位职责：1、负责java项目设计、开发和维护并对代码质量持续跟进；2、主导项目关键技术问题的攻关，分析并解决软件开发过程中的问题；3、协助测试工程师制定测试计划，定位并解决发现的问题；4、负责相关技术文档的编写工作，对公司其他部门提供技术支持工作，负责客户技术支持和相关项目售后服务工作。任职资格：1、本科及以上学历，3年以上java实际开发经验；2、独立编写java程序，熟悉Java代码；掌握SSH、Ajax等开源框架，具备一定的技术架构能力；3、熟悉互联网常用技术和中间件：分库分表技术、消息中间件、分布式框架；4、了解应用的性能瓶颈和调优方式；5、熟悉javascr ipt、jquery、 oracle、mysql、SQL。,"物联网,电商",2000人以上,java,青岛
java开发工程师,https://www.lagou.com/jobs/6767715.html,黄岛区,10k-12k,上海微创软件股份有限公司,1-3年,本科,年终奖 六险一金 补贴,1、负责产品开发项目的整体需求分析、架构设计及开发工作，制订并实施具体的解决方案规避常规技术问题的发生；2、完成技术方案、技术线路的制订，指导审核产品核心模块的详细设计；3、参与技术评审，对软件需求、设计、代码或其他技术文档进行检查，提出改善建议；4、组织开发团队按计划执行并完成开发任务，负责团队成员的技术学习和能力提升。岗位要求：1、二本及以上学历，2年以上Java开发经验；2、熟练使用Eclipse/IntelliJ等开发环境及工具；精通Spring Boot/SpringMVC、Spring Cloud、Dubbo、hibernate/Mybatis等主流框架；3、JAVA基础扎实，熟悉io、多线程、集合等基础框架，熟悉分布式、缓存、消息等机制。熟练主流应用服务器框架、分布式数据库、缓存、文件系统、消息系统等技术；4、熟悉数据库编程，精通数据库应用（MYSQL/SQL?SERVER等）；5、具有良好的逻辑分析能力、分析问题和解决问题的能力。6、熟悉常用设计模式，有中大型分布式、高并发、高负载、高可用性系统设计开发经验优先考虑；7、熟悉前端Vue/Angular框架者，熟悉前后端分离开发模式者优先考虑；8、具有教育行业从业经验者，优先考虑；,"企业服务,移动互联网",2000人以上,java,青岛
java高级开发工程师,https://www.lagou.com/jobs/6089231.html,市北区,10k-16k,山东海博科技信息系统股份有限公司,不限,本科,"五险一金,员工旅游,专业培训,带薪年假",岗位职责：1.正确理解产品经理或开发经理的需求，保证需求与功能设计、开发的一致性。2.根据软件开发计划和任务分配，独立完成相应功能的设计、开发任务。3.以图文的形式完成功能或软件相关的技术文档的编写。4.通过单元测试、功能测试，发现并修正程序中的缺陷。5.参与软件维护，及时解决客户反馈的问题。任职要求：1.、2年以上微服务产品研发经验，能独立完成微服务架构设计；2、熟悉Dubbo/Sping Boot/Spring Cloud等微服务框架和架构，了解其原理和使用其优缺点，并有实战经验；3、熟悉Docker/Kubernetes等容器化系统，熟悉分布式、缓存、消息等机制，能对分布式常用技术进行合理应用，解决实际架构问题；,"移动互联网,信息安全",50-150人,java,青岛
架构师java,https://www.lagou.com/jobs/6807237.html,崂山区,20k-28k,江西牛客科技有限责任公司,5-10年,本科,大平台 福利好,1、本科以上学历，至少3年以上Java Web工作经验，5年以上的项目系统分析和架构设计经验，至少主导一个大型软件平台架构设计，领域设计经验优先。2、产品服务化改造经验者优先，熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制；能对分布式常用技术进行合理应用，解决问题；3、精通常用分布式服务治理框架（Eureka等）、微服务框架（spring cloud等）以及常用开源组件。4、精通设计模式，并能结合设计模式运用到业务场景。5、熟练使用前端框架，React/AngularJS/Vue等，有相关的前端架构经验；6、有探索精神，对前沿技术有浓厚兴趣，学习能力强7、较强的沟通能力和团队协同能力1、本科以上学历，至少3年以上Java Web工作经验，5年以上的项目系统分析和架构设计经验，至少主导一个大型软件平台架构设计，领域设计经验优先。2、产品服务化改造经验者优先，熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制；能对分布式常用技术进行合理应用，解决问题；3、精通常用分布式服务治理框架（Eureka等）、微服务框架（spring cloud等）以及常用开源组件。4、精通设计模式，并能结合设计模式运用到业务场景。5、熟练使用前端框架，React/AngularJS/Vue等，有相关的前端架构经验；6、有探索精神，对前沿技术有浓厚兴趣，学习能力强7、较强的沟通能力和团队协同能力,"移动互联网,电商",少于15人,java,青岛
Java工程师-青岛(J10425),https://www.lagou.com/jobs/6839038.html,崂山区,10k-15k,成都数联铭品科技有限公司,1-3年,本科,团队氛围好 成长空间 大数据领域,岗位在银行客户现场办公工作职责:1、 参与公司的产品研发及维护；2、 与团队成员充分、有效沟通协作；3、 评估项目技术风险、工时；3、 编写模块设计文档；4、 独立完成编码及单元测试。任职资格:1、 计算机、电子信息等相关专业本科学历；2、 3年以上java工作经验；3、 java基础扎实，熟练使用Hibernate、Spring Boot、MyBatis、SpringCloud、Dubbo、MySQL、Oracle；4、 熟悉J2EE体系架构，有较好的面向对象的程序设计思想；5、 良好的编码习惯，熟悉常用设计模式；6、 能够使用PowerDesigner、Visio等工具；6、 性格开朗，具有良好的沟通能力；7、 良好、高效的工作习惯，愿意通过提高工作效率的方式来完成工作任务，有良好的工作心态。,数据服务,500-2000人,java,青岛
java技术专家,https://www.lagou.com/jobs/5825674.html,市北区,18k-35k,山东海博科技信息系统股份有限公司,5-10年,不限,机器学习 人工智能 大数据 算法,"岗位职责：
 负责项目架构设计和系统实施，使系统具有前瞻性，能快速发现业务风险和及时管控；2. 负责公司核心业务系统的需求分析、设计、开发工作；3. 负责线上系统持续优化、关键问题和技术难题公关；4. 负责指导、培训初中级开发工程师，提升团队整体研发质量；
任职要求：1. 计算机相关专业本科及以上学历，热爱技术，学习能力强，工作认真、严谨，对系统质量有苛刻的要求意识，善于沟通与团队配合；2. 5年以上研发经验，具有成功大型项目经验，精通java开发，对敏捷开发有深刻理解；3. 具有中间件开发能力，对复杂系统问题具有使用技术手段化繁为简的能力；","移动互联网,信息安全",50-150人,java,青岛
软件开发工程师-Java,https://www.lagou.com/jobs/6758694.html,黄岛区,10k-20k,广东讯飞启明科技发展有限公司,3-5年,本科,具有竞争力的薪资,职位描述：1、负责产品开发项目的整体需求分析、架构设计及开发工作，制订并实施具体的解决方案规避常规技术问题的发生；2、完成技术方案、技术线路的制订，指导审核产品核心模块的详细设计；3、参与技术评审，对软件需求、设计、代码或其他技术文档进行检查，提出改善建议；4、组织开发团队按计划执行并完成开发任务，负责团队成员的技术学习和能力提升。岗位要求：1、二本及以上学历，3年以上Java开发经验；2、熟练使用Eclipse/IntelliJ等开发环境及工具；精通Spring Boot/SpringMVC、Spring Cloud、Dubbo、hibernate/Mybatis等主流框架；3、JAVA基础扎实，熟悉io、多线程、集合等基础框架，熟悉分布式、缓存、消息等机制。熟练主流应用服务器框架、分布式数据库、缓存、文件系统、消息系统等技术；4、熟悉数据库编程，精通数据库应用（MYSQL/SQL?SERVER等）；5、具有良好的逻辑分析能力、分析问题和解决问题的能力。6、熟悉常用设计模式，有中大型分布式、高并发、高负载、高可用性系统设计开发经验优先考虑；7、熟悉前端Vue/Angular框架者，熟悉前后端分离开发模式者优先考虑；8、具有教育行业从业经验者，优先考虑；,教育,150-500人,java,青岛
高级java程序员,https://www.lagou.com/jobs/5612410.html,市北区,11k-14k,青岛东凯软科信息技术有限公司,3-5年,大专,"java,最新技术,中级程序员,赴美工作","职位描述：诚聘Java高级程序员两名技能要求：Java，MySQL，Shell，数据库，爬虫，Linux 1. 欧美职业文化，公司提供持续的员工培训。2. 有机会接触最新开源技术，海量数据处理。3. 公司提供访美工作和学习机会。 职位要求： 1、热爱编程喜欢编程、具备良好的逻辑思维能力、学习能力和解决问题能力。 2、具备扎实的Java基础，熟悉java代码规范 3、精通常用java类库，熟悉常用设计模式，熟悉mvc架构模式。 4、熟练使用 git，maven ，svn，eclipse 等常用开发工具, Linux 基本操作 5、熟悉mysql，了解mongdb。 6、熟悉Amazon AWS service尤佳。 7、本科及以上学历，计算机相关专业，3年以上相关工作经验。","移动互联网,数据服务",15-50人,java,青岛
java开发工程师,https://www.lagou.com/jobs/7198443.html,崂山区,12k-20k,河南竹意文化传媒有限公司,3-5年,本科,年终奖 完善的晋升制度,岗位职责：1、负责后端框架搭建和核心功能开发工作；2.、熟悉后端框架当前发展趋势和特性，能够根据项目情况，独立进行后端框架选型和架构设计等工作；3、根据业务需要进行系统设计、开发、系统自测等工作；4、处理系统开发的各种问题，保证开发质量及开发进度；5、负责前后端交互的架构设计和开发，负责后端系统架构、性能和数据库设计的技术性优化；6、参与讨论用户体验和细化需求。岗位要求：1、计算机、软件工程、数学等相关专业。3年以上后端项目开发经验，对技术有热情；2、精通Java，了解HTML/CSS/JQuery/Ajax等前端技术，熟悉J2EE架构，深入了解spring、Spring MVC、MyBatis、Hibernate原理和实现机制，具有RESTful API和SpringBoot等相关框架开发经验，具有相应的系统架构能力和设计能力；3、精通数据库系统，熟悉主流数据库SqlServer和Oracle的使用，具有相关数据库设计能力，具有非关系型数据库应用经验者优先；4、精通Java多线程开发和线程池使用，具备中间件，云计算，大数据等技术最佳实践的能力5、良好的编码习惯，熟悉软件工程管理。6、良好的问题解决能力和自我管理能力，对问题能多角度思考提出解决方案7、工作主动、负责，具有良好的沟通和表达能力。团队协助能力和执行力突出。,"移动互联网,企业服务",150-500人,java,青岛
Java开发工程师,https://www.lagou.com/jobs/6841634.html,崂山区,10k-15k,青岛海信网络科技股份有限公司,3-5年,本科,绩效奖金，带薪年假,"【岗位职责】1、根据项目开发需求改进完善系统架构，提高产品性能和开发效率；2、完成项目需求的模块设计和功能开发；3、配合或者负责完成项目所要求的详细设计、技术支持、经验总结等文档的撰写、整理工作；4、整理开发技巧，对软件开发人员进行培训和技术支持。【岗位要求】1、本科5年及以上工作经验，硕士3年及以上工作经验；2、熟练使用SpringBoot、SpringMVC、Spring、MyBatis等主流开发框架；3、熟练使用Oracle、Mysql、SQLServer等主流数据库，熟练使用SQL语言,对数据库有一定的设计、优化能力；4、对面向对象有深刻的理解、熟悉常用设计模式；5、对jvm内存模型、并发编程、性能优化等关键开发技术有深入了解，掌握影响系统性能的关键点，能够快速定位系统性能问题并解决；6、逻辑分析能力强，较强的问题定位和解决能力；有较强的沟通能力和团队合作精神。",其他,500-2000人,java,青岛
java开发工程师,https://www.lagou.com/jobs/6821336.html,市南区,9k-12k,北京万灵盘古科技有限公司,3-5年,本科,发展前景 五险一金 带薪年假,因业务需要，招聘山东青岛地区后台开发工程师若干。岗位职责：1、根据开发进度和任务分配，完成相应模块软件的开发、编程任务；2、进行程序单元测试、集成测试，查出软件存在的缺陷并保证其质量；3、负责解决系统开发过程中遇到的技术问题；4、协助相关团队完成系统的测试、部署、上线运营工作。任职要求：1、本科或以上，计算机软件或相关专业毕业；2、3年以上Java研发经验；3、熟悉Spring，MyBatis等常用开发框架；4、熟悉MySQL、Oracle、SQL Server，有性能优化的实际经验；5、熟悉常用NoSQL数据库，redis、Mongodb等6、具有良好的面向对象分析、设计、开发能力（OOA、OOD、OOP）；7、熟悉常用的设计模式；8、有Neo4j、ElasticSearch等开发经验者优先；9、有团队协作精神，较强的逻辑分析能力、沟通表达能力，善于学习。具体薪水可面议。,"医疗丨健康,数据服务",15-50人,java,青岛
Java开发工程师,https://www.lagou.com/jobs/7108765.html,市北区,4k-6k,青岛莱信实业有限公司,不限,大专,周末双休，提供住宿，年底双薪，员工福利。,1.掌握JSP、JDBC、Servlet、JSTL等Java Web开发技术；2.深入MVC架构模式，熟悉SSH/OSGI等Web应用开发架构；3.积极，主动，敬业，对开发有浓厚兴趣、有良好自学能力和沟通能力大专及以上学历，年龄20-35。可可接受应届生/无基础,"移动互联网,数据服务",50-150人,java,青岛
Java开发工程师,https://www.lagou.com/jobs/7183530.html,崂山区,13k-20k,大连慧桥云联科技有限公司,3-5年,本科,五险一金，年终奖,1、负责对接集团各系统（用户/优家云平台/支付/售后等）技术接口服务开发。 2、洗涤产业智能洗衣机业务服务及大数据服务开发。 3、洗涤产业智能洗衣机微信业务服务开发。 4、负责智慧洗衣机服务端规划及用户数据运营系统开发。补充：统招公办本科院校毕业，2年以上后台开发经验，具有独立开发能力。熟练掌握各种后台技术 Java 、Python等开发语言，有成功项目案例。薪资12-24万（综合薪资）,移动互联网,150-500人,java,青岛
JAVA架构师,https://www.lagou.com/jobs/3961142.html,崂山区,12K-24K,聚好看科技股份有限公司,5-10年,本科,技术，管理双晋升路线，有竞争力的薪酬,职责描述： 1、负责移动、TV客户端后台API的设计、开发工作；2、负责后台基础架构和业务逻辑的设计、实现；3、负责与公司其它后台组件、第三方云接口的对接；4、负责高并发、海量数据等方面的架构设计和性能调优。 任职资格：1、大学本科及以上学历，2年以上Java后台开发经验；2、具备扎实的Java编程基础，熟悉常见的设计模式，有良好的编码习惯；3、精通Java EE的主流开源框架，并了解其原理和机制，如Spring、iBatis、Struts等；4、熟悉MySQL等数据库技术，对SQL优化有一定的经验；5、实际项目开发中使用过NoSql（Redis）经验者优先。,"移动互联网,社交",2000人以上,java,青岛
