job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
php开发工程师,https://www.lagou.com/jobs/7187418.html,长宁区,20k-40k,上海格罗夫信息科技有限公司,3-5年,本科,奖金丰厚 多次调薪 行业前景,1.负责电商系统核心业务模块开发2.负责线上系统的稳定性3.优化系统的问题要求1.精通php，熟悉Java最好2.精通redis和memcache，熟悉常见分布式缓存方案3.精通mysql，熟悉mongodb，pg等数据库最好。熟悉常见数据库架构方案和常见中间件4.熟悉常用mq和适应场景5.具有复杂业务的梳理抽象能力，具有业务架构能力6.拥有基础架构能力更好,电商,500-2000人,php,上海
php开发工程师,https://www.lagou.com/jobs/7118017.html,闵行区,15k-21k,车轮互联科技（上海）股份有限公司,不限,本科,"福利待遇好,扁平管理,团队氛围佳、房补",岗位职责：1、负责营收中心核心业务模块的维护开发，后台功能开发和业务代码迭代优化，及时解决出现的问题；    2、负责业务的对接和项目架构的设计；    3、负责相关项目的服务器维护，数据库设计和维护，功能模块优化等 。  任职要求：1、精通PHP和MySQL，熟练掌握系统性能调优和MySQL性能调优及设计规范；    2、熟练使用redis等NoSQL数据库，熟悉MVC开发模式，Git等；    3、熟悉LNMP环境，了解Linux常用命令，能够在Linux下进行开发调试；    4、熟悉TCP，HTTP等网络协议，了解常用的数据结构和算法，了解常用设计模式 ；   5、对代码拥有良好的封装解耦意识，代码风格符合规范；    6、善于沟通，拥有良好的团队合作意识。有swoole实战经验加分；7、全日制本科及以上学历。,移动互联网,150-500人,php,上海
php开发工程师,https://www.lagou.com/jobs/7132907.html,闵行区,17k-23k,车轮互联科技（上海）股份有限公司,3-5年,本科,五险一金,"岗位职责：1、负责公司核心业务开发，编写文档、接口开发，保证系统运行的稳定性；    2、参与产品功能模块的升级维护及优化；    3、根据产品需求，独立完成系统设计，文档编写，接口开发，系统稳定上线；    4、对现有架构、性能进行优化, 参与技术方案制定与实施。    岗位要求：1、精通PHP，精通LNMP架构下的开发流程与开发管理；    2、 熟悉PHP面向对象的设计方法, 有良好的配置管理、版本管理、代码编写习惯；    3、有系统性能调优和处理高并发经验，理解linux系统及其原理，熟悉TCP/IP、HTTP协议以及网络编程；    4、善于交流和表达，强烈的责任感和服务意识，良好的团队合作精神；    5、有swoole开发经验、Saas平台架构经验、电商系统开发经验加分；6、全日制本科，211、985优先。",移动互联网,150-500人,php,上海
php开发工程师,https://www.lagou.com/jobs/5848561.html,浦东新区,15k-25k,新浪时金（上海）信息技术有限公司,3-5年,本科,"上市公司,团队氛围好,领导nice",岗位职责：1.    负责新浪理财师产品的新功能开发；2.    能够独立完成系统的设计与文档的撰写工作，并保证系统的高可用；3.    维护、升级和优化现有系统，能够快速定位并及时修复软件缺陷。任职要求：1.    本科及以上学历，3年以上服务器端开发经验；2.    熟悉PHP语言和主流的PHP开发框架；3.    深入了解MySQL数据库的使用及优化，并熟练掌握较流行的缓存、队列机制；4.    有Linux环境下的开发经验，熟练掌握常用Shell命令，了解分布式系统设计的基本原理；5.    熟悉git等版本管理工具的使用；6.    思路清晰，具有优秀的分析、解决问题的能力，有良好的沟通能力及团队协作能力；7.    有Python/Go语言开发经验优先。,金融,150-500人,php,上海
高级PHP开发工程师,https://www.lagou.com/jobs/7053459.html,浦东新区,14k-18k,上海斗象信息科技有限公司,1-3年,本科,"弹性工作,期权激励,行业竞争力,多元福利","岗位要求：
 负责公司旗下平台及核心产品的研发及维护工作；
 按照项目计划, 按时并高质量的完成开发任务；
 遵守团队的代码格式、代码安全、代码结构的规定，编写易读、易维护、高效率的代码。
任职要求：
 一年及以上PHP语言为主的互联网开发经验 ，熟悉PHP主流框架（Yii优先），优秀的大四实习生优先考虑；
 熟悉PHP编程，熟悉Web端各种优化机制，有良好的代码规范及较强的安全意识；
 对Mysql\Maria DB\Mongo有比较深入的认识，熟悉数据库设计规范，熟悉海量数据下数据库的优化；
 熟悉javascript，ajax 了解html5, css3，有网页前端经验者优先；
 熟悉LNMP开发环境，熟悉服务端脚本编程者优先；
 热爱研究技术，积极主动，具有极客精神，有良好的团队精神。
 加分项： 1. 有Github、个人技术博客、发布或参与过开源项目； 2. 对网络安全、黑客领域有强烈兴趣； 3. 企业级应用平台开发经验。 4. 微信分享",信息安全,150-500人,php,上海
高级PHP开发工程师,https://www.lagou.com/jobs/6807499.html,松江区,18k-25k,云汉芯城（上海）互联网科技股份有限公司,3-5年,本科,平台稳定，发展空间大，薪资丰厚，培训多多,工作职责：1、负责电商平台项目及产品需求，参与需求分析及技术设计，负责产品的开发、升级和维护；2、负责撰写相关开发文档；3、维护相关业务系统或模块，及时解决Bug和故障；4、参与公司数据产品的开发和建设；5、有良好的团队合作意识，积极主动分享业务知识经验；6、遵守公司规章制度以及相关法律法规。工作要求：1、本科及以上学历，计算机软件或相关专业；2、3年以上PHP开发经验，熟悉至少一种PHP应用框架，如Yii、CodeIgniter、ThinkPHP等；3、熟悉MYSQL或其他大型数据库，能够快速根据需求完成高性能数据库设计；4、软件知识结构全面，基础扎实，熟悉常用数据结构与算法，熟悉面向对象的开发方法；5、熟悉linux、UNIX等操作系统；6、熟悉HTML/JS等技术，具有互联网Web业务开发经验，有电商类开发经验优先；7、高度的责任心、良好的沟通技巧和团队合作精神，正直进取，有上进心，热爱开发事业；8、了解微服务架构，有相关开发经验者优先考虑。,电商,500-2000人,php,上海
高级PHP开发工程师,https://www.lagou.com/jobs/7087211.html,松江区,20k-30k,云汉芯城（上海）互联网科技股份有限公司,3-5年,本科,技术氛围 五险一金 弹性工作,工作职责：1、负责电商平台项目及产品需求，参与需求分析及技术设计，负责产品的开发、升级和维护；2、负责撰写相关开发文档；3、维护相关业务系统或模块，及时解决Bug和故障；4、参与公司数据产品的开发和建设；5、有良好的团队合作意识，积极主动分享业务知识经验；6、遵守公司规章制度以及相关法律法规；工作要求：1、本科及以上学历，计算机软件或相关专业；2、3年以上PHP开发经验，熟悉至少一种PHP应用框架，如Yii、CodeIgniter、ThinkPHP等；3、熟悉MYSQL或其他大型数据库，能够快速根据需求完成高性能数据库设计；4、软件知识结构全面，基础扎实，熟悉常用数据结构与算法，熟悉面向对象的开发方法；5、熟悉linux、UNIX等操作系统；6、熟悉HTML/JS等技术，具有互联网Web业务开发经验，有电商类开发经验优先；7、高度的责任心、良好的沟通技巧和团队合作精神，正直进取，有上进心，热爱开发事业；8、了解微服务架构，有相关开发经验者优先考虑。,电商,500-2000人,php,上海
PHP开发工程师,https://www.lagou.com/jobs/7078078.html,闵行区,20k-25k,上海行动教育科技股份有限公司,5-10年,本科,双休 上市公司 独栋办公楼,岗位职责1、负责公司旗下所有平台后台的整合，开发统一的内容分发平台。（小程序、公众号、官网等）2、负责在内容分发平台中记录来自各个平台用户的行为动作，并出具报表；3、负责配合前端工程师及市场部，逐步完善平台功能和体验；4、参与研发效率/性能/质量/体验/数据采集等相关的系统和工具，完善研发体系；5、 解决研发过程中的关键问题和技术难题，保证研发工作的质量和进度6、 对功能模块进行产品封装。岗位要求1、5年以上年工作经验，全日制本科学历，计算机相关专业；2、有微信平台获客项目开发经验，熟悉视频，音频等多媒体类网站后台开发，有丰富的用户行为系统报表出具经验，教育行业优先；3、精通PHP语言，熟练运用主流MVC框架，理解OOP思想，有设计模式开发经验；4、熟悉Javascript、XML、Ajax、Jquery、Html5等前端开发技术；5、熟悉Apache、Nginx、IIS等任一Web服务器的配置及优化，可以独立配置网络应用环境；熟悉基于阿里云常用应用。6、熟悉mysql、SQLServer其中一种数据库；7、熟悉缓存机制(Redis、Memcached等至少了解其中一种)；8、具备大容量高负载应用系统开发及维护经验优先；9、熟悉且有过微信服务号和小程序，或百万级商城开发经验者优先。,教育,500-2000人,php,上海
php开发工程师,https://www.lagou.com/jobs/7199309.html,浦东新区,15k-22k,上海韩创网络科技有限公司,3-5年,本科,平台好、学习氛围强、不加班,"我们能提供给你的福利------1.一年四次的调薪机会，只要你有进步，季季调薪不是梦2.支持在家远程办公的模式，让你足不出户亦能共抗**3.上千图书任你借阅，每月阅读奖学金4.内部在线课程分享，技能提升不迷茫5.每月团建，更快融入团队我们的产品----图怪兽是一款简单好用的作图神器，致力于让设计更简单，拥有1000万+用户。图怪兽提供50万+设计模版，所有模版均由国内**设计师出品，风格时尚好看，商业价值高，帮助每一个人3步10秒轻松作图岗位职责：1、开发网站新功能、新模块；2、负责项目产品各个功能的完善与维护，新功能代码编写及测试；3、对现有项目进行性能分析、效率优化;4、参与需求分析、系统设计以及核心代码的编写和架构设计；5、编写维护开发文档;6、根据不同的业务需求，灵活快速地完成具有挑战性的项目;7、协助项目经理完成部分管理工作岗位要求：1、从事PHP编程工作3年以上，有大型网站开发经验、大数据操作经验者优先；2、深入理解oop思想，熟悉常见设计模式，熟悉常用框架 thinkphp、CI、YII 其中一种；3、优秀的数据库设计和优化能力，精通Mysql数据库应用；4、熟悉Redis,MongoDB,Memcache等NoSQL；5、熟悉Linux，了解服务器性能优化、负载均衡、IO模型等知识；6、有优秀的逻辑分析能力，能够对业务逻辑进行合理的抽象和拆分；7、有较强的学习能力,愿意致力于新技术的研究8、积极主动，有较强的抗压能力和责任心；9、有python或golang开发经验者优先;","移动互联网,文娱丨内容",500-2000人,php,上海
php开发工程师,https://www.lagou.com/jobs/5707606.html,徐汇区,15k-20k,五五海淘（上海）科技股份有限公司,3-5年,本科,"平台大,发展快,氛围佳","工作职责：● 负责大型网站开发、平台应用、移动后台设计编写；● 参与相关页面的Web前后台架构设计、核心代码的编写及后台服务程序的研发和编写；● 协助测试和发布系统，准备相关的技术文档，协助解决各种技术问题；● 进行详细设计、代码开发,配合测试,高质量完成项目；● 按照项目计划，按时提交高质量代码，完成开发任务；● 参与公司新产品研发。职位要求：● 大学本科或以上学历；● 三年及以上PHP开发经验；● 熟悉二种以上PHP开发框架，了解设计模式；● 熟悉MYSQL数据库设计和性能优化；● 精通PHP语言，熟悉JavaScript, AJAX，JSON，XML等Web相关技术；● 具备良好的代码编程习惯及较强的文档编写能力；● 熟悉使用git版本控制；● 严谨的逻辑思维，强烈的技术热情,善于合作,喜欢有挑战性的工作； ● 热爱互联网产品，工作态度积极，对产品细节敏感。",电商,150-500人,php,上海
