job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
php开发工程师,https://www.lagou.com/jobs/6987844.html,江宁区,8k-15k,南京新知艺测科技有限公司,3-5年,大专,五险一金 年终奖 定期体检等,工作职责：1.熟悉公司项目的运作流程与逻辑2.参与产品功能模块的升级维护及优化3.按照项目计划，按时提交高质量代码，完成开发任务任职资格：1、五年及以上PHP开发经验，并有大型项目的开发经验2、精通PHP语言，深入理解面向对象编程、能够独立编写中高等规模的应用程序3、精通MYSQL数据库设计和性能优化，及MemCache/Redis等常用技术4、具备良好的分析解决问题能力，能独立承担工作及把控任务进度，并能积极乐观的承受工作压力5、具备良好的团队合作能力，善于沟通，热爱学习及分享6、熟悉CI或YAF框架开发者优先7、较好的产品意识，愿意将产品效果做为工作最重要的驱动因素,教育 移动互联网,15-50人,php,南京
PHP开发工程师,https://www.lagou.com/jobs/7139643.html,鼓楼区,8k-15k,奥琦玮信息科技（北京）有限公司,不限,本科,"五险一金,餐补,弹性工时","你需要做的事情：1、负责公司saas产品的设计，开发及改进工作2、参与系统的需求分析、设计、评审工作3、负责参与编码、codereview 、技术研究4、负责与其他团队研发沟通，推进项目进展希望你是这样的人：1、 计算机相关专业，本科以上学历，英语四级以上，能熟练阅读英文文档2、精通PHP, 四年以上开发经验，对于PHP底层实现有一定了解，熟悉PHP的常用包管理工具以及常用框架的实现原理（CI Laravel）3、熟悉HTTP协议，HTML/CSS/Javascript等Web开发相关技术；熟悉Linux常用命令，有一年以上基于Linux平台开发经验4、熟悉MySQL数据库，对于查询优化有一定经验5、有责任心，好学，团队合作意识，能承担压力6、有高并发及精通算法者优先，有Python 或 Go 第二语言经验者优先有进销存、采购、配送、Erp、供应链、电商项目经验者优先","移动互联网,消费生活",500-2000人,php,南京
php开发工程师,https://www.lagou.com/jobs/6689410.html,雨花台区,15k-25k,南京果酱文化发展有限公司,3-5年,本科,年轻开明，项目发展好，氛围融洽，有大神,【岗位职责】1、负责规范化实现WEB系统，及高性能API的开发，完成系统的性能测试；2、完成API规范定义与前端及第三方系统进行联调；3、完成系统功能的持续化集成及部署。【任职要求】1、统招本科及以上学历，3年以上PHP开发经验；2、熟悉PHP，能完成WEB、高性能Restful API服务开发；3、熟练掌握Nginx、Redis、Kafka、Mysql工具的实现原理，在工程中可以灵活运用各组件；4、熟悉OPP/MVC；5、有良好的写作风格；6、熟悉至少一种以上PHP开源框架，熟悉Yaf框架者优先；7、逻辑清晰、有独立思考并解决问题的能力；8、有移动后台开发经验者优先；9、有开放的心态，渴望成长，勤奋好学，良好的沟通能力。【团队氛围】团队年轻，环境优雅，具有文艺范，创业团队大多来自百度、腾讯等互联网公司大神，极客文化，晋升空间大，创造力无限。,"移动互联网,文娱丨内容",15-50人,php,南京
php后端,https://www.lagou.com/jobs/7083302.html,鼓楼区,6k-11k,南京东神科技有限公司,1-3年,本科,后期奖金根据项目参与完成度会很丰厚,"1. 负责公司php软件产品的后端开发工作。2. 负责开发文档编制与归档。3. 参与客户需求调研分析和整理。4. 负责前端架构设计，详细设计及性能优化。5. 负责pc端，移动端，app，公众号及小程序的php后端开发。要求：1. 计算机软件相关专业，本科及以上学历优先，2年以上工作经验。2. 有独立完成项目后端工作的经验。3. 熟悉PHP主流框架，精通TP5.0或Laravel5.1及以上版本。4. 熟悉HTML标签和JS原生，了解bootstrap，能做到对web端页面进行基本的维护。5. 了解linux环境下各种后端服务，包括不限于nginx,redis,mysql等，能看懂相关配置 文件。6. 编码思路清晰，逻辑能力强，有扎实的数学功底。","人工智能,软件开发",15-50人,php,南京
php开发工程师,https://www.lagou.com/jobs/7078019.html,江宁区,10k-14k,南京易米云通网络科技有限公司,3-5年,本科,人工智能、五险一金、前景好,"岗位职责/工作内容/岗位要求1、制定接口规范，编写核心代码，推动自动化测试和部署；2、负责关键技术的预研和攻关，提高系统的扩展性、稳定性和安全性；3、实现核心技术组件，为业务调用提供基础。4、项目实施与部署。任职要求1、计算机相关专业本科或以上学历，3年以上开发经验，精通微服务平台搭建过程，有过类似项目经验；2、深入了解PHP，语言基础扎实，熟悉面向对象的软件设计方法，具备数据库应用系统规划及设计能力；3、熟练PHP、MYSQL开发，具备MYSQL索引优化、查询优化、存储优化，具备PHP缓存技术；4、对分布式，以及高并发，大数据量的架构设计有一定认识；5、熟练掌握Linux操作系统管理，对Linux下应用系统环境对操作系统级安全策略有实施的经验；6、熟练SHELL脚本,精通Linux系统如CentOS、Redhat 精通Apache、NginX、MySQL等常用服务的安装、配置和维护；7、熟练使用mysql数据库，熟悉数据库的调优；8、具备强烈的进取心、求知欲及团队合作精神，能够承受适当压力，独当一面；9、具备良好的代码编程习惯及较强的文档编写能力。",移动互联网,150-500人,php,南京
php,https://www.lagou.com/jobs/7096896.html,雨花台区,8k-13k,江苏有麦科技服务有限公司,1-3年,大专,福利待遇齐全，后期发展空间大,"岗位职责：1、根据公司业务需求，负责网站底层、核心模块以及小程序的设计和开发工作；2、协助需求分析、系统架构、数据库3、设计文档编写工作;4、根据网站项目计划，按时完成网站项目制作任务。任职要求：1、全日制大专及以上学历，3年及以上PHP开发经验，有大型项目、电商项目开发经验优先；、2、精通PHP语言，有面向对象开发经验者优先；3、熟悉Linux操作系统，熟悉数据库，精通SQL和数据结构；4、熟悉yii,CL,ThinkPHP框架。【完善的企业福利保障】1、入司后签订劳动合同，底薪8000-130002、福利：五险一金+法定假期+带薪年假+节日福利+团建+定期体检等【健全的培训机制】员工将享有入司培训、岗位培训、技能培训、外部培训等，我们将做好每一位员工的技能提升途径，并量身打造职业规划。【工作时间】9：00-12：00 13：00-18：00（周末双休）【工作地点】南京市雨花区大周路88号雨花软件谷科创城",企业服务,50-150人,php,南京
PHP工程师（南京）,https://www.lagou.com/jobs/6722266.html,雨花台区,15k-30k,马鞍山百助网络科技有限公司,应届毕业生,本科,股票期权、14薪、出国游、五险一金,岗位职责(1)负责公司系统的架构设计和基础模块设计，以及核心代码编写；(2)遵守团队的代码格式、代码安全、代码结构的规定，编写易读、易维护、高质量、高效率的代码；(3)负责重点技术难题攻关，保证产品安全、高效稳定运行；(4)负责平台新技术的调研及工程化落地，推动平台技术的革新，系统性能调优；(5)负责公司现有项目的维护与升级工作。招聘要求及条件(1)全日制本科及以上学历，精通PHP，3年及以上开发经验，熟悉主流框架（能力强者可适当放宽）；(2)有大型分布式，高负载，高可用性系统设计开发经验；(3)熟练使用Linux操作系统，熟悉Git版本控制工具；(4)精通MySQL数据库系统，有独立设计DB架构和优化DB性能的能力；(5)热爱编程并乐于开源分享，具有极强的责任心和极高的自我要求；(6)有敏捷团队工作经验；(7)有互联网工作经验者优先考虑。,移动互联网,150-500人,php,南京
PHP高级开发工程师,https://www.lagou.com/jobs/3608077.html,玄武区,7K-14K,南京矽汇信息技术有限公司,1-3年,本科,"六险一金,项目奖金,年底多薪,节日福利",1. 熟练掌握PHP，精通1-2种常用框架，熟练使用composer2. 熟悉MySQL使用及性能优化，对Memcache，Redis有较深入掌握3. 熟悉HTTP原理，对网络各个环节比较清楚4. 熟悉Linux系统，对并发有一定研究5. 有中大型项目开发经验，熟悉多人合作开发流程，有MQ使用经验优先,"医疗丨健康,消费生活",150-500人,php,南京
PHP开发工程师实习生,https://www.lagou.com/jobs/5007493.html,玄武区,3k-6k,南京矽汇信息技术有限公司,应届毕业生,本科,学习机会多，午餐补贴，餐后水果，节假福利,职位描述：1、根据需求完成服务端接口的设计和开发，并按规范编写文档；2、负责项目后台功能的代码实现、单元测试、问题修复等；3、协助团队完成其他各类技术开发任务；要求：1、会使用PHP+MYSQL进行API开发，学习能力强的优秀学生也可；2、能够根据需求进行数据库设计；3、熟悉MVC、OOP等思想，有实际的框架使用经验；4、熟悉HTML、CSS、JavaScript、Jquery等前端技术；5、学习能力强，工作踏实，积极主动，认真负责；加分项：1、熟悉svn/git等版本管理工具；2、熟悉PHP框架，如Zend、ThinkPHP等；3、有开放平台（微信公众号/支付宝等）相关开发经验；4、分析sql效率，进行sql优化；5、熟悉Vue等前端框架,"医疗丨健康,消费生活",150-500人,php,南京
php开发工程师,https://www.lagou.com/jobs/6592973.html,鼓楼区,10k-20k,南京车易淘网络信息技术有限公司,不限,本科,精英团队 独角兽企业 高新技术企业,工作职责：1. 参与产品开发与技术实现，前后台开发；2. 探索尝试最前沿的互联网技术；3. 挑战最优秀的架构设计及算法实现，并时刻接受海量用户的考验；4. 对网站大并发，大流量的处理有兴趣。岗位要求：1. 掌握CI、yii2、laravel等框架；2. 有API开发经验，对Linux以及nginx有所了解；3. 熟悉DIV+CSS布局的HTML代码编写，熟练手写标准CSS样式表，兼容主流浏览器；4. 熟练使用MySql数据库进行应用开发，了解常用的SQL语法，熟悉常用MySql优化技术；5. 拥有良好的代码书写和编程习惯，了解SVN代码管理与版本控制。公司福利：1. 上班时间9:00--18:00，包含午餐和午休时间，没有延时加班，国家法定假日全部正常放假；2. 五险一金、带薪年假、节日礼金、团队活动；3. 自由奋进的创业氛围，高速学习成长的环境。,"移动互联网,数据服务",150-500人,php,南京
