job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
PHP高级开发工程师,https://www.lagou.com/jobs/4878227.html,鄞州区,10k-15k,宁波思艾特软件有限公司,3-5年,大专,"五险一金,行业尖端,超长年休假,13薪","我们正在物色一位优秀的PHP高级工程师，开发工程师将与项目经理和系统分析师一起在程序开发部门工作。在工作过程中，开发工程师需要分析业务需求、准备技术设计文档，并利用已有的代码库和最新开发的代码构建出新软件。在我们高效快捷且忠诚敬业的专业团队中工作，您将有大量机会学习宝贵的开发知识和经验并扩展自己的眼界。应聘者经录用后将获得持续专业的指导和鼓励，并随着公司的发展而不断成长！任职要求：1. 至少3年以上PHP相关经验，有Drupal工作经验者优先2. 熟悉mysql、SQLServer、Oracle等数据库和使用和开发3. 熟练掌握html, Javascript , CSS, xml4. 有N层架构开发经验（MVC，设计模式和服务/DAO层）5. 能够在Linux环境中部署应用程序（从配置到完成应用程序安装）6. 对软件开发流程有清晰的认识，具有中大型项目维护经验者优先7. 追求卓越，精益求精8. 良好的组织能力并且能够同时参与多个项目9. 自我激励，积极进取10.能够在快节奏的环境中高效率工作11.良好的分析和解决问题的能力12.具有良好的理解和沟通能力，责任心强，富有团队合作精神13.熟练的英语书面和口语能力。","移动互联网,企业服务",50-150人,php,宁波
php开发工程师,https://www.lagou.com/jobs/5392560.html,鄞州区,6k-11k,宁波云朵网络科技股份有限公司,1年以下,大专,生日福利，年终奖金，公司氛围、环境好,"职位描述 一、岗位职责：1、1年以上PHP项目开发或开源项目维护经验2、熟练掌握数据库Mysql，熟练掌握SQL语句的优化； 3、具备优秀的编程能力，熟练掌握常用数据结构和算法；4、熟悉Html、div+css、javascript、jquery,Ajax,html5等技术；5、具有html5开发经验，熟悉html5标准6、有一年以上移动端网站开发的经验；对网页标准有成熟的理解，能够很好地解决兼容问题；7、熟悉微信公众号，及接口开发；8、懂得缓存技术来缓解数据库压力，懂得数据库的优化；二、岗位要求：1、大专以上学历，计算机相关专业,1年左右工作经验4、有良好的自我管理能力和团队合作意识；5、做事严谨踏实，责任心强，条理清楚，善于学习总结，有良好的团队合作精神和沟通协调能力。",数据服务,50-150人,php,宁波
php,https://www.lagou.com/jobs/6915879.html,鄞州区,5k-6k,黔海网络科技（宁波）有限公司,1-3年,不限,兼职,任职要求：1、熟练使用PHP，3年以上PHP及互联网应用开发经验；2、熟悉ThinkPHP、YII等开源框架中的一种或多种；3、熟悉一种或多种开源产品；4、熟练掌握接口开发（Oahth协议、微信）5、熟悉网站（软件）开发流程；6、熟悉LINUX环境搭建GIT、SVN部署；7、熟悉MYSQL数据库；8、熟悉手机应用、html5开发者优先；9、具备强烈的进取心、求知欲及良好的团队合作精神；10、有良好的语言组织能力,"企业服务,软件开发",15-50人,php,宁波
php开发工程师,https://www.lagou.com/jobs/7099091.html,鄞州区,10k-20k,宁波极简信息科技有限公司,3-5年,大专,实现财务自由的**桶金,工作职责：1、参与视频投放业务系统微服务核心逻辑编写与维护；2、参与产品功能模块的升级维护及优化；3、按照项目计划，按时提交高质量代码，完成开发任务。职位要求：  1、本科及以上学历，具备良好的计算机基础与算法、数据结构能力；  2、熟练掌握PHP语言，理解面向对象编程，了解或掌握vue；  3、熟练掌握关系型数据库、 缓存系统的设计与优化；  4、具备良好的分析解决问题能力，能独立承担工作任务及把控任务进度；  5、有良好的团队合作能力，善于沟通，热爱学习及分享。,社交,15-50人,php,宁波
H5前端开发工程师,https://www.lagou.com/jobs/6978543.html,鄞州区,6k-12k,中信网络科技股份有限公司,3-5年,本科,"午餐补贴,五险一金,年终奖，双休，年休假","岗位职责1.负责手机和web项目前端核心代码实现；2.配合后段开发人员进行界面和接口集成;3.持续优化前端界面和脚本，保证兼容性和高性能；4.富有挑战的前端新技术研究;5.与团队保持良好的沟通，提供合理的技术方案建议。任职条件1. 2年以上H5前端开发经验，本科及以上学历；2. 能独立完成div+css设计排版、制作成符合web规范的静态html代码；3. 精通Javascript,HTML5,css3,AJAX等前端技术；4. 熟悉Web前端主流技术框架，如vue/jquery/jquerymobile/bootstrap/angularjs等；5. 熟悉WEB标准，熟悉一种服务器端脚本语言优先(PHP、Java)；6. 了解PC不同浏览器的差异重点IE10 IE8 Google Mozilla Firefox Safari 等；7. 有良好的沟通协调能力，有责任心，思维逻辑性强；",金融,500-2000人,php,宁波
前端工程师,https://www.lagou.com/jobs/1803747.html,镇海区,7k-10k,宁波聚联信息科技有限公司,1-3年,大专,可观的薪资收入，轻松的工作氛围,岗位职责：1. 网站和APP等产品的前端设计、开发和维护；2. 根据传播需求及目标，利用Html5、JavaScript和CSS相关技术开发跨平台的交互页面产品；3. 基于HTML5.0标准进行页面制作，编写可复用的用户界面组件；4. 持续的优化前端体验和页面响应速度，并保证兼容性和执行效率；5. 配合项目组需求一起研讨技术表现方案，进行应用及系统整合。任职要求：1、1、专科以上学历，计算机或相关专业背景；2、了解PHP或Java开发技术；3、精通DIV CSS布局的HTML+HTML5代码编写，熟悉W3C标准，了解各主流浏览器特性以及不同浏览器之间的差异；4、可以熟练使用PS等工具完成切图工作；5、精通并熟练运用JS框架JQuery/技术框架，能快速高效实现各种交互效果；6、熟悉网络HTTP协议，熟悉XML、JSON；7、有良好的代码习惯，要求结构清晰，命名规范，逻辑性强，冗余度低；8、学习能力及动手能力强的实习生也可考虑。9、优秀应届毕业生亦可考虑。满足以下要求，优先考虑：1、 具有Hbuilder等工具构建混合APP,移动互联网,15-50人,php,宁波
测试工程师,https://www.lagou.com/jobs/6210740.html,鄞州区,10k-20k,宁波逸享电子商务有限公司,不限,本科,发展前景优,"职位描述1.负责线上线下零售体系、供应链集团信息化相关平台的测试工作，制定项目测试方案，计划并实施，保证项目质量和进度；  2.根据产品和项目特点，提出合理的技术解决方案，并负责设计和实现相应工具、平台，提高效率与质量 ； 3.设计与执行测试用例，跟踪定位产品软件中的缺陷或问题 ； 4.参与产品需求、系统设计和程序代码的评审工作，并提出改进意见 ； 5.评估项目质量风险，与产品经理和开发人员就项目进度和问题进行沟通。 任职资格 1.计算机及相关专业本科及以上学历； 2.具备3年以上无线端开发/测试 或者 web产品开发/测试 ； 3.自动化测试常用工具（如monkeyrunner，appium,selenium等）； 4.掌握PHP/JAVA/C/C++或几种脚本语言如python/shell 等，能熟练阅读代码或熟练编写代码； 5.精通软件测试理论和方法，熟悉互联网行业测试环境及相关技术 ； 6.熟悉Linux/Unix操作系统，或LAMP架构 ； 7.善于学习和运用新知识，具有良好的分析和解决问题能； 8. 具备严谨的逻辑思维和测试发散思维，敏锐发现项目风险； 9.熟悉电商后台、零售业务、供应链管理业务流程/技术架构优先。","电商,社交",15-50人,php,宁波
后端开发,https://www.lagou.com/jobs/7118453.html,北仑区,9k-10k,宁波保税区太阿科技有限公司,1-3年,不限,公司以数字货币市场为主，开发量化软件,精通其中一门后台语言：python，php，nodejs精通其中一种数据库：mysql，sqlserver，PostgreSQL等善于学习新技术，能独立思考解决问题者优先善于设计软件架构者优先,软件开发,少于15人,php,宁波
web前端开发工程师,https://www.lagou.com/jobs/6533374.html,镇海区,10k-15k,宁波西北梦电子商务有限公司,1-3年,大专,团队融洽，发展空间大，环境好,"岗位职责：1、依据公司需求完成web和app高质量的前端开发和维护；2、优化前端应用，改善用户体验；3、参与前端开发规范的制定及开发流程的优化；4、参与、配合并完成公司管理中的各项任务及临时工作；5、参与小程序开发，后台服务器开发，PHP开发；6、负责完成上级领导交办的其他任务。任职要求：1、计算机相关专业大专以上学历，1年以上Web前端工作经验；2、熟悉Mobile Web的开发，熟悉其它类似框架，并且能实现各种交互效果；3、熟悉HTML5+CSS3+JS编程，熟悉各种前端调试工具； 熟悉JS性能优化；4、熟悉jQuery等主流的JS库，了解其运行机制；5、熟悉新的HTML5表现形式的制作及开发, 有响应式页面开发经验优先。",电商,15-50人,php,宁波
资深前端开发工程师,https://www.lagou.com/jobs/6586317.html,鄞州区,8k-13k,宁波爱班信息技术有限公司,3-5年,大专,五险一金 双休,"一定的前端经验+不错的前端思维+良好的技术能力=我们正在寻找的你！ 岗位设定：前端开发组员 岗位职责：1、关注细节，精确的将网站页面设计转成html实现；2、协调为后端工程师定义并实现网站前端框架；3、针对爱班用户使用的主流浏览器进行兼容性和CSS优化；4、持续的通过创建文档来帮助其他开发人员更好的理解前端框架；5、建立前端基本与组件规范，创建爱班基本组件；6、前沿关于前端、框架技术研究和运用。 任职要求：1、精通html,css,javascript，懂得ts，nodejs, 小程序的优先；2、3年以上工作经验；3、熟练使用VUE技术栈；4、有使用github进行代码托管经验者优先；5、熟悉或了解java,php其中一种或几种语言优先；6、有用户体验经验与视觉设计素养的优先。福利待遇：你一定不会拒绝这样的团队，除了薪水，我们为你想得更多：每天早餐、下午茶，无限量供应咖啡可乐棒冰和各种进口零食；每周体育活动日，羽毛球乒乓球篮球台球游泳想玩哪个你自己决定；朝九晚五太枯燥？想几点上班就几点上班的弹性工作制，你的上班时间你做主；请假扣款好心疼？一年给你12天带薪年休假要不要？谁说程序员就一定加班？双休，法定节假日通通你拿走；要想马儿跑，加班工资少不了，加班餐补打车费我们全包啦；五险一金，年度体检，年度旅游，生日补贴，结婚红包，生子红包，一个都不能少；还有nice的外籍华人领导，open的办公氛围，漂亮的办公室***~… 花都开好了，我们等你来~请仔细阅读任职要求，请符合条件的投简历。合则约见！欢迎加入我们的团队！ 工作地址宁波市鄞州区南部商务泰康中路666号迪趣大厦18楼",移动互联网,50-150人,php,宁波
