job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
php后端,https://www.lagou.com/jobs/7054938.html,盘龙区,3k-5k,云南盟派科技有限公司,1-3年,大专,福利待遇好，公司发展前景良好,1、1到3年PHP开发经验；2、熟练掌握PHP语言，熟悉或了解Laravel、Yii、ThinkPHP等框架；3、熟悉 MySQL数据库设计和优化，熟悉在代码层面优化查询的基本方法；4、了解非关系型缓存数据库，如Redis、memcache，有开发经验；5、熟悉或了解前端主流技术和框架，如vue等，能自如应用；6、熟悉各种消息中间件，如RabbitMQ等；7、熟悉Linux/Unix系统环境搭建和基本操作；8、具备良好的沟通合作技巧，较强的学习能力、责任心及团队合作精神；9、学习能力强，适应快，能快速入手二次开发；10、大专及以上学历，计算机相关专业毕业优先。,电商,50-150人,php,昆明
PHP工程师,https://www.lagou.com/jobs/4666592.html,盘龙区,5k-10k,昆明市盘龙区心霖公社教育培训中心,1-3年,本科,"高福利,PHP开发,昆明","岗位职责：
 负责公社后端运营系统业务的设计和研发；
 负责PHP项目的优化和架构升级；
 能够独立开发、修改并维护源代码；
 负责业务的快速迭代与实施，具有快速解决问题的能力. 
岗位要求： 1. 一年以上的PHP开发经验，熟悉面向对象，具备数据库应用系统的规划及设计能力； 2. 熟悉网站构架和性能优化，熟悉一种web缓存技术，对web安全有认识和经验； 3. 熟悉至少一种框架laravel优先； 4. 熟练掌握Linux/windows + PHP + Apache + Mysql 开发平台；熟悉前端语言h5、css、js者优先考虑； 5. 具备强烈的进取心、求知欲及团队合作精神； 6. 优化并遵守团队的代码格式、结构的规定，编写易读、易维护、高质量、高效率的代码； 7. 逻辑思维能力强，做事有条理，具备较强的分析问题和解决问题的能力，工作积极主动、严谨负责； 8. 有后台运营系统的开发经验者优先；有丰富的项目管理经验者优先；有北上广深工作经验者优先。   福利待遇： 下午茶、下午到晚上上班薪资收入：月薪、绩效奖金、年终奖，全年享13月工资； 员工福利：提供交通补贴、学历津贴、年功津贴、保健津贴等，提供员工餐，每年定期体检，优秀员工每年定期公费出游； 各类保险：购买社会保险 （养老、医疗、失业、工伤、生育）；  员工假期：享有法定假11天、寒暑假带薪年假（30~40天）、婚假（3~18天）、产假等劳动法规定的各类假期； 个性化职业发展规划：表现优秀的员工，公司还将提供核心人才激励计划、最优人才计划等。工作地点：Base在昆明","教育,消费生活",150-500人,php,昆明
php开发工程师,https://www.lagou.com/jobs/7081349.html,盘龙区,6k-10k,昆明贤邦科技有限公司,3-5年,大专,项目奖金、节假福利、晋升机制、五险、团建,"岗位职责：1.参与项目设计规划工作。2.负责项目前端代码的输出。3.负责项目后台功能模块的开发。岗位要求：1.3年以上PHP开发经验。精通PHP 开发及主流开发框架, 可独立编写应用程序，代码编写规范，可进行主流开源php程序的二次开发，模板改进和系统重构。2.理解Web服务架构。有优化web服务的经验。精通网络协议，熟练掌握常用的算法和数据结构。3.熟悉大型网站架构和性能优化，精通各种缓存技术，具有2个以上中大型分布式系统设计验.4.熟练运用Memcached、Redis、MongoDB等NoSQL技术的其中一种。5.熟悉YII,Zend Framework,ci等框架,有开源电商ecshop项目开发经验优先。6.精通XML、HTML/XHTML、CSS、Javascript、AJAX、JSON等Web页面技术者优先。7.有团队精神，能够主动和队友沟通、分享；备注：面试请提供程序项目地址及演示源代码。","移动互联网,电商",50-150人,php,昆明
php后端,https://www.lagou.com/jobs/6855187.html,西山区,4k-8k,云南麦普维度科技有限公司,1-3年,不限,薪资根据项目利润加成。,服务端技术岗位职责：1. 负责公司产品后端服务开发、接口封装等；2. 负责整理业务架构体系，梳理后端服务核心模块。任职要求：1.具有极强的团队协作能力，沟通能力，解决问题能力强；2.掌握php语言，至少精通一门PHP框架，如CL、Yii、Laravel、ThinkPHP等；4.熟悉掌握PHP+MySQL开发与性能优，认识索引应用和优化，熟悉memcache、redis等缓存机制；5.熟悉linux操作系统管理，熟练编写bash脚本，有Apache、Nginx或Dock等集群管理配置经验；5.具备一定的程序员素养，对常用算法有一定了解。,"软件开发,物联网",少于15人,php,昆明
PHP开发工程师,https://www.lagou.com/jobs/5567495.html,盘龙区,5k-10k,云南本地车信息技术有限公司,不限,不限,发展前景好客户多 思路领先 可直接咨询,"1、精通WEB后台开发语言，熟悉PHP语言，了解YII2开发框架；2、熟悉数据库开发和维护, 编写存储过程和复杂sql查询，对优化有一定的了解；3、熟练掌Javascript、JSON等Web页面技术；4、精通并能够编写jQuery,javascript,css,html5等复杂页面及脚本，有VUE2、微信小程序开发经验者优先；5、熟悉代码优化，较强的分析和解决问题的能力,有良好的编码规范；6、有较强的学习、抗压能力。态度积极，有进取心；7、熟悉微信开放平台接口。","移动互联网,企业服务",少于15人,php,昆明
PHP,https://www.lagou.com/jobs/6772373.html,五华区,12k-24k,玉溪今日青年网络科技有限公司,3-5年,本科,所有路费报销，工作环境优美，上升空间大,1. 精通PHP开发语言，熟悉面向对象的软件设计方法2. 熟悉Unix/Linux操作系统，熟悉C++/C++编程，熟悉Shell脚本编程及常用Unix管理命令3. 熟悉HTTP协议及W3C相关互联网规范，熟练掌握XHTML、CSS、DIV、Javascript等页面技术4. 熟悉MySQL数据库应用开发，了解MySQL的数据库配置管理、性能优化等基本操作技能,游戏,15-50人,php,昆明
招聘兼职PHP开发工程师,https://www.lagou.com/jobs/4483958.html,盘龙区,4k-8k,云南才众信息技术有限公司,3-5年,大专,"工作灵活,待遇好,有技术成就,工作氛围好","从事行业工作经验3年以上，并参与开发大型电商系统两个以上，熟悉电商开发流程，具备良好的开发编程习惯，做事踏实认真，具有独立开发的能力；思维活跃，具有一定的面向客户的沟通能力。熟悉应用PHP程序语言，熟悉MYSQL数据库，熟悉并能使用think PHP框架，熟悉Laravel框架并有相关的开发经验，熟悉AJAX应用，熟悉div+css静态技术,html5，熟悉使用JS，JavaScript。我公司开发项目多，想挣钱，实现技术成就感就加入我们吧，管理动作以兼职方式，结算可以按天结，也可按项目任务经费结算。","移动互联网,电商",15-50人,php,昆明
php全栈,https://www.lagou.com/jobs/6748012.html,西山区,5k-8k,云南飞尔网络科技有限公司,1-3年,不限,双休、五险,岗位职责：1、负责公司PHP项目开发、维护和升级、新产品开发；2、负责解决开发过程中的技术问题；3、负责项目的代码开发及维护工作；4、负责公司项目实施；5、完成领导安排的其他内容。6、能够独立开发、修改并维护源代码；任职要求：1. 2年及以上PHP开发经验；2. 熟练掌握Linux/windows + PHP + Apache + Mysql 开发平台；3. 掌握1-2种PHP常用开发框架 TP优先；有git协作经验优先；4. 熟练掌握AJAX，JSON等技术；5. 能够独立自主完成相关的开发工作；6. 有大型网站开发经验的优先；7、开发过小程序；8.有良好的代码书写、注释和单元测试习惯，熟练运用多种软件设计模式；9.具备良好的沟通合作技巧，较强的责任心及团队合作精神。,软件开发、物联网,少于15人,php,昆明
php后端开发,https://www.lagou.com/jobs/6764313.html,西山区,7k-12k,云南奇雪文化产业有限责任公司,3-5年,不限,年终奖，集团化公司，带薪年假15天，饭补,岗位职责：1、配合公司web前端负责微信公众号，混合APP及小程序的开发；2、负责API接口数据的对接；3、负责后端系统的开发；4、负责后端系统的部署，架构等；5、负责开发文档撰写及代码优化任职要求：1、3年以上工作经验，精通TP5、TP6框架或 Laravel 框架2、掌握微信JSSDK的对接，登录授权机制等3、精通Mysql的主从复制，读写分离的优化部署，数据库表锁，行锁及分库分表的技能，精通缓存机制Redis4、掌握uni-app，Mui框架等前端技术，Vue.js等上班时间：周一到周六  9:00---12:00   14:00---18:00,教育,150-500人,php,昆明
高级web前端开发人员,https://www.lagou.com/jobs/6330606.html,五华区,14k-17k,深圳市聚数网络科技有限公司,1-3年,本科,"五险一金,新技术探索,弹性工作",岗位职责：1.  负责网站，企业管理平台等在线应用的开发;2.  负责设计家平台主站和运营管理后台的开发;3.  快速，充分理解运营团队，产品经理对于用户端产品，运营管理后台及开放后台的需求;4.  和UI/UX团队进行充分的沟通，能够将理想的用户体验和交互在用户端的产品落地实现;5. 精通小程序开发6.  和测试团队充分合作，解决系统的各种问题;7.  能接收异地出差办公任职要求：1.  精通前端技术，精通常见的前端工程化工具，并深入理解一个以上工具的设计原理和技术实现;2.  精通Vue框架，以及基本前端技术（HTML、CSS、JavaScript）;精通小程序开发3.  精通resful和后端交互通讯;3.  熟悉切图工作，能讲静态的PSD设计稿件，转换成动态的html;并且熟悉和运用响应式切图;统一PC和移动端版本。4.  有3年左右Web端开发经验，有1年以上大中型移动端H5应用开发经验，具备优秀的抽象能力;5.  熟悉php者优先;6.  有强烈的工作责任心和良好的团队协作能力;,"电商,企业服务",15-50人,php,昆明
