job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
php开发工程师,https://www.lagou.com/jobs/6656217.html,东湖新技术开发区,10k-15k,彦旭科技（武汉）有限公司,5-10年,大专,五险一金 周末双休 年底双薪,工作职责：1、负责服务端架构设计和开发；2、负责产品功能的优化和重构；3、提供基础组件支撑开发任务；任职要求：1、五年以上服务端开发经验；2、良好的编程风格；3、熟悉PHP，熟悉Lavarel框架，了解Yii、Yaf、Phalcon，有PHP扩展开发经验优先；4、熟悉MySQL，掌握MySQL分区、分表、索引、集群架构，有亿级数据量优化经验优先；5、熟悉常用NoSQL解决方案，了解Memcache、Redis、MongoDB各自的优缺点以及使用场景；6、熟悉Web开发、Api开发中各类缓存设计、站点优化方案；7、有大流量、大数据量网站开发维护经验优先；8、善于抽象、总结、思考、不惧挑战，敢于创新，对技术有执着的追求；9、希望望技术管理或项目管理方向发展,"移动互联网,企业服务",15-50人,php,武汉
高级PHP开发工程师,https://www.lagou.com/jobs/1933171.html,东湖新技术开发区,15k-25k,武汉微派网络科技有限公司,1-3年,本科,团队年轻，技术门槛高，工作氛围好,【职位描述】1、负责后端PHP Mobile API开发工作以及Node.js TCP协议开发工作；2、与基础架构工程师、运维工程师一起实现稳定、可扩展的后台服务；3、数据驱动，不断通过产品和技术数据进行改进，并完成快速迭代；4、这个链接是我们后端技术架构介绍：http://url.havefun.im/u/DKunv5 【任职资格】1、对计算机相关基础知识有较好理解，了解常用数据结构和算法；2、熟悉PHP语言，熟悉Node.js等web开发语音更好；3、熟悉TCP/IP协议，IM单聊群聊架构，游戏状态机、定时器等；4、熟悉 web 开发相关技术，如 web 框架、HTTP 协议、web 安全、单元测试等；5、掌握关系数据库及 SQL 相关知识，了解基本优化和设计原则；6、熟悉缓存架构设计、redis使用；7、良好的编码风格、沟通能力和团队合作精神，有责任感；8、有很强的学习能力，有主动性和上进心，能承担压力。【加分项】1、关注国内外互联网产品；2、日常使用 *nix 系统、Vim、Emacs、Git 等；3、熟悉 PHP 语言，了解 phalcon、codeignitor开发框架或模型；4、熟悉一种 NoSQL 数据库（如 Redis）；5、有服务开发经验，熟悉 Thirft、Protocol Buffers；6、有前端开发经验，了解 HTML、CSS、JavaScript；7、参与设计并实现过大型互联网应用或系统；8、对开源技术有强烈的兴趣和爱好，参与或向开发者提交过 bug 和 patch。,社交,150-500人,php,武汉
php开发工程师,https://www.lagou.com/jobs/7143773.html,洪山区,8k-15k,武汉卓讯互动信息科技有限公司,1-3年,本科,五险一金，带薪年假，绩效奖金，年终奖,职责：  1. 负责游戏后端业务逻辑设计与实现，简洁高效完成开发任务；  2. 负责系统开发和运维，保证后台系统稳定运行；  3. 项目开发中保持与产品及其他开发人员及时沟通协调；  4. 工作中注重细节，有编写文档和注释的意识；要求：  1. 本科及以上学历，1-3年PHP开发经验；  2. 熟悉tcp、http、websocket等协议，熟悉进程线程协程;  3. 熟悉MySQL、Redis、Memcache，了解Kafka消息队列或其他同类软件；  4. 熟悉Git/SVN版本控制工具；  加分：   1. 有swoole开发经验或了解go语言；   2. 熟悉docker，有微服务开发经验；   3. 有后端多语言协同开发经验；,"移动互联网,游戏",150-500人,php,武汉
高级PHP开发工程师,https://www.lagou.com/jobs/7010965.html,洪山区,12k-18k,武汉卓讯互动信息科技有限公司,3-5年,本科,充分授权,工作职责：1、负责公司游戏基础平台、数据系统的开发运营任职要求：1、本科及以上学历，3年以上PHP/Swoole开发经验，有游戏后台开发经验者优先2、熟悉Web技术栈和Web应用开发，包括HTTP、安全、数据库、缓存、消息队列等3、熟悉SQL和数据库设计，具备mysql数据库设计和性能优化经验4、熟悉主流非关系性数据库、缓存技术，例如：Redis、MongoDB、Memcached等5、掌握基本的前端知识js、ajax等，了解前后端分离架构6、熟悉常用数据结构与算法，熟悉Linux/Unix系统常用命令，熟悉PHP扩展的优先考虑7、有高并发，海量用户经验优先，熟悉Swoole框架优先,"移动互联网,游戏",150-500人,php,武汉
php开发工程师,https://www.lagou.com/jobs/6484134.html,洪山区,9k-16k,武汉踏浪出海科技有限公司,3-5年,本科,"扁平化管理,发展空间大,股票期权",职位描述：1. 负责东南亚市场贷款超市的后台开发和迭代优化；2. 负责运营平台、统计平台的开发和优化。 岗位要求：1. 本科及以上学历，3年以上php后台开发经验；2. 优秀的代码能力和架构能力，对nginx、缓存、mysql优化有一定研究；3. 熟悉Linux系统，具备一定性能优化经验，有大规模、高并发系统开发经验者优先；4. 学习能力强，有较强的合作精神和强烈的进取心；5. 有海外项目经历者优先；6. 英语CET4及以上水平优先。,"移动互联网,金融",15-50人,php,武汉
php开发工程师,https://www.lagou.com/jobs/6881437.html,洪山区,8k-15k,智线云科技（北京）有限公司,1-3年,本科,六险一金 超长年假 绩效奖金 福利多多,职位描述：1、 基础系统架构、模块、库和组件的研发；2、 分布式海量数据存储和分析系统的研发和调优；3、统计分析、报表、SaaS业务等系统研发；4、CRM、财务结算、工作流等内部管理系统的研发。能力要求：1、统招本科，计算机相关专业，使用php等一门以上语言，开发过不算太小的项目；2、熟悉数据结构、DB、OS、Web开发等相关知识，对Linux相关的各类技术情有独钟；3、有大规模、高性能互联网网站系统相关的设计和开发经验者优先；4、具备良好的学习能力和成长潜力，渴望和团队一起快速成长。,"移动互联网,数据服务",50-150人,php,武汉
高级PHP开发工程师,https://www.lagou.com/jobs/4990798.html,洪山区,20k-40k,北京一一万物科技有限公司,3-5年,本科,"氛围欢乐,领导耐撕,管理扁平,弹性工作","岗位要求：精通php，熟悉phalcon, swoole或者workman 等框架至少熟悉另外一门后端语言，包括但不限于Go, C, C++, NodeJS有至少一个上线项目开发经历，有线上故障运维调试经验熟悉如 Nginx，Redis, Mysql, Sphinx 等的管理和调优，熟练运用缓存、消息队列等技术良好的团队合作精神，积极主动的工作态度工作时间：10：00-19：00  双休","移动互联网,社交",150-500人,php,武汉
php开发工程师,https://www.lagou.com/jobs/7137348.html,洪山区,7k-12k,武汉哈乐沃德网络科技有限公司,1-3年,本科,五险一金 周末双休 全额公积金 扁平管理,"岗位职责：1、负责公司内部系统和管理系统后端开发。2、根据产品需求，完成设计方案，前台后台的开发和维护。3、基于框架开发服务器端各功能模块，定期代码审查 。4、进行自测，保障代码的完整性和稳定性。任职要求：1、3年以上php实际开发经验，精通php语言,独立负责过整个项目的开发。2、精通一到两种常用PHP框架（easyswoole、Laravel、CI、ThinkPHP等）,熟悉API的开发,了解常用的API开发规范。3、有Web开发经验，了解HTML（DIV+CSS）、Html5、JavaScript/AJAX、 Jquery、Vue.js等技术；4、熟练使用MySQL数据库及Redis的使用及优化。5、熟悉linux，掌握shell/awk/python等系统脚本工具。6、有良好的代码习惯，要求结构清晰，命名规范，逻辑性强，代码冗余率低。7、有较强的沟通能力、团队合作精神、高度的责任心和较好的服务意识。","游戏,数据服务",50-150人,php,武汉
php开发工程师,https://www.lagou.com/jobs/5666566.html,东湖新技术开发区,10k-13k,湖北盛天网络技术股份有限公司,3-5年,大专,福利好 发展快,岗位职责:1、能理解产品部设计稿并参与项目需求讨论；2、负责公司各WEB站点的开发工作；3、项目开发过程中能及时反映技术问题及汇报项目工作情况。4、商城类产品的开发；任职要求:1、PHP及MYSQL相关工作经验三年以上；2、有Laravel或ThinkPHP的框架使用经验；3、有React，Vue.js，JQuery等js框架开发经验，能独立编写js应用代码；4、性格阳光开朗，具备跨部门独立工作能力，具备多工作任务同时处理的能力。,"游戏,文娱丨内容",500-2000人,php,武汉
PHP工程师,https://www.lagou.com/jobs/4764325.html,江夏区,8k-16k,北京尖峰计算机系统有限公司武汉分公司,1-3年,本科,发展空间大,职位描述：1、本科及以上学历，985/211优先2、计算机、软件工程等相关专业3、熟练使用PHP，有扎实的数据结构和算法基础，有面向对象编程经验，熟悉常用的设计模式。4、熟悉laravel，YII，CI 等常用框架5、熟悉 MySQL 数据库和常用优化手段，熟悉 Redis 缓存。6、熟悉 Linux 操作系统和 Nginx 服务器。7、 有责任心，对技术有激情、有追求，具备良好的沟通、思考、抗压能力；工作内容：1、APP后台相关功能的开发、维护2、参与维护现有项目，优化服务架构，提升服务性能；3、协助业务功能模块的需求分析、功能模块实现4、协助撰写技术文档。优先考虑：1、有团队项目开发经验者优先2、参与校级以上计算机相关比赛并获奖者优先3、提供 Github 账号、技术 Blog 链接等优先4、具有高负载、高并发经验者优先；,"数据服务,其他",50-150人,php,武汉
PHP微服务架构师,https://www.lagou.com/jobs/6774651.html,东湖新技术开发区,20k-30k,安徽省刀锋网络科技有限公司,5-10年,本科,氛围好,"1、参与公司核心产品的设计与开发工作，为产品、项目提供可靠的技术支撑；2、主导技术难点攻关与生产问题定位； 3、深入理解业务需求，分析和发现系统的优化点，负责推动产品的性能和架构优化；4、负责微服务平台前沿技术研究和方案实施落地（必须）；5、负责微服务项目关键难点技术解决（必须）；任职资格：1、5年以上服务端开发经验2、熟悉Linux下的开发环境，具备Linux操作系统的常用命令操作和应用系统部署、运行维护3、熟悉基于lnmp的php开发环境, 有MVC项目开发经验。 理解MVC原理，有thinkphp,swoole开发经验者优先4、熟悉mysql，掌握mysql分区、分表、集群等相关设计方案，具备mysql优化经验5、了解redis、mongodb等常用nosql解决方案，了解各自的优缺点以及使用场景6、有大流量网站建设或数据库建设经验优先，具备一定的系统架构能力7、对技术追求完美，善于沟通，抗压能力强8、有很强的目标感、责任感9、能够快速融入团队，沟通能力强，遵守团队文化10、实际负责、实施过php相关微服务架构，熟悉包括但不限于docker，k8s，应用网关，rpc框架（最好是tars），自动化运维、服务治理等微服务相关技术（必须）11、除了php，至少熟悉包括go，python，java或者c在内的任一门开发语言（加分项）PS：没有php微服务相关实际项目经验的同学暂时不要投！谢谢配合！","移动互联网,游戏",500-2000人,php,武汉
服务端开发实习生（GO/JAVA/PHP）,https://www.lagou.com/jobs/6952881.html,洪山区,3k-6k,武汉斗鱼网络科技有限公司,应届毕业生,本科,双休,职位描述:从事斗鱼产品服务端的架构设计、开发、优化工作，为斗鱼用户提供稳定、安全、高效和可靠的专业后台支撑体系。任职要求:本岗位为2021届实习岗位，实习2个月以上有留用机会。1、编程基本功扎实，掌握Java/GoLang/PHP等开发语言、设计模式、常用算法和数据结构；2、熟悉网络编程和多线程编程，对TCP/IP，HTTP等网络协议有很深的理解，并了解HTML语言；3、能熟练使用MySQL/MongoDB等数据库，如有查询优化方面的经验为佳；4、有较强的学习能力、分析及解决问题能力，具备良好的团队合作意识，心态好，有责任心；5、在校期间作为骨干参与校园或工作室网站的开发者加分。,文娱丨内容,2000人以上,php,武汉
