job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
经营平台PHP工程师(腾讯西安子公司）,https://www.lagou.com/jobs/6801215.html,高新技术产业开发区,18k-30k,腾讯科技（深圳）有限公司,3-5年,本科,腾讯 西安,"岗位要求：1、计算机及计算机相关专业本科以上学历;2、3年以上Unix/Linux操作系统下PHP开发经验;3、对算法/数据结构/数据库有深刻理解，有过大规模软件研发经验，精通性能调优各种方法;4、精通Unix/Linux操作系统，熟悉网络编程，熟悉常用架构设计；熟悉Mysql及开源No-SQL存储;5、有强烈的上进心和求知欲，善于学习新事物;6、思路清晰，具有优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情,团队合作意识, 能主动承担，乐于分享；7、熟悉互联网服务及运营系统的开发者优先。此岗位为腾讯集团旗下全资子公司编制岗位岗位职责：1、负责腾讯云经营系统的后台架构的设计、开发与优化；2、熟悉经营系统理念、常用方案3、负责现有系统的设计、实现和优化；",社交,2000人以上,php,西安
西安腾讯云交付管理平台PHP开发工程师,https://www.lagou.com/jobs/6818072.html,高新技术产业开发区,15k-30k,腾讯科技（深圳）有限公司,3-5年,本科,腾讯云全资子公司,"*岗位职责：负责腾讯云交付管理系统的后台架构的设计与研发*技术要求：1、计算机及计算机相关专业本科以上学历2、精通PHP开发（或C/C++开发有意向转为PHP开发），熟悉larveral框架者优先3、熟悉Linux操作系统常用操作,熟悉数据库Mysql的设计与研发4、熟悉网络tcpip协议，深刻理解常用算法5、对网络安全有深刻理解，了解网络完全问题的解决方案6、熟悉互联网服务或交付管理系统的开发者优先",社交,2000人以上,php,西安
php开发工程师,https://www.lagou.com/jobs/5081373.html,高新技术产业开发区,9k-12k,北京瑞友科技股份有限公司,3-5年,本科,平台好,"1. php: 2-3级  2.2~4年以上php工作经验, 熟练使用至少一种php框架3. 学习能力较强，本科学历优先4. 有mysql 优化经验，熟练使用JS或Jquery5. 良好的沟通表达能力, 良好的英文读写6. 有zend framework经验者优先, 有电梯相关项目经验的优先,",电商,2000人以上,php,西安
php开发工程师,https://www.lagou.com/jobs/6852204.html,雁塔区,10k-20k,深圳市云积分科技有限公司,3-5年,本科,"五险一金,周末双休,员工旅游,节日福利",岗位职责：1、负责面向互联网应用的PHP开发框架的研发；2、独立完成公司产品相关技术文档编写，包括概要设计、接口设计、数据库设计；3、参与需求分析、功能可行性分析、技术可行性分析；4、负责互联网产品的实现和维护；5、有团队管理能力优先考虑任职要求：1、统招本科以上学历，有4年以上实际研发工作经验，3年以上PHP开发经验；2、能熟练运用PHP基于MVC模式进行应用程序开发，熟练掌握框架、模版、缓存、静态化等技术，能够独立承担程序模块的设计及开发；3、 至少熟练使用laravel，symfony，yii2，thinkphp5等开发框架中一种；4、精通Mysql，熟悉SQL调优；5、具有lnmp开发环境的服务器优化经验优先;6、具有独立理解所担当模块的业务理解能力和问题阐述能力，有良好的规范的文档和编程习惯；7、有电商系统研发经验或者开源系统开发经验优先；有大项目开发经验者优先；,"企业服务,移动互联网",150-500人,php,西安
php开发工程师,https://www.lagou.com/jobs/6873768.html,新城区,10k-15k,西安腾焱网络科技有限公司,3-5年,不限,工作环境好 人性化管理 五险一金,"1、精通PHP编程，熟悉html、Javascript、jquery，从事PHP编程工作3年以上；2、熟练微信小程序开发，包括前端和后端；3、熟练掌握div+CSS布局，熟练掌握HTML,JS基本用法；4、熟悉主流cms系统，能熟练应用及二次开发。任职资格:1.三年以上的网站开发及小程序开发经验。2.工作踏实认真，思维逻辑清楚","移动互联网,电商",15-50人,php,西安
php开发工程师,https://www.lagou.com/jobs/7125674.html,碑林区,5k-8k,陕西震宇科技有限公司,1-3年,本科,大牛带队，工龄津贴，定期团建，带团队。,"职位描述：1. 使用PHP语言开发高效能数据、应用服务2. 完成系统架构设计、数据库结构设计、业务逻辑抽象、组件封装等编码工作3. 稳定撰写能力，在前期期间设计交付：数据库设计稳定、系统架构设计稳定、数据接口文档，在编码期间能撰写清晰明了的注释4. 遵守团队的代码格式、结构的规定，编写易读、易维护、高质量、高效率的代码岗位要求：1. 熟悉常用mvc架构，3-5年以上工作经验2. 熟练掌握Php、Mysql、熟悉Memcache、Jquery、Css、BootStrap框架，熟悉 MONGODB3. 熟悉Laravel,YII2.0，能够熟练应用ThinkPhp（必须），有成熟案例者优先4. 具有微信二次开发经验者优先5. 能够积极主动、按时高质量的完成项目开发6. 善于使用工具提高效率，良好的代码习惯，熟悉开发文档编写7. 具备两年以及以上工作经验8. 能够熟练的使用Linux系统以及相关软件安装、配置、维护9. 认同以结果为导向的做事准则我们的福利：【休息足】7.5小时工作制，周末双休，朝九晚六【福利厚】社保+工龄津贴+年终奖励金+法定节假日 + 带薪年假 +法定带薪假 +员工生日会 + 节假日福利+不定期举办团建活动【环境好】公司氛围好；免费提供加班餐、下午茶，咖啡、花茶不间断供应；【培训丰】完整的内部培训体系；震宇的精英团队，正在寻找拥有多年php经验的你！薪酬福利优厚，快快成为我们的战友吧","电商,软件开发",15-50人,php,西安
php(ID:ZY),https://www.lagou.com/jobs/6294419.html,高新技术产业开发区,8k-11k,北京瑞友科技股份有限公司,3-5年,本科,基本不加班、双休、餐补、车补,"1. php3级  ，统招本科以上学历，学信网可查2. 3年以上php工作经验, 熟练使用至少一种php框架3. 学习能力较强，本科及以上学历4. 有mysql 优化经验，熟练使用JS或Jquery5. 英文读写方面：至少能够阅读基本英文文档6. 有zend framework经验者优先, 有电梯相关项目经验的优先, 有关审批流程业务的优先",电商,2000人以上,php,西安
php研发工程师,https://www.lagou.com/jobs/7204851.html,高新技术产业开发区,8k-15k,北京致趣科技有限公司,3-5年,本科,发展前景好，福利待遇优厚,岗位职责：1. 与项目经理对接需求、梳理需求2. 参与讨论服务端功能设计和开发方案3. 负责相关项目的后台开发、测试和维护4. 按照要求编写合格的文档与代码任职要求：1. 本科或本科以上学历，计算机相关专业者优先；2. 两年以上WEB开发经验，熟练掌握常用 PHP 框架和扩展，yii2 等，熟悉基于LNMP架构的系统开发；3. 熟练使用 MySQL、Redis ，熟练 MySQL 数据库设计、管理和优化；4. 了解基本的服务器部署，能够配置Nginx、php-fpm；5. 具备Web系统性能优化经验和能力；6. 思维活跃，逻辑条理清晰，能明确的表达自己的想法和见解，善于与其他部门同事沟通7. 具有良好的编程规范，要求结构设计良好，命名规范，逻辑性强；,"数据服务,广告营销",50-150人,php,西安
php全栈,https://www.lagou.com/jobs/6871732.html,新城区,3k-5k,西安腾焱网络科技有限公司,应届毕业生,大专,福利好 工作环境宽松 合规,"1、精通PHP+MYSQL编程，熟悉html、Javascript、jquery，从事PHP编程工作1年以（curl技术等）上；负责网站的整体架构与设计； 数 据库开发与优化； 2、熟练掌握MYSQL数据库操作,掌握程序设计中的MYSQL数据优化方法；参与用户界面的开发与设计，配合市场部门进行相关网站运营和推广； 3、熟练掌握div+CSS布局，熟练掌握HTML,JS基本用法；进行网站系统的维护、支持工作，并负责web服务器和database服务器的配置、优化 和维护。 4、熟悉php网站编程，熟悉主流cms系统，能熟练应用及二次开发，有大型网站建设经验者优先。5、对小程序开发有熟练经验任职资格:1.一年以上的网站开发及小程序开发经验。2.工作踏实认真，思维逻辑清楚。","移动互联网,电商",15-50人,php,西安
PHP研发工程师,https://www.lagou.com/jobs/5652981.html,高新技术产业开发区,7k-9k,西安睿智电子科技有限公司,1-3年,不限,双休、团建、五险一金、带薪年假、工龄工资,技能要求：PHP，后端开发，Linux，DRUPAL工资=基本工资+基础绩效+项目绩效+全勤+工龄工资+交通补助+加班补助+其他乘车路线：途经公交：184路;206路;207路;212路;29路;308路;322路;402路;503路;512路;604路;608路;700路至高新路光华路口(公交站)下车。或途经公交：14路;184路;206路;207路;210路;211路;212路;217路;218路;219路;220路;226路;28路;29路;308路;312路;322路;34路;400路;402路;503路;512路;604路;608路;700路;高新1号线;高新2号线;高新4号线至高新路科技路口(公交站)下车即可。岗位要求：1.计算机相关专业毕业，两年项目研发经验。2.熟悉linux系统及常用的发行版本，熟练部署、调试、优化、常用的web服务。3.熟练掌握PHP语言和流行的PHP框架，对新技术有强烈的好奇心和学习欲望。4.熟练掌握流行的数据库和数据库开发框架，对数据挖掘有深刻认识。5.熟悉TCP/IP、Http、Websocket协议，熟悉workman、swoole。6.熟悉HTML、CSS、JavaScript、AJAX等前端技术。7.良好的代码习惯，要求结构清晰，命名规范，逻辑性强，代码冗余率低；8.良好的学习能力，积极进取，思维活跃，认真负责，有较强的沟通能力和团队合作精神。9.有开源项目或参与开源项目的优先考虑。岗位职责：1.参与需求分析并进行系统设计，核心代码和文档的编写；2.负责产品后端服务接口的实现和维护，负责数据库端数据完整性的维护；3.保证整体设计满足项目需求，具有良好的维护性和扩展性；4.根据业务反馈的问题进行分析，与团队成员协作，对疑难问题进行攻关；5.具有严密的逻辑思维，确保流程的完备性,"企业服务,电商",15-50人,php,西安
