job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
php工程师,https://www.lagou.com/jobs/4841060.html,渝北区,7k-14k,重庆市九吨科技有限公司,3-5年,大专,"五险一金,年终奖金，年度旅游，","任职要求：1、2年以上研发经验，精通PHP5以上PHP开发，熟悉JavaScript、Jquery、HTML5、CSS3   ；2、熟悉thinkphp等MVC框架，具有MVC，OOP，AOP等编程思想；  3、能熟练使用MySQL数据库，熟悉数据库优化，熟悉Redis、MongoDB等NoSql数据库；  4、熟悉Nginx，可以独立配置LNMP应用环境 ；  5、熟悉Linux操作系统，熟悉基本的操作命令   ； 6、熟悉git、 svn等团队协同开发工具  ； 7、熟练掌握基本数据结构和算法, 熟悉Http协议与Tcp/Ip协议编程；   8、良好的编码风格和编程习惯, 要求结构清晰，命名规范，逻辑性强，代码冗余率低；   加分项： 1、有良好的团队合作能力，善于沟通，热爱开发事业，逻辑思维性强，办事沉稳、细致、思维活跃，有创新精神；   2、深入了解PHP的性能优化和PHP系统安全优化；   3、能处理Mysql超大数据集（5000w）存储／查询优化；   4、熟练使用原生JavaScript开发，熟悉NodeJS，掌握vue.js优先；   5、了解HTTP协议及W3C相关互联网规范；   6、有大数据，高并发处理经验；   7. 有大型互联网项目开发经验；   8. 是全栈开发或有志成为全栈开发工程师。我们的福利：标准工时制度（弹性半小时上班），周末双休，五险一金，年终奖、每日下午茶、每月生日会、带薪年假（全年6天）、节日礼品、年度旅游（1-2次）、年度体验、年终活动会（100%中奖）",移动互联网,150-500人,php,重庆
PHP工程师,https://www.lagou.com/jobs/4494230.html,南岸区,6k-12k,重庆康洲大数据有限公司,3-5年,大专,周末双休、节日福利、五险一金,"工作描述:1、掌握PHP开发,熟练使用 Laravel/TP框架,能在lnmp环境下熟练开发;2、根据产品需求独立完成相关模块的开发;3、负责公司现有项目的迭代开发及维护;4、积极主动的完成上级分配的临时工作。任职要求:1、3年以上的PHP+MySQL开发工作经验,有使用Lavarel/TP开发的项目经验优先;2、熟练使用PHP开发后端业务模块,同时熟悉Python或JAVA等多种后端语言;3、了解LNMP开发架构,并且理解常见的设计模式;4、有团队开发经验,熟悉GIT并能快速理解产品需求,与开发同事有效协作;5、有独立钻研新技术的热情和自学能力,主动性强。加分项:1.熟练掌握docker,redis,mongodb优先。","移动互联网,医疗丨健康",150-500人,php,重庆
PHP主管,https://www.lagou.com/jobs/6367826.html,南岸区,9k-15k,重庆康洲大数据有限公司,5-10年,本科,周末双休、节日福利、五险一金,"工作描述:1、掌握PHP开发,熟练使用 Laravel/TP框架,能在lnmp环境下熟练开发;2、根据产品需求分解任务并合理分配给团队成员;3、按进度排程跟踪项目进度,协助团队成员排查疑难点问题。任职要求:1、5年以上的PHP+MySQL开发工作经验,有使用Lavarel/TP开发的项目经验优先;2、熟练使用PHP开发后端业务模块;3、了解LNMP开发架构,并且理解常见的设计模式;4、有团队开发经验,熟悉GIT并能快速理解产品需求,与开发同事有效协作;5、有独立钻研新技术的热情和自学能力,主动性强;6、至少1年以上的团队管理经验。加分项:1.熟练掌握docker,redis,mongodb,elasticsearch优先","移动互联网,医疗丨健康",150-500人,php,重庆
php全栈,https://www.lagou.com/jobs/7132976.html,渝北区,12k-18k,重庆菩提心科技有限公司,5-10年,不限,底薪+提成,"1、负责PHP项目的开发，调试和维护工作，确保项目开发按时完成，并且达到公司的质量和需求标准；2、负责开发任务的需求分析、技术方案设计、开发计划制定和文档管理；3、根据产品经理需求，能独立完成公司产品的设计与实现工作；4、支持和配合运营部门工作。职位要求：1.精通PHP，5年以上开发经验，了解web程序从请求到浏览器显示的过程,熟悉Yii2框架，有一年以上使用Yii1.1、Yii2.0 PHP框架开发经验2.熟悉OOP编程，了解常用的设计模式3.熟悉MySQL数据库的数据结构设计和SQL优化, 有NoSQL开发经验的更佳4.有一定的前端开发经验,有bootstrap开发经验者优先考虑,对vue或angualarjs有了解5.具备良好的需求分析能力、业务和技术方案策划和设计能力；思路清晰，具备良好的文档撰写能力和语言表达能力；6.有团队协同开发经验, 熟悉Git/SVN7.具有大中型网站程序开发经验者优先考虑；8.有较好的团队协作，沟通表达的能力，自学能力强，愿意接受挑战性的工作9.会写google爬虫，淘宝爬虫软件优先*实际工资以能力高低进行评定，需要带领团队。能独立撰写电商网站优先。做过产品经理优先。必要要求：诚实善良、有上进心、爱专研学习。项目为针对bijiaqi.com（海外游戏币**批发市场，年流水5亿）网站的重构升级，需独立完成。看特定情况可酌情配置多余开发人员1-2人。此岗位高薪+期权，不怕您不来，就不怕您实力不够。只要您够牛，要求你来提。","电商,游戏",15-50人,php,重庆
php开发工程师,https://www.lagou.com/jobs/7198191.html,渝北区,12k-15k,重庆尚诺科技有限公司,1-3年,本科,行业独角兽 团队成熟,职位描述：1、负责系统后台的设计及开发，核心代码的编写；2、按照项目计划和产品要求提供优质的解决方案；3、根据设计需求，完成相应模块的设计、开发、Coding；4、完成开发功能的单元测试，查出存在的缺陷并进行修正；5、负责系统的性能调优以及代码的规范优化；6、协助项目管理，对成员进行任务分配、过程监控和技能指导培训。任职资格：1、5年及以上后端开发经验，精通PHP+Laravel全栈开发；2、精通SQL，熟悉MySQL常见性能调优；3、良好的面向对象思维、注重编码规范、以最佳实践为基准；4、良好的问题解决能力；5、熟练使用Linux、Git等；6、熟悉Python、Java+Groovy、Go、Node.js等其他后端语言之一；7、主动性、自驱力、项目监管、过程监控。加分项1、github/segmentfault 等技术社区活跃；2、 参与过开源项目；3、熟悉AWS云产品。,"电商,医疗丨健康",50-150人,php,重庆
php开发工程师,https://www.lagou.com/jobs/6945921.html,渝北区,8k-10k,重庆笃定行健康管理有限公司,3-5年,大专,五险，股权激励，氛围好，团队年轻，晋升大,职位描述：1、负责采用PHP+MySQL技术进行系统的功能开发以及维护；2、负责系统的功能迭代以及性能调优；3、与团队其他工程师配合完成公司的系统项目。职位要求：1、热爱技术，喜欢钻研；2、熟练使用PHP语言，进行开发，有Python经验者优先。3、熟悉MYSQL或其他大型数据库，有SQL调优经验优先；4、熟悉Linux/UNIX等操作系统，了解Shell，能够独立部署PHP的编译以及服务器环境。6、熟悉HTML/CSS/JS等技术，具有互联网Web业务开发经验；7、良好的主动性和责任感；8、有微信或者CRM系统相关开发经验有限；9、良好的逻辑思维、沟通能力，学习能力；福利待遇：1.业务高速发展的公司，福利待遇很不错；2.五险年度outing；3.额外的医疗商业保险。,"移动互联网,医疗丨健康",少于15人,php,重庆
PHP开发工程师,https://www.lagou.com/jobs/7056892.html,渝中区,6k-10k,重庆渝欧跨境电子商务股份有限公司,1-3年,本科,周末双休，五险一金、节日福利，带薪年假,,电商,150-500人,php,重庆
PHP工程师,https://www.lagou.com/jobs/3191024.html,渝北区,10k-20k,重庆坤典科技有限公司,3-5年,本科,市场前景好，不加班，弹性工作,岗位职责：1、参与产品的新功能设计、开发工作；2、负责原产品功能模块的升级和调优；3、负责接口文档的编写，保证前端使用接口的可用性；4、负责整个产品项目的版本云端管理与发布更新机智；5、负责软件对外授权方式的优化开发；6、负责公司农业物联网平台的升级与维护。岗位要求：1、本科及以上学历，两年以上PHP开发经验2、精通使用tp5.1框架，本公司有项目涉及使用tp5.13、SQL和数据库设计，具备mysql数据库设计和性能优化经验4、掌握html、css、js vue等一些常用前端开发知识5、熟悉当前主流开发模式，具备restful接口开发经验，接口抽象能力6、有良好的团队合作能力，善于沟通，热爱学习7、熟练使用微信、支付宝支付官方SDK8、拥有高并发的项目开发经验,移动互联网,15-50人,php,重庆
php开发工程师,https://www.lagou.com/jobs/7210105.html,江北区,5k-7k,上海香传网络科技有限公司,1-3年,本科,公司设有激励计划,1、负责系统前后台及API开发；2、遵守团队的代码规范，编写易读、易维护、高质量、高效率的代码；3、与产品部门协作配合，参与需求定义，确定设计方案并负责最终实现。岗位要求：1、具有php开发1年以上工作经验，熟悉LNMP开发环境、Web开发流程2、熟悉PHP实现原理和开发框架，熟悉Tp5.1+，熟悉微信小程序开发优先。3、熟悉掌握MySQL，熟悉掌握数据库优化、数据结构设计等。4、熟悉Javascript、及主流JS框架，CSS框架，如jQuery，bootstrap。5、熟悉linux，了解linux常用命令及工具6、有不少于2个Tp5.1+相关项目开发经验;7、熟悉es6语法，有开发过react vue 相关项目，微信小程序者尤佳8、具有良好的逻辑思考能力、沟通能力以及团队协作精神。,软件开发,50-150人,php,重庆
php后端,https://www.lagou.com/jobs/6614238.html,渝北区,6k-8k,重庆世季如咖餐饮管理有限公司,3-5年,大专,"五险,双休,带薪年假",岗位职责1、服务目前产品后台的维护和功能改进；2、小程序API及后台相关开发；3、负责公司网站的开发工作等；4、负责公司其他各项目的开发；任职资格1.两年及以上开发经验，精通PHP+MySQL开发技术，精通php的面向对象编程，熟悉thinkphp、yii、yaf等框架优先；2.熟悉 HTML、Javascript、css、JQuery、AJAX 等技术；3.具备良好的代码写作习惯，具有规范化，要求结构清晰，逻辑性强，代码冗余率低;4.有参与过大中型网站开发经验者，对互联网产品有着良好的认知，有创意，有思想，有互动社区类、门户类产品开发经验者优先；5.有微信公众号及小程序相关接口开发经验优先；6.熟悉linux相关服务器配置者经验优先；7.熟练使用git项目管理；8.高度的责任心、良好的沟通技巧和团队合作精神，有上进心。,"企业服务,消费生活",150-500人,php,重庆
