job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
python,https://www.lagou.com/jobs/6935523.html,雨花台区,10k-20k,易宝软件科技（南京）有限公司,1-3年,本科,五险一金，绩效奖金，周末双休，节日福利,"1.至少2年以上爬虫系统开发经验2. 精通Python, 熟练掌握至少一种开源爬虫框架，熟练掌握mongo、redis、mq、Hadoop等相关技术",移动互联网,150-500人,python,南京
Python答疑老师,https://www.lagou.com/jobs/6769920.html,玄武区,5k-9k,南京贝湾信息科技有限公司,不限,不限,"福利好,团队棒,个人成长快",关于扇贝团队：扇贝是国内知名的在线学习平台，已经拥有过亿用户，同时持续盈利。我们在分布式架构，自然语言处理等技术方面也有长期积累，结合精良的内容制作，能够为用户提供独特和优秀的产品服务。- 我们会有各种分享会，产品、设计、技术、运营、英语大家一起交流；- 我们有一个专门的活动室，工作之余可以与小伙伴一起健身、运动；- 我们每天提供下午茶；- 我们提供人体工程学座椅， 办公电脑是Mac。岗位描述：1.负责扇贝编程社群答疑，包括：Python 基础语法、Python 网络爬虫等课程的问题；2.积极快速地解决学员的课程疑问，帮助用户学好编程；3.帮学员解决课程疑问的同时，对常见错误、疑问进行总结和整理，反馈给课程老师；4.对学员负责，与团队一起完善产品、课程，提高学员编程能力。岗位要求：1.本科以上学历，计算机、软件工程等相关专业为佳，有编程经验优先；2.熟悉 Python，遇到 Python 程序报错能找出原因并独立解决；3.学习能力强，能快速掌握课程内容（比如爬虫课）并能指导他人。对爬虫了解的优先；4.有责任心，对学员有耐心，具有亲和力；5.抗压能力强、逻辑思维清晰，有良好的团队协作、沟通表达能力。注：有其他编程语言经验也行，公司提供免费 Python 学习课程。,"移动互联网,教育",150-500人,python,南京
Python答疑老师,https://www.lagou.com/jobs/6639325.html,玄武区,4k-6k,南京贝湾信息科技有限公司,应届毕业生,不限,"个人成长快,团队棒",关于扇贝团队：扇贝是国内知名的在线学习平台，已经拥有过亿用户，同时持续盈利。我们在分布式架构，自然语言处理等技术方面也有长期积累，结合精良的内容制作，能够为用户提供独特和优秀的产品服务。- 我们会有各种分享会，产品、设计、技术、运营、英语大家一起交流；- 我们有一个专门的活动室，工作之余可以与小伙伴一起健身、运动；- 我们每天提供下午茶；- 我们提供人体工程学座椅， 办公电脑是Mac。岗位描述：1.负责扇贝编程社群答疑，包括：Python 基础语法、Python 网络爬虫等课程的问题；2.积极快速地解决学员的课程疑问，帮助用户学好编程；3.帮学员解决课程疑问的同时，对常见错误、疑问进行总结和整理，反馈给课程老师；4.对学员负责，与团队一起完善产品、课程，提高学员编程能力。岗位要求：1.本科以上学历，计算机、软件工程等相关专业为佳，有编程经验优先；2.熟悉 Python，遇到 Python 程序报错能找出原因并独立解决；3.学习能力强，能快速掌握课程内容（比如爬虫课）并能指导他人。对爬虫了解的优先；4.有责任心，对学员有耐心，具有亲和力；5.抗压能力强、逻辑思维清晰，有良好的团队协作、沟通表达能力。注：有其他编程语言经验也行，公司提供免费 Python 学习课程。（PS：可以接受远程实习）,"移动互联网,教育",150-500人,python,南京
python工程师(NJ),https://www.lagou.com/jobs/7199479.html,栖霞区,10k-18k,广州酷动信息科技有限责任公司,3-5年,本科,五险一金，双休 节假日福利,工作职责：1、 智慧园区数据库表设计2、 API接口开发；3、 后台性能优化工作任职要求：1、熟悉Linux编程环境，对Linux网络环境有深入理解2、熟悉golang、python其中一门语言，有使用graphql、restful协议的项目开发经验；3、熟练掌握Mysql、redis的使用；4、熟练配置nginx、supervisor服务驻场地址：江苏省-南京市  　南京市栖霞区仙林智谷,"移动互联网,人工智能",15-50人,python,南京
python后端开发工程师,https://www.lagou.com/jobs/5320384.html,鼓楼区,15k-30k,北京墨云科技有限公司,3-5年,本科,五险一金,岗位职责：1、 负责公司安全产品的开发和维护，不断完善产品的安全能力2、 跟踪业内攻防技术、研究实现等，掌握实施业内安全动态任职资格：1.     计算机软件相关专业本科及以上学历，三年级以上工作经验2． 精通C/C++/Python/go等至少一门语言，熟悉shell脚本，掌握常见结构和算3． 有安全相关产品研发经验4． 有大规模分布式集群系统研发经验优先5． 精通容器技术，包括docker、mesos、k8s、swarm等6． 练掌握网络、应用、数据库的性能调优技术7． 了解常见机器学习算法,信息安全,50-150人,python,南京
python,https://www.lagou.com/jobs/6946833.html,雨花台区,12k-24k,易宝软件科技（南京）有限公司,3-5年,本科,五险一金 免费班车 绩效奖金,1.统招本科学历(学信网可查)，双证齐全2.3年以上开发工作经验3.熟悉python编程4.需要会点 java,移动互联网,150-500人,python,南京
python爬虫,https://www.lagou.com/jobs/7054007.html,江宁区,13k-22k,上海中软华腾软件系统有限公司,3-5年,本科,五险一金 良好的晋升空间,1、具有1年以上爬虫相关经验，具有1年以上实际网络爬虫或分布式采集开发工作经验；2、有分布式爬虫架构经验，精通爬虫相关架构技术，熟悉HTTP传输协议，精通网页抓取原理和整合技术，精通正则表达式，从结构化的和非结构化的数据中获取信息 。3、精通go python其中一门语言，熟悉高并发、高性能的分布式系统的设计及应用，有良好的软件系统设计思想。,"企业服务,金融",2000人以上,python,南京
python高级开发工程师,https://www.lagou.com/jobs/5721335.html,鼓楼区,10k-20k,华扬联众数字技术股份有限公司西安分公司,3-5年,本科,带薪假期、6险1金、年底双薪,"岗位职责1.负责web系统的功能研发；2.开发和维护现有系统框架以及新系统开发；3.大数据处理和分析；4.能够独立进行新项目开发工作优先考虑。任职资格1.3年以上Python相关开发经验,精通Python语言，熟悉多线程、socket应用开发2.深入理解和使用JSON、RESTful WebServices、RPC通信接口开发3.熟悉mysql、sqllite、redis等数据库4.熟悉Django、Flask、Tornado中至少一种框架，熟悉Django优先5.精通Html/CSS/JS/H5，能快速构建兼容主流浏览器的页面关于公司：华扬联众于2017年8月2日在上交所上市，股票代码603825，总部在北京。 华扬联众全国数据技术中心（HDTC）整合了华扬联众核心数据与技术资源，立志为客户与合作方带来更高效，更具竞争优势的数字营销，实现“数据思维创造的行动力”。HDTC目前已经拥有超过80位数据工程师及分析研究人员，并将在新的架构目标中持续加大投入。于西安、南京、上海各地均设有研发中心。主要研发数字广告等相关的技术产品，产品用户覆盖至全国。多条产品线缺开发工程师； 您关心的：双休；六险一金、年底双薪；每年一次调薪；每年一次出国旅游；年度旅游、各种节假日+圣诞节放假；十天带薪年假、七天带薪病假；结婚津贴、baby津贴、定时电影票等等；每月两次公司内部分享培训。","数据服务,文娱丨内容",2000人以上,python,南京
python初级工程师,https://www.lagou.com/jobs/5975158.html,鼓楼区,7k-13k,华扬联众数字技术股份有限公司西安分公司,1-3年,本科,带薪假期、6险1金、年底双薪,岗位职责 1、负责数据平台的设计、开发与维护；2、负责服务端相关组件开发；3、负责数据库优化和数据模型的设计；4、负责公司内部系统开发及API 后端接口开发。5、独立分析、评估并解决问题，能够在较短时间内寻求最优解决方案。 职位要求：1. 本科学历，计算机相关专业，2年Python语言开发，精通Python下的多线程/多进程开发。熟悉Python主流的常用开发框架如：Django、Flask、Tornado等；2. 熟悉常用的关系型数据库如MySQL、PG等。熟悉常用的NoSQL如MongoDB，熟悉Redis。具备在开发框架里实现对这些数据库的ORM操作。3.  具备良好的英文文献文档阅读能力，对数据敏感，善于思考，具备不断发现问题及解决问题的能力，工作踏实上进，具有良好的团队合作意识。热爱编程、软件开发。实时关注前沿科技；4. 熟悉linux系统操作，熟悉常用的服务器如nginx等；5. 了解HTML、CSS、JavaScript；6. 有高并发、高性能等应用架构及开发经验者优先；7. GitHub 使用者、有开源项目贡献者优先考虑；8.较强的沟通能力，抗压能力，主动性强。,"数据服务,文娱丨内容",2000人以上,python,南京
中高级python开发工程师,https://www.lagou.com/jobs/7018952.html,江宁区,10k-20k,南京赛宁信息技术有限公司,3-5年,本科,自研岗位,岗位职责：1、参与产品设计、需求分析、功能开发；2、负责网络攻防平台系统开发、日常维护；3、生产环境部署、监控与优化；4、与团队技术交流，共同进步。任职要求：1、本科及以上学历，计算机相关专业；2、1年及以上Python服务端开发经验，熟悉Linux环境下的开发；3、熟悉MVC架构，精通Django或其他至少一种Python开发框架；4、熟悉数据库MySQL、及常用的数据库操作；5、熟悉Mysql数据库、Redis与MongoDB优先；6、具有良好的编码习惯和开发文档书写习惯；7、具有优秀的团队合作和沟通书写能力，善于学习，乐于分享，能承受较大的工作压力。,信息安全,50-150人,python,南京
