job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
python后端,https://www.lagou.com/jobs/7047252.html,慈溪市,6k-12k,成都欧督系统科技有限公司,1-3年,本科,包吃包住，持股计划，五险一金，项目激励,"职位诱惑：包吃包住；持股计划；五险一金；项目激励职位描述：1、熟悉ODOO平台,可以独立完成ODOO模块开发；2、1年以上ODOO相关开发经验，2年工作经验，熟悉常用的脚本工具3、熟悉Postgresql数据库，有SQL优化经验；4、熟悉python 数据处理和分析，熟悉python 异步编程； 5、熟悉Linux系统, 熟练使用Linux工具；6、熟悉常用的数据结构和算法，有良好的编程习惯，能熟练使用git及主流调试工具；7、扎实的计算机基础,熟练掌握数据结构,算法, 计算机网络, 操作系统等基础知识； 8、具有良好的沟通能力及文档编写能力。9、具备解决问题、完成交付任务成果的能力。工作地址","企业服务,电商",50-150人,python,宁波
运维工程师（外派宁波银行）,https://www.lagou.com/jobs/6259211.html,鄞州区,6k-12k,浙江网新恒天软件有限公司,1-3年,本科,六险一金，福利待遇佳,职位诱惑：双休/六险一金/晋升空间大/工作氛围好   职位描述：岗位要求：1、负责系统基础运维工作，推动运维系统的构建和推广；2、与相关团队展开合作，确保系统的日常运行正常；3、负责突发事件管理与跟踪，确保业务稳定运行等；4、负责相关系统的运维、推广工作；5、自我学习与提升，主动提升技术水平。 任职要求：1、1-3年以上全日制本科学历；2、熟悉linux操作系统；熟悉shell、python脚本开发编写3、工作责任心强，做事认真、细心，积极主动、沟通理解能力强。4、具有较强的学习意愿，良好的团队合作精神和服务意识。备注：此岗位为外派宁波银行,软件开发,2000人以上,python,宁波
测试实习生,https://www.lagou.com/jobs/7125509.html,鄞州区,3k-6k,海南海商椰网传媒科技有限公司宁波分公司,不限,本科,"五险一金,领导好,福利好,带薪假",工作职责：1.负责产品的自动化测试，接口、安全测试、性能测试；2.团队测试技术和方法的培训及推广，引导团队技术发展；3.提升团队测试技能和测试效率，推动项目测试流程改进等；4.负责产品缺陷跟踪和管理，注重产品用户体验，严格把控产品从测试到发布过程质量管理；5.组织开展测试活动，提交测试报告，能指导其他测试工程师一起独立完成测试项目；任职要求：1.仅限应届生。2.有java或者python等至少一种编程语言开发经验，熟悉shell更佳3.了解自动化系统框架，二次开发。4.白盒测试、自动化、安装测试、性能测试、功能测试等工具使用（LR\JMETER\appium\ROBOTIUM\SELENIUM）5.积极主动，优秀的沟通能力，具有较强的逻辑思维和理解力，工作严谨认真，具有较强的学习潜力和自我发展意愿,"移动互联网,社交",50-150人,python,宁波
BI工程师,https://www.lagou.com/jobs/6920422.html,鄞州区,13k-25k,宁波逸享电子商务有限公司,3-5年,本科,发展前景优,1、负责产品的用户分析，通过对海量数据的分析挖掘，提取用户特征、行为轨迹、及变动趋势，搭建客户画像模型，制定客户分层和相应的用户运营策略，推动数据化运营方案的实施和落地;2、基于商业洞察，可落成可视化报表工具，为组织提效。有BI产品搭建经验（如QuickBI/tableau/powerbi/神策等），可基于指标体系和业务节奏搭建完善等商业分析产品。3、良好的数据分析能力，对算法能力有一定了解的优先；4、及时响应业务部门的报表需求，提供报表数据支持，根据需求，开发和实现报表。岗位要求:1、熟悉Linux操作系统，熟悉Shell编程语言2、大数据处理经验丰富，熟悉神策系统；有QuickBI的开发经验3、熟悉python或者Java 语言。具有以下经验者优先考虑：1、具有海量数据调优、数据倾斜调优经验者优先考虑2、有大数据平台开发经验者优先考虑3、具有SQL优化经验、熟悉REDIS使用的优先考虑4、熟悉机器学习相关算法优先考虑,"电商,社交",15-50人,python,宁波
大数据部经理,https://www.lagou.com/jobs/6920454.html,鄞州区,17k-30k,宁波逸享电子商务有限公司,5-10年,本科,发展前景优,岗位职责：1、负责大数据平台的基础建设，参与数据基础架构升级和优化，不断提升系统稳定性和效率2、负责完善数据统计、调度、分析、OLAP、可视化、应用等平台的构建和优化3、负责整体数据模型、数据质量、元数据体系，数据安全和数据血缘等体系的完善和优化4、设计和实现对用户画像、数据挖掘和机器学习等的系统性支持5、负责大数据团队的管理工作，带领团队完成技术解决方案，帮助团队成员快速成长任职要求：1、5年以上大数据平台研发经验，2年以上团队管理经验，计算机科学工程等相关专业领域本科及以上学历2、精通Hadoop/Spark/Hive/HBase/Kafka/Flume/DataX等技术，有丰富的多场景实操经验，掌握数据分析与各种算法与模型3、精通数据库设计，熟悉Mysql/Postgres/MongoDb及其集群等，对数据库设计、SQL编写和优化有丰富的经验4、熟悉OLAP系统、常见的BI解决方案，并有一定的搭建和开发经验5、熟练掌握Python/Scala/Java其中任意一种语言、Linux基本操作和Shell脚本，理解多线程，IO等6、具备优秀的系统架构设计能力，分析、解决问题能力和必要的产品意识；算法基础良好，编码能力优秀；执行力、沟通能力强，喜欢挑战，乐于团队合作7、有使用实时数据处理经验者优先，有数据挖掘、机器学习实际经验者优先 。,"电商,社交",15-50人,python,宁波
功能测试（外派宁波银行）,https://www.lagou.com/jobs/7169967.html,鄞州区,6k-10k,拉勾猎头,1-3年,本科,晋升,﻿宁波银行（全称宁波银行股份有限公司）成立于1997年4月10日，是一家具有独立法人资格的城市商业银行。2006年5月，宁波银行引进境外战略投资者－－新加坡华侨银行。2007年7月19日，宁波银行在深圳证券交易所挂牌上市（股票代码：002142），成为国内首批上市的城市商业银行之一。﻿1、代客系统测试：有代客系统、企业网银、外汇、信贷等相关系统测试经验 2、大数据测试类：熟悉大数据技术，如impala/hive/kudu/hbase等； 对数据敏感，有数据仓库，BI，大数据相关产品完整项目测试经验，熟练Java/Python等至少一种编程语言。,"移动互联网,企业服务",500-2000人,python,宁波
运维工程师,https://www.lagou.com/jobs/7131131.html,鄞州区,7k-12k,浙江智加信息科技有限公司,1-3年,大专,五险一金 周末双休 年终奖金 年度旅游,"工作职责 1、主要负责公司生产应用的运维建设，对服务稳定性负责。 2、业务系统的发布，维护，监控，调优，故障排除等； 3、优化线上技术架构，从运维角度参与并推动架构体系优化； 4、高并发下应用系统的稳定性以及高可用方案的规划与实施；  5、追踪前沿技术和应用。 任职资格 1、熟练掌握Linux下主流负责均衡，web服务器的配置和管理：nginx、haproxy、varnish、squid、lvs、tomcat； 2、熟悉python，shell，Go,Java至少一种语言，并熟悉相关的框架； 3、熟练使用至少一种开源监控方案：zabbix、ganglia、cacti等； 4、熟练使用开源的自动化部署工具：puppet、ansible、saltstack； 5、熟练使用ELK日志收集与分析系统。",移动互联网,15-50人,python,宁波
后端开发,https://www.lagou.com/jobs/7118453.html,北仑区,9k-10k,宁波保税区太阿科技有限公司,1-3年,不限,公司以数字货币市场为主，开发量化软件,精通其中一门后台语言：python，php，nodejs精通其中一种数据库：mysql，sqlserver，PostgreSQL等善于学习新技术，能独立思考解决问题者优先善于设计软件架构者优先,软件开发,少于15人,python,宁波
数据分析,https://www.lagou.com/jobs/7038025.html,鄞州区,20k-30k,埃森哲信息技术（大连）有限公司,1-3年,本科,知名互联网企业,招聘要求：1、30周岁以下，全日制重点大学本科以及以上学历，计算机、软件工程、通信工程、物理、数学等相关专业；2、2年以上软件研发经验；3、具备良好的沟通表达能力和团队合作精神，具有较强的工作责任心、主动性及抗压能力；4、具体岗位技能要求（1）2年及以上数据分析经验，熟练掌握SQL语言，掌握数据分析的一般流程、常用方法，有数据分析项目实践经验；（2）熟练掌握数据挖掘相关算法，熟练构建和优化数据挖掘模型；（3）精通Linux操作系统、熟练使用sas、R或python；（4）了解营销、运营分析的模型设计与开发，有场景化获客建模经验者优先。,"电商,消费生活",2000人以上,python,宁波
运维经理,https://www.lagou.com/jobs/6209499.html,鄞州区,20k-30k,宁波逸享电子商务有限公司,5-10年,本科,发展前景优,"1、负责规划数据中心运维管理架构和体系；数据公有云、私有云建设，支持业务上线、架构设计部署,业务系统运维； 2、负责网站隐患、故障处理，分析定位原因并解决；分析系统瓶颈,容量评估,完成扩容、架构改造等工程； 3、负责架构设计、架构优化、容灾优化、性能优化、应急解决方案等项目； 4、负责规划和架构生产环境自动化工具,提高运维效率和网站质量； 5、负责生产环境紧急事故处理工作，带领团队保证生产环境的用户体验以及服务的可用性，逐步提高服务质量，完成公司制定的目标； 6、负责系统运维团队相关流程制定，以及相关操作手册的编写，能带领团队完成上级交给的工作任务指标。 任职资格 1.统招本科及以上学历，8年以上运维工作经验，熟悉高可用架构、性能优化，具备超强的问题排查能力，有千万pv级别电商平台从业经验者优先考虑 ； 2.熟悉Windows、Linux等操作系统，熟悉apache、nginx、IIS、tomcat、LVS、keepalive、Tengine、zabbix等应用服务安装、配置、管理以及优化； 3.熟练掌握Saltstack、Ansible等自动化配置管理工具，熟悉工作原理，能独立编写自动化配置模块 ； 4.熟练掌握shell,perl,python等脚本语言中的一种，可以使用脚本完成一定的自动化工作 ； 5.熟练掌握kvm、ovs等虚拟化技术，有多年系统管理和团队管理经验，具有很强的逻辑能力和故障处理能里，并能带领团队排查系统的疑难杂症； 6.熟悉mysql集群架构设计、部署、监控、以及维护和调优等工作，熟悉redis、RabbitMQ、rocketmq、mongodb等应用，具备大规模系统集群管理维护经验； 7.熟悉ITIL管理体系，对运维体系有较高的认知并能设计相关运维体系，优化运维流程，提高运维质量。 8.性格开朗，做事细致沉稳，具有有高度的责任心以及抗压能力强，并有较强的沟通能力和良好的团队合作精神； 9. 创业者心态，强烈的责任心和自我驱动意识； 10. 良好的团队合作精神和沟通能力，具备运维管理经验优先；","电商,社交",15-50人,python,宁波
