job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Python高级开发工程师,https://www.lagou.com/jobs/6700491.html,高新区,25k-50k,腾讯科技（深圳）有限公司,3-5年,本科,大平台,"工作职责：    主导部门运营系统的需求分析、系统设计、开发等工作;工作要求：    1. 5年相关工作经验，本科及以上学历;    2. 精通Python，掌握常用的Python开发框架;    3. 熟悉linux，了解linux常用命令及工具;    4. 熟悉MySQL，熟悉掌握数据库优化、数据结构设计等;    5. 熟悉Redis/Memcache 等缓存中间件者优先考虑;    6. 熟练掌握OOP编程和常见设计模式，有良好的编程习惯,对代码质量有**的追求;    7. 掌握流行的Web开发流程及框架;    8. 有强烈的上进心和求知欲，善于学习新事物，具有良好的沟通表达能力和逻辑抽象能力;",社交,2000人以上,python,成都
python开发工程师,https://www.lagou.com/jobs/7176192.html,高新区,8k-12k,成都德凡克科技有限公司,1-3年,大专,办公环境舒适 下午茶福利,岗位职责：1. 负责研发量化系统和回测系统，策略上线表现的可视化，能够出具策略表现简报。2、接口开发，机器人下单算法实现，策略的底层实现3、系统、数据库的开发与维护，根据策略的调整不断优化量化交易程序4、量化投资策略及指标模型的数据整理以及回测平台的开发任职要求： 1. 重点理工类高校毕业，硕士及以上学历、或特别优秀的本科生，计算机、电子信息类相关专业。 2. 3年以上的python或者c++开发经验3. 有参与大型项目和架构设计的经验。4. 具备敏捷开发能力，能在短时间内搭建起高性能、高稳定性项目。5. 具有geek精神，希望不断接收新的挑战。6. 良好的逻辑思维能力、沟通协调能力、团队合作能力和快速学习能力，勤奋踏实好学，能承受一定的工作强度,"广告营销,软件开发",50-150人,python,成都
python开发工程师,https://www.lagou.com/jobs/5664887.html,高新区,10k-20k,北京棕榈创想科技有限公司,3-5年,本科,五险一金 试用期全薪 餐补 14薪,"职位描述:1.负责公司广告平台相关后端开发工作;2.独立设计良好的代码结构, 不断迭代重构和优化;3.构建灵活易用的Web系统，数据分析系统，爬虫系统等 任职要求:1. 计算机相关专业，本科及以上学历，3年及以上后端/服务端开发经验；2. 扎实的计算机系统、算法、数据结构基础；3. 熟悉 Web 开发相关技术栈，Web框架、RESTful、HTTP/HTTPS协议、Web安全、Linux基础等；4. 精通 Python Web 开发，理解系统吞吐量和可用性要求；5. 熟悉 MySQL、MongoDB 等常用数据库，具有数据库设计和 SQL 优化能力；6. 具备良好的沟通能力和团队协作精神，善于学习、研究、总结，乐于分享7. 能够接受的敏捷开发方式，紧张的开发节奏；8. 良好的英文阅读与理解能力。",移动互联网,150-500人,python,成都
python开发工程师,https://www.lagou.com/jobs/7190651.html,武侯区,7k-11k,达而观信息科技（上海）有限公司,1-3年,本科,技术强 发展空间大 人工智能 薪资福利优,参与RPA核心系统平台（Studio、任务调度系统和软件机器人）的设计和实施开发；岗位要求：1、 本科及以上学历，熟悉Node JS、GO、Python、C++至少一种语言；2、熟悉Linux或Windows编程；有算法基础优先；3、沟通能力强，能接受驻场开发和短期出差；4、对新技术敏感，求知欲强，能快速学习并具备较强的技术领悟能力。RPA（Robotic Process Automation），机器人流程自动化，又可以称为虚拟劳动力或数字化劳动力，是一种智能化软件平台，通过模拟并增强人类与计算机的交互过程，实现工作流程中的自动化。达观智能RPA平台融合自有的OCR和NLP技术，可迅速实现业务提效，将重复性劳动进行自动化处理，高效低门槛连接不同业务系统，让财务、税务、金融、人力资源、信息技术、保险、客服、运营商、制造等行业在业务流程上实现自动化智能升级。,人工智能,150-500人,python,成都
Python开发工程师,https://www.lagou.com/jobs/6573207.html,郫县,10k-15k,易宝软件科技（南京）有限公司,3-5年,本科,五险一金 餐补 员工福利 周末双休,"岗位职责：1、负责项目Python开发，数据处理；2、负责项目逻辑设计及模块开发。岗位要求: 1、计算机相关专业，二本以上学历；2、3年及以上python后台开发经验，精通python网络编程，熟悉Django web开发框架和爬虫；3、熟悉elasticSearch,MongoDb,Redis,Mysql等数据库；4、熟悉图数据库Neo4j优先。",移动互联网,150-500人,python,成都
Python开发工程师,https://www.lagou.com/jobs/5714091.html,高新区,10k-15k,成都无糖信息技术有限公司,不限,不限,福利完善 地铁周边 年轻团队 扁平管理,"1、参与公司基础数据平台建设、分布式基础框架研发，跟随我们团队一起成长进步。任职要求：  1. 有强烈的上进心和求知欲、善于学习，对于未知的问题有自己解决的习惯。  2. 精通Python开发，熟悉python下的asyncio协程开发。  3. 熟悉使用linux，了解linux常用命令及工具。  4. 熟悉使用docker,了解docker服务发布更新过程。  5. 熟悉k8s的使用与搭建。  6. 熟悉使用redis、postgres,elasticsearch。  7. 熟悉使用git工具，掌握基本的协同开发流程。","信息安全,数据服务",50-150人,python,成都
python开发工程师,https://www.lagou.com/jobs/6381738.html,双流县,8k-12k,微慕客（成都）科技有限公司,1-3年,本科,五险一金 弹性工作 扁平管理 微软项目,1.本科及以上学历，计算机相关专业，3年以上工作经验；2.拥有良好的编码习惯，遵守编码规范；3.熟悉常用的设计模式；4.熟练掌握Django或者其他Python Web开发框架，熟悉HTML、JS、CSS、jQuery等Web开发者优先；5.熟练掌握SQL Server、MongoDB等数据库，以及Redis等缓存系统的使用和性能优化；6.熟悉JSON/XML、HTTP、TCP/IP协议，熟悉面向对象开发，内存管理机制、网络和多线程开发；7.个性乐观开朗，逻辑性强，具有良好的沟通，团队协作、计划和创新的能力；能承受一定的工作压力，有责任心和上进心，能通过持续学习完善自身，有担当，执行力强，乐于分享；,数据服务,50-150人,python,成都
python开发工程师,https://www.lagou.com/jobs/6961289.html,高新区,8k-15k,成都无糖信息技术有限公司,不限,不限,弹性上班 双休 五险一金 年终奖,"1、参与公司基础数据平台建设、分布式基础框架研发，跟随我们团队一起成长进步。任职要求：  1. 有强烈的上进心和求知欲、善于学习，对于未知的问题有自己解决的习惯。  2. 精通Python开发，熟悉python下的asyncio协程开发。  3. 熟悉使用linux，了解linux常用命令及工具。  4. 熟悉使用docker,了解docker服务发布更新过程。  5. 熟悉k8s的使用与搭建。  6. 熟悉使用redis、postgres,elasticsearch。  7. 熟悉使用git工具，掌握基本的协同开发流程。  简历里可以附上github、博客、项目地址等链接注：无学历专业和工作经验要求，能力满足即可！","信息安全,数据服务",50-150人,python,成都
python开发工程师,https://www.lagou.com/jobs/7091895.html,武侯区,12k-24k,成都链安科技有限公司,3-5年,本科,丰厚的年终奖 、员工期权、,"岗位职责：1、协助开展项目需求分析、系统框架和核心模块的详细设计；2、根据产品开发进度和任务分配，独立开发相应的软件模块；3、根据公司技术文档规范协助编写相应的技术文档4、负责项目逻辑设计及模块开发5、负责项目Python开发，数据处理；任职要求：1、计算机相关专业，统招本科及以上学历；2、熟悉Python语言，有实际的线上产品开发经验3、3年及以上python后台开发经验，精通python网络编程，4、熟悉Django web开发框架和爬虫以及Flask框架；5、熟悉 Linux 环境, 热爱编程, 善于沟通, 乐于分享, 对领域建模 /敏捷开发 /持续集成有实践经验；6、熟悉Elasticsearch,MongoDD,Redis,MYSQL等数据库的使用和基本原理；","移动互联网,信息安全",50-150人,python,成都
python开发,https://www.lagou.com/jobs/7052761.html,高新区,9k-13k,成都南天佳信信息工程有限公司,3-5年,本科,年终奖金、定期体检、节日福利、生日福利,岗位要求： 1、具备支付结算金融业务开发经验；2、良好的沟通合作能力、文档编写能力，协调组织能力；3、熟悉软件开发流程，精通python、JAVA开发语言和mq中间件；4、掌握Linux 操作系统和熟悉Oracle及其应用开发，掌握基本的sql调优和应用调优； 5、有人行等支付业务开发经验优先；6、有第三方支付（支付宝等）开发和调优优先。,"金融,其他",50-150人,python,成都
python开发工程师,https://www.lagou.com/jobs/5501417.html,武侯区,8k-15k,成都思而科软件有限公司,3-5年,本科,五险一金 年终奖 餐补 下午茶,岗位职责：1、搭建系统开发环境，完成系统框架和核心代码的实现，负责解决开发过程中的技术问题；2、负责Python技术的相关产品规划、需求、设计、开发、测试等研发工作。职位要求：1、计算机或相关专业毕业，2年以上开发经验；2、熟悉Python编程、设计模式和组件技术；3、熟悉Redis / MongoDB等NoSQL技术；4、具备独立开发功能模块的能力；5、逻辑思维清晰，能够独立承受工作压力。,电商,50-150人,python,成都
python研发工程师（web端）,https://www.lagou.com/jobs/7105149.html,高新区,10k-15k,成都路行通信息技术有限公司,3-5年,本科,车联网 新零售 高速发展平台,"硬性要求：详见人员要求岗位职责：1.结合公司devops规划，完成迭代需求开发；2.负责devops相关工具链调研及适配分析,逐步完善公司devops产品能力；3.负责前后端业务框架设计；4.支撑产品线突发问题；5.领导安排的其他的工作；人员要求：1.本科及以上学历，计算机类相关专业；  2.3年以上python岗位经验；3.2年以上web项目经验、1年以上css+js等相关项目使用经验；4.熟练使用django/flask等工具，能搭建web框架；5.熟悉mysql/postgresql等关系型数据库，能设计和优化表结构、实现表数据增删改查的功能；6.能独立完成业务需求并有业务框架设计能力；7.学习能力、沟通表达能力良好，逻辑思维清晰，基础抗压能力；加分项：1.devops平台研发经验优先；2.能使用vue设计基本组件；3.会go语言、docker & kubernetes相关容器技术优先。","移动互联网,消费生活",500-2000人,python,成都
