job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Python工程师,https://www.lagou.com/jobs/2884865.html,五华区,6k-12k,杭州映云科技有限公司,1-3年,本科,"期权,奖金,各类补贴,节日福利",1. 本科及以上学历；2. 两年以上 Python 开发经验；3. 熟悉 MVC 架构，能熟练使用 Django、Tornado、Flask 中至少一个开发框架；4. 熟悉分布式服务器架构、分布式缓存、消息队列等机制；5. 熟悉 Redis、MongoDB、Kafka、RabbitMQ 等；6. 了解 Web 前端技术： HTML、CSS、JavaScript;7. 加分项：熟练使用 Unix/Liunx 操作系统，熟悉 TCP/IP 、HTTP 、MQTT 协议；（招实习生）,"企业服务,物联网",15-50人,python,昆明
python开发工程师,https://www.lagou.com/jobs/7192514.html,五华区,8k-11k,云南开屏信息技术有限责任公司,1-3年,大专,五险一金、中餐补助、绩效、员工体检,职责描述：1、能够准确理解产品需求，负责爬虫平台功能开发和优化；2、设计和建立相关云平台和数据设施；3、搭建系统开发环境，完成系统框架和核心代码的实现，负责解决开发过程中相关的技术问题；4、参与软件工程文档、产品文档编写，满足产品需求；解决项目中遇到的相关问题，进行系统功能优化，保证系统安全、稳定和快速运行。任职要求：1、大学本科及以上学历，3年以上相关工作经验，熟练掌握python语言，以及前端爬虫的基础知识；2、熟练掌握主流框架，精通TensorFlow框架；3、熟悉人工智能中机器学习算法、深度学习算法，如：RF、SVM、DNN算法等。4、有一定的运维经验，善于分析定位和解决问题，了解数据库性能调优；5、具有良好的团队精神和沟通能力，责任心强，善于沟通和合作，能够独立完成工作。,文化娱乐 移动互联网,15-50人,python,昆明
区块链开发工程师,https://www.lagou.com/jobs/7198581.html,官渡区,12k-24k,云南金海泰艺术品投资管理股份有限公司,3-5年,本科,工作氛围轻松,岗位职责：1、从事区块链产品的设计和研发工作，完成基于区块链（Blockchain）的架构设计与开发；2、研究区块链技术，运行机制和底层实现等，设计安全协议和架构。任职资格:1、重点大学计算机相关本科及以上学历，3年以上复杂服务器端软件研发工作经验；2、扎实的计算机基础能力，对资源共享业务有一定的理解；3、精通linux，熟悉至少一个开源项目，例如 IBM Hyperledge、Ethereum等；4、熟悉至少p2p传输、数字加密或分布式数据库技术中的一种；5、熟悉至少一种后台开发语言，golang、Python、Java或C++等6、性格开朗乐观，责任心强，积极主动，善于沟通，具有团队精神；7、具有较强的学习沟通和口头表达能力；8、逻辑能力强、思维活跃，接受新事物能力强。,"消费生活,区块链",15-50人,python,昆明
软件测试工程师,https://www.lagou.com/jobs/6963399.html,西山区,3k-6k,神州数码系统集成服务有限公司,不限,大专,五险一金+餐补+电脑补 薪资待遇优厚,岗位职责：完成公司APP端，web端，PC端相关软件的测试。参与公司项目需求讨论，制定测试计划，设计测试用例，执行测试用例，编写测试报告；跟踪问题缺陷，推动问题处理；按时保质，保量的完成各项分配的工作内容；任职资格：1. 计算机相关专业优先；2. 英语四级或以上；3. 具有WEB系统测试或移动APP测试经验；4. 熟悉软件测试流程，能独立编写测试用例、执行测试用例；5. 熟悉Linux、MySQL数据库、fiddler、Jmeter、postman等；6. 认真仔细，逻辑思维清晰严谨，有良好的学习能力、分析与解决问题的能力；7. 工作积极主动，具有团队意识；8. 熟悉至少一种编程语言Python，Java的优先；9. 熟悉Android测试专项、UI自动化、服务端性能测试、安全测试者优先。,企业服务,2000人以上,python,昆明
数据挖掘工程师,https://www.lagou.com/jobs/6646429.html,官渡区,10k-20k,美林数据技术股份有限公司,3-5年,本科,自主研发 公司平台大 福利好,技能要求：机器学习，人工智能，数据分析，Python【岗位职责】1.负责售前客户提出需求的业务分析、咨询；2.负责客户需求落地解决方案的编写；3.数据分析类项目业务数据分析，利用数据挖掘算法形成业务模型，指导落地；【岗位要求】1.计算机、电子、通信、数学、统计学等相关专业，硕士及以上的学历，一年以上相关工作经验。2.熟练掌握各类机器学习/深度学习算法在相关领域应用；3.熟练掌握数据分析工具，如Python、spss、sas、R语言、SQL等；4.善于沟通交流，具备较好职业素养5.具有电力行业数据挖掘经验者优先考虑,"数据服务,金融",500-2000人,python,昆明
AI算法工程师,https://www.lagou.com/jobs/6848673.html,呈贡区,8k-15k,云南红岭云科技股份有限公司,1-3年,本科,人工智能；算法,"岗位职责：1、结合业务需求设计解决方案，模型构建与监管，方案升级与优化；2、研究前沿大数据机器学习与深度学习技术；3、指导算法工程师方案实现。 岗位要求：1、本科以上学历，计算机或数理相关专业；扎实的数学、机器学习、数据挖掘等理论基础；2、满足以下一个或多个条件a)非常熟悉至少一种主流深度学习算法框架,包括但不限于PyTorch,Tensorflow,MXNet,Keras等；b)熟悉互联网金融、推荐、广告、搜索等各类算法；c)大数据处理经验;d)大规模机器学习算法实现；3、熟练掌握Python、R、C/C++编程两种以上；能够使用Linux；4、优秀的分析和解决问题能力；良好的协调、沟通能力；5、有党建业务经验者优先。","数据服务,移动互联网",50-150人,python,昆明
大数据分析工程师,https://www.lagou.com/jobs/6618368.html,呈贡区,8k-15k,云南红岭云科技股份有限公司,1-3年,本科,五险一金、职能晋升、法定节假日。,岗位职责1.大数据平台的调研、实施和维护，还有相应技术方案完善；数据处理流程的自动化方式实现；2.数据收集、预处理、特征提取、数据统计分析等工作；3.根据工作能力可进一步从事数据挖掘数据建模工作。    岗位要求1.**学历全日制统招本科及以上学历，计算机和数理相关专业；2.一年以上大数据类程序员工作经验并具有扎实的编程能力、计算机基础。熟悉Linux和Shell，熟练Python或R，会C、C++，会Java、Scala、SQL的一种或几种；使用过大数据平台，了解hadoop生态，如hadoop、storm、hive、spark、Kafka等，了解MySQL、Oracle等数据库；3.具有编程化思维方式，善于将人工实现转为自动化实现；能独立分析问题、解决问题；良好4.团队协作精神；具有良好的学习能力和热情；5.有ETL工作经验者优先考虑；6.有BI类、统计类软件使用经验者优先考虑；7.有人工智能、机器学习、自然语言处理等经验者优先考虑。,"数据服务,移动互联网",50-150人,python,昆明
通信数据挖掘和分析工程师,https://www.lagou.com/jobs/6272934.html,呈贡区,5k-8k,湖南华诺科技有限公司,应届毕业生,本科,"高薪酬,高福利,世界五百强",岗位职责：1、通过数据分析，挖掘业务问题，提出优化建议；2、熟悉通信相关的数据源，能通过机器学习相关算法对数据进行分析和KPI预测3、了解通信相关基础原理，能对接管理客户需求，清楚业务逻辑。岗位要求：1、本科以上学历2、熟悉MySQL数据库的使用，熟练掌握SQL相关的DML数据操作语言；3、了解基础的数据分析方法，包含：描述性分析、回归分析、方差分析；4、熟悉linux基础，掌握Python等语言能力。此岗位需求工作地：上海、合肥、广东、陕西、云南、四川,"移动互联网,数据服务",500-2000人,python,昆明
OpenStack云平台,https://www.lagou.com/jobs/6836002.html,五华区,8k-11k,湖南华兴亚鼎信息科技有限公司,1-3年,大专,965,任职要求：  1、精通Linux系统及常见服务配置，  2、熟悉配置LVS、nginx、squid等常用负载均衡和缓存技术  3、能够独立配置和管理Linux/windows下的网络，路由，防火墙策略。  4、精通shell/python至少一种脚本语言，有自动化监控、自动化运维、自动化发布部署的运维经验；  5、熟悉openstack云平台优先,软件开发,50-150人,python,昆明
区块链工程师,https://www.lagou.com/jobs/6848700.html,呈贡区,10k-20k,云南红岭云科技股份有限公司,1-3年,本科,人工智能；区块链；系统框架,岗位职责:1、区块链产品的设计和研发工作，研究区块链的协议，运行机制和底层实现等；2、搭建基于区块链的底层架构，能实现联盟链、公链、侧链、私有链；3、开发智能合约和基础架构；4、通过技术创新将区块链与党建应用场景相结合；5、追踪区块链领域的新技术。岗位要求：1、本科及以上学历，数学类或计算机相关专业；2、3年以上区块链应用开发经验；3、熟练掌握c++/python/java/GoLang中的一种以上，参与各个区块链开发社区并贡献源码者优先；4、掌握Solidity智能合约开发语言；5、具有比特币、以太坊、等开源区块链开发经验优先；7、有区块链项目研发经验优先；8、良好的团队协作和沟通能力，能够承受较大的工作压力。,"数据服务,移动互联网",50-150人,python,昆明
