job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Python开发工程师,https://www.lagou.com/jobs/6327021.html,西湖区,20k-30k,杭州涂鸦信息技术有限公司,3-5年,本科,"氛围好,定期团建,工作环境好,时间灵活","岗位职责：1、与算法、数据、产品等部门密切合作； 2、开发可靠,高效准确的数据集市,并提供技术支持；3、进行算法平台的需求分析，方案设计；4、研究并实践前沿软件技术。岗位要求： 1、本科（统招）及以上学历，精通Python，三年以上开发经验； 2、熟悉MySQL、MongoDB数据库、数据建模、数据处理调优； 3、熟悉基于Spark、ElasticSearch、HBase 等大数据平台的相关开发;4、有一定的数据分析和挖掘能力，能从海量数据提炼核心结果，及时发现和分析其中隐含的变化和问题；5、高度责任心，积极主动，良好的团队协作精神和执行力，较强的分析问题和解决问题能力； 6、具有成熟的数据平台搭建经验优先。","移动互联网,硬件",500-2000人,python,杭州
python,https://www.lagou.com/jobs/7129460.html,萧山区,13k-15k,浙江省农村信用社联合社,应届毕业生,本科,发展前景大、福利待遇好,岗位描述：从事浙江农信各类银行业务系统的软件开发、项目管理和应用支持等工作。岗位要求：1、重点高校全日制本科及以上学历；2、计算机科学与技术、软件工程、数学等相关专业；3、熟练掌握至少一门面向对象的高级开发语言（如C/C++、JAVA、大数据、Python等），熟悉掌握SQL、ORACLE、DB2等数据库相关知识；4、具有良好的综合素质和发展潜力，具备较强的学习能力、创新意识和协作精神，具有较强的分析和解决问题能力。,"其他,金融",2000人以上,python,杭州
python后端工程师,https://www.lagou.com/jobs/5617112.html,滨江区,15k-30k,浙江天垂科技有限公司,不限,本科,"硅谷模式,MAC电脑,五险一金,氛围轻松","作为后端开发人员，负责企业级网页应用的后端RESTful API的设计和核心服务的开发以及部署。注重于API的效率，可靠性和扩展性。对数据库和RESTful有良好的理解掌握，可以快速将数据和核心服务以API的形式提供给前端应用。和前端工程师和项目经理密切合作，快速高效的实现产品的迭代。要求：
 2年以上后端开发经验
 对HTTP协议，Websocket的全面了解
 API设计的经验和对RESTful API的理解
 熟练掌握至少一种SQL和NOSQL数据库
 有Django和Django Restframework的开发经验
 熟悉微服务架构
 对ORM比较熟悉
 对HTML／CSS／JS有一定了解
 积极理解客户的需求，同时快速的生成新的设计方案
 有强烈的上进心和求知欲，善于学习和运用新知识，善于沟通和逻辑表达，有强烈的团队意识和执行力
加分选项：
 985，211院校毕业生
 熟悉Docker容器
 云端部署和运维的经验
 TDD或BDD的单元测试经验
除此之外HR想说：
 截至目前，我们的程序员小伙伴都毕业于211/985学校，还有硅谷的技术大牛带队指导，探寻讨论技术设计、技术框架和技术选型，是一个纯技术、重技术、崇尚技术的小团队；
 热烈欢迎各种小姐姐加入；
 想要转型学习使用python的小伙伴以及其他语言的后端小伙伴，也请快快砸来简历，HR小姐姐期待你们的加入~~
我们欢迎您参加 Teletraan Take Home Project。即使您没有通过简历筛选，若您take home 完成的较好，即将获得进一步面试的机会。1、获取题目：您可以通过https://github.com/teletraan/takehome 获取题目，并根据个人求职意向选择前端或后端其中一道题目，也可以两道题目都做。我们会有前后端的技术人员分别review您的完成情况。2、提交成果：本项Project没有固定的时间限制，但请争取不要超过1周时间。完成后请将代码上传至自己的GitHub上并通过微信或邮件通知、发送我们link。请您尽量完善文档和测试代码（文档主要指“设计方案”（非必须）和“API说明”，会成为加分项）。请本着“彼此尊重、自己负责“的态度独立完成所有题目。当然，我们当然允许您科学上网、自行调研。谢谢您的配合。","数据服务,企业服务",15-50人,python,杭州
python开发,https://www.lagou.com/jobs/6954003.html,滨江区,12k-24k,易宝软件科技（南京）有限公司,3-5年,本科,五险一金 餐补 绩效奖金 周末双休,"岗位职责：1.负责Tuning Kit的开发工作，参加方案讨论，高质量交付业务特性；2.保障业务特性高质量交付。岗位要求：1、具备独立完成特性设计与开发的能力2、精通和熟练运用Python编程3、熟悉Django开发者优先。4、熟悉服务器、网络技术，ARM基础知识,熟悉服务器基本性能测试工具者优先；5、对待工作认真负责、责任心强，有良好的团队合作精神、沟通能力，能够承受工作压力。6．要求1年及以上工作经验。",移动互联网,150-500人,python,杭州
python开发,https://www.lagou.com/jobs/7216703.html,西湖区,10k-15k,北京金道天成信息系统服务有限公司,3-5年,本科,免费体检 每年出游,"1、负责运维平台及工具开发；2、负责后端相关需求分析及系统设计； 3、独立完成后台系统设计、编码、部署与维护要求：1. 本科及以上学历，3年以上的 Python 开发经验； 2. 熟练 Python 语言，掌握函数式和面向对象编程，能够编写模块化、可重用、易维护的代码，有完整的 Python 前后端项目，熟练掌握前后分离的开发模式； 3. 熟练 Web 开发框架（django/tornado/flask等框架），熟悉BootStrap，熟练使用HTML，CSS，JavaScript等基本前端技术； 4. 熟悉 MySQL 原理及机制，掌握各种查询语法。并至少熟悉一种 NoSQL 数据库（如 Redis），具备数据库结构设计和性能调优的能力； 5. 熟悉使用Linux（CentOS/Ubuntu）和 Docker，深刻理解HTTP协议和TCP/IP协议, 有网络服务编程经验者优先； 6. 具有良好的编程风格，有多层结构的开发经验，对重用，重构有丰富的经验者更佳； 7. 有较强的自学能力和独立解决问题的能力，对信息技术领域的新信息、新知识具有相当的敏感性，能够迅速更新自身的知识内容； 8. 责任心强，自我驱动力强，具有良好的沟通和团队协作能力，主动，好学，能够多维度思考问题。","移动互联网,企业服务",500-2000人,python,杭州
python开发工程师,https://www.lagou.com/jobs/4813869.html,西湖区,10k-20k,上海吸引子信息科技有限公司,不限,本科,"五险一金,带薪休假,周末不加班,多种补贴",【工作内容】    1、搭建金融数据服务、回测服务等量化研究工具，为金融市场量化研究提供技术支持；    2、负责公司相关业务、产品和服务的后端开发和维护；    3、参与后台系统架构的设计，核心模块的开发，明确设计需求；    4、参与制定和优化开发流程，包括项目文档的规范，git仓库规范化等。    【岗位要求】    1、至少精通一门编程语言，熟悉Python优先；    2、优秀的编码能力，有扎实的算法、数据结构功底；    3、熟悉web框架(Django，flask 等)；    4、熟悉 MySQL、MongoDB、Redis 等常见数据库，能够完成数据库设计；    5、熟悉软件开发流程，具备独立开发调试，测试等实践能力；  6、对代码和设计质量有严格要求，重视Code Review，知道良好的编程习惯的标准；    7、有自己的技术博客或GitHub优先；    8、工作经验不限。,金融,15-50人,python,杭州
Python开发工程师,https://www.lagou.com/jobs/6887028.html,滨江区,10k-20k,乐麦信息技术（杭州）有限公司,3-5年,本科,五险一金，年终奖，带薪年假,工作内容：1、具有3年及以上爬虫经验，了解常见反爬虫机制，具有对抗电商网站反爬虫的项目经验，能攻破反爬虫并获取数据 2、熟悉HTTP协议、网页动态渲染技术，能抓包分析数据接口3、熟练掌握Python，有良好的代码风格及编程能力5、至少熟悉MongoDB/MySQL/Redis等其中一种数据库的使用和优化6、使用或研究过常用的爬虫框架（如scrapy/pyspider等）7、具有良好的沟通能力、分析解决问题能力和团队协作精神岗位职责：1、负责电商网站爬虫项目的开发维护、性能优化等2、研究和破解电商网站的反爬措施（如IP校验、自动登录、验证码、加密token等），保证爬取网页的速度和稳定性3、从网页数据中，提取、清洗、转换和存储数据，实时监控爬虫的进度并预警4、开发和维护爬虫框架，快速解决实际开发过程碰到的各类问题5、团队日常工作管理。,电商,500-2000人,python,杭州
python开发工程师,https://www.lagou.com/jobs/7183324.html,富阳市,8k-12k,河南八六三软件股份有限公司,1-3年,大专,"双休,五险一金","工作职责：1. 负责完成公司MES平台的后台项目， 架构设计/代码编写/测试上线 ;2. 负责 linux/windows 环境下的功能脚本的开发，维护和迭代更新 ;3. 维护并更新MES平台的性能平台后台 ;4. 与团队一起攻克技术难题，持续的改进系统，提升系统质量和性能。任职要求：1. 统招全日制大专以上学历， 计算机相关专业毕业，2年以上工作经验 ;2. 熟练掌握 Python3, 2年以上使用python进行项目开发的经验 ;3. 熟练掌握 djiango 等后台框架, 熟悉Restful API常用框架，熟悉数据分析类库，包括但不限于numpy、pandas等 ;4. 了解HTTP协议，具备基础的TCPIP知识 ;5. 有 Linux 环境下的研发工作经验, 掌握shell基础，尤佳 ;6. 具备使用 oracle 数据库的基本技能， 熟练掌握python环境下的数据库编程 ;7. 良好的沟通能力，热衷于技术钻研，工作踏实诚恳负责任，有良好的抗压能力。",移动互联网,500-2000人,python,杭州
python开发工程师,https://www.lagou.com/jobs/7177080.html,余杭区,10k-16k,深圳市华盛天成科技有限公司,3-5年,大专,朝九晚六 双休,1. 计算机相关专业毕业优先，本科三年或大专五年以上优先；2. 熟悉python django、flask等常见开发框架，并具备完整的项目开发经验；3. 熟悉常见的数据结构和算法；4. 熟悉Linux环境和Shell脚本，熟悉TCP/IP协议栈， 熟悉HTTP协议；5. 熟悉redis/mysql/mongo等常见的存储中间件；6. 积极主动，有责任感、团队精神、良好的沟通表达能力；7. 具备抗压能力，学习能力强；加分项：具备一定的golang开发经验，接触使用过beego/gin/iris等web框架尤佳。,"软件开发,物联网",150-500人,python,杭州
Python工程师,https://www.lagou.com/jobs/6727428.html,滨江区,20k-40k,杭州览众数据科技有限公司,3-5年,本科,五险一金、周末双休、年底奖金,岗位职责1、参与产品以及项目的需求分析与设计和基础架构的设计、开发以及升级维护工作；2、独立负责系统后台应用程序的开发与维护，并提供接口文档；3、根据产品或者项目需求完成模块设计、编码、单元测试工作；4、按照产品或者项目计划完成后端相关文档的编写工作以及开发任务；5、团结同事，为团队凝聚力多做贡献；任职要求1、计算机、统计、数学以及相关专业本科以上学历；2、有一定的算法和数据结构的设计能力，有扎实的python等编程语言基础，熟悉面向对象编程思想和设计模式，熟悉常见的画图工具：Visio、rose、xmind等；3、有大型后端服务的设计和开发工作经验着优先，对Linux/Centos有深入的了解；4、熟悉mysql、postgresql、oracle中的一种数据库开发；5、熟悉Flask、SQLAlchemy等主流后台Python相关框架等；6、熟悉Docker技术，并有一定的实战经验；7、较好的沟通理解能力，具有团队协作能力，性格乐观，态度踏实，积极上进，做事认真，仔细，负责；8、能自我驱动，对解决挑战型问题充满激情，有一定的抗压能力。9、有服装领域的工作经验优先。,"人工智能,数据服务",150-500人,python,杭州
