job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
python开发工程师,https://www.lagou.com/jobs/6881431.html,洪山区,8k-15k,智线云科技（北京）有限公司,1-3年,不限,六险一金 超长年假 绩效奖金 福利多多,职位描述：1、 基础系统架构、模块、库和组件的研发；2、 分布式海量数据存储和分析系统的研发和调优；3、统计分析、报表、SaaS业务等系统研发；4、CRM、财务结算、工作流等内部管理系统的研发。能力要求：1、统招本科，计算机相关专业，使用python等一门以上语言，开发过不算太小的项目；2、熟悉数据结构、DB、OS、Web开发等相关知识，对Linux相关的各类技术情有独钟；3、有大规模、高性能互联网网站系统相关的设计和开发经验者优先；4、具备良好的学习能力和成长潜力，渴望和团队一起快速成长。,"移动互联网,数据服务",50-150人,python,武汉
Python开发工程师,https://www.lagou.com/jobs/6835194.html,洪山区,6k-12k,武汉乐谷在线科技有限公司,1-3年,大专,奖金体系 项目奖金,工作地点：洪山区野芷湖西路16号创意天地-05办公楼2楼岗位职责：1.负责手游服务器端维护与开发；2.负责手游服务器框架的优化与扩展；3.全面掌握现有的代码逻辑并能够快速定位问题与解决问题； 基本要求： 1.精通掌握python；2.熟悉mongodb、Mysql等数据库管理、开发、SQL调优；3.熟悉Unix/Linux操作系统原理，常用工具；4.熟悉网络程序开发，多线程、多进程、socket、大数据处理等；5.3年以上游戏后台开发经验，有过独立完整设计复杂系统功能的经验；6.较好的自学能力，能较快学习新技术，运用新技术开发小工具；7.负责对服务端相关的开发、测试、运营期的各种版本问题（包括故障和其他技术问题）及时解决；8.有过高并发，高性能分布式开发验经者优先考虑。,游戏,50-150人,python,武汉
python开发,https://www.lagou.com/jobs/5308594.html,东湖新技术开发区,6k-8k,湖北百旺金赋科技有限公司,1-3年,本科,"五险一金,14薪,周末双休,免费班车","岗位职责：1、负责设计和开发分布式爬虫系统,进行多平台信息的抓取和分析；2、负责抓取后的信息数据抽取,清洗,去重等工作，提升平台的抓取效率；3、开发实时监控爬虫的进度和报警反馈；4、善于灵活运用各种知识去解决爬虫相关问题。岗位要求：1、至少1年以上爬虫相关经验，本科及以上学历；2、编程语言不限制，有一定linux基础，扎实的编程功底；3、熟练使用redis,mysql,mongodb等数据库；4、精通各种正则表达式；5、对网络编程，Http协议，Web开发有一定的了解，具备一定的反屏蔽能力。","移动互联网,其他",150-500人,python,武汉
Python工程师（外包） (MJ000430),https://www.lagou.com/jobs/7175081.html,洪山区,10k-15k,武汉斗鱼网络科技有限公司,3-5年,本科,大平台；五险一金；年底多薪;弹性作息,"【岗位职责】 1. 负责开发和维护内部安全平台 2. 安全相关数据整理、挖掘、分析 3. 协助开展项目需求分析、编写需求及接口文档 【任职要求】1. 3年以上Python后端开发经验, 精通Flask等后端框架2. 熟悉Mysql, Redis3. 了解Linux环境，有实际的线上产品开发经验4. 理解RESTful架构，设计RESTful API5. 对新技术进行快速学习和使用【加分项】1. 前端开发经验2. 验证码识别经验",文娱丨内容,2000人以上,python,武汉
python开发工程师,https://www.lagou.com/jobs/7163401.html,洪山区,15k-20k,武汉云外恒信息技术有限公司,1-3年,本科,带薪年假 年终奖金,任职要求：1、负责设计和开发分布式的网络爬虫应用，包括调度、抓取、入库等内容，进行互联网相关信息的抓取和分析。2、网络爬虫架构设计、功能开发及优化。3、网页信息抽取等核心算法的研究和优化。负责公司运营平台开发工作。4、负责解决项目相关的开发需求以及Bug修正，相关的问题的沟通协调工作。任职要求：1、统招研究生或本科，计算机或相关专业；2、两年或两年以上爬虫开发经验；3、熟悉爬虫原理，掌握常见的反爬虫技术，精通Scrapy框架，熟练使用Splash；4、精通WebDriver，掌握http协议，熟悉html、dom、xpath等常见的数据抽取技术；5、熟练使用MySQL、MongoDB，熟悉Hadoop、HBase、Elastic Search等技术；6、扎实的算法和数据结构能力，有大规模代理服务器管理经验和模板失效应对的经验优先；7.优秀毕业生可放宽条件。,"移动互联网,信息安全",少于15人,python,武汉
Python（极验验证）,https://www.lagou.com/jobs/1892699.html,东湖新技术开发区,9k-18k,武汉极意网络科技有限公司,3-5年,不限,双休+弹性工作制+五险一金+餐补,"我们需要你来：负责产品开发核心后台支持系统负责产品架构、性能、安全、扩展等优化的设计和实现 我们希望你能：——拥有良好基础知识，熟悉常用算法和数据结构； —— 两年以上python或Java等后端语言开发经验, 熟练掌握面向对象编程； ——具有技术钻研精神，追求完美，并具有较强自驱学习能力； ——熟练掌握MySQL数据库开发,熟悉SQL索引调优； ——熟悉tornado等框架，熟悉异步原理； ——对高负载、大访问量情况下的系统架构的搭建、调试、排错、优化、部署等方面有一定的经验；——熟悉多种语言及流行技术，能够解决某种语言开发中遇到的问题优先； ——开源贡献者优先，github源码者优先，技术博客者优先。","信息安全,数据服务",50-150人,python,武汉
后端开发工程师（Python/Ruby）,https://www.lagou.com/jobs/6803253.html,洪山区,10k-20k,深圳比特屋网络有限公司,1-3年,本科,午餐补助 五险一金 带薪年假,"What's in it for you:1. Insurance and Housing Fund2. Paid annual leave3. Lunch subsidies Responsibilities:1. Project back-end architecture construction and API development;2. General service maintenance and development of the company. What We're Looking For:1. Bachelor degree or above in computer related major, more than 2 years working experience in back-end development, major role in large projects is preferred;2. Proficient in Python / Ruby / Java / C + + / and other development languages;3. Proficient in using mainstream web framework (Django, flask, tornado, rails, etc.), familiar with HTTP, socket and other protocols;4. Skilled in using one or more databases such as PostgreSQL, mysql, Redis;5. Familiar with Git tools, understand the server linux environment and commands;6. Bonus points for good programming literacy and solid programming skills, as well as proficiency in data security.",移动互联网,15-50人,python,武汉
后台Python高级工程师,https://www.lagou.com/jobs/6850144.html,洪山区,10k-15k,武汉踏浪出海科技有限公司,3-5年,本科,配置期权、广阔的职业成长空间,特殊时期，远程视频面试，可在家办公。职位描述：1. 负责风控系统的开发和优化；2. 负责运营平台、统计平台的开发和优化。岗位要求：1. 本科及以上学历，3年以上后台开发经验，具有完整的python项目开发经验；2. 优秀的代码能力和架构能力，对nginx、缓存、mysql优化有一定研究；3. 熟悉Linux系统，具备一定性能优化经验，有大规模、高并发系统开发经验者优先；4. 学习能力强，有较强的合作精神和强烈的进取心；5. 有海外项目经历者优先；6. 英语CET4及以上水平优先。,"移动互联网,金融",15-50人,python,武汉
中高级python开发工程师,https://www.lagou.com/jobs/6788170.html,洪山区,12k-20k,智线云科技（北京）有限公司,3-5年,本科,六险一金 超长年假 绩效奖金 福利多多,职位描述：1、 基础系统架构、模块、库和组件的研发；2、 分布式海量数据存储和分析系统的研发和调优；3、统计分析、报表、SaaS业务等系统研发；4、CRM、财务结算、工作流等内部管理系统的研发。能力要求：1、统招本科，计算机相关专业，使用python等一门以上语言，开发过不算太小的项目；2、熟悉数据结构、DB、OS、Web开发等相关知识，对Linux相关的各类技术情有独钟；3、有大规模、高性能互联网网站系统相关的设计和开发经验者优先；4、具备良好的学习能力和成长潜力，渴望和团队一起快速成长。,"移动互联网,数据服务",50-150人,python,武汉
python后端,https://www.lagou.com/jobs/6755010.html,江夏区,9k-15k,武汉小果科技有限公司,1-3年,本科,技术大牛，项目奖金，自主研发，提供mac,岗位职责：负责森果各系统Web后端功能开发、数据处理和系统维护等。必备技能：- 熟悉Python语言及其特性，了解相关Python Web框架;- 熟悉MySQL的基本操作;- 掌握面向对象的程序设计思想;- 熟悉Linux开发环境;- 至少使用Python开发过一个Web应用;加分项：- 学无止境，新框架新技术分分钟搞定;- 玩过至少一种非关系型数据库;- 熟悉HTML5 / CSS3 / JS;- 熟练使用Python标准库，熟悉sqlalchemy、celery、requests、numpy、pandas等第三方库- 了解非阻塞Web框架Tornado的特性，使用Tornado开发过Web应用 简历务必附上github地址注意事项：笔试面试及offer通知都会通过邮箱发放，请密切关注哦~,"移动互联网,企业服务",50-150人,python,武汉
