job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
python开发,https://www.lagou.com/jobs/7074755.html,昆山市,10k-18k,昆山微远信息技术有限公司,5-10年,大专,项目奖金 年终奖 旅游 节日礼品,"职位描述：1. 负责Web应用的设计，开发，测试和发布。 搭建系统开发环境，完成系统代码的编写。2. 负责公司应用系统的日常维护。任职要求：1、熟悉Python, MySQL  memcached redis。2、熟悉Django web开发测试框架。有实际项目经验者优先。有较强的学习，沟通和团队协作能力。能独立完成任务。3、熟悉Django web开发测试框架。有实际项目经验者优先。4、有较强的学习，沟通和团队协作能力。能独立完成任务。5、 windows server 环境搭建部署，linux 环境搭建","游戏,其他",150-500人,python,苏州
python开发工程师,https://www.lagou.com/jobs/7151197.html,吴中区,9k-13k,苏州海管家物流科技有限公司,1-3年,大专,五险一金 周末双休 年底双薪,岗位职责1、负责公司内爬虫、RPA工具的开发。2、协助产品经理梳理相关需求。3、负责协助项目后续维护和产品升级。岗位要求1、熟练掌握python和面向对象编程。2、熟练使用requests、selenium、scrapy，熟练使用charles、fiddler等抓包工具。3、熟练掌握多线程、协程等并发开发。4、熟悉Mysql/Redis。5、至少两年以上的爬虫开发经验。6、有丰富的工程经验，保证产品上线后的稳定高可用。6、愿意深挖技术细节和学习尝试新技术。7、性格开朗、能快速融入团队，习惯团队协作开发。,"消费生活,电商",50-150人,python,苏州
Python开发工程师,https://www.lagou.com/jobs/7018660.html,工业园区,10k-20k,天聚地合（苏州）数据股份有限公司,3-5年,本科,"氛围好,不加班,团队成员好,晋升空间大","岗位职责：1.负责开发维护服务端、管理后台和API接口;2.负责服务器运营维护、性能调优、架构设计与升级;3.参与产品设计讨论;4.参与项目的测试、系统交付工作，对项目实施提供技术支持。岗位要求：1.精通Python 开发， 具有3年以上Python开发经验；2.熟练使用Python Web 开发框架Django/Flask；3.熟练使用Zookeeper, Kafka, RabbitMQ等开源中间件；4.数量掌握常用数据库MySQL, MongoDB，Redis；5.熟练Git开发流程，了解敏捷开发方法；6.有良好的编码习惯，对代码和设计质量有严格要求，重视Code Review；7.具有良好的沟通能力和团队合作精神；8.有自然语言识别(NLP)开发经验者优先。",数据服务,50-150人,python,苏州
Python开发工程师,https://www.lagou.com/jobs/7006367.html,姑苏区,10k-15k,江苏筑牛网络科技有限公司苏州运营中心,3-5年,本科,薪酬待遇，公司氛围,工作职责：1. 参与采集平台的开发，设计爬虫策略和防屏蔽措施，提升网页抓取的效率和质量；完善系统的可用性，稳定性及易用性；2. 编写数据采集脚本，爬取外部开发网站平台数据，以及对接外部授权API数据；3. 负责采集数据的收集、处理以及存储，输入给应用上层；4. 负责对采集到的数据汇总分类，以及分析。任职要求：1.三年及以上大数据开发经验，熟练使用 python 语言进行程序开发；2.有爬虫系统开发，开放API数据平台对接经验；熟悉常用爬虫框架；熟悉反爬虫技术及常见破解方法；3.熟练Hive，可以使用大数据组件对数据进行 ETL，熟悉数据处理的整个流程；4.熟悉高并发、高性能的分布式系统的设计及应用，熟悉HBASE，Kafka，Flink等各种大数据组件技术优先；5.对数据敏感，乐于寻求挑战和突破自我。加分项：1. 有大规模分布式爬虫平台建设经验；2. 熟悉常用的反爬措施，有反向工程能力3. 熟练大数据组件，离线/实时开发能力,"移动互联网,电商",50-150人,python,苏州
Python开发工程师(J10004),https://www.lagou.com/jobs/6896331.html,高新区,15k-25k,中移（苏州）软件技术有限公司,1-3年,本科,五险一金、交通补贴、餐饮补贴、通讯补贴,,移动互联网,500-2000人,python,苏州
安全研发工程师(python/C)(J10793),https://www.lagou.com/jobs/6895889.html,高新区,20k-30k,中移（苏州）软件技术有限公司,3-5年,本科,五险一金、交通补贴、餐饮补贴、通讯补贴,,移动互联网,500-2000人,python,苏州
Python工程师,https://www.lagou.com/jobs/4903238.html,吴中区,6k-12k,广州绿网环境保护服务中心,1-3年,大专,"六险一金,靠近地铁,双休,自由工作",岗位职责：数据抓取（网络爬虫）程序的开发与维护数据管理系统的开发与维护数据分析与处理的程序开发职位要求：热爱公益事业，拥有良好的价值观，本科及以上学历，具备较强学习能力；熟练掌握Python3基础，熟悉爬虫开发技术，有多线程编程经验优先考虑；熟悉Python web开发，掌握HTML、CSS、Javascript，有vue.js经验的优先考虑；熟悉linux任务管理、进程管理的优先考虑；有python数据分析开发经验的优先考虑；马云说：如果地球都生病了，我们怎么会健康！来和我一起做点有意义的事情！,"数据服务,其他",15-50人,python,苏州
Python开发工程师(苏州),https://www.lagou.com/jobs/4865464.html,吴中区,6k-12k,深圳市和沃翼起科技有限公司,不限,本科,初创公司，是挑战，也是机会！,工作内容：1、使用python语言进行功能模块的修改和开发。2、协助用户表达和细化需求。3、安装，部署和测试软件系统和功能模块。 我们希望你：1、有积极主动解决问题的能力。2、有良好的面向对象，MVC，ORM思想。3、熟练掌握至少一种版本控制工具。,"移动互联网,金融",15-50人,python,苏州
python后端开发工程师,https://www.lagou.com/jobs/6543998.html,张家港市,10k-20k,苏州斑马之家智能科技有限公司,3-5年,本科,发展平台；股票期权；五险一金；扁平化管理,岗位职责1、负责项目后端框架搭建，模块设计和功能开发，以及项目维护工作；2、进行系统的功能定义；3. 负责和APP之间通信接口的制定。任职要求1、熟悉Python编程语言及flask、django等Python web开发框架；2、至少使用过一种主流web框架，熟悉xml/json/protobuf等至少任意一种网络通信技术和数据交换格式；3、精通mysql等主流数据库开发；4、有较强的编程能力及规范的编程风格，重视代码质量；5. 熟悉面向对象变成思想及常用的设计模式。,"硬件,人工智能",15-50人,python,苏州
python开发工程师,https://www.lagou.com/jobs/6950437.html,吴中区,10k-20k,天聚地合（苏州）数据股份有限公司,3-5年,本科,周末双休 五险一金 弹性工作 股票期权,"岗位职责：1.负责开发维护服务端、管理后台和API接口;2.负责服务器运营维护、性能调优、架构设计与升级;3.参与产品设计讨论;4.参与项目的测试、系统交付工作，对项目实施提供技术支持。岗位要求：1.精通Python 开发， 具有3年以上Python开发经验；2.熟练使用Python Web 开发框架Django/Flask；3.熟练使用Zookeeper, Kafka, RabbitMQ等开源中间件；4.数量掌握常用数据库MySQL, MongoDB，Redis；5.熟练Git开发流程，了解敏捷开发方法；6.有良好的编码习惯，对代码和设计质量有严格要求，重视Code Review；7.具有良好的沟通能力和团队合作精神；8.有自然语言识别(NLP)开发经验者优先。",数据服务,50-150人,python,苏州
Python工程师,https://www.lagou.com/jobs/3917655.html,工业园区,10k-20k,苏州东湾信息科技有限公司,1-3年,本科,五险一金,"软件工程师(1-3年工作经验)职位要求： 1.计算机相关专业，本科及以上学历;2.熟练掌握基本算法与数据结构;3.具有优良的编码风格和习惯；4.熟悉HTTP、TCP/IP协议，RESTful规范；5.熟悉Linux开发环境, zsh/vim/git者优先；6.良好的 Ruby或者Python/PHP语言基础及开发/重构能力优先；7.具有良好的英语书面表达能力, 过6级者优先；8.熟练使用 Ruby On Rails或Flask，Django, Laravel等主流开发框架者优先;9.了解Postgresql、Mysql、Redis、Memcached等数据库及缓存的使用和基本原理者优先；","移动互联网,企业服务",50-150人,python,苏州
python开发,https://www.lagou.com/jobs/6827626.html,高新区,8k-12k,苏州世纪福智能装备股份有限公司,3-5年,大专,扁平化管理,1. 大专以上学历，3到5年左右Python开发经验；2. 熟悉Linux操作系统，TCPIP协议、HTTP协议;3. 根据产品需求，能够独立开发相应的界面和功能模块；4. 熟悉常用数据结构、算法，有良好编码风格；5. 对多线程、socket通讯和性能优化有实际的项目经验，有成熟的相关产品优先；6. 有良好的英语阅读技术文档以及沟通能力7. 有良好的工作态度，团队合作精神；8. 责任心强，有一定抗压能力，能积极乐观的面对并解决问题和困难；,其他,150-500人,python,苏州
资深python开发工程师,https://www.lagou.com/jobs/6498099.html,工业园区,15k-30k,上海众言网络科技有限公司,5-10年,本科,中大型客户群体 大客户代表 晋升空间大,岗位职责：1、负责公司各平台服务端设计和代码实现 ；2、优化现有产品的功能和体验细节 ；3、对现有平台进行性能优化 ；4、积极调研新技术，随时准备用于产品 ；岗位要求： 1、全日制统招本科及以上学历，计算机、软件工程、信息管理等相关专业，年龄35岁以内 ；2、5年及以上Web服务器端开发经验，有Python经验佳，Java、php亦可；3、有丰富的数据库建模经验，有丰富的性能优化经验 ；4、有扎实的技术功底，做到知其然并知其所以然，能读懂python主流框架源码 ；5、熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制；能对分布式常用技术进行合理应用，解决问题；6、具有较深的技术架构思维，确保设计的技术方案、开发的代码有较高性能、质量保障、扩展性，前瞻性 。,移动互联网,150-500人,python,苏州
C++/python GUI 软件工程师,https://www.lagou.com/jobs/6765390.html,工业园区,10k-15k,苏州珂晶达电子有限公司,1-3年,本科,双休、13薪、五险一金加团体商业险,1、负责开发及维护我公司软件产品的工作，以GUI设计为主（包括CAD绘图）、 同时涉及网络数据交换，数据管理等模块；2、撰写内部文档及测试脚本。要求：理工科本科及以上学历。精通C++或Python程序设计语言。具有以下工作经验者优先： - 大型产品的开发或维护工作 - Qt4/5 图形界面库 - VTK 或其他三维可视化库 - XML/XSLT - Linux/Unix 操作系统有较好的英语读写能力，能快速阅读英文技术资料，用基本的英文撰写内部文档。 思路清晰、有条理，能有效地讨论技术问题。,移动互联网,15-50人,python,苏州
web前端开发工程师,https://www.lagou.com/jobs/6698380.html,吴中区,12k-16k,上海海万信息科技股份有限公司,3-5年,本科,大项目，大平台,任职要求：1、本科计算机软件相关专业及以上，3-5年及以上前端工作经验。2、 精通HTML5、CSS3和JavaScript语言，熟悉vue开发框架，掌握HTTP及相关网络协议，熟悉跨终端、跨浏览器的开发模式和平台特性，了解业界技术发展状况；3、有前后端分离的项目开发经验，了解响应式设计，对用户可用性，用户体验，用户研究等相关知识有深入的了解和实践经验。4、了解一种后端语言（Java，nodeJs，python等），并对后台开发有一定了解。5、拥有丰富的主流浏览器兼容性和移动端开发经验。6、对web前端技术有强烈兴趣，能对web前沿技术研究和新技术调研，有良好的学习能力和团队合作精神。,"移动互联网,金融",500-2000人,python,苏州
数据挖掘（苏州）,https://www.lagou.com/jobs/6271647.html,工业园区,20k-40k,同程网络科技股份有限公司,3-5年,本科,薪资福利好，发展平台大,岗位描述：1. 对大数据进行分析，挖掘各类用户特征，使用统计建模方法辅助业务分析用户。2. 从多个角度对用户进行建模，并不断优化机器学习模型应用于智能风控、智能推荐、智能营销、智能客服等场景。任职要求：1. 计算机科学与技术、统计学、数学等相关专业；2. 有三年以上数据建模或数据挖掘经验；3. 有用户行为分析经验者优先；4. 优秀的数据结构和算法基础，具有较强的开发，系统实现能力；5. 精通数据挖掘、机器学习相关理论并有足够实践经验，能独立阅读英文文献；6. 熟悉C/C++、Java、Python、R、Scala多种或一种语言，有良好的Linux环境实际开发经验；7. 有hive，Hadoop，Spark使用经验者为佳；8. 在大型互联网行业有智能推荐、智能营销、智能客服等方面实际经验者为佳；,旅游,2000人以上,python,苏州
嵌入式软件开发工程师,https://www.lagou.com/jobs/7176651.html,工业园区,15k-30k,君师禾信息技术（上海）有限公司,不限,本科,福利待遇好,1、负责数据中心网络交换机、园区网络交换机、WIFI、物联网、接入路由器等某一产品的软件研发；2、负责系统软件或某领域（如OS、转发、中间件、协议栈、系统管理、虚拟化等）的设计、重构、算法、开发工作。岗位要求：19年前（含19年）本科或硕士毕业，熟悉C/C /JAVA/Python等任意一种编程语言，软件开发工作经验。,信息安全,15-50人,python,苏州
通用软件开发工程师,https://www.lagou.com/jobs/7196542.html,工业园区,15k-30k,君师禾信息技术（上海）有限公司,不限,本科,福利待遇好,岗位职责：1、参与多种形态的智能协作终端产品软件系统的设计、开发、维护工作等；2、参与智能协作媒体平台、业务管理平台、AI服务软件系统的设计、开发、维护工作等；3、参与WEB、界面、业务控制、音视频媒体处理（H264/H265/H266、Opus/G.7XX）、H323/SIP通信协议、Android应用开发、BSP芯片驱动系统等多个模块或子系统的软件需求分析、设计、开发、测试和维护工作；4、参与Android 第三方软件应用开放性开发和交付任职要求：1、 信号处理或者电子、通信、计算机等相关专业；2、 熟练掌握C/C++/JAVA/python/matlab 一种或多种语言；3、需要实际参与1~2个项目需求分析与系统设计的具体工作；4、有性能优化、关键/重大问题攻关经验优先；5、有音视频算法、摄像机算法、AI、人机交互算法，ARM平台优化开发经验优先；,信息安全,15-50人,python,苏州
互联网运维工程师,https://www.lagou.com/jobs/7100338.html,高新区,6k-8k,憨妈妈网络科技（苏州）有限公司,3-5年,不限,发展空间大,"工作职责：1、负责公司各项云服务的日常维护，重点技术攻关，7x24*故障响应/处理，恢复预案制定，服务性能调优。2、设计服务器后端架构，实现分布式/集群化运维，确保集群高稳定性，根据具体业务场景平衡数据一致性/可用性，制定并实施相关运维技术方案，确保服务高效、稳定的运行。3、负责选型/设计、实施、优化与运维相关的各自动化工具或系统，减少人工干预（部署流程、CI、性能／业务监控系统、资源分配/弹性伸缩等）4、公司自有运维工具/内部系统研发（自定义监控/流程管理/数据分析等） 岗位要求：1、本科及以上学历，至少4年以上互联网运维经验（能力突出者可酌情考虑）；2、掌握常见网络拓扑结构，深入理解TCP/IP协议，了解HTTP、DNS、FTP等常见应用层协议以及交换机、路由器，安全组，防火墙的工作和运行原理；3、熟练掌握Linux系统常用命令，熟练使用grep、awk、sed等系统工具，至少熟悉一种（Python/Go/Shell/Groovy）等脚本语言者优先；4、有常见性能/业务/异常监控平台的搭建和使用经验，如：prometheus/zabbix/grafana/sentry/datadog等5、 熟悉常见应用和中间件配置、维护/优化/高可用方案，如Redis/kafka/RabbitMq等；6、熟练掌握Nginx/haproxy等应用配置及高可用方案；7、具备Mysql数据库运维能力，了解数据库引擎常规优化和高可用方案；8、熟练掌握jenkins自动化工具，熟悉git版本/分支管理，可持续集成；9、有docker及其常见编排工具（如K8S, Swarm）实践经验者优先；10、有开源项目贡献者或开源项目领导者优先；11、具有良好的沟通协作能力，有较强的团队合作和分享意识；工作主动性强，耐心细致，有责任心，执行力强，并有较强的自驱动能力和学习能力，具备一定的文档能力","电商,企业服务",15-50人,python,苏州
