job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Spark 数据工程师,https://www.lagou.com/jobs/6069628.html,普陀区,30k-60k,上海游盾网络科技有限公司,3-5年,本科,同事Nice 发展空间大,岗位职责：1、负责构建 Spark/Hadoop 大数据处理系统2、使用 Spark/Hadoop 进行数据处理、查询和统计等工作3、负责基于 Scikit-Learn 和 Spark ML 进行机器自动学习的设计和编程岗位要求：1、本科以上学历，熟悉 Spark 相关技术，至少有一年的 Spark 开发经验2、熟悉 Spark SQL 和 Hadoop 生态圈3、熟练使用常用机器学习的框架和工具，有实际机器学习项目经验者优先4、精通 Python 或 Scala,移动互联网,15-50人,spark,上海
Java+Spark资深开发工程师,https://www.lagou.com/jobs/6934185.html,浦东新区,21k-42k,上海华钦信息科技股份有限公司,3-5年,本科,金融、银行、外企,"Java,J2EEMinimum 7 years experiences as a full stack developer and minimum 2 year in a team lead roleComputer science or related engineering degree is requiredJava server side technologies for enterprise development such as Spring framework and messaging frameworks such as JMSAn enterprise RDMS database such as Oracle or SybaseBig data:At least 8 years of experience in information technology and software development, with 5+ years of financial service experiences.5+ years of experience working with Java, J2EE, Oracle, SQL, PL/SQL is required 3+ years of experience with development of user interface using Angular-JS is requiredExperience in using Open Source technology is required.","数据服务,金融",500-2000人,spark,上海
运维主管 (MJ000190),https://www.lagou.com/jobs/5997315.html,浦东新区,20k-40k,上海剑圣网络科技有限公司,5-10年,大专,跨国项目；团队氛围佳,"岗位职责：1.负责公司大数据基础平台的规划、部署、管理理和优化，保障平台稳定可靠高效运⾏；2.负责Hadoop、HBase、Hive、Spark、Kafka等集群的维护、优化工作；3.负责故障追踪定位，分析和解决问题，并制定后续的改进和规避⽅方案；4.负责系统的架构优化、容灾优化、性能优化等；5.深⼊理解公司大数据平台架构，发现并解决性能瓶颈，⽀支撑业务和数据量量的快速增长；6.了解产品业务，加⼊产品从原型设计到正式上线的整个过程，基于对产品的理理解，从技术架构的⻆角度给予持续的优化意见；7.开发大数据自动化运维、监控、故障处理理⼯工具，监控所有基础设施组件、应⽤用程序，提供紧急应急措施；8.跟进推动复杂技术方案，保证项目的成功完成，优化运维体系并带领和提升运维团队，实现可靠和可扩展的运维环境。任职要求：1.有3年以上Hadoop生态系统维护经验, 3年以上运维团队管理经验；2.熟悉Hadoop、HBase、Kafka、Hive、Spark等组件的工作原理理，搭建、调优并维护过spark、Hive、Storm、Kafka、Redis等服务；3.熟悉Linux开发环境，熟练掌握Java/scala/python等任一编程语言，算法基础扎实，编码能⼒力力优秀4.熟悉分布式系统设计范型，有大规模系统设计和工程实现者优先；5.熟悉Linux操作系统，熟练使用Perl、Python、SHELL等至少一种语言；6.深入理解TCP/IP的通讯原理，掌握各种路由协议的技术原理及部署方式，熟悉VPN、防火墙、NAT等网络技术和应用；7.熟悉开源监控管理理软件的基本原理理和部署方式；8.熟练Mysql、Nginx等常见服务的安装部署、日常运维和优化。","移动互联网,游戏",150-500人,spark,上海
大数据运维工程师 (MJ000167),https://www.lagou.com/jobs/5653206.html,浦东新区,15k-30k,上海剑圣网络科技有限公司,3-5年,不限,数据量巨大 跨国项目 项目前景好,岗位职责：1、管理公司大数据集群，提供高可用、高性能大数据集群系统，并保障系统稳定运行；2、负责大数据集群各服务自动化运维与监控工具，日常监控、数据备份、数据监控、数据报警及故障处理；3、负责大数据平台集群的权限管理、故障处理、日常错误情况处理等；4、根据业务需要优化hadoop环境，包含MR作业、计算框架、提升集群吞吐并降低成本。职位要求：1、全日制本科及以上学历，计算机或相关专业，3年及以上相关工作经验，理解并实施大数据产品的部署场景；2、熟悉Hadoop生态圈，对HBase、Hive、Spark、Impala、Kafka、Redis、azakaban、zookeeper、yarn等主流分布式开发套件有一定认识， 有相关安装部署及调优经验者优先；3、对Cloudera 有使用及运维经验，熟悉日志采集工具，如filebeat、logstash、flume等；4. 熟悉Linux类操作系统的基础命令操作，能够编写脚本开展日常运维工作；5. 熟悉Linux开发环境，会使用Shell/Java/Python中的一门脚本语言；6. 熟悉常见开源工具如Nginx、Zabbix、Grafana等的安装配置和使用。,"移动互联网,游戏",150-500人,spark,上海
Java数据开发,https://www.lagou.com/jobs/7194454.html,徐汇区,20k-32k,深圳苹果树数据科技有限公司,3-5年,本科,腾讯团队,任职资格：    1、本科及以上学历，计算机相关专业；    2、3年以上JAVA开发经验，基础扎实，掌握常用的微服务开发框架，理解JVM原理，理解io、多线程、集合等基础框架，掌握面向对象设计开发;     3、精通MySQL等数据库原理及性能优化；    4、具有大数据开发经验，熟悉Python、R等语言，熟悉Spark开发，熟悉常用的大数据开发工具；    5、熟悉Unix/Linux操作系统原理、常用工具；    6、全面并且扎实的软件知识结构（操作系统、软件工程、设计模式、数据结构、数据库系统、网络安全）；    7、具备良好的分析解决问题能力，能独立承担任务和有系统进度把控能力；    8、好学、责任心强、思维缜密敏捷、良好的对外沟通和团队协作能力；    9、有海量数据和高并发开发经验者优先。,"金融,数据服务",150-500人,spark,上海
解决方案架构师--上海,https://www.lagou.com/jobs/7030602.html,徐汇区,20k-30k,杭州观远数据有限公司,5-10年,本科,牛人团队 成长空间 期权激励 独当一面,岗位职责：1.配合销售、顾问团队工作，在需求沟通、方案讲解、产品POC、招投标等环节提供支持；2.作为解决方案架构师，能够为客户提供技术咨询服务，结合产品能力，针对性的给出项目技术方案设计；3.负责技术材料、用户案例、产品解决方案、市场营销材料的总结与编写。岗位要求：1.本科及以上学历，计算机相关专业优先；2.5年以上工作经验，至少1年售前或咨询经验，参与过数据平台、数据分析类项目，熟悉相关领域的产品、解决方案和系统建设方法；3.熟悉常见的技术栈，包括传统架构、主流大数据架构（如Hadoop，Spark等），能够理解并阐明各类技术原理；4.优秀的文档编写能力、演讲能力，资源协调和关系管理能力；5.熟悉主流BI产品优先。,"企业服务,数据服务",150-500人,spark,上海
数据BP-点评APP数据仓库开发,https://www.lagou.com/jobs/6786138.html,长宁区,25k-40k,北京三快在线科技有限公司,3-5年,本科,上市公司 核心部门 大牛云集,,消费生活,2000人以上,spark,上海
java开发工程师,https://www.lagou.com/jobs/6220537.html,浦东新区,14k-24k,奥解思信息科技（上海）有限公司,1-3年,本科,福利好，弹性工作制，培训机会多,1、2年以上Java开发经验，良好的基于Java系统设计和开发相关经验。2、本科及本科以上计算机相关专业3、熟悉JAVA(核心JAVA、多线程、Spring、Restful服务)4、熟悉Maven、GIT、Hudson、JUnit等类似技术。5、数据库- Oracle或具有SQL、PL/SQL编程经验。6、unix /Linux脚本编写技巧(Korn shell)7、具有Mongo DB经验，会Spark优先考虑8、有消息服务(JMS、Tibco EMS)和Websphere application server方面经验优先。9、英语优秀优先考虑。,金融,500-2000人,spark,上海
ETL工程师,https://www.lagou.com/jobs/5184192.html,浦东新区,15k-25k,上海商涌网络科技有限公司,1-3年,本科,学习成长快 团队氛围好发展空间大新兴行业,"职责描述： 1、负责项目中数据处理工作，分析原始数据并采用合适的算法，对数据清洗、转换、入库与分析；2、负责数据仓库ETL流程的优化、表结构与表关系设计及解决ETL相关技术问题；3、整体考虑ETL的架构、性能、存储、调度等问题 ；4、钻研业务，能够更为深层次地理解业务数据需求。任职要求：1、 计算机或统计、数学相关专业本科及以上学历，两年以上ETL相关的工作经验；2、 参与并承担过数据统计，数据挖掘等相关数据处理开发工作；3、 熟悉hive,sparksql熟悉其基本理论。有hive，sparksql调优、解决SQL性能问题经验； 4、 熟悉关系型数据库理论，熟悉掌握主流数据库系统中的一种或多种，例如Oracle、DB2、MYSQL、SQL Server； 5、 熟悉SQL语句，对SQL查询优化有丰富的经验，熟悉PL/SQL，熟悉存储过程、函数、包、触发器等的开发； 6、 了解ETL架构，有一定的ETL开发经验，了解日常作业的部署和调度； 7、 至少熟悉一种ETL开发工具，如DataX,Flume,Sqoop,Kettle等； 8、 掌握Shell脚本编写，至少掌握一种编程语言如Python,Java,Scala等； 9、 具有基本的数据敏感性加分项:1、 熟悉Hadoop,Spark,Hive,HBase,Docker；2、 有过保险/金融/医疗行业从业经验；3、 善于沟通","数据服务,人工智能",50-150人,spark,上海
大数据开发工程师,https://www.lagou.com/jobs/6626474.html,浦东新区,11k-22k,上海商涌网络科技有限公司,3-5年,本科,学习成长快 团队氛围好发展空间大新兴行业,"职责描述： 1、参与大数据平台环境搭建，架构设计及优化，源码二次开发；2、参与基于HBase分布式数据高并发查询架构设计及优化，程序开发；3、参与基于Flink实时平台，实现数据采集，清洗和集成开发任务，并及时跟进解决问题；4、钻研最新大数据技术，能够更为深层次地理解数据技术架构。任职要求：1、计算机相关专业本科及以上学历，两年以上大数据开发工作经验；2、熟悉Linux、Unix系统及掌握基本命令；3、熟悉Hadoop，HBase，Flink，Spark及其基本理论。有过HBase实时高并发查询开发经验和Spark开发经验；4、熟悉使用SQL语句，对SQL查询优化有丰富的经验，熟悉MySQL，熟悉存储过程、函数、包、触发器等；   5、掌握Shell脚本编写，至少掌握两种及以上编程语言如Python,Java,Scala等； 6、了解高并发实时访问开发及其架构构建，具备实施调优经验；7、对Spark，Hadoop等开源的源码有过研究，对于新技术有研究热情，较强的学习能力和团队协作意识；8、有过保险/金融/医疗行业从业经验者优先。","数据服务,人工智能",50-150人,spark,上海
