job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
spark数据工程师（实时计算）,https://www.lagou.com/jobs/6800681.html,江干区,20k-40k,浙江单创品牌管理有限公司,不限,不限,前景可期 成长速度快,,"移动互联网,电商",500-2000人,spark,杭州
Hadoop/Spark 资深运维开发,https://www.lagou.com/jobs/4276342.html,西湖区,20k-35k,杭州有朋网络技术有限公司,1-3年,本科,"股票期权,团队好,传统与潮流,薪奢华旅游",岗位职责:1、负责公司大数据平台的运维保障；2、负责大数据平台的架构审核、业务监控、持续交付、应急响应、容量规划等；3、为线上服务高效稳定运行负责，支撑业务和数据量的快速扩张；4、深入理解大数据平台架构，发现并解决重大故障及性能瓶颈，打造一流的大数据平台；5、持续的创新和优化能力，提升产品整体质量，改善用户体验，控制系统成本； 任职资格:1、深入理解linux系统，运维体系结构，精于容量规划、架构设计、性能优化；2、熟悉Hadoop大数据生态圈，包括但不限于HDFS、YARN、Hive、HBase、Spark等；3、有1年以上Hadoop相关运维开发经验，了解Hadoop各组件的原理，并有实际部署维护经验；4、有开发经验优先，精通一门以上脚本语言(shell/python/perl等)，熟悉Java/C/Scala等开发语言一种及以上；5、深入理解Hadoop各组件的原理和实现，有阅读源码能力者优先；6、具备很强的ownership，故障排查能力，有很好的技术敏感度和风险识别能力；7、良好的服务意识，善于团队协作，项目管理，主动思考，自我驱动力强。,移动互联网,150-500人,spark,杭州
平台研发,https://www.lagou.com/jobs/7021663.html,拱墅区,20k-35k,大箴（杭州）科技有限公司,3-5年,本科,带薪年假；下午茶；团建；,岗位描述： 1.基于Hive、Spark、Hadoop、flink等大数据框架，构建开发企业级数据中台；2.参与数据中台的架构设计、核心功能设计，并根据设计完成代码的实现；3.能够定位并优化数据中台的瓶颈问题，能够解决开发中的核心技术问题；4.调研行业最新数据中台各项技术，并将先进技术引入到平台中，升级优化数据中台技术能力；岗位要求：1.熟悉常用大数据框架Hadoop、Spark、Flink、Kafka、Flume、Datax、Hbase等，对Hadoop、Spark、flink源码有深入研究者优先；2.有可视化工作台、数据治理、数据安全、多租户相关的平台设计和开发经验；3.熟练掌握Linux各种命令，具备良好的shell功底；4.3年以上java相关工作经验，精通Java，熟悉Scala、Python语言。熟悉Spring、Dubbo、Mybatis框架;,"人工智能,企业服务",50-150人,spark,杭州
数据开发,https://www.lagou.com/jobs/7031604.html,拱墅区,25k-35k,大箴（杭州）科技有限公司,5-10年,本科,15薪，年终分红；下午茶；,岗位描述：1.基于Hive， Spark，Hadoop的计算架构，进行大数据开发工作；2.在分布式集群上进行Hive和Spark数据开发；3.能够定位数据计算任务的瓶颈并进行性能优化；4.针对具体业务问题，构建数据化解决方案、分析框架，进行专题分析，或对具体问题进行相关设计与落地实现；岗位要求：1.有较为系统的海量数据性能处理经验；在大数据资产管理与治理有一定成功产品化经验；2.熟悉Hadoop、HBase、Zookeeper 、Spark等分布式框架，对Hadoop、Hbase或Spark源码有深入研究者优先；3.有元数据管理、可视化工作台开发、数据治理、数据安全、多租户相关的平台设计和开发经验；4.熟悉Spring、Dubbo、Mybatis框架；5.熟练掌握Linux各种命令行工具，具备良好的shell功底；6.良好的思维逻辑性、语言表达能力；,"人工智能,企业服务",50-150人,spark,杭州
大数据运维工程师,https://www.lagou.com/jobs/7219217.html,余杭区,13k-20k,深圳市华云中盛科技股份有限公司,3-5年,本科,六险一金 周末双休,岗位职责：1. 负责解决阿里专有云大数据产品工单2. 针对工单中反馈的问题，归纳提炼为产品需求、产品缺陷、文档改进、运维工具/方法提升等方面的任务，并推动追踪各任务的落地情况3. 配合开发团队，验证各类运维解决方案的正确性任职资格：1、2年以上Linux服务器运维管理经验，熟悉Hadoop，Spark等主流的大数据产品2、技术面广，熟悉dns、dhcp、pxe、网络、系统等技术3、至少熟悉Java/Python/Bash一种或多种语言，擅长python尤佳4、熟悉SQLServer/MySQL等常见关系型数据库管理、监控和备份5、要求有较强的学习能力及专研精神，具有良好的独立分析问题与迅速解决问题的能力6、性格沉稳，吃苦耐劳，良好的口头和书面表达能力，善于与人沟通,"数据服务,移动互联网",500-2000人,spark,杭州
高级数据工程师,https://www.lagou.com/jobs/6017013.html,滨江区,15k-30k,浙江天垂科技有限公司,3-5年,本科,弹性工作，技术氛围好，MAC，五险一金,"负责建立一个复杂的大数据分析平台，用于改变大型工业管理其资产的方式
 建立高度可扩展的框架，用于获取、转化、增强 IoT规模的数据
 建立分布式存储和计算系统
 使用Hadoop生态系统组件开发数据结构和流程
 负责ETL，Data Pipeline
 实施机器学习算法于软件上
 了解世界前沿的工具和框架，并能够针对具体任务选择最佳工具
任职要求：
 计算机、软件工程等相关专业本科，研究生学位优先
 3年以上系统开发经验
 优秀的编程能力，熟悉掌握Python、Java
 熟悉各种数据处理技术（Hadoop，Spark，Kafka等）
 1年以上NoSQL数据库经验
 具有REST API的经验或知识，并通过微服务提供数据。
 使用版本控制（Git等）进行协作代码开发的经验。
加分项：
 作为开源贡献者的经验
 有数据建模（机器学习）经验
 在Github上有上传代码或demo
除此之外HR想说：截至目前，我们的程序员小伙伴都毕业于211/985学校，还有硅谷的技术大牛带队指导，探寻讨论技术设计、技术框架和技术选型，是一个纯技术、重技术、崇尚技术的小团队；想要转型学习使用其他语言的小伙伴，也请快快砸来简历，我们更看重潜力而非目前的技术水平，HR小姐姐期待你们的加入~~","数据服务,企业服务",15-50人,spark,杭州
高级java架构师,https://www.lagou.com/jobs/7152704.html,萧山区,30k-60k,金华市瑞方信息科技有限公司,5-10年,大专,领导nice 创业团队 社保 公积金,岗位职责：1、负责公司内部大数据平台的Spark、Spark Streaming技术研发、性能优化、问题诊断；2、 基于Spark构建数据中心；3、构建公司的数据中台的离线和实时部分。任职要求：1、3年以上大数据平台设计和开发经验，具备优秀的编程能力和良好的开发习惯；2、具备独立架构设计、内核开发、测试与运维的能力，有过大规模系统设计和工程实现的经验；3、熟悉Spark、Spark SQL和Spark Streaming内核原理；了解Hadoop生态组件相关技术，例如Hadoop、Hive等；4、精通Java、熟悉Linux 操作系统，熟练使用Shell脚本语言；5、具有认真的技术态度，良好的团队沟通和协作能力；6、有过海量数据系统开发经验者优先。,软件开发,50-150人,spark,杭州
技术VP,https://www.lagou.com/jobs/7152740.html,萧山区,30k-60k,金华市瑞方信息科技有限公司,5-10年,大专,领导nice 创业团队 社保 公积金,岗位职责：1、全面管理电商项目技术研发和项目管理工作，驱动技术团队高效完成产品设计、系统研发、上线测试工作，协调项目开发或实施的各个环节，把握整体项目进度；2、深入理解互联网电商及移动互联网相关系统应用，支持中心内各技术团队研发工作，不断提升相关系统平台的架构和技术水平，应对大规模发展的业务需要；3、参与公司重要项目的建设，包括需求分析、方案设计和核心代码的编写；4、参与公司关键系统和平台的生产运维，提出优化建议和最佳实践，并带领团队实施落地；5、负责重大技术决策及方案审核，制定保障系统高度可用的实施方案，指导并参与核心代码的书写，组织解决项目开发过程中的重大技术问题；6、规划电商平台中长期智能化技术发展战略规划，及时了解和监督技术发展战略规划的行情；7、培养技术人才，提高团队整体专业技能。任职要求：1、8年以上技术经验，有完整的电商体系的管理和开发经验，有0-1电商平台开发和团队组建经验优先；2、具备独立架构设计、内核开发、测试与运维的能力，有过大规模系统设计和工程实现的经验；3、精通JAVA技术、Spark、Spark SQL和Spark Streaming内核原理；了解Hadoop生态组件相关技术，例如Hadoop、Hive等；4、技术全面，擅长管理，有大型分布工、高并发、高负载、高可用系统设计、开发和调优经验；5、有较强的领导能力，敏锐的公司产品相关行业技术的发展趋势把握能力和宏观分析判断决策能力，较强的组织管理能力，良好的人际关系协调能力和沟通能力；6、具有高度的抽象设计能力，思路清晰，善于思考，能独立分析和解决问题，责任心强，具备良好的团队合作精神和承受压力的能力；7、有完整的产品开发经验，能够站在产品的角度下思考问题、梳理产品的技术边界，推动产品设计持续通用化，有中间件开发经验者优先。,软件开发,50-150人,spark,杭州
大数据开发讲师,https://www.lagou.com/jobs/6932192.html,西湖区,30k-60k,九章算法（杭州）科技有限公司,不限,本科,能把您过往积累的影响力转化成实际经济收益,"任职需求：1、三年以上大数据工作经验，熟悉大数据离线计算生态（Hadoop、Sqoop、zookeeper，hbase，Hive、Spark、调度框架等）；2、熟悉大数据实时计算生态（Storm、Spark、Flink,Flume、Kafka等）；3、熟悉分布式系统、负载均衡技术、搜索技术等；4、熟悉机器学习常见算法优先；5、有国内大厂工作经历优先。6、表达能力强，声音清晰自然，个性开朗，逻辑性强，乐于与人交流,幽默风趣工作职责：1、负责相关课程教学工作，按进度完成教学任务；2、参与大数据课程研发和后期优化；3、参与完成教学相关的文档编写工作（教学课件，教案文档等）；4、参与学术交流与研讨，不断提升业务水平；5、完成上级安排的其他与教学相关的工作；6、研究新技术，参与课程大纲的研发；7、负责回答学生的问题，以及远程帮助学生解决问题。","移动互联网,教育",15-50人,spark,杭州
高级软件工程师,https://www.lagou.com/jobs/6843885.html,,15k-30k,海尔集团,3-5年,本科,10002,,"物联网,电商",2000人以上,spark,杭州
大数据工程师,https://www.lagou.com/jobs/6843872.html,,13k-25k,海尔集团,3-5年,本科,10002,,"物联网,电商",2000人以上,spark,杭州
数据挖掘工程师/专家-杭州-【商业化】,https://www.lagou.com/jobs/6993630.html,西湖区,30k-60k,北京达佳互联信息技术有限公司,3-5年,本科,"核心业务,期权激励",,文娱丨内容,2000人以上,spark,杭州
数据研发工程师/专家-杭州-【商业化】,https://www.lagou.com/jobs/6986081.html,西湖区,30k-60k,北京达佳互联信息技术有限公司,3-5年,本科,"核心业务,期权激励",,文娱丨内容,2000人以上,spark,杭州
java开发工程师,https://www.lagou.com/jobs/3349285.html,余杭区,15k-30k,杭州观远数据有限公司,3-5年,本科,"最前沿技术,牛逼团队,广阔空间,成长回报",工作职责1. 根据开发进度和任务分配，完成相应模块的开发、编程任务，并在开发过程中解决关键问题和技术难题；2. 主导技术难题攻关，重构系统确保高性能处理和系统的稳定性，应对海量数据与高并发；3. 实践规范的软件工程（例如测试、code review等）；4. 参与大数据分析的核心算法开发与设计，提供显著的用户价值；5. 与其他后端工程师、前端工程师一同协作，共同打造中国最好的大数据分析产品；岗位要求1. 精通Java编程以及常用的Java框架2. 熟悉服务器的架构设计、开发流程及规范3. 丰富的项目经验4. 快速学习的能力及意愿加分项1. 熟悉Scala、Python2. 有过Apache Spark等开源系统的实际项目经验3. 熟悉Apache Cassandra或HBase等NoSQL数据库4. 了解大数据分析、商业智能（BI），有过实际项目经验更佳5.有相关工作经验优秀应届毕业生可考虑,"企业服务,数据服务",150-500人,spark,杭州
解决方案架构师,https://www.lagou.com/jobs/7030611.html,余杭区,20k-35k,杭州观远数据有限公司,5-10年,本科,牛人团队 成长空间 期权激励 独当一面,岗位职责：1.配合销售、顾问团队工作，在需求沟通、方案讲解、产品POC、招投标等环节提供支持；2.作为解决方案架构师，能够为客户提供技术咨询服务，结合产品能力，针对性的给出项目技术方案设计；3.负责技术材料、用户案例、产品解决方案、市场营销材料的总结与编写。岗位要求：1.本科及以上学历，计算机相关专业优先；2.5年以上工作经验，至少1年售前或咨询经验，参与过数据平台、数据分析类项目，熟悉相关领域的产品、解决方案和系统建设方法；3.熟悉常见的技术栈，包括传统架构、主流大数据架构（如Hadoop，Spark等），能够理解并阐明各类技术原理；4.优秀的文档编写能力、演讲能力，资源协调和关系管理能力；5.熟悉主流BI产品优先。,"企业服务,数据服务",150-500人,spark,杭州
Java开发专家（数据方向） (MJ000645),https://www.lagou.com/jobs/6840038.html,滨江区,18k-28k,连连银通电子支付有限公司,不限,不限,六险一金，班车接送，免费用餐,岗位职责：1.负责数据产品相关后端服务开发2.优化现有数据产品后端服务架构，提升数据服务的性能、稳定性、开发效率岗位要求：1.熟练掌握java编程语言，基础扎实2.熟悉java并发编程，熟悉jvm，有线上调优经验3.熟悉spring/springboot/springcloud框架，了解微服务相关架构原理，有实际的微服务开发经验4.熟练使用常用的缓存、消息、rpc中间件，如redis、kafka、dubbo等5.熟悉大数据相关生态(如hadoop、HBase、Hive、spark等)或者有数据类产品开发经验优先,移动互联网,500-2000人,spark,杭州
