job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据挖掘工程师,https://www.lagou.com/jobs/4020407.html,洪山区,20k-30k,北京金山办公软件股份有限公司,5-10年,本科,技术氛围好 六险一金,岗位描述： 1.云服务平台的大数据处理，建立和维护分布式大数据平台，建立高效的数据处理pipeline。 2.对大数据进行数据分析和挖掘，建立有效的数据特征 3.进行推荐模型的badcase分析，分析总结统计指标，协助模型定位问题并优化岗位要求： 1.计算机或数学相关专业。 2.至少2年数据挖掘相关经验，有推荐系统开发经验。 3.对数据敏感，掌握量化分析方法 4.熟悉linux开发环境，精通python，熟悉java/scale等语言 5.熟练掌握hadoop，spark，hive，kafka，hbase，有spark机器学习经验。 6.了解常用的自然语言处理算法，有相关经验优先考虑。 7.良好的团队合作和沟通表达能力,移动互联网,2000人以上,spark,武汉
算法专家,https://www.lagou.com/jobs/6995822.html,洪山区,30k-50k,北京百家互联科技有限公司,5-10年,本科,大牛多 待遇佳 氛围好,岗位职责： 1、为用户生命周期中各业务线赋能，利用策略解决业务问题 ，用数据和算法创造业务价值。 2、建设算法平台，负责各种算法应用的调研，开发，迭代，优化。 岗位要求： 1、计算机或相关专业研究生及以上学历，5年以上相关工作经验； 2、在机器学习算法方面有较好的广度和一定的深度，包括熟悉经典算法； 3、熟悉至少一种机器学习框架，包括TensorFlow、PyTorch等； 4、精通至少一门语言，Java/C++/Python等，具有扎实的代码功底和实战能力 5、熟悉hadoop，spark等大数据处理工具； 6、具有较强的问题发现能力、分析能力和解决能力；有通用化和产品化思维； 7、较强的沟通能力和团队协作能力，善于学习新知识、乐于接触新场景、关注前沿新技术。,"移动互联网,教育",2000人以上,spark,武汉
DSQ-产品经理-武汉岗位,https://www.lagou.com/jobs/6682384.html,江夏区,18k-35k,顺丰科技有限公司,3-5年,本科,职位发展前景大，福利高,工作职责：1、负责大数据管理平台的产品设计工作，打造一站式大数据管理平台；2、根据各业务团队的实际场景，抽象出通用化的解决方案，规划产品设计蓝图和发展路线图；3、负责平台的需求分析，需求管理，需求跟进，产品设计和产品迭代等工作；4、设计团队沟通产品设计迭代方案，完成交互设计与视觉设计等工作；5、打造业界领先的平台，参与平台推广和运营工作。任职要求：1、全日制本科及以上学历，5年及以上数据产品经验，掌握sql知识，了解hadoop，hbase，spark等数据处理或存储平台；2、有良好的沟通和团队协作能力，落地执行能力强；3、有创新意识，有较强的跨部门推动和资源整合能力；4、熟练掌握常见的交互设计软件，如Axure、Sketch等，熟悉简单的PS处理；5、具备数据挖掘与数据分析能力，有大数据产品设计经验优先。,"软件开发,数据服务",2000人以上,spark,武汉
后端研发工程师（武汉）-web方向,https://www.lagou.com/jobs/5820100.html,洪山区,10k-20k,神策网络科技（北京）有限公司,1-3年,本科,"技术大牛,行业前景好",工作职责:1、负责神策大数据产品 Web 后端的架构设计和开发工作；2、维护和升级现有技术框架，保证系统的稳定性和性能；3、理解大数据分析产品业务需求，负责新功能的技术开发；4、团队合作，参与大数据导入、存储与查询方向的技术调研和技术攻关。  岗位要求:1、计算机或相关专业毕业，本科及以上学历，1 年以上 Web 开发经验；2、精通 Java 语言，具有扎实的计算机技术基础和良好的编程习惯；3、熟悉 Spring/MyBatis/Netty/Nginx 等 Web 开源技术和框架；4、精通数据库设计（MySQL优先），优秀的SQL编写及调优能力，熟悉常见NoSQL存储，如Hbase/Kudu/Redis/Mongodb等；5、了解 Hadoop/Hive/Spark/Impala 等开源大数据技术优先；6、善于学习新知识，主动性强；7、良好的团队合作精神，较强的沟通能力。,数据服务,150-500人,spark,武汉
Java开发实习生（大数据） (MJ000018),https://www.lagou.com/jobs/6952882.html,洪山区,3k-6k,武汉斗鱼网络科技有限公司,应届毕业生,本科,双休,职位描述:1、根据项目需求，参与技术方案设计及编码工作，按时保质完成项目交付；2、参与数据平台部大数据处理工作，负责数据采集、传输、计算、分析、存储等工作；3、参与大数据量、高并发数据服务平台建设，提供稳定可靠的数据服务；4、参与现有系统改造优化，沉淀工具及平台，提升系统可用性，降低开发维护成本。任职要求:本岗位为2021届实习岗位，实习2个月以上有留用机会。1、本科或以上学历，计算机相关专业；2、熟悉Java体系，理解JVM原理、熟悉IO、多线程、集合等基础框架，熟悉数据结构算法基础知识；3、了解互联网业务场景及Web应用相关技术；4、了解主流开源应用框架，如Spring、SpringMVC、MyBatis、SpringBoot、Docker、Dubbo等开发技术；5、熟悉大数据开源框架者优先，如Hadoop、Hive、HBase、Spark、Storm、ElasticSearch、Zookeeper、Kafka等。,文娱丨内容,2000人以上,spark,武汉
Java开发工程师（大数据）,https://www.lagou.com/jobs/6953060.html,洪山区,10k-20k,武汉斗鱼网络科技有限公司,应届毕业生,本科,双休,工作职责：1、根据项目需求，参与技术方案设计及编码工作，按时保质完成项目交付；2、参与数据平台部大数据处理工作，负责数据采集、传输、计算、分析、存储等工作；3、参与大数据量、高并发数据服务平台建设，提供稳定可靠的数据服务；4、参与现有系统改造优化，沉淀工具及平台，提升系统可用性，降低开发维护成本。任职资格：1、本科或以上学历，计算机相关专业；2、熟悉Java体系，理解JVM原理、熟悉IO、多线程、集合等基础框架，熟悉数据结构算法基础知识；3、了解互联网业务场景及Web应用相关技术；4、了解主流开源应用框架，如Spring、SpringMVC、MyBatis、SpringBoot、Docker、Dubbo等开发技术；5、熟悉大数据开源框架者优先，如Hadoop、Hive、HBase、Spark、Storm、ElasticSearch、Zookeeper、Kafka等。,文娱丨内容,2000人以上,spark,武汉
数据工程师,https://www.lagou.com/jobs/7159622.html,洪山区,10k-18k,未有（北京）科技有限公司,3-5年,本科,表现优秀，可以获得期权激励,一、         岗位职责1)       负责数据管理模块、数据存储、数据接口的开发；2)       负责常用网络爬虫工具模块的设计、开发和维护；3)       熟悉分布式常用技术，能合理架构分布式系统应用；4)       负责人工智能数据系统的设计、开发、搭建和管理；5)       优化数据存储与处理流程，提升数据处理性能和效率。 二、         岗位要求1)       扎实的编程能力，熟悉常用算法和数据结构；2)       熟悉 Linux系统，熟悉传统数据库Oracle/MySQL；3)       熟悉数据平台Hadoop/Spark/Storm/Hive中至少一种；4)       良好的逻辑分析能力和问题解决能力，勇于面对挑战；很强的责任心和自我驱动力，良好的英文资料阅读能力。,人工智能,50-150人,spark,武汉
大数据JAVA开发工程师,https://www.lagou.com/jobs/7011180.html,东湖新技术开发区,10k-15k,民生易贷（珠海）互联网金融信息服务有限公司,1-3年,不限,"双休,定期体检,节日福利,六险一金","岗位职责：1、构建并管理维护数据仓库中的元数据、主数据体系；2、参与数据中心大数据处理以及开发工作；3、参与大数据实时计算平台架构及开发；4、根据不同的业务场景，构建业务指标体系，建立和完善日常业务报告体系；5、负责数据中心的相关维护；任职要求：1、2年以上大数据开发相关经验；2、熟练掌握JAVA开发，熟练使用SQL，有较好的SQL性能调优经验；3、熟悉大数据开源技术及其生态圈，如Hadoop、Hbase、Hive、kudu、Kafka、Spark、Flink、ElasticSearch、Redis、kettle等；4、熟悉数据仓库模型设计方法论，并有数据仓库设计开发经验及ETL开发经验；5、有责任心,思维敏捷，对新技术敏感，有较强的钻研学习精神；6、有spark、flink实时数据开发经验优先；","移动互联网,金融",150-500人,spark,武汉
后端开发工程师,https://www.lagou.com/jobs/7196591.html,洪山区,8k-12k,武汉数为科技有限公司,1-3年,本科,"五险一金,绩效奖金,带薪年假",1.本科及以上学历，扎实的计算机专业基本功，具备较强的编程能力素质和质量意识；2.1-2年以上Java开发经验，精通Java及面向对象设计开发， 熟悉常见设计模式，主流的Java开源框架；3.JAVA基础扎实，理解io、多线程、集合等基础框架，对JVM原理有一定的了解；对于你用过的开源框架，能了解到它的原理和机制；4.有较强的领域建模能力，有较好的复杂业务架构能力，根据实际情况做出合理的设计和取舍；5.积极主动，责任心强，易于沟通，并能承受较大的工作压力；6.熟悉Linux服务器，掌握各种脚本语言，有服务器部署的经验；7.有大数据开发经验优先，如Elasticsearch、Spark、Flink、Hive等8.有文本分析（nlp）和数据处理（etl）工作经验优先，如Hanlp、Kettle等9.有知识图谱（graphdb、OWL、RDF）相关工作经验优先，如neo4j等10.有深度学习知识经验优先，如语音识别、OCR、语言翻译、智能问答、图片搜索、人脸识别等,"数据服务,其他",15-50人,spark,武汉
大数据开发工程师,https://www.lagou.com/jobs/6799554.html,洪山区,20k-40k,北京金山云网络技术有限公司,5-10年,本科,三餐，七险一金，大平台,"1.理解业务分析需求，设计和开发对应的元数据模型/数据资产/数据治理工作，完成结构层次合理、灵活、可扩展的数据管理架构；2.开发数据生产、分析工具，不断提高数据使用效率；  3.负责数据仓库、数据中台和数据湖产品业务分析、设计、开发和维护； 4.负责指导初中级开发人员工作。岗位要求（参考）：1.计算机相关专业本科及以上学历，5年以上互联网数据开发工作经验； 2.具有扎实的计算机科学功底，扎实的Java编程基础和数据结构算法基础，熟悉Scale和python开发经验优先；3.精通数据仓库架构及原理，具备数据资产、数据治理、元数据模型设计和处理性能调优等相关经验； 4.有大数据分布式计算平台开发经验,熟悉Hadoop, Hive，Storm，Spark等大数据框架原理及应用； 5.善于交流，有良好的团队合作精神和协调沟通能力，有与产品、业务等多方密切配合的经验和意识。","移动互联网,数据服务",2000人以上,spark,武汉
