job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据挖掘（苏州）,https://www.lagou.com/jobs/6271647.html,工业园区,20k-40k,同程网络科技股份有限公司,3-5年,本科,薪资福利好，发展平台大,岗位描述：1. 对大数据进行分析，挖掘各类用户特征，使用统计建模方法辅助业务分析用户。2. 从多个角度对用户进行建模，并不断优化机器学习模型应用于智能风控、智能推荐、智能营销、智能客服等场景。任职要求：1. 计算机科学与技术、统计学、数学等相关专业；2. 有三年以上数据建模或数据挖掘经验；3. 有用户行为分析经验者优先；4. 优秀的数据结构和算法基础，具有较强的开发，系统实现能力；5. 精通数据挖掘、机器学习相关理论并有足够实践经验，能独立阅读英文文献；6. 熟悉C/C++、Java、Python、R、Scala多种或一种语言，有良好的Linux环境实际开发经验；7. 有hive，Hadoop，Spark使用经验者为佳；8. 在大型互联网行业有智能推荐、智能营销、智能客服等方面实际经验者为佳；,旅游,2000人以上,spark,苏州
项目研发经理,https://www.lagou.com/jobs/6934351.html,吴中区,20k-35k,同程网络科技股份有限公司,5-10年,本科,福利待遇、发展空间、15-18薪,【岗位职责】1. 总体：负责研发项目管理，研发团队的管理，以及研发技术的管理；2. 研发项目管理：负责项目进度管控，负责项目的快速上线保障项目的质量；3. 研发团队管理：指导和培养技术团队工程师，协助提升团队整体技术实力；4. 研发技术管理：技术方面负责总体系统架构设计，进行技术可行性研究及技术选型，指导项目研发；负责核心架构部分代码实现和技术难题攻关； 【任职要求】1. 计算机相关专业，具备3年以上架构设计经验，擅长系统架构设计，具备高度的抽象设计能力和网络架构设计能力；具备4年以上团队管理和技术管理经验；2. 具备快速拿结果的能力；3. 不仅要有过硬的技术能力和团队管理能力，还有有较强的业务思维和产品思维；4. 熟悉Spring Cloud、HDFS、HBase、Kudu、Flink、Spark、Storm、Kafka、Zookeeper、RabbitMQ、RocketMQ、ELK等技术；5. 有独立的成功的数据和算法驱动型系统的架构设计经验者优先；6. 擅长基于微服务、SOA架构的设计模式、DDD领域驱动架构、响应式等架构或对架构设计有深入理解者优先；岗位职责1. 总体：负责研发项目管理，研发团队的管理，以及研发技术的管理；2. 研发项目管理：负责项目进度管控，负责项目的快速上线保障项目的质量；3. 研发团队管理：指导和培养技术团队工程师，协助提升团队整体技术实力；4. 研发技术管理：技术方面负责总体系统架构设计，进行技术可行性研究及技术选型，指导项目研发；负责核心架构部分代码实现和技术难题攻关； 岗位要求1. 计算机相关专业，具备3年以上架构设计经验，擅长系统架构设计，具备高度的抽象设计能力和网络架构设计能力；具备4年以上团队管理和技术管理经验；2. 具备快速拿结果的能力；3. 不仅要有过硬的技术能力和团队管理能力，还有有较强的业务思维和产品思维；4. 熟悉Spring Cloud、HDFS、HBase、Kudu、Flink、Spark、Storm、Kafka、Zookeeper、RabbitMQ、RocketMQ、ELK等技术；5. 有独立的成功的数据和算法驱动型系统的架构设计经验者优先；6. 擅长基于微服务、SOA架构的设计模式、DDD领域驱动架构、响应式等架构或对架构设计有深入理解者优先；,旅游,2000人以上,spark,苏州
高级数据分析师,https://www.lagou.com/jobs/7085827.html,高新区,15k-30k,昆仑智汇数据科技（北京）有限公司,3-5年,本科,风口行业，大牛带队，行业**梯队,"岗位说明：1. 针对重点工业行业（能源，石化，汽车，钢铁、轮胎等）的智能制造与工业互联网的需求，深入了解业务需求，运用数据分析/数据挖掘技术解决客户的实际问题。2. 基于数据平台产品，建立数据标准、进行数据清洗、建立数据分析、预测或优化模型、并负责与团队一起负责数据分析应用的开发和落地实施。3. 对具有共性的数据分析模型和行业应用进行抽象与研究，支撑数据分析产品的开发和在数据平台的应用。 岗位要求：1. 独立定义和解决工业行业相关的数据分析/数据挖掘问题的能力，具有清晰的系统思维逻辑和共性抽象能力2. 精通数据清洗、统计分析和常用数据挖掘/机器学习算法，有丰富的工业数据分析相关的实际项目经验3. 至少精通一种数据分析语言（如Python, R, MATLAB等），及其相应的算法包（如Python的numpy, pandas, sklearn, tsfresh, matplotlib, seaborn, pyecharts等）4. 有良好的客户沟通、业务咨询、团队合作与项目管理能力5. 有一定程序开发经验（如Python, Web, Java等），熟悉面向对象的设计6. 熟悉常用数据库、大数据、并行化计算等相关技术和工具，如Spark, Hadoop等7. 熟悉信号处理、优化算法、时序数据分析、深度学习等算法8. 3年以上工作经验优先条件：1. 工业专业教育背景或者工作经历（如自动化、机械、电气、石化、能动、电子等）2. 熟悉工业流程、工业通信协议，SCADA/MES/PLM等工业软件3. 了解精益生产、六西格玛等概念及相应数据分析工具",数据服务,150-500人,spark,苏州
大数据开发工程师,https://www.lagou.com/jobs/6748373.html,吴中区,20k-25k,苏州海管家物流科技有限公司,5-10年,本科,五险一金 周末双休 年底双薪,岗位职责：1、负责基于传统关系型数据库以及大数据系统进行应用研发、数据建模、数据治理，保障后续的数据分析挖掘工作；2、配合产品经理、数据分析师、算法工程师等实施具体研发工作；3、保障大数据平台稳定高效运行，对大数据平台的数据和性能进行持续优化；4、负责领导大数据研发团队建设数据中台，有领导团队构建数据中台框架的能力；5、完成领导交办的其他任务。任职要求：1、计算机及相关专业，统招本科及以上学历；2、熟练掌握Oracle、MySQL等传统关系型数据库的使用，具有解决数据倾斜等数据问题的能力；3、熟练掌握大数据相关技术如Hadoop、Spark、Hive、HBase、Kafka、Elasticsearch、Ooize、Kylin等，并有实际工作经验；4、熟练使用Linux操作系统；5、熟练掌握Java、Scala、Python、Shell等开发语言中至少两种；6、有阿里云大数据平台开发经验者优先；7、具有机器学习和数据挖掘经验者优先；8、具有互联网企业经验者优先。,"消费生活,电商",50-150人,spark,苏州
系统架构师,https://www.lagou.com/jobs/6768323.html,工业园区,30k-40k,东吴证券股份有限公司,5-10年,本科,系统架构,工作职责:1、负责主导各类系统架构设计，核心功能代码编写工作，确保研发项目的进度和质量；2、负责系统性能及架构优化，主导技术难题攻关，解决各类潜在系统技术风险，保证系统的安全、稳定、高效运行；3、负责深入理解业务功能、系统链路和架构，能够快速排查和解决系统故障，并推动系统持续优化；4、负责新技术分析与学习，主导技术选型，通过技术创新业务，提升核心竞争力；5、负责指导研发工程师的产品开发和技术研究工作，解决各类技术疑难问题，形成良好的研发氛围，提升团队整体技术水平。任职资格:1、35周岁以下（含），全日制本科及以上学历，计算机相关专业，具有5年以上工作经验；2、独立承担过 2 年以上的软件项目系统架构设计与研究，有相关成功案例、大型系统软件架构设计、大型互联网公司核心开发及架构设计、重构者优先；3、精通设计模式，深入领悟系统服务的高可用、高安全、高扩展，并能给出解决方案，有过微服务架构（SpringCloud 、Dubbo）类似工作经验，精通 SOA 设计及治理理念；4、熟悉大规模系统的分布式、集群、负载均衡、缓存、消息队列、网络存储、网络安全、数据库高可用设计及性能评估机制；熟悉Linux常用操作、配置及命令的使用；5、具有 MySQL、Oracle分表分库的系统架构经验，具有 JVM 调优、SQL 调优经验；6、熟悉常见JavaEE开源框架（包括Spring、Spring Boot、MyBatis、Spring Cloud）、熟悉常用消息中间件、熟悉常见 NoSQL数据库的使用；7、具有Docker、Docker compose、k8s等容器化相关技术使用经验；8、熟练 Flume、Kafka、Spark、Hadoop、TensorFlow以及区块链等技术的优先考虑。,"金融,移动互联网",2000人以上,spark,苏州
数据ETL中级工程师,https://www.lagou.com/jobs/7215881.html,工业园区,20k-25k,上海悠欧网络工程有限公司,3-5年,本科,发展前景好，福利待遇佳,岗位职责：1、负责本部门及公司数据相关平台的ETL开发、设计、优化、维护流程工作。2、参与维护并保证大数据平台的稳定运行，完成数据集成、处理等开发工作，进行数据质量监测和提升；3、参与对业务条线的数据需求的技术支持工作，保证能够及时响应业务部门的需求 任职要求：1、35周岁（含）及以下，大学本科及以上学历，计算机相关专业，具有3年以上数据开发或数据挖掘相关工作经验，具有证券行业信息系统研发经验者优先；2、熟练掌握结构化数据库ORACLE、MySQL等，熟悉大数据生态系统相关技术Hadoop、Spark、Hive、HBase、Kafka、Elastic Stack等，熟练使用Linux操作系统； 3、熟悉常用的ETL工具，熟悉Unix/Linux操作系统。熟练使用kettle/Python/Shell优先； 4、在数据标准、元数据、主数据及数据质量控制方面拥有系统实施及推广经验者尤佳； 5、具有互联网企业经验者优先,"人工智能,通讯电子",15-50人,spark,苏州
JAVA开发工程师,https://www.lagou.com/jobs/6832595.html,高新区,12k-24k,昆仑智汇数据科技（北京）有限公司,3-5年,本科,"行业风口,大牛带路,扁平化,环境好",岗位职责：1. 参与公司大数据平台和应用产品后端开发；2. 参与构建高效、可扩展的行业大数据应用；3. 为公司数据平台和应用产品提供技术支持；任职要求：1. 统招一本及以上学历，计算机相关专业；2. 两年以上相关工作经验，熟练阅读英文技术文档；3. 熟悉Java开发，理解面向对象方法；4. 熟悉MySQL或者其他商用数据库；5. 熟悉大数据开源组件加分，如Hadoop、Spark、Kafka等；6. 熟悉微服务和容器技术加分；7. 良好的沟通和分析问题与解决问题能力；8. 有责任心，工作积极，对新技术有热情。,数据服务,150-500人,spark,苏州
大数据开发工程师,https://www.lagou.com/jobs/7128390.html,吴中区,15k-25k,云学堂信息科技（江苏）有限公司,5-10年,不限,公司发展空间大 福利待遇好,"岗位职责:1. 熟悉公司产品, 了解业务需求, 与产品及开发团队紧密合作, 完成数据计算及开发工作2. 应用大数据生态技术, 对产品产生的业务数据以及行为日志等进行ETL, 分析, 计算处理, 获取数据价值, 获取对产品对业务有价值的决策支持数据3. 参与公司数据中台/数据仓库的建设, 使用大数据技术及平台, 进行数据计算及挖掘, 更好的服务客户及赋能前台任职资格:1. 5年以上开发经验,熟悉Python/Scala/Java语言其中的一种或两种语言2. 熟悉数据结构及常用算法, 熟悉Linux的常用命令及日常开发使用, 熟悉正则表达式3. 熟悉RESTful API开发规范及最佳实践, 熟悉主流的RESTful api 开发框架Flask或者Spring4. 熟悉常用的Hadoop生态组件Hive, Spark, HBase, 熟悉使用Python或者Scala/Java开发Saprk离线及实时计算.5. 熟悉ETL, 有在受限时间窗口完成大量异构数据的ETL处理的经验4. 有强烈的自我驱动力, 对工作有owner意识及工匠精神5. 能积极主动地对待工作, 具备很好的学习能力、沟通能力及适应能力6. 以下作为加分项:a. 熟悉推荐系统的原理及常规算法, 并有过推荐系统的实际开发建设经验b.了解数据仓库/数据中台的建设思路, 参加过数据仓库/数据中台的实际建设项目",企业服务、教育,500-2000人,spark,苏州
数据平台开发工程师,https://www.lagou.com/jobs/6687542.html,工业园区,20k-30k,智慧芽信息科技（苏州）有限公司,3-5年,本科,大数据开发,"工作职责:1、Site Reliability Engineer，负责智慧芽在线SAAS平台可靠、稳定、高效运行；2、负责搜索引擎和大数据内部平台的部署、诊断、排障、调优、开发与维护等工作；3、负责公司数据资产管理，数据治理方面的建设;4、负责公司数据湖，数据仓库的建设；5、参与业务架构设计，在设计阶段给出可运维性改进建议；6、深入研究大数据业务相关运维技术，持续优化集群服务架构，探索新的大数据运维技术及发展方向。任职要求：1、2-3年以上ETL处理相关工作经验；2、熟练掌握java，spring生态，熟练掌握Map-Reduce,Spark等大数据开发工具；3、具备良好的合作精神和快速学习能力；4、熟悉Linux系统及基本操作优先；5、熟悉Tensorflow/Hadoop/Hbase/Hive/Storm/Spark/Kafka/Elasticsearch/Flume其中部分开源项目、可独立定位问题者优先；6、有良好编程习惯优先；7、有云平台运维经验者优先（AWS、阿里云等）、有持续集成及持续部署经验者优先、有日志管理经验者优先、熟悉openstack/kubernate/mesos/spinnaker技术者优先、有ansible开发经验者优先；8、熟悉各种运维开源运维系统以及开源监控系统的优先；9、对机器学习方向有很高的热情和兴趣，能主动学习了解相关知识。",移动互联网,150-500人,spark,苏州
资深大数据开发工程师,https://www.lagou.com/jobs/6664399.html,工业园区,15k-25k,智慧芽信息科技（苏州）有限公司,5-10年,大专,大数据开发 运维开发,"工作职责:1、Site Reliability Engineer，负责智慧芽在线SAAS平台可靠、稳定、高效运行；2、负责搜索引擎和大数据内部平台的部署、诊断、排障、调优、开发与维护等工作；3、负责公司数据资产管理，数据治理方面的建设;4、负责公司数据湖，数据仓库的建设；5、参与业务架构设计，在设计阶段给出可运维性改进建议；6、深入研究大数据业务相关运维技术，持续优化集群服务架构，探索新的大数据运维技术及发展方向。任职要求：1、2-3年以上ETL处理相关工作经验；2、熟练掌握java，spring生态，熟练掌握Map-Reduce,Spark等大数据开发工具；3、具备良好的合作精神和快速学习能力；4、熟悉Linux系统及基本操作优先；5、熟悉Tensorflow/Hadoop/Hbase/Hive/Storm/Spark/Kafka/Elasticsearch/Flume其中部分开源项目、可独立定位问题者优先；6、有良好编程习惯优先；7、有云平台运维经验者优先（AWS、阿里云等）、有持续集成及持续部署经验者优先、有日志管理经验者优先、熟悉openstack/kubernate/mesos/spinnaker技术者优先、有ansible开发经验者优先；8、熟悉各种运维开源运维系统以及开源监控系统的优先；9、对机器学习方向有很高的热情和兴趣，能主动学习了解相关知识。",移动互联网,150-500人,spark,苏州
