job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据资深工程师,https://www.lagou.com/jobs/7208698.html,航空港区,20k-40k,富泰华工业（深圳）有限公司,10年以上,不限,五險一金 績效獎金 帶薪休假 定期體檢,职位描述：1.负责跨单位项目管理与执行，与项目中大数据相关技术之规划与督导，2.对内部大数据开发人员进行专业指导、监督或管理3.负责大数据end to end技术评估和技术方案之推展实施4.大数据应用方案需求收集与推广技能要求：1.至少具有以下专业两项共8年以上工作经验:(1)大数据架构开发或规划、(2)数据仓库开发或规划、(3)大数据分析及从业务进行大数据技术规划的能力；2.具备机器学习、大数据架构开源生态圈、数据仓库相关知识，另有前端开发经验尤佳；3.熟python、java、SQL、shell script、java script、Spark/flink/flume等(至少3项)；4.具备全面的技术视野与风险掌控，对技术问题有敏锐的洞察力，逻辑思维严谨。,"电商,数据服务",2000人以上,spark,郑州
数据架构,https://www.lagou.com/jobs/5978734.html,航空港区,10k-20k,富泰华工业（深圳）有限公司,5-10年,本科,五险一金 绩效奖金 带薪休假 定期体检,"岗位职责：1. 依各大数据分析项目所需，搭建、研究或规划机器学习开原框架运算环境；2. 设计、优化、监控或维护自动化分析建模作业流；3. 各大数据分析项目布署至内云作业。任职要求：1. 具备深度学习相关框架(Tensorflow, Theano, Keras等)经验2年以上；2. 具备开源框架研究及自行搭建之能力；2. 熟悉Linux相关安装设定；3. 具备ETL开发经验1年以上；4. 具备hadoop数据分析程序开发能力，熟python、java、Spark、shall script等；5. 有制造业数据收集、处理经验尤佳。","电商,数据服务",2000人以上,spark,郑州
大数据工程师,https://www.lagou.com/jobs/6943349.html,高新区,15k-25k,中移在线服务有限公司,3-5年,本科,六险二金 带薪年假 年度体检 日常补贴,【岗位职责】1、针对重点业务运营，提供深度数据能力支撑，完成业务数据分析、模型需求分析，以及数据接口、基础模型、汇总模型、ETL流程等设计、开发；2、统筹数据仓库模型建设与管理，制定模型开发规范、数据治理规范并推进落地，基于规范管理数据模型；3.支撑业务数据聚合，负责数据源调研、入库、开发的全流程工作，并保证数据质量。【任职资格】1、学历要求：本科以上学历，统计、应用数学、计算机、软件工程等相关专业背景；2、工作经验：具备互联网、电信相关行业3年以上工作经验；3、能力要求：1）熟练掌握维度建模理论，具备业务数据调研分析、仓库模型设计的能力；2）掌握Python、Java开发技能，熟悉Hadoop生态系统组件，如：Hive、MapReduce、Spark、HBase、kafka等，有Vertica开发经验者优先；3）具备数据仓库开发、数据治理、数据产品设计、运营经验之一；4）熟悉人工智能相关框架（包括但不限于Kaldi、Keras、TensorFlow、Pytorch）、工具及AI训练流程者优先；5）具有较强逻辑思维能力、研究能力、沟通能力和团队合作精神。,移动互联网,2000人以上,spark,郑州
GP数据库开发,https://www.lagou.com/jobs/6847377.html,金水区,10k-15k,上海井胜通讯技术有限公司,3-5年,大专,项目稳定,1、大专及以上学历，计算机相关专业；拥有3年以上数据库开发经验，有spark sql和hive sql开发经验者优先；2、熟练使用Oracle、Vertica、GreenPlum、Postgresql等常用数据库平台的一种或多种，有扎实的sql语言功底，熟悉常用SQL函数，熟练利用执行计划进行sql语句调优；3、熟练对Oracle、Vertica、GreenPlum、Postgresql等常用数据库进行导入导出备份等操作。4、拥有处理和查询大批量数据(每天单表数亿记录)的工作经验，有大数据量查询性能调优经验5、能够通过查看IO、CPU、内存等了解数据库瓶颈者优先；能够通过系统日志、数据库日志分析排查数据库故障者优先；6、精通UNIX OS平台日常shell命令操作，对shell或是perl程序语言封装sql或shell命令的外部脚本程序开发使用比较熟悉；7、要求能够适应短期出差的工作性质,数据服务,500-2000人,spark,郑州
大数据平台开发岗,https://www.lagou.com/jobs/5892814.html,郑东新区,12k-20k,江西牛客科技有限责任公司,3-5年,本科,五险一金全额缴纳、上市公司,岗位职责：1、负责大数据平台组件、数据中台、大数据应用等领域的开发工作。2、参与大数据技术验证、方案选型、架构设计。3、负责大数据领域的技术应用趋势跟踪，促进大数据应用能力提升。任职要求：1、本科及以上学历，计算机、应用数学、金融工程及相关专业毕业。 2、具备3年以上Java开发经验，并熟练掌握Python或Scala一种语言。3、对大数据平台技术有强烈兴趣，熟练掌握MPP数据库、Spark、Hadoop、Flink等大数据组件，具备系统调优、高可用设计及应用架构设计能力。,"移动互联网,电商",少于15人,spark,郑州
数据工程师,https://www.lagou.com/jobs/6927774.html,高新区,13k-23k,中移在线服务有限公司,5-10年,本科,大平台 高起点 大牛同事,"1、根据业务需求，参与各项指标数据的分析，口径确认，向上提供数据各项数据接口服务；2、独立完成数据分析工作并进行数据汇聚功能开发，并封装相关api接口，供上层应用调用。要求：教育：全日制大学本科及以上学历，计算机相关专业。技能：1、具备扎实的计算机理论基础, 对数据结构及算法有较强的功底；2、熟悉至少一种实时计算引擎 Storm, Spark Streaming, Flink, 对hadoop生态其他组件有一定了解，比如 HBase， hadoop, Hive, Druid等经验：3年以上工作经验，有大规模集群应用开发经验优先。",移动互联网,2000人以上,spark,郑州
推荐算法专家,https://www.lagou.com/jobs/7025672.html,高新区,15k-30k,安徽甜心互娱网络科技有限公司,5-10年,本科,待遇优厚 周末双休,"职位描述工作职责1. 负责推荐系统核心算法研发，优化系统效果，通过技术驱动业务发展。2. 具体工作包括但不限于推荐算法研发、dnn建模、用户兴趣建模、用户实时意图建模等。岗位要求:1. 5年以上互联网公司数据挖掘/机器学习项目经验，有lead一个项目或者一个方向的经验，有较强的沟通能力和项目推动能力。2. 精通Linux环境下的代码开发，熟练使用调试工具，有推荐系统研发经验。3. 具备良好的编程能力和代码风格，熟练掌握一门强类型语言，并至少掌握一门脚本语言。4. 对常用的推荐算法有较深入了解，有实际算法调优经验。5. 掌握常用的数据挖掘和机器学习算法，如分类/聚类算法、预估算法等6. 熟悉机器学习的前沿技术和业界动态7. 优秀的领导力、推动力和沟通能力；【符合以下条件者加分】 1.有搜索/推荐/广告相关领域的研发经验，并在某一个领域有深入积累； 2.熟练掌握Hadoop/Spark/Storm等一种以上处理框架；有大规模机器学习相关实践经验； 3.熟悉深度学习算法原理，对机器学习梯度优化算法深入理解；熟悉深度学习框架（tensorflow,MXNet）4.有知名互联网公司工作经历；","游戏,社交",150-500人,spark,郑州
大数据开发工程师,https://www.lagou.com/jobs/7190332.html,中原区,10k-15k,安徽甜心互娱网络科技有限公司,3-5年,本科,双休、五险一金、下午茶、旅游、年终奖,"1、负责 Hadoop 集群、数据分析平台、计算平台开发和维护； 2、负责公司海量用户行为日志数据收集、ETL； 3、支持实时数据报表、离线数据报表、交互式数据分析等多种数据应用； 4、负责数据仓库业务主题数据建模以及核心代码开发开发和调优。任职要求1.3年以上大型数据仓库规划和实施经验，熟练掌握主流ETL解决方案，计算机相关专业本科及以上学历； 2.精通SQL语言, 熟悉Java，Python，scala等数据科学开发语言，至少要精通其中一种 具备数据库（mysql，postgresql等）使用和优化实践；大数据仓库建模及数据ETL开发经验 3.掌握MapReduce系列大数据系统原理，熟练使用HDFS、Hive，Spark，Flink，HBase，Kafka等分布式计算系统，并对于使用场景，优化方式有着深入理解 4.至少具备阿里云、AWS、Azure等其中一种云服务上大数据存储、计算以及挖掘分析使用经验超过2年的时长经验 5.熟悉深度学习，有深度学习相关框架如Tensorflow,Caffe,PyTorch,Mxnet开发经验者优先 热爱数据开发以及科学分析工作； 工作责任心强，有较强的抗压能力、沟通能力、项目推动能力和良好的服务意识","游戏,社交",150-500人,spark,郑州
Java高级开发工程师（大数据方向）-2020,https://www.lagou.com/jobs/6798673.html,金水区,13k-18k,郑州信大捷安信息技术股份有限公司,5-10年,本科,公司平台好 发展空间大,岗位职责：1、负责大数据平台的整体规划和设计、负责用户行为挖掘、产品改进；2、负责进行数据体系规划、数据治理及数据集市的架构设计、建模和ETL开发；3、负责用户画像、机器学习体系的构建；4、负责平台大数据组件相关的业务的开发运维工作。任职要求：1、本科及以上学历，3年以上大数据相关工作经验。2、3年以上数据平台（大数据平台、BI可视化、数据仓库、OLAP分析等）设计应用经验；3、熟悉ELK技术栈，熟悉Elasticsearch技术的开发运维工作；4、熟悉大数据处理及分布式系统前沿技术（包括Hadoop、MapReduce、Hive、Hbase、Spark、ZooKeeper、YARN等开源框架）及主流的数据应用产品或工具（BI、多维分析等），熟悉Java或Scala，会Python优先考虑；5、具备良好的数理基础，掌握常见的逻辑回归、决策树等模型和算法的应用场景及核心原理；6、熟悉数据研发过程，具备敏捷开发经验，具有优秀的项目执行能力，以及良好的沟通交流能力；7、敏锐的业务领域嗅觉，能够独立或协同，高质量按期完成项目，以及出色的系统规划能力；8、有较强的逻辑思维能力，善于分析、归纳、解决问题，持续学习和总结，自我迭代。9、有机器学习平台项目，或者华为大数据平台经验者优先。,"移动互联网,信息安全",500-2000人,spark,郑州
大数据开发工程师,https://www.lagou.com/jobs/7194241.html,金水区,10k-15k,河南飙风信息科技有限公司,3-5年,本科,五险 双休 年假 旅游 年终奖,公司为纯技术公司 高新技术企业   软件企业团队技术氛围浓 活泼团结运维平台 大数据分析  数据治理 人工智能等业务的开发   五险 双休 年假 旅游 年终奖 项目奖过节福利  等等  你能想到的基本都有1、完成软件产品各模块的功能、代码实现等工作；2、参与项目技术难点攻关以及核心代码的编写；3、设计及运用前沿技术于产品开发；4、协助上级完成团队制定的研发计划。职位要求：1、3年以上软件开发经验，精通Java开发，熟练使用java 框架；2、精通java 和 SQL；熟悉Kafka、MR、Hive、Hbase 等；有丰富的spark项目经验；3、ETL数据处理开发经验，能独立完成数据处理开发工作；3、熟练使用Spark，并对spark-core/spark-sql/spark-streaming有深入认识，具备java/Scala/python语言开发经验者优先；4、对分布式缓存Redis和Nosql数据库（如：MongoDB、Hbase）有一定研发经验；5、熟悉数据仓库建设的流程及方法论、理解维度建模，有实际的模型设计经验5、具有良好的沟通及项目协调能力，优秀的分析问题和解决问题的能力，具备强烈的进取心和良好的团队合作精神。,"人工智能,软件开发",15-50人,spark,郑州
大数据开发工程师,https://www.lagou.com/jobs/6402390.html,郑东新区,8k-10k,河南校信通教育科技有限公司,应届毕业生,本科,五险一金、工作餐、图书馆、健身房等等,"岗位职责1.对海量数据做采集、分析及处理，为业务团队提供专题分析、数据分析与挖掘、模型及算法等相关服务；2.负责机器学习的探索与研究，结合未来实际应用场景，提供基于教育行业的技术解决方案；3.负责提供分布式算法实现的解决方案，大幅提升计算的规模和性能；4.与业务部门沟通合作，将数据模型应用于实际业务。任职要求：1.国家统招一本及以上学历，计算机、数学及相关专业；2.对数学模型，数据结构以及算法有很深的理解和设计能力；3.业务理解力强，对数据、新技术敏感，对云计算、大数据、人工智能技术及应用充满热情；4.符合如下条件者优先：a)掌握Java语言；b)有大数据处理经验,熟悉Hadoop/Map-Reduce/Storm/Spark/Flink等分布式计算框架；5.认真细致，踏实勤奋，自学能力，具备良好的分析解决问题能力，具有较好的团队协作精神和沟通能力。","教育,移动互联网",150-500人,spark,郑州
Java大数据开发工程师,https://www.lagou.com/jobs/7122018.html,金水区,13k-15k,上海开奈电子通讯有限公司,3-5年,大专,技术大牛 工作氛围人性化,"1、精通Java语言开发，熟悉Python、Scala或者Go语言之一,熟练掌握Linux操作系统。2、熟悉主流数据库（如Oracle、MySQL、PostgreSQL或GP其中一种）3、熟悉Hadoop生态圈的相关组件，如HDFS、HBase、Hive、Spark、YARN、MR等，具备3年以上Hadoop/Spark开发及调优经验。核心技术要求：1、开发技术： Java编程语言（熟悉）2、数据库： SQL语言（熟悉）3、数据库： 常用数据库(MySQL/Oracle/GP)（熟悉）4、数据库： 索引技术和SQL优化（熟悉）5、大数据： Hadoop(HDFS/Hbase/Hive)（熟悉）6、大数据： Spark(Spark SQL)（熟悉）7、软件部署： Linux-操作命令，Shell脚本（熟悉）","移动互联网,消费生活",150-500人,spark,郑州
大数据,https://www.lagou.com/jobs/6459457.html,金水区,15k-20k,新乡市中誉鼎力软件科技股份有限公司,5-10年,硕士,五险、节假日、团队活动、零食、生日福利等,"职责描述：1、负责大数据平台的基础环境搭建与性能优化；2、对各种开源框架进行深入的代码剖析和优化；3、参与大数据技术方案评审；任职要求：1、计算机相关专业全日制本科及以上学历，具有5年或以上的分布式计算平台研发工作经验；2、使用过Hadoop、Hive、Flink、Spark、Hbase、Storm、kafka、Lucene等开源项目的其中一个或者多个,有源代码阅读和剖析经验为佳；3、精通Java/Scala，C++，Python等开发语言至少一个以上，具备良好的面向对象和函数编程思想，了解常用设计模式；4、熟悉分布式系统的基础理论, 有高并发系统的架构设计、开发和调试经验；5、良好的团队合作能力，流畅的口头和书面表达能力，严谨的工作态度，最好有极客意识，求知欲强 ，思路活跃。","硬件,其他",50-150人,spark,郑州
