job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
25664-大数据开发工程师（腾讯云全资子公司）,https://www.lagou.com/jobs/6974825.html,渝北区,12k-20k,腾讯科技（深圳）有限公司,3-5年,本科,平台大，发展快，待遇好，福利棒,岗位要求：    5年以上后台开发经验；精通Java研发框架和代码开发，熟悉SpringCloud、SpringBoot等技术框架的设计、研发、调优流程，或者熟悉物联网相关网络平台的设计与开发，熟悉MQTT、CoAP等协议和应用；熟练掌握Hadoop、Spark、Flink、Hbase、Impala、Druid、Kylin技术栈中一种及以上；能够独立完成后端代码研发框架的搭建和开发；具有一定的数据模型和数据架构基础，熟悉大数据处理，大数据开发，物联网平台等相关技术。（注：此岗位为腾讯集团旗下全资子公司编制岗位）   岗位职责：    参与技术方案和架构设计；负责数据中台产品研发工作。（注：此岗位为腾讯集团旗下全资子公司编制岗位）,社交,2000人以上,spark,重庆
大数据分析工程师（安全态势感知方向）,https://www.lagou.com/jobs/6776361.html,渝北区,8k-12k,杭州初灵信息技术股份有限公司,1-3年,本科,六险一金、年底双薪、餐补、交通补贴,岗位职责：1）负责对各类安全日志进行挖掘分析，对网络入侵、恶意程序感染、异常流量等安全事件建模分析；2）负责洞察并构建安全数据应用场景，梳理业务流程，推动算法应用落地。任职资格：1）计算机或信息类、数学统计类相关专业本科及以上学历2）至少1年以上大数据分析经验3）熟练掌握将特定的安全业务需求转化为数学模型能力3）具有类SQL工具，具备数据建模、机器学习等工具经验4）具有hive，hbase，hdfs，mapreduce、Spark等使用经验5）充分理解态势感知、威胁建模，分析监控等安全数据需求模型6）熟悉Python或Perl等脚本语言编写7）熟悉物联网安全领域分析，有处理经营者优先,"移动互联网,数据服务",500-2000人,spark,重庆
应用后台开发工程师（安全态势感知方向）,https://www.lagou.com/jobs/6776369.html,渝北区,8k-15k,杭州初灵信息技术股份有限公司,1-3年,本科,六险一金、年底双薪、餐补、交通补贴,岗位职责：1)负责构建安全态势感知类数据应用开发，提供安全事务处理的后台开发服务；2）负责数据处理系统设计和开发，包括日志采集落地、清洗入库，实时统计、特征及模型加工等。任职资格：1）计算机或信息类、数学统计类相关专业本科及以上学历2）至少1年以上大数据应用后台开发工作经验3）熟练掌握Java、C++、Go其中至少一种语言，熟悉Shell，有Python开发者经验者优先；4）熟练掌握分布式高并发、高可用服务的设计思路和开发技能和经验；5）熟悉Hive、HBase、Spark、Presto、ElasticSearch、 Kafka、Redis等大数据组件，有处理经验者优先；,"移动互联网,数据服务",500-2000人,spark,重庆
大数据分析,https://www.lagou.com/jobs/7066850.html,渝北区,10k-20k,中国联合网络通信有限公司重庆市分公司,1年以下,本科,五险一金、项目奖金、年终奖、老板nice,岗位职责 1.  根据公司业务、管理、运营需要，开展相关的数据管理、基础数据分析、模型建设；2.  对公司业务、管理、运营方面的基础数据与能力需求，开展需求分析与评估，在对统一数据中台能力、数据、应用环境、应用流程理解的基础上，制定分析方案、应用方案、推广方案；3.  对大数据分析方案、应用方案、推广方案进行实施，提炼其中基础性共性能力在统一数据中台进行发布；4.  公司大数据运营能力的建设与维护，对公司各业务单元在大数据平台的数据应用提供基础数据与基础能力支持；5.  对公司、系统及行业相关大数据分析与应用进行研究，形成知识沉淀，对业务单元进行培训指导。  任职要求 1.  全日制统招本科及以上学历，计算机、应用数学、统计学等相关专业；2.  具有丰富的大数据分析应用经验，从事大数据分析应用达到一定年限（研究生3年以上，本科5年以上），担任过大型数据分析应用项目主要成员，对大数据分析与应用有较深入的理解；3.  熟练掌握orcale/MySQL等关系型数据库，能够自主完成数据提取与分析；4.  熟悉hadoop/hive/mahout/MPI/spark等一个或多个分布式计算框架/算法平台；5.  熟悉使用熟悉至少一种SAS、R、Python或其他数据分析建模工具；6.  熟悉决策树、聚类、逻辑回归、多元回归、神经网络、判别分析、因子分析等常用数据挖掘算法和统计分析方法，能够自主完成数据分析工作；7.  认同公司企业文化，很强的责任心、学习能力、沟通协作能力，优秀的沟通和表达能力，清楚的表达个人想法、理解他人观点，具备团队合作意识和推动协作达成的能力。具有较强的文字功底。,"移动互联网,其他",2000人以上,spark,重庆
系统工程师,https://www.lagou.com/jobs/7165005.html,九龙坡区,13k-18k,重庆锦禹云能源科技有限公司,5-10年,本科,大牛指导，竞争性薪酬，挑战性工作,"职位描述：
 负责公司应用项目的测试环境及生产环境的部署和运维工作；
 负责公司网络、网站等相关设备及系统的日常运维工作；
 任职要求 1.全日制本科及以上学历，计算机相关专业，五年以上实施和运维管理相关工作经验；2.熟悉JAVA生态体系，熟悉微服务架构和部署；熟悉DOCKER、K8S;3.熟悉自动化部署管理，Devop 、Jenkins与Gitlab管理；熟悉集成项目环境搭建，网络、存储、服务器的容量、性能规划；4.熟悉Kafka、Hadoop、Hive、HBase、Spark、Storm、 Flume、ETL、Redis等大数据技术并能设计相关数据模型。5.熟练掌握网络基础知识、存储基础知识和系统基础知识，有相关技术认证者优先；6.工作积极主动，自主学习能力强，具有良好的沟通能力、团队合作精神。福利待遇1.法定福利：缴纳五险，享有带薪年假等法定假期；2.节日福利：端午、中秋、春节等传统节日发放福利礼品；3.个性化福利：每月举办员工生日会等团建活动；婚丧慰问福利；4.文化福利：丰富的文娱活动；各种培训课程，提升自己；5.年终奖；","移动互联网,企业服务",15-50人,spark,重庆
算法工程师,https://www.lagou.com/jobs/7172888.html,九龙坡区,11k-16k,重庆锦禹云能源科技有限公司,1-3年,硕士,大牛指导，竞争性薪酬，挑战性工作,岗位职责：1）面向电力、石化、金融、公安、交通等公共事业客户提供大数据算法解决方案，帮助客户挖掘数据价值，构筑差异化竞争力，支撑解决方案取得商业成功；2）负责智慧电网中智能巡检AI算法和电网智能决策的建模和算法设计、开发；3）负责金融、石化、交通等公共事业领域的大数据建模和算法设计、开发；5）在新数据分析算法上实现技术突破，比如在精度、准度、效率等方面有显著提升，进一步成果达到业界领先水平，在产品竞争力上可以跟行业标杆可比；6）能够把握行业发展趋势，根据未来客户的潜在需求，提出并论证新的技术方向和课题。岗位要求：1）熟悉Spark、流计算、Hadoop、Flink、GraphX、GraphLab、HBase等开源大数据平台；2）熟悉数据挖掘算法，对分类、聚类、时序、图等算法有很深了解；3）熟悉机器学习算法，对目标检测、异常检测等算法有深入了解；3）具有大数据软件工程能力，至少在大数据开源平台上有2年以上开发经验者优先；4）具有电网、金融、石化等行业数据分析、数据建模经验者优先。5）须具有硕士研究生及以上学历，985、211院校研究生优先。,"移动互联网,企业服务",15-50人,spark,重庆
数据科学家,https://www.lagou.com/jobs/6847195.html,渝北区,20k-30k,重庆生猪大数据产业发展有限公司,5-10年,硕士,国有企业、五险一金、周末双休、年轻团队,技能要求：数据建模，需求分析，舆情分析，行业分析，商业分析岗位职责：1.负责产品/项目的需求调研，了解多行业业务逻辑（熟悉金融领域加分），进行数据分析从而把需要解决的业务问题转化为机器学习/数据挖掘问题；2.负责从数据获取、数据清理、统计分析和数据建模（机器学习模型）整个流程工作；3.使用先进的机器学习技术，针对性的设计方案，根据设计的方案部署实施整个机器学习系统，解决客户的核心问题；4.负责机器学习模型的构建，并且与工程师合作对模型进行维护、部署和评估；5.设计线上线下实验方案，与客户沟通并完成实验，迭代优化机器学习系统效果。任职要求:1. 拥有计算机科学、统计或相关学科的硕士或在大数据领域有工作经验的本科；2. 在自然语言处理、知识图谱、机器学习、深度学习、大规模分布式机器学习领域有3年以上研发经验；3. 熟悉Java、C++、Python、R、Matlab等的一种或几种开发语言；4. 熟悉hadoop/hive/mahout/MPI/spark等一个或多个分布式计算框架/算法平台；5. 对于把大数据分析的结果能够应用到实际业务场景产生商业价值具有强烈的热情；6. 优秀的沟通和表达能力，清楚的表达个人想法、理解他人观点，具备团队合作意识和推动协作达成的能力。,"数据服务,软件开发",15-50人,spark,重庆
高级数仓工程师,https://www.lagou.com/jobs/6974255.html,渝北区,15k-25k,马上消费金融股份有限公司,5-10年,本科,带薪年假,"岗位职责：1、数据仓库设计和ETL开发；2、数据仓库的搭建和开发；3、参与数据仓库系统的优化及计算性能提升； 4、协助数据分析体系的数据建模、统计及分析。任职要求：1、学历要求:统招本科及以上学历，计算机以及相关专业，2、经验要求:具有4年及以上数据仓库经验,3、技能要求:（1）具有一定数据模型和数据架构基础，熟悉大数据技术（hive，hbase，spark等）（2）精通SQL，精通SQL性能调优经验；（3）熟悉mysql、oracle、OLAP相关技术；（4）至少熟悉一种开发语言java或者python4、通用要求：（1）有较强的学习能力和技术钻研能力、有自我驱动意识（2）具备独立分析和解决问题的能力；积极主动、认真踏实的工作态度（3）有良好的沟通能力，善于跨团队合作（4）具备良好的编码习惯，工作态度认真，责任心强","金融,移动互联网",2000人以上,spark,重庆
高级JAVA开发工程师,https://www.lagou.com/jobs/6801112.html,渝北区,18k-23k,马上消费金融股份有限公司,5-10年,本科,带薪年假,岗位职责：1) 负责视频呼叫系统后端开发2) 负责视频呼叫系统故障排查和分析岗位要求：1) 5年以上java开发经验，至少1年以上java1.8版本开发经验，并能熟练应用java1.8新特性2) 精通java面向对象设计与编程，精通Spring、SpringMvc、mybatis等J2EE及java中间件主流开发框架；3) 熟练运用redis缓存技术，掌握redis高级api，熟练使用redisson框架编程4) 熟练使用rabbitMq、kafka这两个消息中间件5) 熟悉spark、elasticsearch、logstash等组件6) 熟练掌握websocket技术7) 熟练掌握MySQL数据库；8) 具备1)-7)点基础上了解docker容器技术，熟悉k8s优先9) 具备1)-7)点基础上熟悉webrtc、sip优先、精通事件消息驱动型系统的设计与开发者优先、精通高并发代码编写能力者优先；,"金融,移动互联网",2000人以上,spark,重庆
大数据工程师,https://www.lagou.com/jobs/7119927.html,渝中区,8k-15k,西安格蒂电力有限公司,3-5年,本科,上市公司福利待遇优厚，发展前景广阔,技能要求：Python，Shell，java，Oracle1.熟悉大数据体系和架构，参与过数据中台或数据平台的建设，具备数据链路设计经验；2.熟悉Hadoop、Lambda、Kappa、Kaffka、Storm、Spark等大数据体系架构及中间件，具备良好的数据平台设计经验，具有很强的分析与设计能力；3.熟悉Python、Shell、Java等语言的一种或几种；熟悉Oracle、MySQL、MongoDB、Redis、Cassandra、HBase及主流的数据库。,企业服务,500-2000人,spark,重庆
