job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
JAVA WEB工程师,https://www.lagou.com/jobs/6541233.html,浦东新区,8k-15k,上海悦程信息技术有限公司,1-3年,本科,"成长快,五险一金,弹性工作",岗位职责：1、基于JAVA平台B/S系统框架分析、设计开发；2、协助系统架构师完成公司项目的系统架构设计；3、具有数据库优化经验；任职要求：一年以上从事JAVA软件项目实施和开发工作；具有数据采集、数据分析、数据统计等方面的经验优先；熟练掌握面向对象程序设计和开发技巧，熟悉网站开发的流程，精通JAVA进程/线程技术；精通SpringMVC、JavaScript；熟悉网站开发中常见的安全漏洞及避免方法；必须具有钻研进取精神，好学，才思敏捷，具有敬业精神，团队意识强；良好的学习能力，对信息技术领域的新信息、新知识具有相当的敏感性，能快速更新自身的知识内容；注重细节，有工匠精神；【励志成为牛人，拒绝平庸】,"企业服务,信息安全",15-50人,web,上海
web前端,https://www.lagou.com/jobs/6594869.html,浦东新区,10k-20k,上海悦程信息技术有限公司,1-3年,本科,"五险一金,弹性工作","1、开发和实现产品UI和大屏应用，确保完美的用户体验和数据展示；2、负责各种数据、图表的可视化展示和交互；3、持续优化前端表现；任职资格:1、精通VUE,typescript等；2、精通css3、svg等，能用JavaScript实现3D特效的各种手段；3、熟练使用threejs，d3，echarts，antv等库；4、精通JavaScript常用设计模式,优秀的编码能力、理解能力以及良好的代码风格和编程习惯；5、要保持与互联网前沿技术同步，快速学习和掌握新技术，喜欢创新、愿意不断尝试新方法；6、制作过页面小游戏，并有相关作品者优先考虑；","企业服务,信息安全",15-50人,web,上海
web,https://www.lagou.com/jobs/6814969.html,浦东新区,13k-20k,奥解思信息科技（上海）有限公司,不限,本科,外企,职位描述：岗位职责  参与公司各业务线产品的移动端及 PC 端的 Web 开发工作参与前端团队基础技术建设，包括跨端解决方案的建设，不断提升研发效率与代码 质量将创意化为现实，不断追求**的用户体验、安全及性能表现  任职要求  精通 CSS3；精通 React / Vue / Angular 其中至少一种，理解其底层的实现机制 及性能优化原理；了解 SSR 关注最新的 Web 开发标准及行业变化熟悉 Node 开发，有实际的 Node 服务端开发经验，或 Node 开发工具开发经验清晰的思路，较强的学习能力，良好的定位问题/解决问题的能力，不断追求**的 自我驱动力  加分项  你得意的/活跃的 Github portfolio 地址 / NPM 用户名 熟悉 Android / iOS 开发 精通其他服务端开发语言及其相关生态 Remark：至少2年以上相关经验熟练使用react框架或者熟练使用Vue/Angular并且JavaScript基础非常强,金融,500-2000人,web,上海
web前端开发工程师,https://www.lagou.com/jobs/6702066.html,浦东新区,15k-24k,奥解思信息科技（上海）有限公司,3-5年,本科,福利好，弹性工作制，培训机会多,"1、熟悉HTML(5) / CSS (3)2、熟悉原始JavaScript, JSON, AJAX3、熟悉流行的JavaScript库(React优先)4、熟悉ES6语法和IE polyfill5、熟悉Git6、熟悉webpack",金融,500-2000人,web,上海
高级web安全工程师,https://www.lagou.com/jobs/6752872.html,徐汇区,30k-60k,腾讯科技（深圳）有限公司,不限,不限,宽松企业文化，年终奖，隐形福利，优秀团队,岗位职责：1.支持腾讯重点企业级客户的日常web渗透和重保安服需求2.参与护网等web安全攻防演练3.探索新兴技术领域的安全解决方案，如智能网联汽车、IoT、5G、区块链岗位需求：1.扎实基础，对web漏洞的原理和利用有深入理解2.熟悉代码审计、内网和域渗透3.对资产和信息收集有较深入研究4.丰富的渗透测试经验，具备新奇的漏洞挖掘思路5.有真实复杂环境下的渗透测试和漏洞挖掘经验者加分优先base上海，北京、深圳我们也可以考虑（实习生也可考虑）,社交,2000人以上,web,上海
web安全工程师,https://www.lagou.com/jobs/6752852.html,徐汇区,20k-40k,腾讯科技（深圳）有限公司,不限,不限,宽松企业文化，年终奖，隐形福利，优秀团队,岗位职责：1.支持腾讯重点企业级客户的日常web渗透和重保安服需求2.参与护网等web安全攻防演练3.探索新兴技术领域的安全解决方案，如智能网联汽车、IoT、5G、区块链岗位需求：1.扎实基础，对web漏洞的原理和利用有深入理解2.熟悉代码审计、内网和域渗透3.对资产和信息收集有较深入研究4.丰富的渗透测试经验，具备新奇的漏洞挖掘思路5.有真实复杂环境下的渗透测试和漏洞挖掘经验者加分优先base上海，北京、深圳我们也可以考虑（实习生也可考虑）,社交,2000人以上,web,上海
web前端开发工程师,https://www.lagou.com/jobs/7150791.html,宝山区,8k-15k,上海臻相软件科技有限公司,1-3年,本科,"股权激励,年终奖金,项目奖金,发展前景好","1、精通html，css，json, javascript，能处理主流浏览器兼容问题；2、熟悉主流js框架和库；3、熟悉http协议；4、有nodejs,electron开发经验优先考虑5、对页面布局有深刻理解，注重代码的简洁性、重用性、模块化、组件化；6、逻辑思路清晰，能够承担一定的工作压力，7、计算机相关专业，2年以上前端开发经验。",信息安全,15-50人,web,上海
11319X-高级web前端开发工程师,https://www.lagou.com/jobs/7147088.html,浦东新区,15k-25k,平安科技（深圳）有限公司,3-5年,本科,"五险一金,绩效奖金,带薪年假,定期体检",,金融,2000人以上,web,上海
Web前端高级工程师(POI信息中心),https://www.lagou.com/jobs/7135650.html,长宁区,25k-30k,北京三快在线科技有限公司,3-5年,本科,良好的发展空间,,消费生活,2000人以上,web,上海
0231G7-资深Web前端开发工程师-上海,https://www.lagou.com/jobs/6973254.html,浦东新区,11k-20k,中国平安人寿保险股份有限公司,3-5年,本科,"五险一金,年终分红,节日福利,员工旅游",,金融,2000人以上,web,上海
