job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Web端测试开发工程师-【海外】,https://www.lagou.com/jobs/7075204.html,海淀区,20k-40k,北京达佳互联信息技术有限公司,3-5年,本科,平台大，福利好 免费三餐,职位描述：1、负责前端的产品测试，包括但不限于H5、web页面，保证产品质量；2、根据产品需求和用户场景，编写测试用例，准备测试环境，完善相关文档；3、独立完成前端运营活动和web平台测试工作，在规定时间内完成功能、性能及兼容性测试；4、参与需求评审，组织用例评审，准确评估测试时间，推动项目进展。任职要求:1、计算机或相关专业大学本科或以上学历；2、熟悉Python及Shell，了解前端缓存机制、能够熟练使用一种抓包工具和接口测试工具；3、对工作积极认真负责，思维清晰敏捷，有良好的沟通能力，快速学习能力，有责任感主动性强，良好的团队合作精神，能适应一定压力的工作；4、熟练掌握一种开发语言并能编写自动化测试脚本，熟悉RobotFramework自动化测试框架；5、有一定前端质量体系建设经验，包括但不限于前端性能测试、数据开发和工具开发等经验。,文娱丨内容,2000人以上,web,北京
Web前端开发工程师,https://www.lagou.com/jobs/7043545.html,朝阳区,20k-40k,北京三快在线科技有限公司,3-5年,本科,.支撑整个美团企业信息化平台建设,,消费生活,2000人以上,web,北京
web前端开发工程师,https://www.lagou.com/jobs/6840799.html,朝阳区,30k-50k,四川伊澳农业科技有限公司,5-10年,本科,美女多，上市公司，注重互联网，福利优厚,1.负责前端项目的开发和维护，参与产品的技术选型和调研；2.Web端产品易用性改进和界面技术优化 3.Web前沿技术研究和新技术调研 4.配合后台开发人员实现产品功能与操作流程任职要求：1.热爱编程，有丰富的编码实战经验，有强悍的逻辑性，喜欢追求新技术；2.精通JavaScript、ECMAScript、HTML5、CSS3、NodeJs等 Web 技术；3.精通React、Vue等流行框架之一，并熟悉其源码和原理，具有项目实践经验；4.熟悉Gulp/Webpack等构建工具之一；5.对eb安全有深入理解；6.有责任心，思路清晰，具备良好的沟通能力和团队协作精神；7.有自己主导或参与的开源项目，有良好的编程风格者，优先考虑。备注：外资背景，五险一金全额缴纳，周末双休，弹性上班，不打卡，早9晚6或者早10晚7，10:30以前到岗都不算迟到，公司有食堂，免费提供三餐，零食下午茶，每月有团建、年度旅游，带薪年假15天，之后每年+1天，试用期3个月，交通补助2000元/月，每月有1天带薪病假，当月有效目前公司规模：2000人以上，三年内扩招到5000人；互联网技术团队200人+,"移动互联网,电商",2000人以上,web,北京
Web前端工程师,https://www.lagou.com/jobs/6045408.html,海淀区,13k-18k,同方知网（北京）技术有限公司,3-5年,本科,五险二金、年假、免费早午餐、住宿,岗位职责：1. 根据项目需求，完成前端框架搭建与后期改进维护；2. 根据视觉和交互原型的要求，利用前端通用框架，完成前端交互功能；任职要求：1.  统招本科及以上学历，计算机相关专业，两年以上工作经验；2.  熟练掌握HTML、CSS、JS以及开发常用IDE；3.  精通常用前端框架Bootstrap、JQuery、Vue等；,"移动互联网,电商",2000人以上,web,北京
Web端测试工程师,https://www.lagou.com/jobs/6893984.html,海淀区,20k-40k,北京达佳互联信息技术有限公司,3-5年,本科,"产品超赞,大牛团队,核心业务,薪酬福利好",职位描述：1、能熟练使用成熟工具，对问题进行快速定位，熟悉chrome开发者工具/Charles等工具者优先；2、对性能测试/稳定性测试/兼容性测试/电量测试网络测试有独到见解者优先； 3、扎实的计算机基础和编程能力，至少熟悉Java/Python/Ruby/Go/JavaScript等主流语言中的一种，常用的数据库和Linux相关的命令。任职要求：1、本科及以上学历，至少2年以上PC相关的测试工作经验；2、熟悉Windows和Mac等相关的特性，熟悉不同浏览器相关的特性； 3、具有良好的沟通能力、团队合作精神和快速的学习能力，我们希望你思维敏捷、逻辑清晰、执行力强、工作责任心强、抗压能力强。,文娱丨内容,2000人以上,web,北京
SG闪购-Web前端工程师/技术专家,https://www.lagou.com/jobs/7134002.html,朝阳区,40k-60k,北京三快在线科技有限公司,5-10年,本科,新业务，发展空间大，技术氛围佳,,消费生活,2000人以上,web,北京
web前端讲师,https://www.lagou.com/jobs/3739765.html,海淀区,15k-30k,北京八维研修学院,3-5年,大专,"社保,公积金,工龄","任职要求： 1.熟悉web2.0，html5等最新web前端技术；                                2.熟练掌握javascript编程，熟练掌握HTML、Div、CSS、XML、Ajax等技术；   3.至少掌握一门流行的前端框架，vue,react,angular等                           4.理解前后端交互，理解http协议；                  5.善于学习，吃苦耐劳。 上班时间：8:30-12:00    14:00-18:00 岗位职责： 1.一周5.5天，早8:30至晚18:00；                 2.一天四节正课，四节自习（串行排课，相当于通关游戏，这关过了再进行下一关）一个大班学生可能在四十人以上；                   3.负责学生授课、答疑、辅导以及试卷批改工作。 联系人：李老师 工作地址：北京市海淀区上地软件园南57号北京八维教育",教育,2000人以上,web,北京
11312Q-web前端开发工程师（北京）,https://www.lagou.com/jobs/6884457.html,朝阳区,15k-30k,平安科技（深圳）有限公司,5-10年,本科,"五险一金,带薪年假,节日福利,绩效奖金",,金融,2000人以上,web,北京
web前端技术经理,https://www.lagou.com/jobs/7040457.html,海淀区,30k-50k,北京拉勾网络技术有限公司,5-10年,本科,充分发挥的空间，技术驱动做好产品,岗位职责：带领前端技术团队，进行招聘业务需求分析，技术方案评估，前端架构设计，关键功能和模块的编码。职位要求1：5年以上互联网公司工作经验，有前端架构或者带前端团队经验。2：熟悉主流前端框架（ React \ Vue 等）并深入理解其设计原理，熟悉小程序开发，对用户体验、交互设计、界面设计有浓厚的兴趣； 3、热爱技术，足够投入 ，善于沟通与团队协作。,企业服务,500-2000人,web,北京
腾讯地图web前端工程师,https://www.lagou.com/jobs/5505808.html,海淀区,25k-35k,腾讯科技（深圳）有限公司,5-10年,本科,平台大,"薪资只是参考！请先投简历，我们会与您沟通~岗位职责：负责腾讯位置服务web产品研发；负责地图小程序产品、大数据平台、工具平台的研发；探索最新、最酷炫的web地图展示技术。""岗位要求：本科及以上学历，3年以上相关工作经验；够熟练运用 HTML, CSS, Javascript 构建高性能的 Web 应用程序；理解WEB标准和兼容性，对可用性相关知识有实际的了解和实践经验；能够熟练运用至少一款主流的JS框架，具有良好的代码风格、接口设计与程序架构；掌握Canvas/SVG/WebGL中的一种web图形渲染技术；掌握nodejs/php/java/C++中的一种后端语音，对OOP有一定的认识；思路清晰，具备良好的沟通能力和团队协作精神。",社交,2000人以上,web,北京
